SURVEY:   LSST
SNID:     1158844
IAUC:     NULL
SNTYPE:   121
RA:       263.654444  # deg
DEC:      -14.794387  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3342 +- 0.0167  # MW E(B-V) 
PEAKMJD:  60061.453     # estimate for LC fit codes
MJD_TRIGGER:       60036.379  
MJD_DETECT_FIRST:  60032.395  
MJD_DETECT_LAST:   60094.184  

REDSHIFT_HELIO:   1.357461 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.357274 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6129053260  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3575  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          263.654475    # deg 
HOSTGAL_DEC:         -14.794408    # deg 
HOSTGAL_SNSEP:       0.060       # arcsec 
HOSTGAL_DDLR:        0.467       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.030 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.583
HOSTGAL_SQRADIUS:     6.053   # Ixx + Iyy
HOSTGAL_MAG:     32.13  29.89  28.31  27.01  26.12  25.36 # ugrizY
HOSTGAL_MAGERR:  26.62   2.20   0.22   0.14   0.13   0.17 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           5843    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.35746  
SIM_REDSHIFT_CMB:    1.35728  
SIM_REDSHIFT_HOST:   1.30509  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6129053260 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.472 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.030 -9.000 
SIM_DLMU:            44.9210   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0371   # mag 
SIM_RA:              263.654449     # deg  
SIM_DEC:             -14.794387      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3584   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60061.453    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -163.38  # days 
SIM_TRESTMAX:        214.92  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.36  31.98  30.21  28.46  27.47  26.88  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.3223 i WFD -5.7580e-03  1.171e-02    0  1.000 44.590  1.51 1.499e+04  99.0000 
OBS: 59681.2679 z WFD  1.0021e-02  1.553e-02    0  1.000 44.990  1.38 3.146e+04  99.0000 
OBS: 59683.2519 Y WFD  2.1632e-02  4.951e-02    0  1.000 43.280  1.37 2.091e+04  99.0000 
OBS: 59685.2861 Y WFD  2.3061e-02  2.140e-02    0  1.000 45.060  1.27 5.024e+04  99.0000 
OBS: 59694.3368 g WFD -6.0031e-03  7.220e-03    0  1.000 44.930  2.12 9.006e+03  99.0000 
OBS: 59705.4242 z WFD  3.8185e-02  4.561e-02    0  1.000 44.240  1.92 3.328e+04  99.0000 
OBS: 59721.2239 i WFD  8.9258e-03  1.553e-02    0  1.000 44.610  1.74 1.758e+04  99.0000 
OBS: 59747.0718 Y WFD  2.3368e-03  1.086e-01    0  1.000 42.520  1.95 1.600e+04  99.0000 
OBS: 59763.1550 u WFD -1.4878e-02  2.850e-02    0  1.000 41.340  2.57 1.072e+03  99.0000 
OBS: 59768.0111 Y WFD  3.5462e-02  8.411e-02    0  1.000 43.260  2.35 2.033e+04  99.0000 
OBS: 59774.2509 z WFD  2.5807e-02  6.896e-02    0  1.000 44.250  2.28 4.276e+04  99.0000 
OBS: 59775.0994 z WFD -1.5201e-02  2.185e-02    0  1.000 45.910  2.21 6.449e+04  99.0000 
OBS: 59780.0601 r WFD  4.5093e-03  7.557e-03    0  1.000 44.840  1.64 1.122e+04  99.0000 
OBS: 59787.1447 r WFD -2.4545e-02  2.098e-02    0  1.000 44.090  3.20 7.997e+03  99.0000 
OBS: 59793.0108 r WFD -4.5243e-03  8.983e-03    0  1.000 44.850  1.92 1.149e+04  99.0000 
OBS: 59801.1035 z WFD  4.4809e-03  3.172e-02    0  1.000 44.280  1.41 3.269e+04  99.0000 
OBS: 59806.0652 r WFD -2.7576e-02  1.841e-02    0  1.000 44.150  1.89 1.256e+04  99.0000 
OBS: 59809.9757 Y WFD  1.5519e-02  3.751e-02    0  1.000 44.090  1.44 3.178e+04  99.0000 
OBS: 59812.0001 g WFD  2.2296e-03  5.141e-03    0  1.000 44.870  1.72 7.479e+03  99.0000 
OBS: 59819.0562 u WFD -1.0182e-02  2.348e-02    0  1.000 41.300  2.04 1.072e+03  99.0000 
OBS: 59845.0514 r WFD  8.1530e-03  1.487e-02    0  1.000 44.790  2.76 1.252e+04  99.0000 
OBS: 59846.0462 i WFD  1.8901e-02  1.749e-02    0  1.000 45.000  2.44 2.022e+04  99.0000 
OBS: 60000.3888 Y WFD  4.6998e-02  4.620e-02    0  1.000 43.740  1.46 2.797e+04  99.0000 
OBS: 60002.3679 r WFD -3.2765e-03  1.277e-02    0  1.000 44.810  2.31 1.309e+04  99.0000 
OBS: 60002.3998 Y WFD  9.5888e-02  1.193e-01    0  1.000 42.570  1.62 2.215e+04  99.0000 
OBS: 60005.4014 z WFD -6.6251e-03  5.243e-02    0  1.000 43.520  1.63 2.321e+04  99.0000 
OBS: 60009.3848 Y WFD  8.4777e-02  6.227e-02    0  1.000 43.760  1.86 3.014e+04  99.0000 
OBS: 60011.3810 Y WFD  9.6816e-02  7.720e-02    0  1.000 43.760  2.64 2.633e+04  99.0000 
OBS: 60021.3775 g WFD  2.9395e-03  7.014e-03    0  1.000 44.130  1.52 5.841e+03  99.0000 
OBS: 60023.3461 r WFD -5.8086e-03  6.689e-03    0  1.000 44.820  1.33 1.202e+04  99.0000 
OBS: 60025.4057 z WFD -4.6501e-03  2.265e-02    0  1.000 44.270  1.15 2.836e+04  99.0000 
OBS: 60027.3168 u WFD -2.3833e-02  1.394e-02    0  1.000 41.920  1.55 1.483e+03  37.8449 
OBS: 60028.3764 r WFD  4.3354e-03  6.116e-03    0  1.000 44.850  1.28 1.174e+04  33.6519 
OBS: 60031.3000 r WFD  1.6955e-02  6.840e-03    0  1.000 44.800  1.35 1.189e+04  32.3718 
