SURVEY:   LSST
SNID:     1158933
IAUC:     NULL
SNTYPE:   121
RA:       75.075031  # deg
DEC:      -8.396500  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0816 +- 0.0041  # MW E(B-V) 
PEAKMJD:  59971.484     # estimate for LC fit codes
MJD_TRIGGER:       59957.191  
MJD_DETECT_FIRST:  59954.184  
MJD_DETECT_LAST:   60397.004  

REDSHIFT_HELIO:   0.524504 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.524437 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10312877462  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5245  +- 0.0100 
HOSTGAL_SPECZ:       0.5245  +- 0.0000 
HOSTGAL_RA:          75.075372    # deg 
HOSTGAL_DEC:         -8.396694    # deg 
HOSTGAL_SNSEP:       0.571       # arcsec 
HOSTGAL_DDLR:        0.946       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.032 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.268
HOSTGAL_SQRADIUS:     15.029   # Ixx + Iyy
HOSTGAL_MAG:     25.43  23.63  22.14  21.35  20.97  20.76 # ugrizY
HOSTGAL_MAGERR:   0.19   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           5932    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.52452  
SIM_REDSHIFT_CMB:    0.52445  
SIM_REDSHIFT_HOST:   0.50895  
SIM_REDSHIFT_FLAG:   2  # HOSTSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10312877462 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.301 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.032 -9.000 
SIM_DLMU:            42.3859   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0024   # mag 
SIM_RA:              75.075035     # deg  
SIM_DEC:             -8.396500      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0721   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59971.484    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  5  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -254.12  # days 
SIM_TRESTMAX:        454.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.18  25.95  24.70  24.38  24.31  24.27  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0831 u WFD -1.8521e-02  2.390e-02    0  1.000 41.260  2.12 1.012e+03  99.0000 
OBS: 59588.1184 Y WFD  9.5226e-03  7.771e-02    0  1.000 42.570  1.81 1.292e+04  99.0000 
OBS: 59591.1355 z WFD -9.5799e-03  2.780e-02    0  1.000 44.270  1.63 2.456e+04  99.0000 
OBS: 59592.0513 z WFD  4.0065e-02  3.251e-02    0  1.000 44.280  1.67 2.829e+04  99.0000 
OBS: 59594.0557 Y WFD -1.3325e-01  8.744e-02    0  1.000 42.580  1.66 1.599e+04  99.0000 
OBS: 59610.0384 z WFD  5.8567e-03  3.547e-02    0  1.000 43.510  1.73 1.466e+04  99.0000 
OBS: 59612.0320 z WFD  5.3171e-04  3.781e-02    0  1.000 43.520  1.55 1.760e+04  99.0000 
OBS: 59615.0348 z WFD -1.8118e-02  3.274e-02    0  1.000 43.510  1.57 1.491e+04  99.0000 
OBS: 59625.0948 Y WFD -5.7850e-02  6.035e-02    0  1.000 43.290  1.58 2.231e+04  99.0000 
OBS: 59652.0061 Y WFD  2.1862e-01  1.200e-01    0  1.000 42.560  2.32 1.542e+04  99.0000 
OBS: 59655.0402 Y WFD -2.3316e-02  1.109e-01    0  1.000 42.520  2.02 1.578e+04  99.0000 
OBS: 59661.9981 Y WFD  8.9336e-02  1.080e-01    0  1.000 42.540  2.17 1.457e+04  99.0000 
OBS: 59799.4093 i WFD -7.2631e-03  2.708e-02    0  1.000 43.800  2.21 1.144e+04  99.0000 
OBS: 59803.3982 Y WFD -9.4482e-03  1.143e-01    0  1.000 42.520  2.07 1.586e+04  99.0000 
OBS: 59805.4002 Y WFD  8.7460e-02  5.826e-02    0  1.000 43.280  1.57 2.147e+04  99.0000 
OBS: 59823.3535 g WFD -2.0203e-03  8.464e-03    0  1.000 44.720  2.66 6.935e+03  99.0000 
OBS: 59835.3112 Y WFD  9.4857e-02  8.717e-02    0  1.000 42.520  1.57 1.595e+04  99.0000 
OBS: 59840.3178 r WFD -2.0931e-03  8.347e-03    0  1.000 45.600  1.79 2.286e+04  99.0000 
OBS: 59850.2939 g WFD -2.8315e-03  8.918e-03    0  1.000 44.760  2.97 6.789e+03  99.0000 
OBS: 59851.2620 u WFD -1.8873e-02  3.724e-02    0  1.000 41.000  2.80 9.392e+02  99.0000 
OBS: 59860.2871 Y WFD -6.4583e-02  7.728e-02    0  1.000 42.560  1.55 1.486e+04  99.0000 
OBS: 59861.2435 Y WFD  7.4766e-02  7.396e-02    0  1.000 43.270  1.81 2.343e+04  99.0000 
OBS: 59866.3776 z WFD  6.2287e-02  4.585e-02    0  1.000 43.530  1.56 2.141e+04  99.0000 
OBS: 59867.3407 i WFD  1.9895e-03  1.835e-02    0  1.000 45.070  1.87 2.952e+04  99.0000 
OBS: 59869.3352 r WFD  1.4122e-02  1.030e-02    0  1.000 44.900  1.57 1.688e+04  99.0000 
OBS: 59872.2864 i WFD -6.0254e-03  9.868e-03    0  1.000 44.580  1.31 1.443e+04  99.0000 
OBS: 59873.2090 g WFD -2.7875e-03  5.877e-03    0  1.000 44.690  1.87 6.663e+03  99.0000 
OBS: 59874.2563 u WFD -1.6824e-02  2.438e-02    0  1.000 41.180  2.06 9.866e+02  99.0000 
OBS: 59878.2354 i WFD  1.1418e-02  1.140e-02    0  1.000 44.570  1.46 1.482e+04  99.0000 
OBS: 59880.2305 r WFD  3.2368e-04  6.558e-03    0  1.000 44.820  1.45 1.081e+04  99.0000 
OBS: 59900.1602 i WFD  1.7799e-02  2.024e-02    0  1.000 44.570  2.53 1.519e+04  99.0000 
OBS: 59903.2036 r WFD -1.2304e-02  7.980e-03    0  1.000 44.840  1.79 1.085e+04  99.0000 
OBS: 59904.1397 u WFD -2.0896e-02  2.132e-02    0  1.000 41.810  2.33 1.363e+03  99.0000 
OBS: 59912.1068 z WFD -6.1322e-02  5.038e-02    0  1.000 43.480  2.35 1.491e+04  99.0000 
OBS: 59915.0957 z WFD  1.6498e-02  2.026e-02    0  1.000 44.990  1.72 3.292e+04  99.0000 
OBS: 59921.2293 z WFD  4.4541e-02  4.067e-02    0  1.000 44.280  1.56 3.789e+04  99.0000 
OBS: 59932.0394 Y WFD  2.2978e-02  6.596e-02    0  1.000 43.250  1.61 2.306e+04  99.0000 
OBS: 59936.1037 i WFD -3.9488e-03  1.203e-02    0  1.000 44.580  1.58 1.459e+04  99.0000 
OBS: 59937.0994 r WFD  1.9157e-03  7.802e-03    0  1.000 44.820  1.72 1.084e+04  99.0000 
OBS: 59941.0434 Y WFD -3.0721e-02  1.029e-01    0  1.000 42.540  1.98 1.520e+04  99.0000 
OBS: 59947.0431 z WFD  3.3268e-02  3.449e-02    0  1.000 45.020  1.96 5.056e+04  99.0000 
OBS: 59954.1855 i WFD  2.9902e+00  1.679e-02 4096  1.000 45.360  1.92 3.436e+04  26.3158 
OBS: 59957.1907 r WFD  5.6598e+00  1.916e-02 6144  1.000 44.110  1.84 1.292e+04  25.6198 
OBS: 59976.0382 Y WFD  2.0468e+01  7.760e-02 4096  1.000 42.580  1.54 1.528e+04  24.2172 
OBS: 59977.0575 z WFD  1.8961e+01  2.327e-02 4096  1.000 44.270  1.23 2.715e+04  24.3068 
OBS: 59979.0638 Y WFD  2.0461e+01  6.294e-02 4096  1.000 42.580  1.26 1.513e+04  24.2233 
OBS: 59988.0311 z WFD  1.4571e+01  2.780e-02 4096  1.000 44.260  1.68 2.357e+04  24.5901 
OBS: 59990.0599 r WFD  3.8844e+00  8.699e-03 4096  1.000 44.820  1.93 1.074e+04  26.0257 
OBS: 59998.0265 z WFD  1.0328e+01  3.073e-02 4096  1.000 43.500  1.55 1.402e+04  24.9670 
OBS: 60008.0190 Y WFD  8.8802e+00  6.354e-02 4096  1.000 43.320  1.83 2.083e+04  25.1348 
OBS: 60011.0401 Y WFD  8.0641e+00  9.509e-02 4096  1.000 42.540  1.84 1.512e+04  25.2253 
OBS: 60012.0690 z WFD  6.7734e+00  9.164e-02 4096  1.000 43.480  3.20 1.992e+04  25.4256 
OBS: 60032.0011 Y WFD  5.7188e+00  6.913e-02 4096  1.000 42.520  1.37 1.449e+04  25.6120 
OBS: 60158.4192 Y WFD  1.6563e+00  1.077e-01 4096  1.000 42.520  1.96 1.579e+04  26.8016 
