SURVEY:   LSST
SNID:     1160346
IAUC:     NULL
SNTYPE:   121
RA:       39.448729  # deg
DEC:      0.381957  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0281 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60327.500     # estimate for LC fit codes
MJD_TRIGGER:       60314.121  
MJD_DETECT_FIRST:  60305.148  
MJD_DETECT_LAST:   60592.188  

REDSHIFT_HELIO:   0.692124 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.690833 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  703   # template index for SIMSED,NONIa
SIM_LIBID:           7347    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.73476  
SIM_REDSHIFT_CMB:    0.73344  
SIM_REDSHIFT_HOST:   0.69212  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9688374317 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.047 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.999 -9.000 
SIM_DLMU:            43.2726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0016   # mag 
SIM_RA:              39.448730     # deg  
SIM_DEC:             0.381957      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0286   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60327.500    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -297.77  # days 
SIM_TRESTMAX:        198.79  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.61  28.11  26.01  25.10  25.20  24.88  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 136 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59811.3332 i WFD -1.3504e-03  1.102e-02    0  1.000 45.330  1.70 2.479e+04  99.0000 
OBS: 59812.4218 Y WFD -5.0035e-02  7.387e-02    0  1.000 43.320  1.98 2.240e+04  99.0000 
OBS: 59813.3561 i WFD -1.7922e-03  1.402e-02    0  1.000 44.570  1.72 1.547e+04  99.0000 
OBS: 59817.3527 g WFD -3.3689e-03  4.122e-03    0  1.000 45.560  1.89 1.030e+04  99.0000 
OBS: 59817.4160 z WFD  2.5027e-02  2.225e-02    0  1.000 44.690  1.61 2.930e+04  99.0000 
OBS: 59818.3657 u WFD -1.4229e-02  2.585e-02    0  1.000 41.210  2.15 1.031e+03  99.0000 
OBS: 59819.3034 u WFD  1.3395e-02  3.123e-02    0  1.000 41.120  2.45 1.006e+03  99.0000 
OBS: 59821.3813 r WFD -9.4345e-03  7.725e-03    0  1.000 45.580  2.29 1.624e+04  99.0000 
OBS: 59821.4197 z WFD  2.1902e-02  5.716e-02    0  1.000 43.500  1.89 2.143e+04  99.0000 
OBS: 59832.3764 Y WFD -6.6516e-02  6.826e-02    0  1.000 43.740  1.88 3.209e+04  99.0000 
OBS: 59841.2890 g WFD -1.4027e-03  1.005e-02    0  1.000 44.810  3.17 7.510e+03  99.0000 
OBS: 59842.3957 z WFD  3.3686e-02  3.356e-02    0  1.000 44.240  2.02 2.327e+04  99.0000 
OBS: 59844.3235 r WFD -3.1117e-03  8.453e-03    0  1.000 44.820  1.78 1.135e+04  99.0000 
OBS: 59845.3935 z WFD  1.2239e-02  4.003e-02    0  1.000 44.230  1.81 3.070e+04  99.0000 
OBS: 59850.3862 z WFD  7.5635e-02  4.457e-02    0  1.000 44.220  2.71 2.262e+04  99.0000 
OBS: 59851.2382 u WFD -1.1077e-02  1.858e-02    0  1.000 41.960  2.19 1.451e+03  99.0000 
OBS: 59853.3845 z WFD  4.4272e-02  3.978e-02    0  1.000 43.480  1.71 1.618e+04  99.0000 
OBS: 59857.2437 Y WFD  4.2742e-02  5.037e-02    0  1.000 43.300  1.52 1.953e+04  99.0000 
OBS: 59858.3095 z WFD  1.4945e-02  3.305e-02    0  1.000 44.250  1.96 2.384e+04  99.0000 
OBS: 59859.2695 Y WFD -1.1223e-02  6.195e-02    0  1.000 43.310  1.77 2.082e+04  99.0000 
OBS: 59860.1748 Y WFD -1.6443e-02  5.999e-02    0  1.000 43.710  1.71 3.016e+04  99.0000 
OBS: 59867.3461 i WFD -4.2349e-02  3.574e-02    0  1.000 43.830  1.99 1.724e+04  99.0000 
OBS: 59868.2825 r WFD  2.3669e-02  1.057e-02    0  1.000 45.330  1.71 2.364e+04  99.0000 
OBS: 59869.2588 r WFD  6.5472e-03  1.037e-02    0  1.000 44.860  1.85 1.390e+04  99.0000 
OBS: 59873.2407 g WFD  1.0124e-02  5.096e-03    0  1.000 44.810  1.63 7.403e+03  99.0000 
OBS: 59876.1283 u WFD  1.9215e-02  2.119e-02    0  1.000 41.840  2.29 1.417e+03  99.0000 
