SURVEY:   LSST
SNID:     1161738
IAUC:     NULL
SNTYPE:   121
RA:       178.446645  # deg
DEC:      -17.481558  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0338 +- 0.0017  # MW E(B-V) 
PEAKMJD:  59964.320     # estimate for LC fit codes
MJD_TRIGGER:       59944.355  
MJD_DETECT_FIRST:  59944.289  
MJD_DETECT_LAST:   60100.070  

REDSHIFT_HELIO:   1.255880 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.258575 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  742   # template index for SIMSED,NONIa
SIM_LIBID:           8739    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.29229  
SIM_REDSHIFT_CMB:    1.29503  
SIM_REDSHIFT_HOST:   1.25588  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6065849479 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.370 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.764 -9.000 
SIM_DLMU:            44.7922   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0643   # mag 
SIM_RA:              178.446640     # deg  
SIM_DEC:             -17.481558      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0340   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59964.320    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -154.44  # days 
SIM_TRESTMAX:        309.75  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.72  30.84  29.52  27.92  26.89  26.42  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.2878 i WFD -4.8155e-03  1.534e-02    0  1.000 44.580  2.03 1.448e+04  99.0000 
OBS: 59610.3766 z WFD  3.0833e-03  3.098e-02    0  1.000 44.270  1.66 2.687e+04  99.0000 
OBS: 59618.1722 Y WFD  5.4619e-02  1.106e-01    0  1.000 42.510  2.25 1.400e+04  99.0000 
OBS: 59621.1780 Y WFD  6.0272e-02  8.072e-02    0  1.000 42.530  1.66 1.410e+04  99.0000 
OBS: 59626.2625 z WFD  3.4283e-03  3.393e-02    0  1.000 44.290  1.59 3.130e+04  99.0000 
OBS: 59638.3917 z WFD -8.4608e-03  4.497e-02    0  1.000 43.480  1.94 1.612e+04  99.0000 
OBS: 59645.1282 u WFD  7.5336e-02  3.224e-02    0  1.000 41.180  2.64 1.018e+03  99.0000 
OBS: 59653.1520 Y WFD  1.8328e-02  7.745e-02    0  1.000 42.580  1.62 1.452e+04  99.0000 
OBS: 59660.2513 Y WFD -1.9066e-02  4.178e-02    0  1.000 44.300  1.87 3.308e+04  99.0000 
OBS: 59686.1509 Y WFD  9.7869e-02  5.679e-02    0  1.000 43.760  1.49 3.431e+04  99.0000 
OBS: 59688.1535 z WFD -1.5546e-03  2.593e-02    0  1.000 45.010  1.91 3.865e+04  99.0000 
OBS: 59697.9713 z WFD  6.6462e-02  4.766e-02    0  1.000 44.240  2.25 2.967e+04  99.0000 
OBS: 59714.0440 Y WFD -1.1951e-01  9.752e-02    0  1.000 42.610  1.76 1.730e+04  99.0000 
OBS: 59718.1634 i WFD  3.8789e-02  2.138e-02    0  1.000 45.030  2.13 2.911e+04  99.0000 
OBS: 59721.9616 z WFD -5.8010e-02  3.747e-02    0  1.000 43.500  1.84 1.443e+04  99.0000 
OBS: 59770.0191 z WFD -4.8678e-02  3.235e-02    0  1.000 44.250  1.71 2.675e+04  99.0000 
OBS: 59779.9739 z WFD -2.3791e-03  5.004e-02    0  1.000 43.490  2.36 1.489e+04  99.0000 
OBS: 59923.3460 z WFD  1.7629e-01  7.382e-02    0  1.000 43.500  2.52 2.076e+04  29.2392 
OBS: 59924.3343 Y WFD  1.6600e-01  8.264e-02    0  1.000 42.520  1.54 1.542e+04  28.5945 
OBS: 59944.2908 i WFD  6.8955e-01  1.754e-02 4096  1.000 44.560  2.09 1.579e+04  27.8806 
OBS: 59944.3550 Y WFD  2.4506e+00  9.183e-02 6144  1.000 42.580  1.84 1.515e+04  26.5998 
OBS: 59945.3519 z WFD  1.5221e+00  3.660e-02 4096  1.000 43.510  1.74 1.504e+04  27.0614 
OBS: 59953.2706 Y WFD  2.7468e+00  4.003e-02 4096  1.000 44.480  1.78 3.929e+04  26.4108 
OBS: 59954.3580 Y WFD  2.7778e+00  1.053e-01 4096  1.000 42.610  2.08 1.580e+04  26.4105 
OBS: 59962.2485 g WFD  4.8757e-02  4.702e-03 4096  1.000 44.770  1.50 7.153e+03  30.8409 
OBS: 59964.2302 u WFD  4.0272e-02  2.722e-02    0  1.000 41.050  2.06 9.771e+02  31.7184 
