SURVEY:   LSST
SNID:     1162894
IAUC:     NULL
SNTYPE:   121
RA:       198.510705  # deg
DEC:      -5.105666  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0326 +- 0.0016  # MW E(B-V) 
PEAKMJD:  60415.250     # estimate for LC fit codes
MJD_TRIGGER:       60398.332  
MJD_DETECT_FIRST:  60383.371  
MJD_DETECT_LAST:   60512.027  

REDSHIFT_HELIO:   0.493892 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.495483 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6062751311  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4939  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          198.509892    # deg 
HOSTGAL_DEC:         -5.105801    # deg 
HOSTGAL_SNSEP:       1.228       # arcsec 
HOSTGAL_DDLR:        2.428       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.450 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.086
HOSTGAL_SQRADIUS:     12.804   # Ixx + Iyy
HOSTGAL_MAG:     22.25  21.73  20.71  20.26  19.96  19.77 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  741   # template index for SIMSED,NONIa
SIM_LIBID:           9895    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.49389  
SIM_REDSHIFT_CMB:    0.49548  
SIM_REDSHIFT_HOST:   0.50896  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6062751311 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.515 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.450 -9.000 
SIM_DLMU:            42.2352   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0115   # mag 
SIM_RA:              198.510712     # deg  
SIM_DEC:             -5.105666      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0342   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60415.250    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -531.50  # days 
SIM_TRESTMAX:        64.78  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.09  25.84  24.41  24.22  24.19  24.21  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 106 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59621.2485 Y WFD  6.6515e-02  5.756e-02    0  1.000 43.700  2.02 2.428e+04  99.0000 
OBS: 59640.3911 z WFD  1.9299e-02  4.684e-02    0  1.000 43.490  2.16 1.523e+04  99.0000 
OBS: 59642.4044 z WFD -1.1565e-02  8.986e-02    0  1.000 43.500  2.27 2.805e+04  99.0000 
OBS: 59653.1650 Y WFD -1.4178e-01  6.330e-02    0  1.000 43.710  2.04 2.668e+04  99.0000 
OBS: 59655.3659 Y WFD  2.1340e-01  1.509e-01    0  1.000 42.530  2.40 1.824e+04  99.0000 
OBS: 59660.2410 Y WFD  3.1053e-02  4.503e-02    0  1.000 44.090  1.80 3.052e+04  99.0000 
OBS: 59679.1105 z WFD  1.5608e-03  1.961e-02    0  1.000 45.000  1.78 3.109e+04  99.0000 
OBS: 59681.1072 z WFD  6.2786e-02  1.937e-02    0  1.000 45.000  1.55 3.526e+04  99.0000 
OBS: 59689.2482 z WFD -3.8528e-02  2.003e-02    0  1.000 45.010  1.56 3.655e+04  99.0000 
OBS: 59694.0526 g WFD -6.4023e-03  7.241e-03    0  1.000 44.760  2.17 7.545e+03  99.0000 
OBS: 59709.1503 i WFD -1.2766e-02  2.066e-02    0  1.000 44.610  2.03 2.005e+04  99.0000 
OBS: 59716.0611 Y WFD  1.2464e-02  4.330e-02    0  1.000 44.810  2.14 4.791e+04  99.0000 
OBS: 59718.1943 i WFD -1.1667e-02  2.766e-02    0  1.000 44.580  2.16 2.453e+04  99.0000 
OBS: 59752.9621 z WFD  8.1870e-03  2.978e-02    0  1.000 43.510  1.46 1.459e+04  99.0000 
OBS: 59770.0668 z WFD  2.8328e-02  2.891e-02    0  1.000 44.680  1.61 3.773e+04  99.0000 
OBS: 59782.9728 z WFD  2.0053e-02  4.650e-02    0  1.000 43.500  2.21 1.491e+04  99.0000 
OBS: 59789.0243 r WFD -4.5761e-02  2.358e-02    0  1.000 44.030  2.89 9.420e+03  99.0000 
OBS: 59789.9762 z WFD -4.8404e-02  4.242e-02    0  1.000 44.250  2.78 2.157e+04  99.0000 
OBS: 59799.9740 Y WFD  3.3553e-02  1.033e-01    0  1.000 42.520  1.80 1.649e+04  99.0000 
OBS: 59944.3509 Y WFD -2.7316e-01  1.195e-01    0  1.000 42.500  2.19 1.539e+04  99.0000 
OBS: 59945.3550 z WFD -3.7973e-02  5.513e-02    0  1.000 43.470  2.05 1.854e+04  99.0000 
OBS: 59964.3187 u WFD  1.8953e-02  2.098e-02    0  1.000 41.900  2.30 1.477e+03  99.0000 
OBS: 59965.3485 r WFD -8.5459e-03  1.304e-02    0  1.000 44.080  1.86 8.475e+03  99.0000 
OBS: 59966.3320 i WFD -5.2827e-03  2.232e-02    0  1.000 43.830  1.93 1.111e+04  99.0000 
OBS: 59968.2915 u WFD -5.7403e-03  3.089e-02    0  1.000 41.070  2.30 1.012e+03  99.0000 
OBS: 59972.3169 r WFD  5.2708e-03  8.888e-03    0  1.000 44.820  1.77 1.200e+04  99.0000 
OBS: 59973.2991 g WFD -7.9929e-04  5.609e-03    0  1.000 44.770  1.67 7.665e+03  99.0000 
OBS: 59976.3537 r WFD -6.9959e-03  9.011e-03    0  1.000 44.850  1.89 1.171e+04  99.0000 
OBS: 59976.3751 z WFD -2.3933e-02  3.779e-02    0  1.000 43.510  1.76 1.536e+04  99.0000 
OBS: 59978.2828 Y WFD -4.0363e-02  4.917e-02    0  1.000 43.290  1.39 2.066e+04  99.0000 
OBS: 59979.2616 Y WFD -9.1332e-02  5.453e-02    0  1.000 43.270  1.40 2.233e+04  99.0000 
OBS: 59980.2642 Y WFD  1.3735e-02  6.027e-02    0  1.000 43.270  1.49 2.319e+04  99.0000 
OBS: 59990.3919 z WFD -5.1673e-02  4.081e-02    0  1.000 43.530  1.36 2.186e+04  99.0000 
OBS: 59993.2571 r WFD  1.1490e-02  8.373e-03    0  1.000 44.820  1.72 1.163e+04  99.0000 
