SURVEY:   LSST
SNID:     1166016
IAUC:     NULL
SNTYPE:   121
RA:       70.800091  # deg
DEC:      -43.170066  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60195.688     # estimate for LC fit codes
MJD_TRIGGER:       60176.406  
MJD_DETECT_FIRST:  60166.402  
MJD_DETECT_LAST:   60382.008  

REDSHIFT_HELIO:   0.989808 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.989790 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5939660263  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9898  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          70.800228    # deg 
HOSTGAL_DEC:         -43.170120    # deg 
HOSTGAL_SNSEP:       0.226       # arcsec 
HOSTGAL_DDLR:        0.670       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.496 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.366
HOSTGAL_SQRADIUS:     11.506   # Ixx + Iyy
HOSTGAL_MAG:     22.93  23.08  23.08  22.88  22.68  22.72 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  727   # template index for SIMSED,NONIa
SIM_LIBID:           13017    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.98981  
SIM_REDSHIFT_CMB:    0.98980  
SIM_REDSHIFT_HOST:   0.98479  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5939660263 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.336 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.496 -9.000 
SIM_DLMU:            44.0727   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0238   # mag 
SIM_RA:              70.800095     # deg  
SIM_DEC:             -43.170067      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0142   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60195.688    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -307.89  # days 
SIM_TRESTMAX:        239.40  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.56  27.78  26.71  26.11  25.76  25.82  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 151 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0480 z WFD  1.1243e-01  4.961e-02    0  1.000 43.500  2.51 1.401e+04  99.0000 
OBS: 59584.1515 u WFD  5.6935e-03  2.990e-02    0  1.000 41.190  2.66 9.455e+02  99.0000 
OBS: 59588.0377 Y WFD -1.2993e-02  1.423e-01    0  1.000 42.590  2.31 1.889e+04  99.0000 
OBS: 59591.0461 z WFD  2.6164e-02  3.178e-02    0  1.000 44.270  1.79 2.556e+04  99.0000 
OBS: 59597.0938 Y WFD  4.4996e-02  8.049e-02    0  1.000 42.600  1.73 1.439e+04  99.0000 
OBS: 59599.0421 z WFD  2.0274e-02  3.317e-02    0  1.000 44.280  1.98 2.435e+04  99.0000 
OBS: 59603.0482 Y WFD  2.4504e-02  5.729e-02    0  1.000 43.340  1.93 1.815e+04  99.0000 
OBS: 59612.1925 g WFD -1.1641e-02  6.340e-03    0  1.000 44.680  2.09 6.372e+03  99.0000 
OBS: 59622.0205 Y WFD -1.2965e-01  1.616e-01    0  1.000 42.620  2.04 2.496e+04  99.0000 
OBS: 59624.0382 z WFD -1.2203e-02  3.944e-02    0  1.000 44.270  2.34 2.427e+04  99.0000 
OBS: 59625.1341 Y WFD -1.7380e-02  8.018e-02    0  1.000 42.540  1.54 1.524e+04  99.0000 
OBS: 59634.0568 r WFD -1.3734e-02  8.073e-03    0  1.000 44.820  1.85 1.043e+04  99.0000 
OBS: 59649.0128 Y WFD  1.4521e-01  8.000e-02    0  1.000 42.570  1.79 1.345e+04  99.0000 
OBS: 59650.0046 Y WFD  3.1247e-02  9.512e-02    0  1.000 42.580  1.86 1.553e+04  99.0000 
OBS: 59653.0018 Y WFD  1.7203e-01  1.473e-01    0  1.000 42.580  2.72 1.644e+04  99.0000 
OBS: 59659.0609 i WFD  7.2675e-03  3.728e-02    0  1.000 43.820  2.13 1.665e+04  99.0000 
OBS: 59662.9961 z WFD -1.3863e-02  4.490e-02    0  1.000 44.260  2.33 2.750e+04  99.0000 
OBS: 59677.9790 Y WFD -2.3557e-01  1.291e-01    0  1.000 42.550  2.05 1.860e+04  99.0000 
OBS: 59682.9770 Y WFD -4.3918e-02  7.919e-02    0  1.000 42.550  1.34 1.746e+04  99.0000 
OBS: 59685.9730 Y WFD  1.3477e-01  1.167e-01    0  1.000 42.530  1.68 2.014e+04  99.0000 
OBS: 59805.3371 Y WFD -6.4340e-02  7.105e-02    0  1.000 43.260  1.85 2.182e+04  99.0000 
OBS: 59822.3039 i WFD  1.9295e-02  2.068e-02    0  1.000 44.550  2.53 1.524e+04  99.0000 
OBS: 59825.3588 r WFD  1.1200e-02  1.036e-02    0  1.000 44.810  2.40 1.022e+04  99.0000 
OBS: 59839.3414 r WFD  1.0828e-03  1.037e-02    0  1.000 44.890  1.68 1.574e+04  99.0000 
OBS: 59841.3087 g WFD  8.7707e-04  6.056e-03    0  1.000 45.580  2.77 1.052e+04  99.0000 
OBS: 59851.3024 u WFD  1.9121e-02  2.269e-02    0  1.000 41.230  2.04 9.708e+02  99.0000 
OBS: 59853.2712 r WFD -1.0922e-02  1.053e-02    0  1.000 44.800  2.39 1.033e+04  99.0000 
OBS: 59854.2666 r WFD -9.6788e-03  6.264e-03    0  1.000 44.810  1.43 1.037e+04  99.0000 
OBS: 59858.2371 z WFD  6.9733e-02  3.179e-02    0  1.000 44.250  1.94 2.316e+04  99.0000 
OBS: 59859.1909 Y WFD -3.5846e-02  7.122e-02    0  1.000 43.260  1.89 2.141e+04  99.0000 
OBS: 59862.2074 z WFD  2.1430e-03  3.134e-02    0  1.000 44.250  1.45 3.055e+04  99.0000 
OBS: 59869.2107 r WFD  1.2316e-02  5.823e-03    0  1.000 45.560  1.86 1.479e+04  99.0000 
OBS: 59870.3193 i WFD -1.3420e-03  7.836e-03    0  1.000 45.360  1.48 2.081e+04  99.0000 
OBS: 59874.2231 u WFD -1.6042e-02  1.858e-02    0  1.000 41.280  1.70 9.993e+02  99.0000 
