SURVEY:   LSST
SNID:     1166235
IAUC:     NULL
SNTYPE:   121
RA:       49.131392  # deg
DEC:      -2.917927  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0852 +- 0.0043  # MW E(B-V) 
PEAKMJD:  60674.547     # estimate for LC fit codes
MJD_TRIGGER:       60661.105  
MJD_DETECT_FIRST:  60659.125  
MJD_DETECT_LAST:   60669.055  

REDSHIFT_HELIO:   0.282624 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.281878 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8875112498  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.2826  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          49.131141    # deg 
HOSTGAL_DEC:         -2.917802    # deg 
HOSTGAL_SNSEP:       0.417       # arcsec 
HOSTGAL_DDLR:        1.288       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.895 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.637
HOSTGAL_SQRADIUS:     14.229   # Ixx + Iyy
HOSTGAL_MAG:     24.40  22.55  21.13  20.52  20.21  19.97 # ugrizY
HOSTGAL_MAGERR:   0.08   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  727   # template index for SIMSED,NONIa
SIM_LIBID:           13236    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.28262  
SIM_REDSHIFT_CMB:    0.28188  
SIM_REDSHIFT_HOST:   0.30186  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8875112498 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.426 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.895 -9.000 
SIM_DLMU:            40.8010   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0002   # mag 
SIM_RA:              49.131393     # deg  
SIM_DEC:             -2.917927      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0750   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60674.547    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0881  # spectro-search efficiency 
SIM_TRESTMIN:        -667.17  # days 
SIM_TRESTMAX:        -4.28  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.58  23.59  23.04  23.11  23.15  23.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 136 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59819.3114 u WFD -1.5522e-02  1.811e-02    0  1.000 42.250  2.40 1.685e+03  99.0000 
OBS: 59819.3550 g WFD  5.1567e-03  4.312e-03    0  1.000 45.560  2.02 1.008e+04  99.0000 
OBS: 59820.4022 i WFD  2.0369e-02  1.351e-02    0  1.000 44.580  1.74 1.488e+04  99.0000 
OBS: 59821.3402 r WFD -4.8023e-03  8.710e-03    0  1.000 45.570  2.62 1.585e+04  99.0000 
OBS: 59821.4096 z WFD  1.8868e-02  2.735e-02    0  1.000 44.250  1.91 2.024e+04  99.0000 
OBS: 59822.3634 i WFD -1.2199e-02  9.136e-03    0  1.000 46.080  2.34 2.978e+04  99.0000 
OBS: 59825.4116 Y WFD -1.6109e-01  8.220e-02    0  1.000 43.320  2.36 2.091e+04  99.0000 
OBS: 59827.3203 z WFD -1.3344e-02  3.177e-02    0  1.000 43.490  1.55 1.439e+04  99.0000 
OBS: 59832.3692 Y WFD -4.4137e-03  2.761e-02    0  1.000 45.070  1.66 5.004e+04  99.0000 
OBS: 59841.2821 g WFD  1.4738e-03  1.351e-02    0  1.000 44.040  3.16 4.981e+03  99.0000 
OBS: 59841.3924 z WFD  9.3272e-02  3.804e-02    0  1.000 43.500  1.81 1.489e+04  99.0000 
OBS: 59842.3954 z WFD -5.1854e-02  3.003e-02    0  1.000 44.250  1.88 2.258e+04  99.0000 
OBS: 59844.3650 r WFD  6.3443e-03  5.636e-03    0  1.000 45.580  1.74 1.559e+04  99.0000 
OBS: 59845.3063 r WFD -1.0773e-03  8.631e-03    0  1.000 44.820  1.87 1.103e+04  99.0000 
OBS: 59845.3881 z WFD  2.3396e-02  3.209e-02    0  1.000 43.490  1.54 1.463e+04  99.0000 
OBS: 59849.2351 r WFD  2.7838e-02  1.249e-02    0  1.000 44.800  2.62 1.118e+04  99.0000 
OBS: 59850.3926 z WFD -4.6147e-02  5.673e-02    0  1.000 43.500  2.18 1.844e+04  99.0000 
OBS: 59851.2261 u WFD  3.1455e-02  3.396e-02    0  1.000 41.090  2.65 9.835e+02  99.0000 
OBS: 59853.3858 z WFD -9.5019e-02  3.623e-02    0  1.000 43.490  1.60 1.590e+04  99.0000 
OBS: 59854.1969 Y WFD -3.4650e-02  5.535e-02    0  1.000 43.700  1.94 2.431e+04  99.0000 
OBS: 59854.3863 z WFD  3.4175e-02  4.353e-02    0  1.000 43.490  1.84 1.661e+04  99.0000 
OBS: 59857.2342 Y WFD -1.1588e-02  5.456e-02    0  1.000 43.300  1.64 1.961e+04  99.0000 
OBS: 59858.2477 z WFD  1.3985e-02  3.138e-02    0  1.000 44.260  1.92 2.332e+04  99.0000 
OBS: 59859.2790 Y WFD  1.2067e-02  8.916e-02    0  1.000 42.580  1.89 1.433e+04  99.0000 
OBS: 59859.3773 z WFD -9.2788e-03  2.718e-02    0  1.000 44.250  1.54 2.495e+04  99.0000 
OBS: 59860.2083 Y WFD -4.4072e-02  7.527e-02    0  1.000 43.290  1.90 2.314e+04  99.0000 
OBS: 59861.1978 Y WFD  8.2062e-02  1.138e-01    0  1.000 42.550  1.83 1.837e+04  99.0000 
OBS: 59867.3483 i WFD -2.2779e-02  3.136e-02    0  1.000 43.860  1.82 1.701e+04  99.0000 
OBS: 59868.2321 r WFD -6.5597e-04  8.153e-03    0  1.000 45.300  1.56 1.944e+04  99.0000 
OBS: 59869.2616 r WFD -1.4074e-02  9.936e-03    0  1.000 44.880  1.80 1.394e+04  99.0000 
OBS: 59872.2513 i WFD -5.1939e-03  1.001e-02    0  1.000 44.580  1.30 1.475e+04  99.0000 
OBS: 59878.1474 i WFD -1.3219e-03  8.739e-03    0  1.000 45.310  1.49 2.201e+04  99.0000 
OBS: 59879.1424 g WFD  4.3179e-03  5.587e-03    0  1.000 44.750  1.76 7.112e+03  99.0000 
OBS: 59883.1962 i WFD  1.5119e-03  1.053e-02    0  1.000 44.580  1.34 1.506e+04  99.0000 
OBS: 59885.1196 z WFD -2.0009e-02  2.556e-02    0  1.000 44.240  1.59 2.252e+04  99.0000 
OBS: 59886.1542 z WFD -1.8246e-02  2.323e-02    0  1.000 44.250  1.45 2.265e+04  99.0000 
OBS: 59905.1436 u WFD  5.8188e-02  2.834e-02    0  1.000 41.260  2.46 1.034e+03  99.0000 
OBS: 59913.0328 z WFD  5.4832e-02  3.408e-02    0  1.000 44.230  1.86 2.543e+04  99.0000 
