SURVEY:   LSST
SNID:     1166236
IAUC:     NULL
SNTYPE:   121
RA:       30.578358  # deg
DEC:      -7.144383  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0235 +- 0.0012  # MW E(B-V) 
PEAKMJD:  59775.262     # estimate for LC fit codes
MJD_TRIGGER:       59796.430  
MJD_DETECT_FIRST:  59793.406  
MJD_DETECT_LAST:   59974.031  

REDSHIFT_HELIO:   0.548859 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.547504 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9750528273  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5489  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          30.578254    # deg 
HOSTGAL_DEC:         -7.144229    # deg 
HOSTGAL_SNSEP:       0.311       # arcsec 
HOSTGAL_DDLR:        1.139       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.698 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.100
HOSTGAL_SQRADIUS:     11.245   # Ixx + Iyy
HOSTGAL_MAG:     26.30  24.67  23.24  22.34  22.01  21.78 # ugrizY
HOSTGAL_MAGERR:   0.63   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  727   # template index for SIMSED,NONIa
SIM_LIBID:           13237    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.54886  
SIM_REDSHIFT_CMB:    0.54750  
SIM_REDSHIFT_HOST:   0.53954  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9750528273 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.899 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.698 -9.000 
SIM_DLMU:            42.5002   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0126   # mag 
SIM_RA:              30.578358     # deg  
SIM_DEC:             -7.144383      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0239   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59775.262    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        11.71  # days 
SIM_TRESTMAX:        579.53  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.71  25.46  24.71  24.42  24.37  24.62  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59793.4058 i WFD  9.7690e+00  1.479e-02 4096  1.000 44.580  1.93 1.464e+04  25.0265 
OBS: 59796.4300 Y WFD  1.3915e+01  6.115e-02 6144  1.000 44.090  2.41 3.094e+04  24.6415 
OBS: 59797.3926 g WFD  7.4550e-01  7.028e-03 4096  1.000 44.840  2.35 7.273e+03  27.8257 
OBS: 59799.3325 z WFD  1.3922e+01  3.455e-02 4096  1.000 44.250  2.21 2.208e+04  24.6422 
OBS: 59800.4014 Y WFD  1.1765e+01  7.059e-02 4096  1.000 42.570  1.64 1.294e+04  24.8228 
OBS: 59801.3259 z WFD  1.2751e+01  4.494e-02 4096  1.000 43.510  1.78 1.803e+04  24.7318 
OBS: 59801.3995 Y WFD  1.1447e+01  7.337e-02 4096  1.000 42.580  1.62 1.374e+04  24.8498 
OBS: 59803.4283 Y WFD  1.0803e+01  6.812e-02 4096  1.000 43.350  1.60 2.626e+04  24.9114 
OBS: 59810.4302 Y WFD  8.3996e+00  1.178e-01 4096  1.000 42.580  1.44 2.484e+04  25.1945 
OBS: 59811.3043 i WFD  4.2211e+00  1.468e-02 4096  1.000 44.580  1.73 1.624e+04  25.9339 
OBS: 59812.3195 g WFD  4.2010e-01  7.162e-03 4096  1.000 44.840  2.25 7.744e+03  28.4347 
OBS: 59818.2784 u WFD  2.8104e-01  2.237e-02 4096  1.000 41.220  1.87 1.034e+03  29.0667 
OBS: 59819.2466 u WFD  1.6551e-01  3.083e-02 4096  1.000 41.030  2.32 9.645e+02  29.0950 
OBS: 59819.4181 z WFD  6.4990e+00  4.321e-02 4096  1.000 43.500  1.77 1.729e+04  25.4730 
OBS: 59822.3432 i WFD  3.2214e+00  1.935e-02 4096  1.000 44.580  2.53 1.465e+04  26.2335 
OBS: 59826.2423 z WFD  5.4341e+00  3.156e-02 4096  1.000 44.240  2.13 2.075e+04  25.6567 
OBS: 59826.4089 Y WFD  5.4917e+00  7.424e-02 4096  1.000 43.300  2.11 2.073e+04  25.6457 
OBS: 59827.2275 z WFD  5.3273e+00  2.165e-02 4096  1.000 44.990  1.89 3.199e+04  25.6817 
OBS: 59831.2232 Y WFD  5.0915e+00  7.080e-02 4096  1.000 43.290  1.76 2.349e+04  25.7177 
OBS: 59842.4012 z WFD  4.2856e+00  6.242e-02 4096  1.000 43.490  2.06 2.127e+04  25.9525 
OBS: 59844.3309 r WFD  1.3203e+00  4.626e-03 4096  1.000 46.030  1.74 1.934e+04  27.1964 
OBS: 59849.1754 r WFD  1.1445e+00  1.194e-02 4096  1.000 44.810  2.49 1.135e+04  27.3450 
OBS: 59850.1895 i WFD  2.3082e+00  1.198e-02 4096  1.000 45.330  2.15 2.128e+04  26.5849 
OBS: 59851.1840 u WFD  1.3685e-01  2.965e-02    0  1.000 41.190  2.45 1.018e+03  30.3773 
OBS: 59856.1619 i WFD  2.3450e+00  1.266e-02 4096  1.000 45.340  1.84 2.654e+04  26.5725 
OBS: 59859.2737 Y WFD  3.7141e+00  8.715e-02 4096  1.000 42.580  1.76 1.503e+04  26.1123 
OBS: 59860.2459 Y WFD  3.3851e+00  8.877e-02 4096  1.000 42.590  1.58 1.722e+04  26.1283 
OBS: 59868.3079 r WFD  1.0595e+00  8.977e-03 4096  1.000 45.620  1.68 2.667e+04  27.4528 
OBS: 59869.2536 r WFD  1.0839e+00  1.015e-02 4096  1.000 44.870  1.89 1.343e+04  27.4235 
OBS: 59871.1030 r WFD  1.1088e+00  6.110e-03 4096  1.000 45.550  1.74 1.642e+04  27.3921 
OBS: 59875.1798 u WFD  5.3571e-02  2.866e-02    0  1.000 41.250  2.48 1.028e+03  30.6425 
OBS: 59876.1029 u WFD  3.1750e-02  2.552e-02    0  1.000 41.130  2.04 9.961e+02  30.6223 
OBS: 59885.0575 Y WFD  2.8301e+00  8.144e-02 4096  1.000 42.520  1.62 1.444e+04  26.3805 
OBS: 59885.2379 z WFD  2.5141e+00  2.858e-02 4096  1.000 44.260  1.92 2.123e+04  26.4899 
