SURVEY:   LSST
SNID:     1167134
IAUC:     NULL
SNTYPE:   121
RA:       286.908451  # deg
DEC:      -22.267514  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1316 +- 0.0066  # MW E(B-V) 
PEAKMJD:  60111.375     # estimate for LC fit codes
MJD_TRIGGER:       60037.363  
MJD_DETECT_FIRST:  60037.332  
MJD_DETECT_LAST:   60178.992  

REDSHIFT_HELIO:   1.226560 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.225465 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8066212428  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2266  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          286.908452    # deg 
HOSTGAL_DEC:         -22.267518    # deg 
HOSTGAL_SNSEP:       0.012       # arcsec 
HOSTGAL_DDLR:        0.071       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.918 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.906
HOSTGAL_SQRADIUS:     17.411   # Ixx + Iyy
HOSTGAL_MAG:     30.81  28.75  27.39  26.26  25.45  24.78 # ugrizY
HOSTGAL_MAGERR:  26.62   0.48   0.19   0.15   0.12   0.17 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  716   # template index for SIMSED,NONIa
SIM_LIBID:           14135    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.22656  
SIM_REDSHIFT_CMB:    1.22546  
SIM_REDSHIFT_HOST:   1.27765  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8066212428 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.439 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.918 -9.000 
SIM_DLMU:            44.6475   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0320   # mag 
SIM_RA:              286.908447     # deg  
SIM_DEC:             -22.267513      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1310   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60111.375    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -187.88  # days 
SIM_TRESTMAX:        224.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.12  30.83  28.84  27.13  26.64  26.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59693.2660 i WFD  9.8500e-03  2.012e-02    0  1.000 44.580  2.03 1.899e+04  99.0000 
OBS: 59696.3241 i WFD -1.5700e-02  1.365e-02    0  1.000 44.590  1.76 1.499e+04  99.0000 
OBS: 59698.4246 z WFD -1.2302e-01  7.610e-02    0  1.000 43.530  3.09 1.794e+04  99.0000 
OBS: 59700.2656 u WFD -2.8975e-02  2.089e-02    0  1.000 41.190  1.67 1.053e+03  99.0000 
OBS: 59710.2244 i WFD -3.6983e-03  2.053e-02    0  1.000 44.580  1.99 1.977e+04  99.0000 
OBS: 59711.2169 Y WFD -1.0448e-02  5.909e-02    0  1.000 44.020  2.33 2.901e+04  99.0000 
OBS: 59715.2801 Y WFD  6.0066e-02  4.533e-02    0  1.000 44.100  1.68 3.323e+04  99.0000 
OBS: 59749.1248 z WFD -1.2820e-02  3.778e-02    0  1.000 44.240  2.24 2.363e+04  99.0000 
OBS: 59750.3347 r WFD  2.5336e-02  1.325e-02    0  1.000 44.900  1.84 1.852e+04  99.0000 
OBS: 59753.1857 g WFD -3.4283e-03  6.510e-03    0  1.000 44.870  2.12 7.684e+03  99.0000 
OBS: 59768.0648 Y WFD  8.9537e-02  7.993e-02    0  1.000 43.260  2.23 2.036e+04  99.0000 
OBS: 59769.1744 z WFD  2.7747e-02  2.118e-02    0  1.000 44.270  1.40 2.179e+04  99.0000 
OBS: 59776.2539 z WFD  4.1834e-03  3.550e-02    0  1.000 45.020  2.54 4.016e+04  99.0000 
OBS: 59778.1264 r WFD  1.6537e-02  1.296e-02    0  1.000 44.910  1.98 1.700e+04  99.0000 
OBS: 59792.9963 r WFD  6.9186e-03  1.307e-02    0  1.000 44.790  2.49 1.221e+04  99.0000 
OBS: 59803.0109 Y WFD  5.5604e-04  3.986e-02    0  1.000 44.690  1.70 4.971e+04  99.0000 
OBS: 59804.0854 z WFD -1.5992e-02  2.968e-02    0  1.000 44.290  1.44 3.024e+04  99.0000 
OBS: 59804.9828 z WFD -3.6719e-02  3.619e-02    0  1.000 44.240  2.37 2.139e+04  99.0000 
OBS: 59805.0936 i WFD -5.0188e-02  3.243e-02    0  1.000 43.900  1.76 1.887e+04  99.0000 
OBS: 59819.0602 u WFD  5.1896e-03  1.935e-02    0  1.000 41.390  1.80 1.088e+03  99.0000 
OBS: 59845.0225 r WFD -1.1332e-02  1.091e-02    0  1.000 44.870  2.33 1.172e+04  99.0000 
OBS: 59864.0616 i WFD -6.4151e-03  3.420e-02    0  1.000 43.850  1.92 1.742e+04  99.0000 
OBS: 59868.0295 r WFD  1.8865e-03  8.458e-03    0  1.000 44.840  1.62 1.271e+04  99.0000 
OBS: 59879.0455 g WFD -2.7367e-04  1.328e-02    0  1.000 43.990  2.35 6.287e+03  99.0000 
OBS: 60017.4009 z WFD -1.4577e-01  4.897e-02    0  1.000 43.500  1.76 1.971e+04  99.0000 
OBS: 60023.4048 z WFD  4.8625e-02  2.113e-02    0  1.000 44.250  1.25 2.390e+04  30.7196 
OBS: 60026.4110 z WFD  1.4062e-01  3.649e-02    0  1.000 43.530  1.25 2.126e+04  29.8595 
OBS: 60027.3904 u WFD -1.9113e-02  2.283e-02    0  1.000 41.310  1.84 1.167e+03  34.2909 
OBS: 60037.3329 Y WFD  5.0116e-01  9.183e-02 4096  1.000 42.510  1.80 1.452e+04  28.2110 
OBS: 60037.3632 i WFD  4.1319e-01  1.374e-02 6144  1.000 45.340  2.12 2.501e+04  28.4941 
OBS: 60038.3244 Y WFD  4.1404e-01  1.068e-01    0  1.000 42.520  1.99 1.542e+04  28.1263 
OBS: 60038.4109 z WFD  5.3998e-01  3.877e-02 4096  1.000 43.510  1.80 1.540e+04  28.1887 
OBS: 60040.3485 Y WFD  6.5851e-01  6.056e-02 4096  1.000 43.750  2.03 2.661e+04  27.9773 
OBS: 60043.4093 z WFD  7.3924e-01  4.632e-02 4096  1.000 44.290  2.09 3.251e+04  27.8367 
OBS: 60052.3016 i WFD  7.8032e-01  1.271e-02 4096  1.000 44.570  1.51 1.598e+04  27.7456 
OBS: 60055.3346 g WFD  4.4175e-02  4.980e-03 4096  1.000 44.840  1.56 7.770e+03  31.1743 
OBS: 60056.2979 i WFD  8.1460e-01  1.348e-02 4096  1.000 44.560  1.59 1.594e+04  27.7595 
OBS: 60057.2775 g WFD  2.6017e-02  7.667e-03    0  1.000 44.730  2.20 7.665e+03  31.1608 
OBS: 60060.3791 r WFD  2.6508e-01  5.872e-03 4096  1.000 45.310  1.55 1.421e+04  28.9366 
OBS: 60062.3711 r WFD  2.3029e-01  1.006e-02 4096  1.000 44.870  2.18 1.155e+04  28.9984 
OBS: 60067.3179 z WFD  8.7340e-01  3.256e-02 4096  1.000 44.260  1.96 2.370e+04  27.7171 
OBS: 60077.3569 r WFD  1.9213e-01  6.292e-03 4096  1.000 45.660  1.56 2.089e+04  29.2848 
OBS: 60078.2269 g WFD  3.7865e-02  7.251e-03    0  1.000 44.750  2.20 7.384e+03  31.4180 
OBS: 60080.3203 u WFD -1.4446e-02  2.172e-02    0  1.000 41.370  1.99 1.085e+03  32.7494 
OBS: 60087.2035 u WFD -1.8598e-02  1.767e-02    0  1.000 41.870  1.95 1.426e+03  32.4894 
OBS: 60095.1842 Y WFD  2.1705e+00  4.280e-02 4096  1.000 43.730  1.51 2.482e+04  26.6343 
OBS: 60111.1219 r WFD  2.9780e-01  6.104e-03 4096  1.000 45.530  1.66 1.690e+04  28.8382 
OBS: 60122.1220 r WFD  2.3741e-01  1.104e-02 4096  1.000 44.870  1.62 1.706e+04  29.0065 
OBS: 60123.1116 z WFD  1.7403e+00  2.567e-02 4096  1.000 44.250  1.59 2.282e+04  26.8896 
OBS: 60131.2815 z WFD  1.3865e+00  1.905e-02 4096  1.000 45.470  1.63 5.081e+04  27.1489 
OBS: 60132.2813 i WFD  7.6057e-01  2.229e-02 4096  1.000 44.630  1.80 2.484e+04  27.7642 
OBS: 60134.0728 i WFD  7.3989e-01  1.886e-02 4096  1.000 44.560  2.22 1.598e+04  27.8447 
OBS: 60138.0731 i WFD  6.2209e-01  2.135e-02 4096  1.000 44.570  2.57 1.577e+04  28.0369 
OBS: 60149.0275 r WFD  1.1689e-01  9.604e-03 4096  1.000 44.810  1.74 1.307e+04  29.8132 
OBS: 60153.0900 Y WFD  9.9222e-01  7.783e-02 4096  1.000 42.580  1.71 1.382e+04  27.7229 
OBS: 60159.0721 Y WFD  5.5321e-01  4.063e-02 4096  1.000 44.680  2.04 4.184e+04  28.0088 
OBS: 60160.9730 z WFD  3.3964e-01  5.973e-02 4096  1.000 43.470  2.52 1.634e+04  28.6471 
OBS: 60161.1092 r WFD  8.8439e-02  2.397e-02    0  1.000 44.190  2.19 1.464e+04  30.3289 
OBS: 60163.9759 z WFD  3.1351e-01  5.652e-02 4096  1.000 43.480  2.47 1.592e+04  28.8133 
OBS: 60167.9970 i WFD  1.5355e-01  1.352e-02 4096  1.000 44.570  1.66 1.546e+04  29.5170 
OBS: 60176.9772 z WFD  1.9318e-01  3.797e-02    0  1.000 44.250  2.03 2.644e+04  29.2593 
OBS: 60178.9917 z WFD  2.2254e-01  2.252e-02 4096  1.000 44.250  1.56 2.041e+04  29.3088 
OBS: 60197.0147 i WFD  4.3744e-02  1.204e-02    0  1.000 45.360  2.29 2.066e+04  30.9669 
OBS: 60200.0922 u WFD  3.8957e-02  2.404e-02    0  1.000 41.310  2.09 1.081e+03  34.4435 
OBS: 60382.3969 z WFD -1.3988e-02  6.098e-02    0  1.000 43.490  2.65 1.616e+04  33.6007 
OBS: 60386.3895 i WFD  3.2098e-03  2.125e-02    0  1.000 43.820  1.66 1.218e+04  35.4091 
OBS: 60389.4125 z WFD  6.2570e-02  5.128e-02    0  1.000 44.280  1.95 3.822e+04  33.7080 
OBS: 60392.3493 Y WFD  1.0361e-01  8.989e-02    0  1.000 43.270  2.40 2.147e+04  32.4066 
OBS: 60394.3614 Y WFD  3.7578e-02  7.699e-02    0  1.000 43.290  2.02 2.226e+04  32.4404 
OBS: 60413.3286 r WFD -1.8771e-03  5.135e-03    0  1.000 45.830  1.62 1.920e+04  37.0681 
OBS: 60414.3450 r WFD  1.4090e-05  5.101e-03    0  1.000 45.600  1.47 1.701e+04  37.0886 
OBS: 60423.2778 Y WFD  7.8085e-02  9.729e-02    0  1.000 43.280  2.49 2.261e+04  32.9271 
OBS: 60432.4238 Y WFD -2.2896e-02  5.677e-02    0  1.000 43.360  1.63 2.169e+04  33.0810 
OBS: 60434.3166 g WFD  3.2918e-04  4.877e-03    0  1.000 44.860  1.56 7.751e+03  38.1408 
OBS: 60436.2451 u WFD  6.5672e-03  1.831e-02    0  1.000 42.610  2.82 2.021e+03  38.8238 
OBS: 60443.2659 g WFD -1.9930e-03  6.351e-03    0  1.000 44.830  2.05 7.472e+03  38.3285 
OBS: 60444.2318 r WFD  5.1001e-03  1.446e-02    0  1.000 44.800  2.89 1.174e+04  37.6903 
OBS: 60461.1975 g WFD -1.3216e-03  9.372e-03    0  1.000 44.060  2.12 5.246e+03  38.7045 
OBS: 60462.2461 r WFD  2.3103e-03  1.216e-02    0  1.000 44.840  2.63 1.125e+04  38.0530 
OBS: 60464.2073 r WFD  6.2436e-03  8.490e-03    0  1.000 44.840  1.80 1.148e+04  38.0925 
OBS: 60466.2161 u WFD -4.4833e-02  3.648e-02    0  1.000 41.240  3.10 1.037e+03  39.4287 
OBS: 60486.2859 Y WFD -1.9470e-02  3.886e-02    0  1.000 44.540  1.86 3.858e+04  33.9874 
OBS: 60490.1341 r WFD  2.5230e-02  1.062e-02    0  1.000 44.840  2.18 1.186e+04  38.6144 
OBS: 60496.0974 r WFD  1.2455e-02  8.108e-03    0  1.000 44.820  1.63 1.189e+04  38.7345 
OBS: 60497.1183 i WFD  1.1832e-02  1.042e-02    0  1.000 45.340  1.86 2.160e+04  36.9268 
OBS: 60498.0739 i WFD  4.2947e-03  2.144e-02    0  1.000 44.560  2.52 1.600e+04  36.9399 
OBS: 60499.1248 u WFD  1.7304e-02  2.656e-02    0  1.000 41.290  2.28 1.075e+03  40.0930 
OBS: 60500.0689 i WFD -2.4829e-03  1.532e-02    0  1.000 44.560  1.80 1.600e+04  36.9673 
OBS: 60501.0566 r WFD -4.4040e-03  1.107e-02    0  1.000 44.780  2.10 1.215e+04  38.8344 
OBS: 60505.0606 r WFD  2.0170e-02  1.498e-02    0  1.000 44.830  2.26 1.599e+04  38.9150 
OBS: 60506.0476 Y WFD -1.1023e-01  8.402e-02    0  1.000 43.260  2.36 2.022e+04  34.3200 
OBS: 60507.2256 z WFD  1.7353e-02  3.202e-02    0  1.000 45.020  2.93 3.140e+04  35.5105 
OBS: 60514.1314 z WFD -3.2674e-02  2.454e-02    0  1.000 45.470  1.88 5.677e+04  35.6161 
OBS: 60524.0409 u WFD  2.2835e-02  1.896e-02    0  1.000 41.960  2.22 1.461e+03  40.5959 
OBS: 60526.1520 i WFD  2.2679e-03  2.180e-02    0  1.000 44.600  2.91 1.462e+04  37.3248 
OBS: 60528.9962 g WFD  5.7800e-03  6.553e-03    0  1.000 44.760  2.00 7.409e+03  40.1264 
OBS: 60529.9728 z WFD -4.0287e-02  4.184e-02    0  1.000 44.240  1.92 3.053e+04  35.8585 
OBS: 60533.9749 Y WFD  9.6227e-03  5.244e-02    0  1.000 43.730  1.63 2.817e+04  34.7900 
OBS: 60541.9987 z WFD -5.0572e-02  3.206e-02    0  1.000 45.030  1.94 4.792e+04  36.0425 
OBS: 60542.9831 z WFD -1.6764e-02  3.277e-02    0  1.000 44.270  1.88 2.510e+04  36.0576 
OBS: 60544.1445 i WFD  1.7378e-03  9.668e-03    0  1.000 46.130  1.59 4.857e+04  37.5714 
OBS: 60555.9865 z WFD  2.4419e-02  3.473e-02    0  1.000 43.500  1.76 1.398e+04  36.2565 
OBS: 60556.9837 z WFD  3.0486e-02  2.769e-02    0  1.000 43.510  1.37 1.445e+04  36.2718 
OBS: 60556.9968 u WFD -2.1248e-03  1.661e-02    0  1.000 41.430  1.55 1.126e+03  41.2611 
OBS: 60581.0860 r WFD  1.0366e-02  1.159e-02    0  1.000 44.820  2.30 1.204e+04  40.4456 
OBS: 60585.0345 u WFD -1.3211e-02  1.893e-02    0  1.000 41.350  1.65 1.119e+03  41.8271 
OBS: 60597.0573 Y WFD -2.6689e-03  1.446e-01    0  1.000 42.540  2.72 1.556e+04  35.8516 
OBS: 60610.0484 g WFD  1.0380e-02  9.214e-03    0  1.000 44.000  1.64 6.309e+03  41.8262 
END_PHOTOMETRY: 

