SURVEY:   LSST
SNID:     1169172
IAUC:     NULL
SNTYPE:   121
RA:       36.206247  # deg
DEC:      -41.924919  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0139 +- 0.0007  # MW E(B-V) 
PEAKMJD:  59986.605     # estimate for LC fit codes
MJD_TRIGGER:       59945.051  
MJD_DETECT_FIRST:  59943.117  
MJD_DETECT_LAST:   59993.020  

REDSHIFT_HELIO:   1.562955 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.561657 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  733   # template index for SIMSED,NONIa
SIM_LIBID:           16173    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.49559  
SIM_REDSHIFT_CMB:    1.49433  
SIM_REDSHIFT_HOST:   1.56296  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10507391998 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.864 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.586 -9.000 
SIM_DLMU:            45.1800   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0171   # mag 
SIM_RA:              36.206245     # deg  
SIM_DEC:             -41.924919      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0139   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59986.605    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -74.67  # days 
SIM_TRESTMAX:        272.00  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.22  30.55  30.44  28.21  27.95  27.23  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59800.3630 Y WFD  3.7606e-03  3.376e-02    0  1.000 44.090  1.57 2.624e+04  99.0000 
OBS: 59801.3274 z WFD  4.4543e-02  3.057e-02    0  1.000 44.270  1.77 2.487e+04  99.0000 
OBS: 59802.3518 Y WFD  4.9571e-02  4.412e-02    0  1.000 44.090  1.82 2.958e+04  99.0000 
OBS: 59803.2876 Y WFD -1.1347e-01  6.740e-02    0  1.000 43.300  1.74 2.283e+04  99.0000 
OBS: 59804.3860 z WFD -8.1862e-03  1.730e-02    0  1.000 45.280  1.38 4.577e+04  99.0000 
OBS: 59805.2485 Y WFD -2.3328e-02  7.094e-02    0  1.000 43.270  1.75 2.324e+04  99.0000 
OBS: 59806.3162 z WFD -1.8823e-02  2.277e-02    0  1.000 45.020  1.77 3.697e+04  99.0000 
OBS: 59807.4094 i WFD -3.4319e-02  2.215e-02    0  1.000 44.640  1.95 2.300e+04  99.0000 
OBS: 59809.3412 r WFD -1.3872e-02  7.389e-03    0  1.000 45.670  1.54 2.509e+04  99.0000 
OBS: 59810.3304 i WFD  2.7327e-02  1.439e-02    0  1.000 44.600  1.76 1.596e+04  99.0000 
OBS: 59812.4056 g WFD -2.3779e-03  1.017e-02    0  1.000 44.140  2.34 5.553e+03  99.0000 
OBS: 59819.2722 u WFD -4.5273e-02  3.043e-02    0  1.000 41.210  2.66 9.803e+02  99.0000 
OBS: 59821.2227 r WFD -5.5875e-03  9.663e-03    0  1.000 44.780  2.08 1.070e+04  99.0000 
OBS: 59823.2351 g WFD  1.0379e-02  8.777e-03    0  1.000 44.740  3.05 6.388e+03  99.0000 
OBS: 59837.3574 i WFD  1.6102e-02  1.817e-02    0  1.000 44.630  1.78 2.049e+04  99.0000 
OBS: 59840.1686 g WFD  6.0635e-04  4.464e-03    0  1.000 45.460  2.10 9.158e+03  99.0000 
OBS: 59843.2043 i WFD  3.4972e-03  9.361e-03    0  1.000 45.330  1.76 2.033e+04  99.0000 
OBS: 59851.1579 u WFD -1.3668e-02  2.505e-02    0  1.000 41.880  2.92 1.363e+03  99.0000 
OBS: 59853.2375 r WFD  9.7218e-03  8.089e-03    0  1.000 44.830  1.91 1.021e+04  99.0000 
OBS: 59862.2421 z WFD -1.9907e-03  1.834e-02    0  1.000 45.050  1.22 4.441e+04  99.0000 
OBS: 59866.1000 i WFD  2.8260e-02  1.840e-02    0  1.000 44.560  2.26 1.531e+04  99.0000 
OBS: 59867.2985 r WFD -2.7685e-03  1.421e-02    0  1.000 44.910  1.89 1.952e+04  99.0000 
OBS: 59869.1646 r WFD  9.1427e-03  5.676e-03    0  1.000 44.830  1.33 1.029e+04  99.0000 
OBS: 59874.1242 u WFD  2.8147e-02  1.374e-02    0  1.000 42.030  1.75 1.433e+03  99.0000 
OBS: 59886.0242 z WFD  2.2218e-02  2.763e-02    0  1.000 44.230  1.55 2.474e+04  99.0000 
OBS: 59887.2196 i WFD -6.5559e-03  1.585e-02    0  1.000 44.630  1.36 2.338e+04  99.0000 
OBS: 59906.1076 u WFD -7.3272e-03  2.019e-02    0  1.000 41.320  1.91 1.002e+03  99.0000 
OBS: 59908.0389 z WFD -2.6998e-02  4.292e-02    0  1.000 43.500  2.22 1.370e+04  99.0000 
OBS: 59914.1090 r WFD  1.5304e-02  1.183e-02    0  1.000 44.920  1.84 1.684e+04  99.0000 
OBS: 59916.2153 i WFD  7.4393e-03  1.941e-02    0  1.000 44.610  1.64 2.331e+04  99.0000 
OBS: 59920.1001 Y WFD  8.5583e-03  5.472e-02    0  1.000 43.350  1.62 2.085e+04  99.0000 
OBS: 59923.1565 i WFD  4.6597e-02  2.798e-02    0  1.000 43.880  1.57 1.792e+04  99.0000 
OBS: 59929.0472 Y WFD -2.1500e-02  4.993e-02    0  1.000 43.340  1.69 1.807e+04  99.0000 
OBS: 59935.0413 z WFD -2.2870e-02  2.470e-02    0  1.000 43.520  1.19 1.498e+04  99.0000 
OBS: 59943.1170 r WFD  5.2553e-01  1.225e-02 4096  1.000 44.880  1.91 1.619e+04  28.1819 
OBS: 59945.0510 Y WFD  7.2230e-01  8.169e-02 6144  1.000 42.600  1.85 1.366e+04  27.7204 
OBS: 59958.1303 g WFD  6.8354e-02  7.138e-03 4096  1.000 44.720  2.34 6.647e+03  30.6258 
OBS: 59968.0778 u WFD  3.9155e-02  2.810e-02    0  1.000 41.090  2.25 9.582e+02  31.1994 
OBS: 59978.0800 Y WFD  1.3111e+00  7.401e-02 4096  1.000 42.520  1.41 1.508e+04  27.2290 
OBS: 59986.0218 Y WFD  1.2743e+00  1.464e-01 4096  1.000 42.580  1.70 2.614e+04  27.2364 
OBS: 59993.0213 z WFD  6.3618e-01  4.510e-02 4096  1.000 43.500  1.60 1.997e+04  28.0970 
OBS: 60111.4404 z WFD -3.3632e-03  4.787e-02    0  1.000 43.500  1.76 1.927e+04  31.5263 
OBS: 60122.4457 Y WFD  3.3105e-02  1.374e-01    0  1.000 42.600  1.83 2.323e+04  30.0347 
OBS: 60123.3926 i WFD  1.3091e-02  1.571e-02    0  1.000 44.550  1.93 1.517e+04  33.7644 
OBS: 60130.3572 z WFD  3.8989e-02  4.684e-02    0  1.000 44.250  2.35 2.818e+04  32.1774 
OBS: 60131.4232 z WFD -1.5158e-02  3.225e-02    0  1.000 44.270  1.88 2.470e+04  32.2175 
OBS: 60138.3448 i WFD  7.2856e-03  1.966e-02    0  1.000 44.550  2.39 1.533e+04  34.3803 
OBS: 60143.3421 r WFD  1.9859e-03  9.005e-03    0  1.000 44.780  1.94 1.069e+04  35.8021 
OBS: 60145.3780 g WFD  3.7978e-03  3.781e-03    0  1.000 45.550  1.95 9.076e+03  35.9451 
OBS: 60147.4014 r WFD  1.3250e-03  8.299e-03    0  1.000 44.830  1.94 1.032e+04  35.7051 
OBS: 60162.2870 Y WFD  1.0403e-01  3.171e-02    0  1.000 44.790  1.77 4.164e+04  30.2539 
OBS: 60162.3766 i WFD -5.2197e-03  1.777e-02    0  1.000 44.630  1.66 2.147e+04  34.2658 
OBS: 60162.4237 z WFD -4.3886e-02  3.452e-02    0  1.000 43.520  1.57 1.587e+04  32.3548 
OBS: 60164.3699 r WFD -1.1190e-02  1.546e-02    0  1.000 44.900  2.62 1.518e+04  35.6099 
OBS: 60175.2613 r WFD  4.8566e-03  8.484e-03    0  1.000 44.800  1.87 1.064e+04  35.6198 
OBS: 60179.3969 i WFD -8.3340e-03  1.371e-02    0  1.000 44.590  1.91 1.388e+04  34.3848 
OBS: 60180.2617 i WFD -1.3989e-02  1.648e-02    0  1.000 44.570  2.14 1.462e+04  34.3906 
OBS: 60183.2244 Y WFD  2.0259e-01  1.184e-01    0  1.000 42.510  2.36 1.428e+04  30.3240 
OBS: 60184.2087 Y WFD  7.4168e-02  1.276e-01    0  1.000 42.520  2.44 1.503e+04  30.3260 
OBS: 60185.2272 z WFD  7.2639e-02  4.599e-02    0  1.000 44.250  2.38 2.732e+04  32.4796 
OBS: 60193.3105 i WFD -8.9102e-03  1.656e-02    0  1.000 44.610  1.98 1.647e+04  34.4757 
OBS: 60196.1956 g WFD  5.8158e-03  7.981e-03    0  1.000 44.710  2.69 6.407e+03  36.0599 
OBS: 60200.1858 u WFD  9.6687e-02  3.288e-02    0  1.000 41.070  2.61 9.487e+02  36.4794 
OBS: 60201.2175 i WFD -2.7697e-03  1.370e-02    0  1.000 44.580  1.81 1.450e+04  34.5338 
OBS: 60204.1697 i WFD  4.9699e-03  1.281e-02    0  1.000 44.560  1.59 1.516e+04  34.5534 
OBS: 60212.1564 Y WFD  1.0409e-01  8.762e-02    0  1.000 42.530  1.79 1.420e+04  30.3829 
OBS: 60216.2863 z WFD -2.3932e-02  3.495e-02    0  1.000 44.290  1.66 3.088e+04  32.6556 
OBS: 60221.2219 r WFD  6.2481e-03  7.361e-03    0  1.000 46.110  1.81 3.189e+04  35.8383 
OBS: 60241.0669 z WFD  1.9216e-02  3.379e-02    0  1.000 44.240  1.97 2.403e+04  32.7925 
OBS: 60242.0628 Y WFD  4.8291e-02  1.002e-01    0  1.000 42.520  1.92 1.499e+04  30.6861 
OBS: 60246.0427 Y WFD -6.6193e-02  9.784e-02    0  1.000 42.520  1.63 1.725e+04  30.7233 
OBS: 60260.1031 u WFD -4.6356e-02  3.606e-02    0  1.000 41.170  3.16 9.424e+02  37.0337 
OBS: 60260.1415 g WFD  1.1748e-02  8.191e-03    0  1.000 44.820  3.09 6.334e+03  36.5341 
OBS: 60261.0540 u WFD  2.4285e-02  2.586e-02    0  1.000 41.160  2.18 9.708e+02  37.0405 
OBS: 60264.0625 u WFD  2.6166e-02  2.486e-02    0  1.000 41.240  2.22 9.866e+02  37.0591 
OBS: 60265.0777 r WFD  4.1654e-03  9.240e-03    0  1.000 44.840  2.16 1.041e+04  36.0546 
OBS: 60279.1347 r WFD -1.1577e-02  1.107e-02    0  1.000 44.930  1.75 1.673e+04  36.0646 
OBS: 60279.2289 i WFD -1.3608e-02  1.706e-02    0  1.000 45.350  2.15 3.090e+04  34.8809 
OBS: 60282.0734 g WFD  1.0319e-02  5.492e-03    0  1.000 44.830  2.09 6.337e+03  36.4921 
OBS: 60294.0806 u WFD -7.5154e-03  1.686e-02    0  1.000 41.360  1.61 1.031e+03  36.6219 
OBS: 60302.1041 Y WFD -1.1712e-01  9.533e-02    0  1.000 42.580  2.09 1.385e+04  31.1280 
OBS: 60313.0470 z WFD  2.0069e-02  2.836e-02    0  1.000 44.270  1.72 2.375e+04  32.9364 
OBS: 60331.0541 Y WFD -5.8796e-02  7.030e-02    0  1.000 43.330  2.17 1.963e+04  31.3618 
OBS: 60338.0962 i WFD -2.6376e-02  3.924e-02    0  1.000 43.830  2.35 1.604e+04  34.7138 
OBS: 60349.0360 z WFD  2.6196e-02  2.420e-02    0  1.000 44.690  1.90 2.700e+04  33.0849 
OBS: 60356.0323 Y WFD  6.1893e-02  9.270e-02    0  1.000 42.530  1.87 1.438e+04  31.5589 
OBS: 60468.4344 z WFD  7.1477e-02  4.997e-02    0  1.000 43.480  2.04 1.704e+04  33.6244 
OBS: 60483.3942 Y WFD  6.0604e-02  8.744e-02    0  1.000 42.520  1.59 1.580e+04  32.4849 
OBS: 60486.4258 Y WFD  6.0291e-02  9.558e-02    0  1.000 42.560  1.98 1.439e+04  32.5060 
OBS: 60494.3617 r WFD -3.3494e-03  9.748e-03    0  1.000 44.760  2.01 1.097e+04  36.1909 
OBS: 60495.3924 i WFD  2.8944e-02  1.586e-02    0  1.000 44.570  2.03 1.483e+04  35.1049 
OBS: 60496.3775 r WFD -4.2524e-03  5.545e-03    0  1.000 45.550  1.69 1.536e+04  36.1989 
OBS: 60499.3870 u WFD -1.1825e-02  2.035e-02    0  1.000 41.910  2.41 1.379e+03  37.5677 
OBS: 60502.3380 r WFD  7.9647e-03  1.090e-02    0  1.000 44.780  2.30 1.092e+04  36.2228 
OBS: 60506.3390 i WFD  2.7618e-02  1.427e-02    0  1.000 45.310  2.48 2.159e+04  35.1488 
OBS: 60515.4214 Y WFD  6.2643e-02  1.008e-01    0  1.000 42.600  2.21 1.411e+04  32.7076 
OBS: 60524.3470 g WFD  8.6021e-03  5.638e-03    0  1.000 44.780  2.05 6.334e+03  37.0020 
