SURVEY:   LSST
SNID:     1169485
IAUC:     NULL
SNTYPE:   121
RA:       357.030870  # deg
DEC:      -7.394004  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0230 +- 0.0011  # MW E(B-V) 
PEAKMJD:  59765.902     # estimate for LC fit codes
MJD_TRIGGER:       59771.387  
MJD_DETECT_FIRST:  59769.441  
MJD_DETECT_LAST:   59873.016  

REDSHIFT_HELIO:   1.156560 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.154018 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9003396048  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1566  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          357.030899    # deg 
HOSTGAL_DEC:         -7.394030    # deg 
HOSTGAL_SNSEP:       0.063       # arcsec 
HOSTGAL_DDLR:        0.364       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.087 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.732
HOSTGAL_SQRADIUS:     56.652   # Ixx + Iyy
HOSTGAL_MAG:     28.83  27.78  26.68  25.76  24.91  24.38 # ugrizY
HOSTGAL_MAGERR:  26.62   0.42   0.17   0.10   0.08   0.09 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  733   # template index for SIMSED,NONIa
SIM_LIBID:           16486    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.15656  
SIM_REDSHIFT_CMB:    1.15402  
SIM_REDSHIFT_HOST:   1.17361  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9003396048 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.799 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.087 -9.000 
SIM_DLMU:            44.4876   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0315   # mag 
SIM_RA:              357.030884     # deg  
SIM_DEC:             -7.394004      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0231   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59765.902    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        1.64  # days 
SIM_TRESTMAX:        416.96  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.28  30.07  28.18  27.44  26.43  25.99  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 136 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59769.4407 Y WFD  3.5695e+00  6.110e-02 4096  1.000 43.340  1.50 2.490e+04  26.1138 
OBS: 59771.3872 z WFD  2.6649e+00  2.355e-02 6144  1.000 44.260  1.62 2.074e+04  26.4373 
OBS: 59772.3161 Y WFD  3.5571e+00  9.024e-02 4096  1.000 42.560  1.83 1.470e+04  26.1648 
OBS: 59783.3251 r WFD  1.0448e-01  1.217e-02 4096  1.000 44.850  2.57 1.164e+04  29.7437 
OBS: 59784.3462 r WFD  1.0738e-01  1.021e-02 4096  1.000 44.840  2.18 1.140e+04  29.8683 
OBS: 59784.4273 z WFD  1.2788e+00  3.578e-02 4096  1.000 43.490  1.72 1.460e+04  27.2439 
OBS: 59788.4118 i WFD  3.0599e-01  1.414e-02 4096  1.000 45.330  2.51 2.153e+04  28.8002 
OBS: 59789.4336 z WFD  1.0925e+00  4.090e-02 4096  1.000 44.240  2.45 2.338e+04  27.4731 
OBS: 59790.3178 g WFD  2.1565e-02  5.416e-03    0  1.000 45.600  2.56 1.037e+04  31.9473 
OBS: 59800.2061 Y WFD  1.1972e+00  6.861e-02 4096  1.000 43.280  1.89 2.100e+04  27.3783 
OBS: 59803.2363 Y WFD  9.2630e-01  7.908e-02 4096  1.000 43.320  1.74 2.728e+04  27.5208 
OBS: 59808.3296 i WFD  1.4844e-01  1.116e-02 4096  1.000 45.810  1.61 4.123e+04  29.5516 
OBS: 59812.2034 g WFD  1.1170e-02  7.216e-03    0  1.000 44.810  2.31 7.397e+03  33.0388 
OBS: 59814.1753 r WFD  2.0318e-02  8.149e-03    0  1.000 44.810  1.65 1.169e+04  31.6227 
OBS: 59817.2235 r WFD  2.6769e-02  6.775e-03    0  1.000 44.840  1.43 1.153e+04  31.7316 
OBS: 59818.1660 u WFD -1.5794e-02  1.759e-02    0  1.000 41.910  1.98 1.451e+03  32.9064 
OBS: 59819.2277 u WFD  1.2069e-02  1.988e-02    0  1.000 42.030  2.43 1.493e+03  32.9394 
OBS: 59825.1498 z WFD  2.8992e-01  2.025e-02 4096  1.000 45.230  2.11 3.346e+04  28.8084 
OBS: 59826.1337 z WFD  2.8759e-01  3.642e-02 4096  1.000 44.240  2.31 2.209e+04  28.8002 
OBS: 59835.1430 Y WFD  5.0559e-01  4.352e-02 4096  1.000 44.060  1.57 3.290e+04  28.3266 
OBS: 59837.1083 r WFD  8.6274e-03  5.761e-03    0  1.000 45.560  1.61 1.691e+04  32.4373 
OBS: 59839.1327 g WFD -5.7714e-04  5.608e-03    0  1.000 44.800  1.73 7.605e+03  34.0024 
OBS: 59846.0795 i WFD  7.6601e-02  2.045e-02    0  1.000 44.560  2.42 1.590e+04  30.2993 
OBS: 59855.0482 z WFD  3.0954e-01  2.752e-02 4096  1.000 44.240  1.73 2.228e+04  28.8863 
OBS: 59856.0469 Y WFD  5.8105e-01  6.760e-02    0  1.000 43.270  1.90 2.040e+04  28.1128 
OBS: 59863.2050 z WFD  2.9166e-01  3.275e-02 4096  1.000 44.710  1.64 4.313e+04  28.8012 
OBS: 59870.0772 i WFD  3.0337e-02  1.474e-02 4096  1.000 44.580  1.89 1.494e+04  30.7271 
OBS: 59871.0141 Y WFD  4.6646e-01  7.365e-02 4096  1.000 42.530  1.55 1.378e+04  28.0088 
OBS: 59871.9946 Y WFD  4.9527e-01  1.247e-01 4096  1.000 42.530  1.53 2.364e+04  28.0127 
OBS: 59873.0140 Y WFD  7.1550e-01  6.506e-02 4096  1.000 42.530  1.38 1.367e+04  28.0209 
OBS: 59875.0647 u WFD -1.4239e-02  1.763e-02    0  1.000 41.340  1.58 1.078e+03  34.7210 
OBS: 59880.0970 r WFD  2.7377e-03  4.024e-03    0  1.000 45.610  1.24 1.605e+04  33.5982 
OBS: 59895.1724 i WFD -3.6449e-02  4.440e-02    0  1.000 43.820  2.50 1.690e+04  31.6208 
OBS: 59896.0137 Y WFD  4.1657e-01  1.025e-01    0  1.000 42.590  1.85 1.698e+04  28.2937 
