SURVEY:   LSST
SNID:     1169947
IAUC:     NULL
SNTYPE:   121
RA:       78.930137  # deg
DEC:      -32.237136  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0134 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60318.707     # estimate for LC fit codes
MJD_TRIGGER:       60297.039  
MJD_DETECT_FIRST:  60296.102  
MJD_DETECT_LAST:   60340.137  

REDSHIFT_HELIO:   1.352082 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.352311 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8951173482  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3521  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          78.930108    # deg 
HOSTGAL_DEC:         -32.237301    # deg 
HOSTGAL_SNSEP:       0.300       # arcsec 
HOSTGAL_DDLR:        1.397       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.387 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.979
HOSTGAL_SQRADIUS:     34.244   # Ixx + Iyy
HOSTGAL_MAG:     25.88  25.40  25.54  25.62  25.46  25.33 # ugrizY
HOSTGAL_MAGERR:   0.31   0.05   0.06   0.09   0.15   0.25 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  721   # template index for SIMSED,NONIa
SIM_LIBID:           16948    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.35208  
SIM_REDSHIFT_CMB:    1.35231  
SIM_REDSHIFT_HOST:   1.40971  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8951173482 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.416 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.387 -9.000 
SIM_DLMU:            44.9108   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0212   # mag 
SIM_RA:              78.930138     # deg  
SIM_DEC:             -32.237137      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0140   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60318.707    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -312.71  # days 
SIM_TRESTMAX:        147.29  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.55  30.37  28.74  27.44  26.98  26.50  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1134 u WFD -7.3442e-03  2.299e-02    0  1.000 41.300  2.17 9.866e+02  99.0000 
OBS: 59588.0820 Y WFD  1.9209e-01  1.036e-01    0  1.000 42.590  2.53 1.255e+04  99.0000 
OBS: 59589.2048 i WFD -8.0910e-03  1.279e-02    0  1.000 44.580  1.72 1.425e+04  99.0000 
OBS: 59592.1395 z WFD  5.9978e-04  2.551e-02    0  1.000 44.270  1.61 2.282e+04  99.0000 
OBS: 59598.1658 z WFD -4.2434e-02  4.730e-02    0  1.000 44.270  2.57 2.651e+04  99.0000 
OBS: 59601.0533 Y WFD -4.2474e-02  4.932e-02    0  1.000 43.340  1.70 1.774e+04  99.0000 
OBS: 59625.1141 Y WFD -1.0574e-02  7.378e-02    0  1.000 42.560  1.49 1.476e+04  99.0000 
OBS: 59630.0240 Y WFD  1.8983e-02  4.047e-02    0  1.000 43.350  1.29 1.936e+04  99.0000 
OBS: 59634.0957 r WFD  1.1459e-02  8.197e-03    0  1.000 44.810  1.83 1.061e+04  99.0000 
OBS: 59655.0102 Y WFD -1.6791e-01  8.979e-02    0  1.000 42.580  1.91 1.427e+04  99.0000 
OBS: 59659.0636 i WFD  4.0895e-02  3.590e-02    0  1.000 43.830  2.07 1.665e+04  99.0000 
OBS: 59666.9911 z WFD -5.1119e-03  4.256e-02    0  1.000 44.270  2.15 2.851e+04  99.0000 
OBS: 59680.9913 Y WFD -1.9167e-02  7.077e-02    0  1.000 42.540  1.46 1.419e+04  99.0000 
OBS: 59684.9841 Y WFD -4.2671e-02  7.193e-02    0  1.000 42.540  1.36 1.548e+04  99.0000 
OBS: 59689.9781 z WFD -1.9184e-02  3.184e-02    0  1.000 44.230  2.00 2.209e+04  99.0000 
OBS: 59692.9711 Y WFD -5.3046e-02  1.728e-01    0  1.000 42.520  2.98 1.666e+04  99.0000 
OBS: 59798.3944 g WFD  9.1352e-03  7.724e-03    0  1.000 44.690  2.43 6.739e+03  99.0000 
OBS: 59835.3225 Y WFD -2.5213e-02  5.430e-02    0  1.000 43.290  1.52 2.086e+04  99.0000 
OBS: 59839.3716 r WFD -3.5453e-03  1.536e-02    0  1.000 44.150  1.70 1.165e+04  99.0000 
OBS: 59850.3253 g WFD  4.5649e-03  7.219e-03    0  1.000 44.810  2.70 6.331e+03  99.0000 
OBS: 59851.2474 u WFD  9.2413e-03  3.679e-02    0  1.000 40.980  2.79 9.139e+02  99.0000 
OBS: 59854.3464 r WFD -5.5463e-03  6.151e-03    0  1.000 44.850  1.49 1.014e+04  99.0000 
OBS: 59857.2995 i WFD  2.2278e-03  1.325e-02    0  1.000 44.610  1.49 1.752e+04  99.0000 
OBS: 59858.2971 z WFD -1.1341e-02  2.632e-02    0  1.000 44.260  1.71 2.197e+04  99.0000 
OBS: 59859.2216 Y WFD  1.5004e-01  8.099e-02    0  1.000 43.270  2.18 2.130e+04  99.0000 
OBS: 59861.2329 Y WFD  1.8522e-01  9.387e-02    0  1.000 42.540  1.73 1.588e+04  99.0000 
OBS: 59866.2501 i WFD -1.9801e-02  2.297e-02    0  1.000 44.610  1.91 2.369e+04  99.0000 
OBS: 59870.2093 i WFD -2.4195e-02  1.300e-02    0  1.000 44.550  1.60 1.514e+04  99.0000 
OBS: 59874.1944 u WFD -2.2003e-02  1.868e-02    0  1.000 41.810  2.08 1.338e+03  99.0000 
OBS: 59875.2642 r WFD -2.3091e-03  5.119e-03    0  1.000 45.580  1.72 1.432e+04  99.0000 
OBS: 59876.1840 g WFD  1.6620e-03  4.762e-03    0  1.000 44.720  1.62 6.407e+03  99.0000 
OBS: 59877.1758 r WFD -8.0037e-03  9.586e-03    0  1.000 44.770  2.03 1.078e+04  99.0000 
OBS: 59884.2406 r WFD -3.8401e-03  6.237e-03    0  1.000 44.840  1.39 1.092e+04  99.0000 
OBS: 59887.1633 Y WFD  5.1138e-03  7.059e-02    0  1.000 42.540  1.43 1.445e+04  99.0000 
