SURVEY:   LSST
SNID:     1171416
IAUC:     NULL
SNTYPE:   121
RA:       45.643084  # deg
DEC:      -48.616715  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0172 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59918.301     # estimate for LC fit codes
MJD_TRIGGER:       59908.043  
MJD_DETECT_FIRST:  59900.027  
MJD_DETECT_LAST:   59967.113  

REDSHIFT_HELIO:   1.250452 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.249730 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6003688916  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2505  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          45.643078    # deg 
HOSTGAL_DEC:         -48.616923    # deg 
HOSTGAL_SNSEP:       0.375       # arcsec 
HOSTGAL_DDLR:        1.216       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.753 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.445
HOSTGAL_SQRADIUS:     17.283   # Ixx + Iyy
HOSTGAL_MAG:     28.10  27.24  26.09  25.09  24.29  23.71 # ugrizY
HOSTGAL_MAGERR:  26.62   0.27   0.08   0.05   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  721   # template index for SIMSED,NONIa
SIM_LIBID:           18417    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.25045  
SIM_REDSHIFT_CMB:    1.24974  
SIM_REDSHIFT_HOST:   1.24179  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6003688916 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.381 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.753 -9.000 
SIM_DLMU:            44.6998   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0219   # mag 
SIM_RA:              45.643082     # deg  
SIM_DEC:             -48.616714      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0184   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59918.301    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -47.08  # days 
SIM_TRESTMAX:        335.93  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.20  29.94  28.22  27.07  26.54  26.31  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59812.3933 g WFD -9.6857e-03  7.610e-03    0  1.000 44.870  2.47 7.710e+03  99.0000 
OBS: 59813.4051 i WFD  1.7147e-02  1.761e-02    0  1.000 43.840  1.72 9.920e+03  99.0000 
OBS: 59813.4203 Y WFD -1.3417e-01  5.551e-02    0  1.000 43.770  1.97 2.560e+04  99.0000 
OBS: 59817.3201 g WFD  5.3055e-03  3.531e-03    0  1.000 45.530  1.83 8.867e+03  99.0000 
OBS: 59818.2834 u WFD -7.1434e-03  1.256e-02    0  1.000 42.630  2.08 1.913e+03  99.0000 
OBS: 59818.4045 i WFD -1.2040e-02  1.099e-02    0  1.000 44.580  1.52 1.386e+04  99.0000 
OBS: 59818.4153 z WFD -8.0486e-03  2.115e-02    0  1.000 44.260  1.49 2.026e+04  99.0000 
OBS: 59820.2650 u WFD  1.5056e-02  2.394e-02    0  1.000 41.100  1.96 9.455e+02  99.0000 
OBS: 59822.3908 i WFD -4.8454e-04  1.411e-02    0  1.000 44.580  1.95 1.386e+04  99.0000 
OBS: 59823.3091 g WFD -4.9163e-04  7.473e-03    0  1.000 44.790  2.77 6.271e+03  99.0000 
OBS: 59825.3258 r WFD -3.3167e-03  9.606e-03    0  1.000 44.820  2.27 1.011e+04  99.0000 
OBS: 59827.2982 z WFD  2.3896e-02  2.213e-02    0  1.000 44.250  1.62 1.932e+04  99.0000 
OBS: 59827.4064 Y WFD -7.4465e-04  4.961e-02    0  1.000 43.330  1.58 1.902e+04  99.0000 
OBS: 59832.2327 Y WFD  2.5067e-02  4.878e-02    0  1.000 44.050  1.74 3.297e+04  99.0000 
OBS: 59835.3249 Y WFD  7.0745e-04  4.158e-02    0  1.000 43.330  1.24 2.032e+04  99.0000 
OBS: 59837.3510 i WFD -2.3798e-02  1.747e-02    0  1.000 44.610  1.73 1.988e+04  99.0000 
OBS: 59843.1898 i WFD -2.0078e-02  1.134e-02    0  1.000 45.310  2.01 2.118e+04  99.0000 
OBS: 59849.2686 r WFD  7.7583e-03  1.218e-02    0  1.000 44.070  2.04 7.150e+03  99.0000 
OBS: 59853.2186 r WFD  7.9546e-03  8.954e-03    0  1.000 44.820  2.07 1.034e+04  99.0000 
OBS: 59858.1710 z WFD  1.2712e-02  2.201e-02    0  1.000 45.000  1.80 3.450e+04  99.0000 
OBS: 59859.1588 Y WFD -1.4049e-02  6.383e-02    0  1.000 43.300  1.79 2.102e+04  99.0000 
OBS: 59860.3796 z WFD  2.8120e-04  4.973e-02    0  1.000 43.510  1.83 1.943e+04  99.0000 
OBS: 59862.1833 z WFD  3.4929e-03  2.158e-02    0  1.000 45.020  1.40 4.428e+04  99.0000 
OBS: 59866.1459 i WFD  1.5688e-02  2.037e-02    0  1.000 44.590  2.00 1.970e+04  99.0000 
OBS: 59867.2859 r WFD -2.8966e-03  1.381e-02    0  1.000 44.910  1.86 1.928e+04  99.0000 
OBS: 59868.1309 r WFD  9.3506e-03  7.200e-03    0  1.000 44.780  1.56 1.063e+04  99.0000 
OBS: 59879.0792 g WFD  6.6652e-03  6.063e-03    0  1.000 44.690  2.02 6.363e+03  99.0000 
OBS: 59885.0673 Y WFD -1.1666e-01  8.256e-02    0  1.000 42.510  1.65 1.425e+04  99.0000 
OBS: 59886.0733 z WFD -1.7440e-02  1.956e-02    0  1.000 44.990  1.65 3.313e+04  99.0000 
OBS: 59887.0858 Y WFD  8.6909e-03  7.715e-02    0  1.000 42.540  1.56 1.447e+04  99.0000 
OBS: 59900.0259 Y WFD  1.7854e+00  9.162e-02 4096  1.000 43.270  2.57 2.044e+04  26.8496 
OBS: 59908.0412 z WFD  2.3757e+00  4.609e-02 6144  1.000 43.490  2.31 1.401e+04  26.5708 
OBS: 59914.1139 r WFD  5.6412e-01  1.202e-02 4096  1.000 44.890  1.90 1.612e+04  28.1294 
OBS: 59916.1409 i WFD  1.5882e+00  1.689e-02 4096  1.000 44.620  1.59 2.111e+04  27.0240 
OBS: 59929.0431 Y WFD  2.3245e+00  6.002e-02 4096  1.000 43.330  1.81 2.009e+04  26.5762 
OBS: 59931.1270 g WFD  6.7781e-02  4.630e-03 4096  1.000 44.790  1.73 6.220e+03  30.3793 
OBS: 59935.0470 z WFD  1.2509e+00  1.257e-02 4096  1.000 45.010  1.17 3.058e+04  27.2590 
OBS: 59965.1014 r WFD  3.6139e-02  7.403e-03 4096  1.000 45.560  2.31 1.514e+04  30.7546 
OBS: 59967.1129 i WFD  1.1269e-01  1.342e-02 4096  1.000 45.310  2.36 2.134e+04  29.8624 
OBS: 59968.0780 u WFD  4.4978e-02  1.728e-02    0  1.000 41.930  2.08 1.382e+03  32.8831 
