SURVEY:   LSST
SNID:     1171768
IAUC:     NULL
SNTYPE:   121
RA:       103.213257  # deg
DEC:      -45.071897  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0656 +- 0.0033  # MW E(B-V) 
PEAKMJD:  59724.070     # estimate for LC fit codes
MJD_TRIGGER:       59712.961  
MJD_DETECT_FIRST:  59708.961  
MJD_DETECT_LAST:   60069.973  

REDSHIFT_HELIO:   0.437067 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.437750 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7875997103  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4371  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          103.212899    # deg 
HOSTGAL_DEC:         -45.071577    # deg 
HOSTGAL_SNSEP:       0.771       # arcsec 
HOSTGAL_DDLR:        1.941       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.435 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.211
HOSTGAL_SQRADIUS:     7.138   # Ixx + Iyy
HOSTGAL_MAG:     24.61  23.78  22.61  21.58  21.24  21.01 # ugrizY
HOSTGAL_MAGERR:   0.10   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  718   # template index for SIMSED,NONIa
SIM_LIBID:           18769    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.43707  
SIM_REDSHIFT_CMB:    0.43775  
SIM_REDSHIFT_HOST:   0.46430  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7875997103 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.283 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.435 -9.000 
SIM_DLMU:            41.9154   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0024   # mag 
SIM_RA:              103.213257     # deg  
SIM_DEC:             -45.071896      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0637   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59724.070    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -97.96  # days 
SIM_TRESTMAX:        660.40  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.61  25.42  24.10  24.02  23.98  23.91  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3001 u WFD -2.1600e-03  2.077e-02    0  1.000 41.190  1.80 9.708e+02  99.0000 
OBS: 59583.3489 z WFD -2.5782e-02  5.030e-02    0  1.000 43.470  2.27 1.527e+04  99.0000 
OBS: 59584.0458 z WFD  5.2250e-02  4.848e-02    0  1.000 43.480  2.09 1.614e+04  99.0000 
OBS: 59589.0598 Y WFD  1.3143e-01  7.753e-02    0  1.000 42.530  1.66 1.354e+04  99.0000 
OBS: 59593.0566 z WFD  3.6135e-02  3.030e-02    0  1.000 44.250  1.72 2.491e+04  99.0000 
OBS: 59601.0373 Y WFD  1.1321e-01  8.087e-02    0  1.000 43.320  1.82 2.667e+04  99.0000 
OBS: 59601.1342 r WFD -1.6294e-03  2.401e-02    0  1.000 44.180  2.36 1.348e+04  99.0000 
OBS: 59601.2318 i WFD  2.7960e-02  1.970e-02    0  1.000 44.620  1.84 2.129e+04  99.0000 
OBS: 59602.0347 Y WFD  6.3790e-02  1.318e-01    0  1.000 42.570  2.05 1.935e+04  99.0000 
OBS: 59629.0347 z WFD  1.1243e-02  1.738e-02    0  1.000 44.270  1.18 2.121e+04  99.0000 
OBS: 59637.0231 Y WFD  8.9121e-02  8.464e-02    0  1.000 42.590  2.01 1.291e+04  99.0000 
OBS: 59654.9975 Y WFD -7.0124e-02  1.144e-01    0  1.000 42.610  1.92 1.861e+04  99.0000 
OBS: 59659.1268 i WFD -1.0166e-02  2.617e-02    0  1.000 44.590  2.13 2.376e+04  99.0000 
OBS: 59679.9770 Y WFD -1.4568e-01  7.313e-02    0  1.000 42.590  1.29 1.737e+04  99.0000 
OBS: 59685.0212 Y WFD  9.8379e-02  6.399e-02    0  1.000 42.560  1.29 1.479e+04  99.0000 
OBS: 59687.0503 z WFD  4.5526e-03  3.500e-02    0  1.000 44.250  1.84 2.689e+04  99.0000 
OBS: 59708.9612 Y WFD  1.2929e+01  1.071e-01 4096  1.000 42.560  1.91 1.671e+04  24.7142 
OBS: 59712.9601 Y WFD  1.8599e+01  9.640e-02 6144  1.000 42.570  1.71 1.695e+04  24.3206 
OBS: 59719.9618 Y WFD  2.4538e+01  1.098e-01 4096  1.000 42.540  2.19 1.465e+04  24.0251 
OBS: 59825.3984 r WFD  2.5918e+00  1.503e-02 4096  1.000 44.040  2.24 7.805e+03  26.4746 
OBS: 59827.3906 g WFD  5.1344e-02  5.767e-03 4096  1.000 44.730  1.90 6.676e+03  30.7691 
OBS: 59842.3397 r WFD  2.2251e+00  1.046e-02 4096  1.000 44.780  2.12 1.136e+04  26.6366 
OBS: 59851.3110 u WFD  2.2230e-02  3.115e-02    0  1.000 41.000  2.39 9.202e+02  33.4872 
OBS: 59853.3149 g WFD  3.1798e-02  7.008e-03    0  1.000 44.720  2.35 6.498e+03  31.2191 
OBS: 59857.3084 i WFD  2.6704e+00  1.572e-02 4096  1.000 44.570  1.61 1.852e+04  26.4368 
OBS: 59862.3589 z WFD  2.9983e+00  2.688e-02 4096  1.000 44.270  1.48 2.615e+04  26.3089 
OBS: 59868.2677 r WFD  1.7765e+00  1.439e-02 4096  1.000 44.840  1.92 1.823e+04  26.8817 
OBS: 59875.2617 r WFD  1.6671e+00  9.090e-03 4096  1.000 44.780  1.96 1.067e+04  26.9485 
OBS: 59877.2830 u WFD -2.0545e-02  3.287e-02    0  1.000 41.130  2.74 9.550e+02  33.6325 
OBS: 59884.2284 r WFD  1.4793e+00  8.476e-03 4096  1.000 44.810  1.60 1.253e+04  27.0856 
OBS: 59897.2776 r WFD  1.0908e+00  6.634e-03 4096  1.000 46.110  1.52 3.421e+04  27.4075 
OBS: 59899.2124 i WFD  1.9612e+00  2.031e-02 4096  1.000 44.560  2.60 1.469e+04  26.7884 
OBS: 59900.2282 g WFD  4.9731e-02  6.882e-03    0  1.000 44.750  2.47 6.242e+03  30.8881 
OBS: 59904.2046 u WFD -1.2866e-02  2.262e-02    0  1.000 41.180  1.93 9.771e+02  32.4787 
