SURVEY:   LSST
SNID:     1172895
IAUC:     NULL
SNTYPE:   121
RA:       163.004420  # deg
DEC:      -1.755358  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0332 +- 0.0017  # MW E(B-V) 
PEAKMJD:  59645.008     # estimate for LC fit codes
MJD_TRIGGER:       59623.250  
MJD_DETECT_FIRST:  59611.379  
MJD_DETECT_LAST:   60006.102  

REDSHIFT_HELIO:   0.792693 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.794890 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10376316153  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7927  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          163.004417    # deg 
HOSTGAL_DEC:         -1.755472    # deg 
HOSTGAL_SNSEP:       0.205       # arcsec 
HOSTGAL_DDLR:        0.919       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.264 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.116
HOSTGAL_SQRADIUS:     10.384   # Ixx + Iyy
HOSTGAL_MAG:     24.66  24.17  23.19  22.16  21.74  21.57 # ugrizY
HOSTGAL_MAGERR:   0.15   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  718   # template index for SIMSED,NONIa
SIM_LIBID:           19896    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.79269  
SIM_REDSHIFT_CMB:    0.79489  
SIM_REDSHIFT_HOST:   0.80426  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10376316153 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.064 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.264 -9.000 
SIM_DLMU:            43.4828   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0717   # mag 
SIM_RA:              163.004425     # deg  
SIM_DEC:             -1.755358      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0340   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59645.008    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -29.99  # days 
SIM_TRESTMAX:        573.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.97  28.16  26.34  25.31  25.22  25.07  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59591.2521 Y WFD -1.6365e-01  7.964e-02    0  1.000 42.530  1.67 1.383e+04  99.0000 
OBS: 59594.3073 Y WFD -7.1971e-02  9.426e-02    0  1.000 42.550  2.04 1.365e+04  99.0000 
OBS: 59603.3111 i WFD -1.2696e-02  2.943e-02    0  1.000 44.620  2.56 2.285e+04  99.0000 
OBS: 59609.3731 z WFD  8.7253e-03  4.739e-02    0  1.000 44.240  2.51 2.645e+04  99.0000 
OBS: 59610.3743 z WFD  4.4187e-02  3.172e-02    0  1.000 44.240  1.93 2.302e+04  30.1967 
OBS: 59611.3797 z WFD  2.6553e-01  4.614e-02 4096  1.000 43.490  1.65 1.963e+04  28.8958 
OBS: 59623.2517 z WFD  3.4237e+00  4.581e-02 6144  1.000 44.260  2.71 2.412e+04  26.1890 
OBS: 59645.1069 u WFD  1.2872e-01  3.498e-02    0  1.000 41.120  2.71 1.018e+03  29.9675 
OBS: 59658.1586 z WFD  6.2307e+00  4.005e-02 4096  1.000 44.710  2.08 4.157e+04  25.5250 
OBS: 59660.1177 Y WFD  6.9922e+00  5.178e-02 4096  1.000 43.760  1.90 2.452e+04  25.3935 
OBS: 59685.0823 Y WFD  3.5627e+00  4.292e-02 4096  1.000 43.780  1.22 3.226e+04  26.1209 
OBS: 59686.0675 Y WFD  3.5279e+00  7.700e-02 4096  1.000 42.590  1.38 1.710e+04  26.1257 
OBS: 59694.0853 g WFD  4.9225e-02  6.666e-03 4096  1.000 44.820  2.16 7.374e+03  30.8779 
OBS: 59713.0322 Y WFD  2.1809e+00  4.857e-02 4096  1.000 44.070  1.76 3.305e+04  26.6525 
OBS: 59718.0635 i WFD  1.0634e+00  1.647e-02 4096  1.000 45.360  2.06 3.142e+04  27.4312 
OBS: 59920.3493 Y WFD  4.0475e-01  7.966e-02 4096  1.000 43.290  1.81 2.570e+04  28.3281 
OBS: 59932.3460 z WFD  3.1835e-01  1.787e-02 4096  1.000 45.010  1.44 3.534e+04  28.7294 
OBS: 59933.3484 z WFD  2.9920e-01  1.822e-02 4096  1.000 45.020  1.37 3.822e+04  28.7398 
OBS: 59934.3477 z WFD  3.2383e-01  1.787e-02 4096  1.000 45.010  1.43 3.558e+04  28.7501 
OBS: 59935.3241 i WFD  1.1434e-01  9.120e-03 4096  1.000 45.330  1.56 2.235e+04  29.7301 
OBS: 59937.3082 r WFD  2.0178e-02  9.476e-03    0  1.000 45.250  2.29 1.470e+04  31.9785 
OBS: 59941.3245 i WFD  1.2588e-01  1.490e-02    0  1.000 44.570  1.83 1.546e+04  29.8055 
OBS: 59942.2997 r WFD  1.7262e-02  5.593e-03    0  1.000 45.570  1.59 1.677e+04  32.0063 
OBS: 59944.2833 i WFD  1.2534e-01  1.609e-02    0  1.000 44.560  1.90 1.593e+04  29.8427 
OBS: 59945.3072 i WFD  1.1808e-01  1.461e-02 4096  1.000 44.570  1.80 1.541e+04  29.8555 
OBS: 59949.3280 z WFD  2.3151e-01  3.469e-02 4096  1.000 44.260  2.03 2.438e+04  28.9049 
OBS: 59953.2819 Y WFD  2.5798e-01  4.787e-02 4096  1.000 44.070  1.62 3.539e+04  28.5769 
OBS: 59962.3574 Y WFD  3.0344e-01  6.721e-02 4096  1.000 42.550  1.48 1.341e+04  28.6454 
OBS: 59967.3746 z WFD  2.4659e-01  4.728e-02    0  1.000 43.510  1.60 2.113e+04  29.0914 
OBS: 59968.2098 u WFD -9.0669e-03  2.912e-02    0  1.000 41.050  2.19 9.835e+02  34.3159 
OBS: 59972.2674 r WFD  1.5141e-02  8.115e-03    0  1.000 44.840  1.74 1.135e+04  32.1735 
OBS: 59973.2403 g WFD  5.0549e-03  4.728e-03    0  1.000 44.810  1.53 7.318e+03  33.8270 
OBS: 59979.1918 Y WFD  2.8496e-01  4.069e-02 4096  1.000 44.050  1.41 3.394e+04  28.7725 
OBS: 59987.2043 i WFD  5.3797e-02  1.710e-02 4096  1.000 44.600  1.58 2.112e+04  30.3820 
OBS: 59994.1460 r WFD  8.9969e-03  9.091e-03    0  1.000 45.550  2.56 1.662e+04  32.2956 
OBS: 59995.1365 r WFD  1.7299e-02  8.146e-03    0  1.000 44.800  1.61 1.187e+04  32.3011 
