SURVEY:   LSST
SNID:     1172985
IAUC:     NULL
SNTYPE:   121
RA:       114.485143  # deg
DEC:      0.644039  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0655 +- 0.0033  # MW E(B-V) 
PEAKMJD:  59991.734     # estimate for LC fit codes
MJD_TRIGGER:       59976.062  
MJD_DETECT_FIRST:  59953.191  
MJD_DETECT_LAST:   60071.961  

REDSHIFT_HELIO:   1.263117 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.264764 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10441527269  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2631  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          114.485067    # deg 
HOSTGAL_DEC:         0.644071    # deg 
HOSTGAL_SNSEP:       0.118       # arcsec 
HOSTGAL_DDLR:        0.380       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.686 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.705
HOSTGAL_SQRADIUS:     11.100   # Ixx + Iyy
HOSTGAL_MAG:     28.07  27.39  26.31  25.27  24.48  23.84 # ugrizY
HOSTGAL_MAGERR:   9.52   0.26   0.08   0.05   0.05   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  718   # template index for SIMSED,NONIa
SIM_LIBID:           19986    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.26312  
SIM_REDSHIFT_CMB:    1.26477  
SIM_REDSHIFT_HOST:   1.23085  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10441527269 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.174 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.686 -9.000 
SIM_DLMU:            44.7297   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0460   # mag 
SIM_RA:              114.485146     # deg  
SIM_DEC:             0.644039      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0634   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59991.734    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -179.92  # days 
SIM_TRESTMAX:        300.45  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.01  30.93  29.22  27.60  26.81  26.47  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2638 u WFD -6.1712e-02  2.750e-02    0  1.000 41.200  2.28 1.025e+03  99.0000 
OBS: 59588.1421 Y WFD -7.1403e-02  8.839e-02    0  1.000 42.530  1.86 1.378e+04  99.0000 
OBS: 59592.2639 z WFD -5.1000e-02  2.949e-02    0  1.000 44.240  1.88 2.197e+04  99.0000 
OBS: 59594.1056 Y WFD -4.3763e-02  1.213e-01    0  1.000 42.520  2.04 1.708e+04  99.0000 
OBS: 59600.2716 z WFD -2.0137e-02  5.794e-02    0  1.000 43.490  1.94 2.097e+04  99.0000 
OBS: 59603.1556 i WFD -2.1496e-02  2.162e-02    0  1.000 44.590  2.45 1.706e+04  99.0000 
OBS: 59626.1131 z WFD -2.6337e-02  4.187e-02    0  1.000 44.270  1.59 3.792e+04  99.0000 
OBS: 59633.0212 Y WFD  1.3559e-02  9.635e-02    0  1.000 43.300  1.90 2.989e+04  99.0000 
OBS: 59633.1082 g WFD -1.1530e-03  8.395e-03    0  1.000 44.790  2.80 6.970e+03  99.0000 
OBS: 59642.0138 z WFD  2.9255e-02  4.845e-02    0  1.000 44.250  2.74 2.500e+04  99.0000 
OBS: 59653.0869 Y WFD -6.4932e-02  1.288e-01    0  1.000 42.560  2.36 1.627e+04  99.0000 
OBS: 59655.0854 Y WFD -3.3745e-02  1.047e-01    0  1.000 42.540  1.84 1.665e+04  99.0000 
OBS: 59660.0079 Y WFD -9.5545e-02  7.891e-02    0  1.000 42.550  1.78 1.309e+04  99.0000 
OBS: 59662.0064 Y WFD -1.3930e-01  8.347e-02    0  1.000 42.550  1.86 1.326e+04  99.0000 
OBS: 59683.0029 Y WFD -3.7993e-02  6.206e-02    0  1.000 42.560  1.24 1.492e+04  99.0000 
OBS: 59684.0621 Y WFD -4.2154e-02  9.378e-02    0  1.000 42.500  1.64 1.613e+04  99.0000 
OBS: 59685.9868 Y WFD -1.3588e-01  7.877e-02    0  1.000 42.560  1.56 1.505e+04  99.0000 
OBS: 59692.9862 Y WFD -1.6376e-01  1.114e-01    0  1.000 42.530  2.40 1.346e+04  99.0000 
OBS: 59713.9592 Y WFD -1.2639e-02  1.327e-01    0  1.000 42.550  2.11 1.858e+04  99.0000 
OBS: 59716.9579 Y WFD  4.2108e-03  1.466e-01    0  1.000 42.520  2.37 1.777e+04  99.0000 
OBS: 59861.3700 Y WFD  5.2971e-02  7.447e-02    0  1.000 43.260  1.88 2.250e+04  99.0000 
OBS: 59867.3730 z WFD -2.5907e-02  4.603e-02    0  1.000 44.260  2.14 3.069e+04  99.0000 
OBS: 59873.3661 z WFD -3.5591e-02  3.654e-02    0  1.000 43.490  1.65 1.555e+04  99.0000 
OBS: 59874.3498 g WFD  6.4220e-03  1.048e-02    0  1.000 43.980  2.25 5.132e+03  99.0000 
OBS: 59879.3198 g WFD  3.7650e-03  4.580e-03    0  1.000 45.480  1.98 1.015e+04  99.0000 
OBS: 59880.3494 r WFD -3.5304e-03  7.176e-03    0  1.000 44.810  1.48 1.148e+04  99.0000 
OBS: 59885.3324 i WFD -1.6036e-02  1.289e-02    0  1.000 45.000  1.92 1.893e+04  99.0000 
OBS: 59901.3376 r WFD  1.8317e-02  1.409e-02    0  1.000 44.090  1.92 8.956e+03  99.0000 
OBS: 59904.2655 u WFD -5.0478e-02  2.762e-02    0  1.000 41.790  2.97 1.360e+03  99.0000 
OBS: 59904.3106 r WFD  6.2095e-04  8.807e-03    0  1.000 45.570  2.67 1.573e+04  99.0000 
OBS: 59907.2627 r WFD -1.1589e-02  7.893e-03    0  1.000 45.540  2.28 1.606e+04  99.0000 
OBS: 59909.2754 i WFD -1.8920e-02  2.168e-02    0  1.000 44.570  2.69 1.530e+04  99.0000 
OBS: 59910.2548 g WFD  1.7886e-03  6.717e-03    0  1.000 44.750  2.18 6.903e+03  99.0000 
OBS: 59911.2451 r WFD  1.0275e-02  7.261e-03    0  1.000 45.550  2.12 1.603e+04  99.0000 
