SURVEY:   LSST
SNID:     1205045
IAUC:     NULL
SNTYPE:   126
RA:       101.679373  # deg
DEC:      -29.483921  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0987 +- 0.0049  # MW E(B-V) 
PEAKMJD:  59782.312     # estimate for LC fit codes
MJD_TRIGGER:       59860.297  
MJD_DETECT_FIRST:  59854.332  
MJD_DETECT_LAST:   60050.984  

REDSHIFT_HELIO:   0.964864 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.965852 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  723   # template index for SIMSED,NONIa
SIM_LIBID:           1044    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.96681  
SIM_REDSHIFT_CMB:    0.96780  
SIM_REDSHIFT_HOST:   0.96486  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8941176271 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.715 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.601 -9.000 
SIM_DLMU:            44.0113   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0009   # mag 
SIM_RA:              101.679375     # deg  
SIM_DEC:             -29.483921      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0990   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59782.312    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -101.14  # days 
SIM_TRESTMAX:        450.39  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.93  28.49  27.50  26.19  25.67  25.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2910 u WFD -1.2834e-02  2.302e-02    0  1.000 41.180  1.97 9.740e+02  99.0000 
OBS: 59584.0485 z WFD -3.4635e-02  4.738e-02    0  1.000 43.480  2.11 1.562e+04  99.0000 
OBS: 59589.0743 Y WFD  3.6391e-03  6.804e-02    0  1.000 42.550  1.51 1.331e+04  99.0000 
OBS: 59593.0423 z WFD -4.5753e-03  3.797e-02    0  1.000 44.260  1.74 3.114e+04  99.0000 
OBS: 59597.1358 Y WFD -8.9338e-02  7.701e-02    0  1.000 43.350  2.19 2.170e+04  99.0000 
OBS: 59602.0509 Y WFD  8.7475e-03  9.649e-02    0  1.000 42.570  2.21 1.314e+04  99.0000 
OBS: 59620.0439 Y WFD  3.8571e-03  6.104e-02    0  1.000 42.600  1.44 1.311e+04  99.0000 
OBS: 59623.0479 z WFD  6.9469e-03  2.741e-02    0  1.000 44.280  1.64 2.430e+04  99.0000 
OBS: 59653.0347 Y WFD -9.6198e-02  8.002e-02    0  1.000 42.600  1.80 1.375e+04  99.0000 
OBS: 59655.0369 Y WFD -1.2161e-01  7.798e-02    0  1.000 42.600  1.68 1.436e+04  99.0000 
OBS: 59657.0907 z WFD  4.3034e-03  3.316e-02    0  1.000 44.270  1.79 2.668e+04  99.0000 
OBS: 59667.9947 z WFD  3.2231e-02  4.094e-02    0  1.000 44.270  2.80 2.106e+04  99.0000 
OBS: 59677.9921 Y WFD -2.8711e-02  7.753e-02    0  1.000 42.570  1.80 1.296e+04  99.0000 
OBS: 59679.9862 Y WFD  3.9406e-02  6.193e-02    0  1.000 42.600  1.42 1.349e+04  99.0000 
OBS: 59682.9847 Y WFD -5.6027e-02  5.314e-02    0  1.000 42.580  1.16 1.391e+04  99.0000 
OBS: 59685.0275 Y WFD  2.2434e-02  6.811e-02    0  1.000 42.560  1.35 1.504e+04  99.0000 
OBS: 59687.9846 Y WFD -1.8373e-01  1.065e-01    0  1.000 42.570  2.48 1.292e+04  99.0000 
OBS: 59693.9717 Y WFD -1.4983e-01  1.005e-01    0  1.000 42.580  2.11 1.446e+04  99.0000 
OBS: 59701.9688 z WFD -2.1927e-02  4.119e-02    0  1.000 43.500  1.95 1.497e+04  99.0000 
OBS: 59702.9705 z WFD -8.4705e-04  2.346e-02    0  1.000 44.240  1.59 2.067e+04  99.0000 
OBS: 59717.9666 Y WFD -6.0634e-02  1.222e-01    0  1.000 42.510  2.45 1.420e+04  99.0000 
OBS: 59840.3735 r WFD  5.4527e-02  1.578e-02    0  1.000 44.110  1.85 1.060e+04  30.6663 
OBS: 59843.3495 g WFD  1.1577e-02  5.521e-03    0  1.000 44.740  1.80 6.808e+03  31.9002 
OBS: 59854.3334 r WFD  4.8850e-02  5.452e-03 4096  1.000 45.560  1.68 1.533e+04  30.7245 
OBS: 59860.2982 Y WFD  7.1172e-01  8.290e-02 6144  1.000 42.540  1.62 1.498e+04  27.7097 
OBS: 59861.2834 Y WFD  7.7010e-01  8.511e-02 4096  1.000 42.520  1.53 1.598e+04  27.7155 
OBS: 59864.2962 z WFD  5.6308e-01  2.304e-02 4096  1.000 45.010  1.75 3.749e+04  28.1198 
OBS: 59868.3515 r WFD  5.5810e-02  1.601e-02    0  1.000 44.160  1.55 1.344e+04  30.6378 
OBS: 59869.2726 r WFD  6.9931e-02  1.168e-02    0  1.000 44.840  1.85 1.536e+04  30.6465 
OBS: 59875.2697 r WFD  4.2374e-02  9.039e-03    0  1.000 44.800  2.00 1.060e+04  30.6648 
OBS: 59876.2639 g WFD  5.6845e-03  5.328e-03    0  1.000 44.740  1.82 6.498e+03  32.1627 
OBS: 59877.2441 r WFD  4.1522e-02  1.244e-02    0  1.000 44.780  2.65 1.081e+04  30.6665 
OBS: 59877.2854 u WFD  1.2493e-02  3.025e-02    0  1.000 41.220  2.66 9.835e+02  32.8627 
OBS: 59884.2344 r WFD  6.9710e-02  8.098e-03    0  1.000 44.800  1.60 1.187e+04  30.6663 
OBS: 59898.1963 i WFD  2.2998e-01  1.296e-02 4096  1.000 45.300  2.16 2.232e+04  29.1289 
OBS: 59900.2510 g WFD  9.5874e-03  6.657e-03    0  1.000 44.820  2.27 7.008e+03  32.3341 
OBS: 59902.2020 r WFD  5.7694e-02  1.170e-02    0  1.000 44.800  2.59 1.060e+04  30.7017 
OBS: 59904.2051 u WFD -1.2698e-02  1.815e-02    0  1.000 41.920  2.18 1.372e+03  33.0932 
OBS: 59905.1827 u WFD -1.3103e-02  1.945e-02    0  1.000 41.840  2.21 1.347e+03  33.0959 
OBS: 59907.1675 r WFD  6.0837e-02  1.057e-02 4096  1.000 44.780  2.27 1.073e+04  30.7129 
OBS: 59908.1528 i WFD  2.0682e-01  1.738e-02 4096  1.000 44.550  2.11 1.535e+04  29.1233 
OBS: 59917.1693 z WFD  4.1379e-01  2.512e-02 4096  1.000 44.250  1.52 2.336e+04  28.4315 
OBS: 59918.1475 Y WFD  6.0501e-01  4.933e-02 4096  1.000 43.730  1.70 2.541e+04  28.0425 
OBS: 59919.1901 z WFD  4.3849e-01  2.984e-02    0  1.000 44.270  1.65 2.604e+04  28.4453 
OBS: 59920.2387 Y WFD  5.4326e-01  6.368e-02 4096  1.000 42.600  1.33 1.481e+04  28.0451 
OBS: 59921.1398 z WFD  4.0768e-01  4.007e-02 4096  1.000 44.260  1.84 3.107e+04  28.4586 
OBS: 59926.3152 i WFD  1.8876e-01  1.743e-02 4096  1.000 44.620  1.63 2.125e+04  29.2007 
OBS: 59928.1959 i WFD  2.0507e-01  1.667e-02 4096  1.000 44.600  2.20 1.479e+04  29.2267 
OBS: 59931.1639 g WFD  7.5856e-03  4.567e-03    0  1.000 44.800  1.67 6.416e+03  32.4097 
OBS: 59941.1499 i WFD  1.8119e-01  1.106e-02 4096  1.000 44.590  1.52 1.406e+04  29.3601 
OBS: 59945.1571 i WFD  1.5323e-01  1.400e-02 4096  1.000 44.620  1.52 1.831e+04  29.4369 
OBS: 59946.1465 i WFD  1.5888e-01  1.989e-02 4096  1.000 44.630  1.95 2.047e+04  29.4529 
OBS: 59953.0390 Y WFD  4.3155e-01  1.022e-01    0  1.000 42.530  1.58 1.876e+04  28.2729 
OBS: 59954.2404 i WFD  2.1090e-01  4.461e-02    0  1.000 43.880  2.60 1.725e+04  29.5820 
OBS: 59957.2596 r WFD  6.1695e-02  1.158e-02    0  1.000 44.900  1.58 1.885e+04  31.0936 
OBS: 59965.0463 z WFD  3.0601e-01  4.051e-02 4096  1.000 43.490  1.98 1.436e+04  28.7405 
OBS: 59967.0451 z WFD  3.0383e-01  3.978e-02 4096  1.000 44.250  2.64 2.130e+04  28.7580 
OBS: 59979.1429 Y WFD  4.3979e-01  5.652e-02    0  1.000 42.600  1.18 1.482e+04  28.4819 
OBS: 60001.0928 r WFD  3.5892e-02  9.043e-03    0  1.000 44.860  2.03 1.105e+04  31.3335 
OBS: 60002.0093 Y WFD  4.2723e-01  1.180e-01    0  1.000 42.620  1.52 2.445e+04  28.7021 
OBS: 60008.1136 Y WFD  3.9396e-01  6.624e-02    0  1.000 43.320  1.93 2.060e+04  28.7425 
OBS: 60011.1668 Y WFD  3.5765e-01  1.138e-01    0  1.000 42.520  2.03 1.611e+04  28.7734 
OBS: 60012.0922 z WFD  2.5467e-01  5.307e-02    0  1.000 44.270  3.03 2.522e+04  29.1139 
OBS: 60036.1050 Y WFD  2.7592e-01  9.282e-02    0  1.000 42.500  1.72 1.522e+04  29.0505 
OBS: 60038.0689 Y WFD  1.7712e-01  8.787e-02    0  1.000 42.540  1.72 1.495e+04  29.0968 
