SURVEY:   LSST
SNID:     1205438
IAUC:     NULL
SNTYPE:   126
RA:       352.059030  # deg
DEC:      -6.627016  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0276 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60672.441     # estimate for LC fit codes
MJD_TRIGGER:       60664.039  
MJD_DETECT_FIRST:  60659.062  
MJD_DETECT_LAST:   60666.039  

REDSHIFT_HELIO:   0.441670 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.439947 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8750253702  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4417  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          352.059282    # deg 
HOSTGAL_DEC:         -6.627378    # deg 
HOSTGAL_SNSEP:       0.741       # arcsec 
HOSTGAL_DDLR:        0.500       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.296 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.065
HOSTGAL_SQRADIUS:     18.689   # Ixx + Iyy
HOSTGAL_MAG:     25.23  23.30  21.72  21.06  20.71  20.46 # ugrizY
HOSTGAL_MAGERR:   0.14   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  723   # template index for SIMSED,NONIa
SIM_LIBID:           1437    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.44167  
SIM_REDSHIFT_CMB:    0.43995  
SIM_REDSHIFT_HOST:   0.42285  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8750253702 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.211 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.296 -9.000 
SIM_DLMU:            41.9319   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0198   # mag 
SIM_RA:              352.059021     # deg  
SIM_DEC:             -6.627016      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0258   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60672.441    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0312  # spectro-search efficiency 
SIM_TRESTMIN:        -632.66  # days 
SIM_TRESTMAX:        -4.44  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.30  25.27  23.84  23.49  23.49  23.44  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59761.4388 z WFD -9.5548e-02  5.549e-02    0  1.000 43.510  2.52 1.575e+04  99.0000 
OBS: 59770.3405 Y WFD -3.2602e-02  7.594e-02    0  1.000 42.570  1.75 1.306e+04  99.0000 
OBS: 59771.3855 z WFD  1.1645e-02  2.444e-02    0  1.000 44.260  1.68 2.075e+04  99.0000 
OBS: 59772.3535 Y WFD -6.3438e-02  6.195e-02    0  1.000 43.330  1.84 2.040e+04  99.0000 
OBS: 59783.2974 r WFD  1.2780e-02  1.285e-02    0  1.000 44.840  2.75 1.137e+04  99.0000 
OBS: 59784.3461 r WFD -1.0928e-02  1.023e-02    0  1.000 44.840  2.18 1.142e+04  99.0000 
OBS: 59784.4353 z WFD -8.5377e-04  3.166e-02    0  1.000 45.000  2.09 4.274e+04  99.0000 
OBS: 59788.4134 i WFD -1.0741e-02  1.488e-02    0  1.000 45.320  2.58 2.185e+04  99.0000 
OBS: 59789.4339 z WFD  4.8992e-02  4.406e-02    0  1.000 44.240  2.53 2.439e+04  99.0000 
OBS: 59790.3054 g WFD -3.4538e-03  5.637e-03    0  1.000 45.600  2.66 1.039e+04  99.0000 
OBS: 59800.2068 Y WFD  6.5269e-02  9.375e-02    0  1.000 42.540  1.87 1.467e+04  99.0000 
OBS: 59808.3185 i WFD  4.0252e-03  1.361e-02    0  1.000 45.370  1.63 3.311e+04  99.0000 
OBS: 59818.1494 u WFD  2.0684e-02  1.737e-02    0  1.000 41.880  1.91 1.445e+03  99.0000 
OBS: 59822.1791 i WFD  2.2289e-03  1.655e-02    0  1.000 44.570  2.05 1.533e+04  99.0000 
OBS: 59823.1585 g WFD -3.9827e-03  9.411e-03    0  1.000 44.790  2.88 7.596e+03  99.0000 
OBS: 59824.1552 i WFD -7.4633e-03  1.420e-02    0  1.000 44.580  1.75 1.555e+04  99.0000 
OBS: 59825.1451 z WFD -3.4638e-02  3.232e-02    0  1.000 44.240  2.14 2.116e+04  99.0000 
OBS: 59827.1137 z WFD -1.5272e-02  2.491e-02    0  1.000 44.990  2.11 3.300e+04  99.0000 
OBS: 59835.1484 Y WFD -7.6614e-03  3.567e-02    0  1.000 44.320  1.50 3.586e+04  99.0000 
OBS: 59837.1081 r WFD  1.0229e-02  5.433e-03    0  1.000 45.580  1.55 1.687e+04  99.0000 
OBS: 59842.1240 r WFD -4.9167e-03  8.542e-03    0  1.000 44.830  1.75 1.177e+04  99.0000 
OBS: 59856.0492 Y WFD -1.2211e-02  5.331e-02    0  1.000 43.730  1.89 2.470e+04  99.0000 
OBS: 59857.0289 z WFD  2.9729e-02  3.778e-02    0  1.000 44.240  1.96 2.700e+04  99.0000 
OBS: 59863.1807 z WFD -5.0922e-02  3.855e-02    0  1.000 44.270  1.68 3.305e+04  99.0000 
OBS: 59865.9980 Y WFD  2.0343e-01  1.123e-01    0  1.000 42.500  2.00 1.584e+04  99.0000 
OBS: 59870.0923 i WFD -1.6697e-02  1.745e-02    0  1.000 43.830  1.60 1.047e+04  99.0000 
OBS: 59871.0087 Y WFD -2.1162e-01  8.171e-02    0  1.000 42.530  1.71 1.386e+04  99.0000 
OBS: 59871.9950 Y WFD -5.7466e-02  1.144e-01    0  1.000 42.530  1.49 2.227e+04  99.0000 
OBS: 59875.0841 u WFD -2.9778e-02  1.949e-02    0  1.000 41.320  1.73 1.069e+03  99.0000 
OBS: 59880.1364 r WFD  1.0529e-02  6.499e-03    0  1.000 44.830  1.36 1.153e+04  99.0000 
OBS: 59883.1787 i WFD  1.7495e-02  1.814e-02    0  1.000 43.800  1.45 1.168e+04  99.0000 
OBS: 59897.0191 z WFD  7.8905e-03  4.506e-02    0  1.000 43.510  2.12 1.520e+04  99.0000 
OBS: 59908.0841 u WFD -3.8857e-02  4.154e-02    0  1.000 41.100  3.18 1.012e+03  99.0000 
OBS: 59922.0687 z WFD  4.7472e-02  3.418e-02    0  1.000 44.250  1.76 2.745e+04  99.0000 
