SURVEY:   LSST
SNID:     1206518
IAUC:     NULL
SNTYPE:   126
RA:       131.964605  # deg
DEC:      -35.403793  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3557 +- 0.0178  # MW E(B-V) 
PEAKMJD:  59577.383     # estimate for LC fit codes
MJD_TRIGGER:       59589.273  
MJD_DETECT_FIRST:  59589.148  
MJD_DETECT_LAST:   59714.066  

REDSHIFT_HELIO:   0.711927 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.713459 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9000773523  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7119  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          131.963369    # deg 
HOSTGAL_DEC:         -35.405160    # deg 
HOSTGAL_SNSEP:       3.009       # arcsec 
HOSTGAL_DDLR:        3.055       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.061 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.256
HOSTGAL_SQRADIUS:     23.619   # Ixx + Iyy
HOSTGAL_MAG:     25.28  23.91  22.39  21.21  20.71  20.32 # ugrizY
HOSTGAL_MAGERR:   0.04   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  723   # template index for SIMSED,NONIa
SIM_LIBID:           2517    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.71193  
SIM_REDSHIFT_CMB:    0.71346  
SIM_REDSHIFT_HOST:   0.69604  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9000773523 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.144 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.061 -9.000 
SIM_DLMU:            43.1956   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0158   # mag 
SIM_RA:              131.964600     # deg  
SIM_DEC:             -35.403793      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3692   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59577.383    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        3.44  # days 
SIM_TRESTMAX:        640.69  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.94  28.34  26.67  25.63  25.21  24.97  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 150 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2833 u WFD  1.0655e-01  2.114e-02    0  1.000 41.310  2.00 9.930e+02  30.1724 
OBS: 59584.1805 u WFD  8.2940e-02  3.103e-02    0  1.000 41.210  2.73 9.740e+02  30.2193 
OBS: 59589.1465 Y WFD  9.2200e+00  8.792e-02 4096  1.000 42.550  1.92 1.352e+04  25.0689 
OBS: 59589.2752 i WFD  3.6391e+00  1.050e-02 6144  1.000 44.590  1.48 1.369e+04  26.1018 
OBS: 59594.1341 Y WFD  7.9896e+00  5.166e-02 4096  1.000 43.310  1.50 2.047e+04  25.2328 
OBS: 59598.3462 z WFD  4.0227e+00  6.512e-02 4096  1.000 44.260  3.03 3.066e+04  25.9925 
OBS: 59600.2936 z WFD  3.6645e+00  3.098e-02 4096  1.000 44.280  1.79 2.514e+04  26.0872 
OBS: 59602.3552 i WFD  1.6989e+00  4.098e-02 4096  1.000 43.840  2.54 1.563e+04  26.9353 
OBS: 59620.0348 Y WFD  2.7108e+00  8.379e-02 4096  1.000 42.540  1.68 1.459e+04  26.4470 
OBS: 59631.2873 i WFD  6.8199e-01  3.668e-02 4096  1.000 43.830  2.20 1.601e+04  27.9181 
OBS: 59634.0138 Y WFD  1.9271e+00  1.279e-01 4096  1.000 42.570  1.84 2.091e+04  26.7737 
OBS: 59653.0652 Y WFD  1.4736e+00  8.814e-02 4096  1.000 42.600  1.96 1.391e+04  27.0250 
OBS: 59656.0163 z WFD  1.0401e+00  2.539e-02 4096  1.000 45.040  1.82 4.083e+04  27.4490 
OBS: 59659.1697 i WFD  5.1575e-01  2.745e-02 4096  1.000 45.060  2.79 2.933e+04  28.1374 
OBS: 59660.0357 g WFD  1.6809e-02  7.505e-03    0  1.000 44.080  2.02 4.490e+03  31.9891 
OBS: 59660.2008 Y WFD  1.6467e+00  9.702e-02 4096  1.000 42.510  1.92 1.439e+04  27.1121 
OBS: 59682.0104 Y WFD  1.2131e+00  5.470e-02 4096  1.000 42.600  1.24 1.364e+04  27.3638 
OBS: 59684.0974 Y WFD  1.1521e+00  6.495e-02 4096  1.000 42.580  1.29 1.529e+04  27.3773 
OBS: 59685.0524 Y WFD  1.1290e+00  3.921e-02 4096  1.000 43.350  1.14 2.122e+04  27.3921 
OBS: 59686.1567 Y WFD  1.1417e+00  1.047e-01 4096  1.000 42.500  1.78 1.659e+04  27.4094 
OBS: 59690.0487 g WFD  2.0861e-02  5.173e-03    0  1.000 44.050  1.36 4.471e+03  32.0971 
OBS: 59708.9667 Y WFD  7.9296e-01  7.168e-02 4096  1.000 42.600  1.64 1.352e+04  27.7013 
OBS: 59712.0430 Y WFD  8.3953e-01  6.559e-02 4096  1.000 43.290  1.85 2.070e+04  27.7169 
OBS: 59713.0672 Y WFD  7.6083e-01  8.726e-02 4096  1.000 42.540  1.66 1.538e+04  27.7233 
OBS: 59714.0675 Y WFD  8.5762e-01  1.347e-01 4096  1.000 42.520  2.46 1.574e+04  27.7295 
OBS: 59862.3804 z WFD  1.6423e-01  4.557e-02    0  1.000 44.260  1.78 3.653e+04  29.4491 
OBS: 59872.3638 z WFD  1.3876e-01  3.356e-02    0  1.000 43.480  1.56 1.497e+04  29.5639 
OBS: 59873.3587 r WFD  2.7839e-02  8.423e-03    0  1.000 44.810  1.74 1.146e+04  31.6435 
OBS: 59874.3449 u WFD -3.2193e-03  2.943e-02    0  1.000 41.100  2.34 9.740e+02  34.8189 
OBS: 59874.3676 z WFD  1.6503e-01  4.167e-02    0  1.000 43.500  1.88 1.570e+04  29.5863 
OBS: 59875.3405 r WFD  9.1151e-03  8.742e-03    0  1.000 44.800  1.84 1.115e+04  31.6741 
OBS: 59875.3697 z WFD  1.1311e-01  3.803e-02    0  1.000 43.500  1.57 1.716e+04  29.5978 
OBS: 59876.3719 z WFD  8.2473e-02  5.166e-02    0  1.000 43.510  1.81 2.041e+04  29.6093 
OBS: 59877.3561 r WFD  2.8422e-02  1.362e-02    0  1.000 44.070  2.08 7.842e+03  31.7058 
