SURVEY:   LSST
SNID:     1207163
IAUC:     NULL
SNTYPE:   126
RA:       204.460547  # deg
DEC:      -7.513520  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0265 +- 0.0013  # MW E(B-V) 
PEAKMJD:  60013.227     # estimate for LC fit codes
MJD_TRIGGER:       59976.371  
MJD_DETECT_FIRST:  59976.289  
MJD_DETECT_LAST:   60071.109  

REDSHIFT_HELIO:   1.469786 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.472246 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8005945232  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4698  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          204.460558    # deg 
HOSTGAL_DEC:         -7.513612    # deg 
HOSTGAL_SNSEP:       0.168       # arcsec 
HOSTGAL_DDLR:        2.436       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.758 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.513
HOSTGAL_SQRADIUS:     6.678   # Ixx + Iyy
HOSTGAL_MAG:     25.88  25.82  25.85  25.31  24.89  24.36 # ugrizY
HOSTGAL_MAGERR:   0.40   0.08   0.07   0.07   0.07   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           3162    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.46979  
SIM_REDSHIFT_CMB:    1.47224  
SIM_REDSHIFT_HOST:   1.49485  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8005945232 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.104 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.758 -9.000 
SIM_DLMU:            45.1368   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0310   # mag 
SIM_RA:              204.460541     # deg  
SIM_DEC:             -7.513520      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0242   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60013.227    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -158.71  # days 
SIM_TRESTMAX:        201.97  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.29  32.04  30.42  28.61  27.49  26.78  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59621.2520 Y WFD -4.0410e-03  7.566e-02    0  1.000 43.250  2.13 1.999e+04  99.0000 
OBS: 59641.3947 z WFD -6.7627e-03  4.331e-02    0  1.000 43.500  1.96 1.566e+04  99.0000 
OBS: 59652.2039 Y WFD  1.1605e-02  6.363e-02    0  1.000 43.300  1.85 2.027e+04  99.0000 
OBS: 59653.1886 Y WFD -8.4678e-02  6.273e-02    0  1.000 43.730  2.12 2.591e+04  99.0000 
OBS: 59655.2968 Y WFD  4.6584e-02  9.573e-02    0  1.000 43.310  2.36 2.413e+04  99.0000 
OBS: 59678.1399 z WFD  6.1757e-04  4.698e-02    0  1.000 43.490  2.24 1.472e+04  99.0000 
OBS: 59679.1091 z WFD  4.7545e-02  2.955e-02    0  1.000 44.240  1.85 2.237e+04  99.0000 
OBS: 59681.1091 z WFD -7.2466e-03  2.831e-02    0  1.000 44.240  1.59 2.494e+04  99.0000 
OBS: 59688.1496 z WFD -1.6027e-02  3.125e-02    0  1.000 45.030  2.06 4.399e+04  99.0000 
OBS: 59694.0517 g WFD  9.3962e-03  7.883e-03    0  1.000 44.720  2.28 7.536e+03  99.0000 
OBS: 59709.1237 i WFD  1.4243e-02  1.818e-02    0  1.000 44.610  1.86 1.926e+04  99.0000 
OBS: 59716.0816 Y WFD -8.7259e-04  5.595e-02    0  1.000 44.510  2.33 4.314e+04  99.0000 
OBS: 59718.1956 i WFD  2.8198e-02  3.876e-02    0  1.000 43.850  2.20 1.723e+04  99.0000 
OBS: 59771.0902 z WFD  4.2864e-02  7.063e-02    0  1.000 43.480  2.18 2.254e+04  99.0000 
OBS: 59782.9714 z WFD  5.7481e-03  4.352e-02    0  1.000 43.500  2.12 1.455e+04  99.0000 
OBS: 59791.0216 u WFD  3.4473e-02  2.953e-02    0  1.000 41.110  2.16 1.069e+03  99.0000 
OBS: 59950.3635 Y WFD  1.0913e-01  1.672e-01    0  1.000 42.530  2.15 2.256e+04  99.0000 
OBS: 59956.3574 z WFD  6.5493e-02  4.170e-02    0  1.000 44.250  1.96 3.008e+04  99.0000 
OBS: 59964.3281 u WFD  6.0722e-04  3.297e-02    0  1.000 41.150  2.51 1.066e+03  99.0000 
OBS: 59966.3424 i WFD -1.3078e-02  1.592e-02    0  1.000 44.570  1.90 1.591e+04  99.0000 
OBS: 59968.3339 u WFD  5.6123e-03  2.479e-02    0  1.000 41.920  2.75 1.486e+03  99.0000 
OBS: 59972.3216 r WFD -6.2102e-05  6.725e-03    0  1.000 45.570  1.87 1.715e+04  32.5684 
OBS: 59976.2890 r WFD  7.4645e-02  9.637e-03 4096  1.000 44.790  1.84 1.217e+04  30.2305 
OBS: 59976.3706 z WFD  2.9339e-01  3.490e-02 6144  1.000 43.500  1.72 1.438e+04  28.9806 
OBS: 59978.2934 Y WFD  4.4055e-01  3.128e-02 4096  1.000 44.280  1.39 3.271e+04  28.3367 
OBS: 59978.3371 i WFD  4.4619e-01  8.731e-03 4096  1.000 45.350  1.31 2.595e+04  28.3825 
OBS: 59979.3025 Y WFD  5.4368e-01  3.869e-02 4096  1.000 43.730  1.30 2.606e+04  28.0503 
OBS: 59980.2766 Y WFD  7.2859e-01  4.351e-02 4096  1.000 44.020  1.54 3.232e+04  27.8362 
OBS: 59991.3499 r WFD  1.6896e-01  8.191e-03 4096  1.000 44.850  1.69 1.191e+04  29.4307 
OBS: 59992.3601 g WFD  2.2379e-02  8.801e-03    0  1.000 44.100  1.99 5.445e+03  31.4042 
OBS: 59993.2560 r WFD  1.5248e-01  8.905e-03 4096  1.000 44.810  1.79 1.178e+04  29.5584 
OBS: 59994.2942 r WFD  1.3670e-01  5.468e-03 4096  1.000 45.590  1.63 1.629e+04  29.6430 
OBS: 59996.3972 z WFD  1.3163e+00  5.008e-02 4096  1.000 43.530  1.49 2.448e+04  27.2349 
OBS: 60001.3723 r WFD  7.8778e-02  1.259e-02 4096  1.000 44.090  1.90 8.086e+03  30.2621 
