SURVEY:   LSST
SNID:     1207718
IAUC:     NULL
SNTYPE:   126
RA:       340.621824  # deg
DEC:      -53.739292  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0126 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60617.734     # estimate for LC fit codes
MJD_TRIGGER:       60591.035  
MJD_DETECT_FIRST:  60582.996  
MJD_DETECT_LAST:   60655.055  

REDSHIFT_HELIO:   1.202021 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.200704 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           3717    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.23926  
SIM_REDSHIFT_CMB:    1.23792  
SIM_REDSHIFT_HOST:   1.20202  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9690593243 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.878 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.641 -9.000 
SIM_DLMU:            44.6749   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0010   # mag 
SIM_RA:              340.621826     # deg  
SIM_DEC:             -53.739292      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0126   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60617.734    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -388.07  # days 
SIM_TRESTMAX:        16.68  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.60  31.43  28.91  27.44  26.42  26.16  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.2674 z WFD  2.3954e-02  2.536e-02    0  1.000 45.010  1.99 3.628e+04  99.0000 
OBS: 59753.2790 g WFD -3.7381e-03  7.212e-03    0  1.000 44.760  2.42 6.739e+03  99.0000 
OBS: 59754.2425 i WFD -8.6545e-03  1.655e-02    0  1.000 44.560  2.03 1.533e+04  99.0000 
OBS: 59758.4345 z WFD -1.8274e-02  5.108e-02    0  1.000 43.500  2.53 1.431e+04  99.0000 
OBS: 59760.4372 z WFD -2.6692e-04  3.876e-02    0  1.000 43.510  1.85 1.498e+04  99.0000 
OBS: 59767.2019 Y WFD  6.9755e-02  1.241e-01    0  1.000 42.490  2.46 1.410e+04  99.0000 
OBS: 59770.2610 Y WFD  2.9486e-02  8.160e-02    0  1.000 42.550  1.73 1.393e+04  99.0000 
OBS: 59771.2094 z WFD -1.8624e-02  3.540e-02    0  1.000 44.250  1.91 2.620e+04  99.0000 
OBS: 59773.2363 Y WFD -3.0515e-02  5.031e-02    0  1.000 43.750  1.52 2.952e+04  99.0000 
OBS: 59775.3499 z WFD  4.7311e-02  3.832e-02    0  1.000 45.040  2.38 4.712e+04  99.0000 
OBS: 59777.4228 Y WFD  9.9185e-02  1.132e-01    0  1.000 42.560  2.24 1.507e+04  99.0000 
OBS: 59783.1970 r WFD  5.2625e-03  1.277e-02    0  1.000 44.800  2.77 1.082e+04  99.0000 
OBS: 59800.1236 Y WFD -2.6590e-02  4.377e-02    0  1.000 44.030  1.64 3.081e+04  99.0000 
OBS: 59801.1745 z WFD -4.6370e-02  4.234e-02    0  1.000 44.260  1.99 3.036e+04  99.0000 
OBS: 59802.1987 Y WFD  2.9149e-02  6.744e-02    0  1.000 43.340  1.68 2.455e+04  99.0000 
OBS: 59803.1193 Y WFD -7.7526e-02  5.557e-02    0  1.000 44.490  2.04 4.804e+04  99.0000 
OBS: 59804.1011 z WFD  2.0403e-02  4.380e-02    0  1.000 44.260  1.65 3.788e+04  99.0000 
OBS: 59809.1061 r WFD  2.2432e-03  6.945e-03    0  1.000 44.790  1.46 1.106e+04  99.0000 
OBS: 59812.0906 g WFD -8.8941e-04  6.047e-03    0  1.000 44.730  1.97 6.751e+03  99.0000 
OBS: 59813.1975 i WFD -1.2779e-02  1.030e-02    0  1.000 45.340  1.97 2.016e+04  99.0000 
OBS: 59819.1617 u WFD -2.3459e-02  2.167e-02    0  1.000 41.270  1.94 1.012e+03  99.0000 
OBS: 59824.0520 i WFD -2.4914e-03  9.462e-03    0  1.000 45.750  1.94 2.745e+04  99.0000 
OBS: 59831.0408 Y WFD  8.5027e-02  6.188e-02    0  1.000 44.050  1.96 3.713e+04  99.0000 
OBS: 59843.0409 i WFD -2.6355e-02  1.365e-02    0  1.000 44.570  1.75 1.480e+04  99.0000 
OBS: 59844.0818 r WFD  1.0442e-03  9.264e-03    0  1.000 44.820  2.11 1.049e+04  99.0000 
OBS: 59851.1197 u WFD -2.5380e-02  1.571e-02    0  1.000 42.000  1.99 1.401e+03  99.0000 
