SURVEY:   LSST
SNID:     1208829
IAUC:     NULL
SNTYPE:   126
RA:       111.725779  # deg
DEC:      -14.036458  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.4306 +- 0.0215  # MW E(B-V) 
PEAKMJD:  60221.164     # estimate for LC fit codes
MJD_TRIGGER:       60233.371  
MJD_DETECT_FIRST:  60210.398  
MJD_DETECT_LAST:   60262.352  

REDSHIFT_HELIO:   1.188857 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.190383 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8815447882  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1889  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          111.725739    # deg 
HOSTGAL_DEC:         -14.036460    # deg 
HOSTGAL_SNSEP:       0.056       # arcsec 
HOSTGAL_DDLR:        0.362       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.701 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.393
HOSTGAL_SQRADIUS:     7.561   # Ixx + Iyy
HOSTGAL_MAG:     30.71  29.09  26.89  25.60  24.51  23.83 # ugrizY
HOSTGAL_MAGERR:  26.62   0.30   0.05   0.03   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           4828    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.18886  
SIM_REDSHIFT_CMB:    1.19039  
SIM_REDSHIFT_HOST:   1.12158  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8815447882 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.613 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.701 -9.000 
SIM_DLMU:            44.5669   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0287   # mag 
SIM_RA:              111.725777     # deg  
SIM_DEC:             -14.036458      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.4598   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60221.164    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -290.94  # days 
SIM_TRESTMAX:        205.88  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.63  32.89  29.85  28.12  27.02  26.55  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.3449 z WFD  6.5804e-02  5.373e-02    0  1.000 43.460  2.40 1.529e+04  99.0000 
OBS: 59586.1629 u WFD -3.3501e-03  2.089e-02    0  1.000 41.280  1.87 1.021e+03  99.0000 
OBS: 59589.0706 Y WFD  3.0718e-02  8.790e-02    0  1.000 42.490  1.72 1.428e+04  99.0000 
OBS: 59592.0802 z WFD -4.6363e-02  2.865e-02    0  1.000 44.240  1.60 2.508e+04  99.0000 
OBS: 59594.0854 Y WFD -1.3182e-02  9.227e-02    0  1.000 42.540  1.71 1.579e+04  99.0000 
OBS: 59597.0566 Y WFD -1.7789e-01  1.580e-01    0  1.000 42.530  2.50 1.833e+04  99.0000 
OBS: 59602.0559 Y WFD  2.2066e-02  1.227e-01    0  1.000 42.530  2.59 1.373e+04  99.0000 
OBS: 59623.0289 z WFD -4.9509e-02  4.314e-02    0  1.000 44.270  1.91 3.252e+04  99.0000 
OBS: 59631.1824 i WFD -1.6139e-02  2.175e-02    0  1.000 44.600  2.05 2.071e+04  99.0000 
OBS: 59633.1280 g WFD -9.5869e-03  1.101e-02    0  1.000 44.050  2.78 4.658e+03  99.0000 
OBS: 59642.0189 z WFD -9.9697e-03  3.678e-02    0  1.000 44.260  2.56 2.050e+04  99.0000 
OBS: 59653.0763 Y WFD  6.1145e-03  1.064e-01    0  1.000 42.580  2.21 1.463e+04  99.0000 
OBS: 59660.0041 Y WFD -2.3423e-03  4.244e-02    0  1.000 43.770  1.70 2.268e+04  99.0000 
OBS: 59682.0896 Y WFD  4.9698e-02  7.854e-02    0  1.000 42.500  1.42 1.560e+04  99.0000 
OBS: 59684.0697 Y WFD -2.4748e-02  8.537e-02    0  1.000 42.520  1.57 1.562e+04  99.0000 
OBS: 59690.9718 z WFD -1.4610e-02  4.014e-02    0  1.000 43.510  1.79 1.604e+04  99.0000 
OBS: 59703.9713 z WFD  3.6583e-02  2.326e-02    0  1.000 44.250  1.52 2.163e+04  99.0000 
OBS: 59713.9751 Y WFD -1.0926e-04  1.235e-01    0  1.000 42.540  2.39 1.513e+04  99.0000 
OBS: 59719.9669 Y WFD -4.2245e-02  1.069e-01    0  1.000 42.530  2.20 1.409e+04  99.0000 
OBS: 59721.9536 Y WFD  2.2653e-01  1.832e-01    0  1.000 42.530  2.45 2.169e+04  99.0000 
OBS: 59860.3393 Y WFD -3.9387e-03  1.024e-01    0  1.000 42.520  1.93 1.525e+04  99.0000 
OBS: 59868.3697 z WFD -4.3519e-02  3.783e-02    0  1.000 43.510  1.64 1.649e+04  99.0000 
OBS: 59870.3327 i WFD  1.5553e-02  1.071e-02    0  1.000 45.340  1.66 2.490e+04  99.0000 
OBS: 59874.3120 u WFD -8.1127e-03  2.885e-02    0  1.000 41.110  2.30 9.803e+02  99.0000 
OBS: 59878.2980 g WFD  1.7396e-05  3.299e-03    0  1.000 45.510  1.55 9.604e+03  99.0000 
OBS: 59879.2882 g WFD -6.3472e-03  6.546e-03    0  1.000 44.730  2.11 6.824e+03  99.0000 
OBS: 59896.2971 i WFD -9.2947e-03  2.750e-02    0  1.000 44.630  2.18 2.531e+04  99.0000 
OBS: 59899.2836 i WFD  8.2515e-05  1.727e-02    0  1.000 45.350  2.71 2.482e+04  99.0000 
OBS: 59900.3167 r WFD -1.8738e-02  1.137e-02    0  1.000 44.870  2.10 1.355e+04  99.0000 
OBS: 59901.3110 r WFD  4.1044e-03  8.951e-03    0  1.000 45.290  2.34 1.409e+04  99.0000 
OBS: 59902.2550 r WFD  1.8269e-03  1.337e-02    0  1.000 44.800  2.93 1.071e+04  99.0000 
OBS: 59904.2244 u WFD  2.8664e-02  3.187e-02    0  1.000 41.000  2.42 9.297e+02  99.0000 
OBS: 59905.2207 u WFD -1.5855e-02  2.739e-02    0  1.000 41.030  2.11 9.424e+02  99.0000 
OBS: 59917.2400 z WFD  2.3129e-02  2.463e-02    0  1.000 44.260  1.56 2.253e+04  99.0000 
