SURVEY:   LSST
SNID:     1209595
IAUC:     NULL
SNTYPE:   126
RA:       19.850918  # deg
DEC:      -14.041888  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0191 +- 0.0010  # MW E(B-V) 
PEAKMJD:  59733.621     # estimate for LC fit codes
MJD_TRIGGER:       59782.371  
MJD_DETECT_FIRST:  59782.305  
MJD_DETECT_LAST:   59922.039  

REDSHIFT_HELIO:   0.954910 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.953011 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9751936789  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9549  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          19.850669    # deg 
HOSTGAL_DEC:         -14.041777    # deg 
HOSTGAL_SNSEP:       0.398       # arcsec 
HOSTGAL_DDLR:        1.517       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.666 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.187
HOSTGAL_SQRADIUS:     11.630   # Ixx + Iyy
HOSTGAL_MAG:     27.69  26.58  24.87  23.82  23.08  22.80 # ugrizY
HOSTGAL_MAGERR:  26.62   0.14   0.03   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           5594    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.95491  
SIM_REDSHIFT_CMB:    0.95301  
SIM_REDSHIFT_HOST:   0.98065  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9751936789 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.590 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.666 -9.000 
SIM_DLMU:            43.9732   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0231   # mag 
SIM_RA:              19.850918     # deg  
SIM_DEC:             -14.041888      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0189   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59733.621    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        24.90  # days 
SIM_TRESTMAX:        481.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.05  29.55  27.35  25.93  25.43  25.26  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3034 Y WFD  1.8949e+00  8.230e-02 4096  1.000 43.270  2.41 1.958e+04  26.8467 
OBS: 59782.3729 i WFD  4.7458e-01  2.216e-02 6144  1.000 44.590  2.76 1.553e+04  28.4026 
OBS: 59783.4062 r WFD  9.3484e-02  6.355e-03 4096  1.000 45.620  1.94 1.636e+04  30.0693 
OBS: 59784.4117 r WFD  1.0635e-01  1.013e-02    0  1.000 44.110  1.59 7.918e+03  30.0876 
OBS: 59785.4357 z WFD  1.1917e+00  3.809e-02 4096  1.000 44.270  2.50 2.194e+04  27.3888 
OBS: 59788.4347 z WFD  9.8744e-01  4.371e-02 4096  1.000 43.520  2.04 1.546e+04  27.4775 
OBS: 59790.3835 g WFD  2.8905e-02  7.046e-03    0  1.000 44.860  2.51 6.960e+03  31.6805 
OBS: 59790.4287 z WFD  9.7666e-01  4.899e-02 4096  1.000 43.510  2.52 1.390e+04  27.5054 
OBS: 59793.4318 z WFD  9.2128e-01  4.659e-02 4096  1.000 43.510  2.22 1.501e+04  27.5282 
OBS: 59811.2559 i WFD  3.9122e-01  1.379e-02 4096  1.000 44.570  1.73 1.513e+04  28.4861 
OBS: 59818.3341 u WFD  4.4421e-03  1.785e-02    0  1.000 41.380  1.68 1.066e+03  32.5993 
OBS: 59819.3120 u WFD  1.1043e-02  2.307e-02    0  1.000 41.340  2.13 1.047e+03  32.6002 
OBS: 59822.1939 i WFD  4.1833e-01  1.849e-02 4096  1.000 44.560  2.24 1.552e+04  28.4289 
OBS: 59823.4120 z WFD  8.7886e-01  4.698e-02 4096  1.000 43.490  2.09 1.578e+04  27.6722 
OBS: 59825.1757 z WFD  8.5077e-01  3.371e-02 4096  1.000 44.220  2.13 2.177e+04  27.6909 
OBS: 59826.4146 Y WFD  1.3266e+00  1.123e-01 4096  1.000 43.280  2.44 2.664e+04  27.2736 
OBS: 59831.1519 Y WFD  1.1476e+00  1.409e-01 4096  1.000 42.500  2.20 1.807e+04  27.2629 
OBS: 59832.1551 Y WFD  1.2634e+00  1.421e-01 4096  1.000 42.530  2.01 2.050e+04  27.2598 
OBS: 59836.1989 Y WFD  1.2435e+00  3.430e-02 4096  1.000 44.320  1.50 3.448e+04  27.2511 
OBS: 59839.1836 g WFD  1.2751e-02  5.710e-03    0  1.000 44.810  1.90 7.115e+03  31.6955 
OBS: 59843.3933 z WFD  8.1751e-01  4.390e-02 4096  1.000 43.470  1.83 1.653e+04  27.6526 
OBS: 59844.1821 r WFD  7.2253e-02  5.401e-03 4096  1.000 45.590  1.66 1.580e+04  30.3045 
OBS: 59849.1286 r WFD  8.2470e-02  1.212e-02    0  1.000 44.800  2.49 1.142e+04  30.3143 
OBS: 59856.0821 Y WFD  1.1393e+00  1.016e-01 4096  1.000 42.490  1.95 1.456e+04  27.4961 
OBS: 59856.1061 i WFD  3.4003e-01  1.961e-02 4096  1.000 44.580  1.96 1.917e+04  28.6718 
OBS: 59864.2797 z WFD  6.1701e-01  3.102e-02 4096  1.000 44.710  1.75 3.828e+04  28.0560 
OBS: 59871.0978 r WFD  5.6799e-02  7.316e-03    0  1.000 44.830  1.57 1.124e+04  30.5359 
OBS: 59875.1757 u WFD -1.7752e-02  2.100e-02    0  1.000 41.360  1.94 1.066e+03  32.6639 
OBS: 59878.0520 u WFD -1.5554e-03  2.375e-02    0  1.000 41.140  1.91 9.993e+02  32.6755 
OBS: 59885.0011 Y WFD  5.4389e-01  1.655e-01    0  1.000 42.520  1.71 2.781e+04  27.9795 
OBS: 59898.0095 Y WFD  5.1667e-01  1.793e-01    0  1.000 42.580  2.02 2.695e+04  28.1651 
OBS: 59904.0240 z WFD  2.2501e-01  3.540e-02 4096  1.000 44.270  1.62 3.147e+04  29.0758 
OBS: 59910.0900 g WFD  1.5862e-02  4.940e-03    0  1.000 44.850  1.72 7.055e+03  31.9938 
OBS: 59918.0396 Y WFD  4.6319e-01  3.662e-02 4096  1.000 43.800  1.22 2.804e+04  28.3805 
OBS: 59922.0374 z WFD  1.5560e-01  3.229e-02 4096  1.000 44.290  1.69 2.803e+04  29.4103 
OBS: 59945.0437 Y WFD  4.2266e-01  1.084e-01    0  1.000 42.580  2.05 1.606e+04  28.6782 
OBS: 59952.0594 Y WFD  2.7968e-01  7.230e-02    0  1.000 42.540  1.45 1.459e+04  28.7555 
OBS: 59955.0615 z WFD  1.0762e-01  2.840e-02    0  1.000 44.230  1.73 2.279e+04  30.0235 
OBS: 59974.0310 z WFD  9.8345e-02  6.760e-02    0  1.000 43.490  1.73 2.744e+04  30.3757 
OBS: 60118.3771 u WFD  2.5588e-02  2.693e-02    0  1.000 41.070  2.03 9.993e+02  33.9606 
OBS: 60119.3950 r WFD  1.5837e-02  1.323e-02    0  1.000 44.820  2.69 1.175e+04  32.9920 
OBS: 60122.3742 r WFD -4.3473e-03  1.175e-02    0  1.000 44.790  2.32 1.177e+04  33.0205 
OBS: 60124.4043 i WFD  5.7038e-03  1.247e-02    0  1.000 45.020  1.93 1.857e+04  33.9731 
OBS: 60126.3661 z WFD -5.2675e-02  3.984e-02    0  1.000 44.240  2.23 2.503e+04  33.2044 
OBS: 60128.3480 Y WFD  2.2401e-04  1.166e-01    0  1.000 42.520  2.11 1.587e+04  30.6989 
OBS: 60130.3890 z WFD -1.8246e-02  2.862e-02    0  1.000 45.020  2.14 3.843e+04  33.2791 
OBS: 60137.3937 i WFD  1.4906e-02  1.745e-02    0  1.000 44.590  2.21 1.527e+04  34.2145 
OBS: 60143.3878 r WFD  6.2230e-03  9.600e-03    0  1.000 44.840  2.12 1.102e+04  33.2220 
OBS: 60144.3607 g WFD  5.4400e-03  4.853e-03    0  1.000 44.820  1.63 7.115e+03  33.2106 
OBS: 60144.4380 z WFD  4.3151e-02  3.067e-02    0  1.000 44.280  1.56 2.857e+04  33.5400 
OBS: 60148.3524 r WFD  1.4451e-02  8.320e-03    0  1.000 44.840  1.82 1.113e+04  33.2696 
OBS: 60151.2943 r WFD  8.0899e-04  9.472e-03    0  1.000 44.790  1.93 1.141e+04  33.2978 
OBS: 60153.2739 Y WFD  3.3856e-02  8.369e-02    0  1.000 42.520  1.66 1.449e+04  30.9736 
OBS: 60158.2985 Y WFD  1.8562e-02  6.197e-02    0  1.000 43.310  1.58 2.333e+04  31.0290 
OBS: 60164.2925 r WFD  6.9701e-03  1.473e-02    0  1.000 44.880  2.05 1.815e+04  33.4224 
OBS: 60176.2309 u WFD -8.0524e-03  1.878e-02    0  1.000 41.870  2.12 1.395e+03  34.2836 
OBS: 60177.2182 g WFD  4.0984e-03  5.141e-03    0  1.000 45.490  2.32 9.816e+03  33.3813 
OBS: 60178.4204 Y WFD  4.4661e-02  7.396e-02    0  1.000 42.560  1.50 1.470e+04  31.2508 
OBS: 60179.2413 i WFD  3.5772e-03  9.153e-03    0  1.000 45.320  1.64 2.114e+04  34.9922 
OBS: 60180.2185 i WFD  1.2842e-02  1.950e-02    0  1.000 44.560  2.32 1.581e+04  35.0104 
OBS: 60183.1952 Y WFD -8.4391e-02  8.523e-02    0  1.000 43.250  2.33 2.059e+04  31.3035 
OBS: 60197.1808 g WFD  1.9114e-02  7.671e-03    0  1.000 44.010  1.76 4.939e+03  33.4850 
OBS: 60198.1861 u WFD  1.8428e-02  3.097e-02    0  1.000 41.180  2.56 1.009e+03  34.4062 
OBS: 60199.1818 i WFD -1.2260e-02  2.113e-02    0  1.000 44.570  2.68 1.497e+04  35.3628 
OBS: 60204.1585 i WFD  1.3086e-02  1.263e-02    0  1.000 44.570  1.56 1.537e+04  35.4553 
OBS: 60206.1375 u WFD -5.4104e-02  2.958e-02    0  1.000 41.040  2.24 9.677e+02  34.4506 
OBS: 60208.1779 i WFD  1.0126e-02  1.499e-02    0  1.000 45.330  2.69 2.130e+04  35.5300 
OBS: 60209.1592 r WFD  1.2215e-03  1.133e-02    0  1.000 45.290  2.60 1.605e+04  33.8525 
OBS: 60211.1345 Y WFD -1.7280e-01  1.134e-01    0  1.000 42.530  2.34 1.405e+04  31.6114 
OBS: 60211.1918 r WFD  3.1107e-03  1.662e-02    0  1.000 44.900  2.37 1.804e+04  33.8720 
OBS: 60221.1188 g WFD  4.9917e-03  6.159e-03    0  1.000 44.800  2.03 7.118e+03  33.6093 
OBS: 60228.1460 r WFD -4.9675e-03  9.990e-03    0  1.000 44.840  2.22 1.095e+04  34.0345 
OBS: 60229.1010 r WFD -4.0483e-03  1.316e-02    0  1.000 44.070  1.99 7.918e+03  34.0436 
OBS: 60239.0419 z WFD -1.2549e-02  2.966e-02    0  1.000 44.230  1.85 2.225e+04  35.2966 
OBS: 60246.1904 Y WFD -7.4357e-02  5.918e-02    0  1.000 43.780  1.73 3.137e+04  31.9979 
OBS: 60247.1994 z WFD  1.3025e-02  2.597e-02    0  1.000 45.030  1.69 4.456e+04  35.4481 
OBS: 60248.0296 z WFD  5.1873e-02  3.008e-02    0  1.000 44.230  1.97 2.120e+04  35.4635 
OBS: 60249.1419 i WFD  1.1042e-02  1.809e-02    0  1.000 44.620  1.74 2.067e+04  36.2913 
OBS: 60267.0211 Y WFD  6.8026e-02  9.327e-02    0  1.000 42.580  1.88 1.507e+04  32.2275 
OBS: 60273.1035 z WFD  4.6799e-02  3.618e-02    0  1.000 44.290  1.61 3.296e+04  35.9291 
OBS: 60276.0819 Y WFD -2.4485e-02  5.544e-02    0  1.000 43.350  1.62 2.112e+04  32.3274 
