SURVEY:   LSST
SNID:     1210324
IAUC:     NULL
SNTYPE:   126
RA:       175.027012  # deg
DEC:      -25.011882  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0447 +- 0.0022  # MW E(B-V) 
PEAKMJD:  60218.316     # estimate for LC fit codes
MJD_TRIGGER:       60305.277  
MJD_DETECT_FIRST:  60296.348  
MJD_DETECT_LAST:   60369.230  

REDSHIFT_HELIO:   0.967551 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.969844 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6002226418  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9676  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          175.027380    # deg 
HOSTGAL_DEC:         -25.011644    # deg 
HOSTGAL_SNSEP:       0.695       # arcsec 
HOSTGAL_DDLR:        3.406       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.738 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.775
HOSTGAL_SQRADIUS:     14.535   # Ixx + Iyy
HOSTGAL_MAG:     28.89  27.73  26.29  25.29  24.53  24.22 # ugrizY
HOSTGAL_MAGERR:  26.62   0.27   0.11   0.07   0.06   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  705   # template index for SIMSED,NONIa
SIM_LIBID:           6324    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.96755  
SIM_REDSHIFT_CMB:    0.96985  
SIM_REDSHIFT_HOST:   1.00085  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6002226418 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.785 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.738 -9.000 
SIM_DLMU:            44.0155   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0363   # mag 
SIM_RA:              175.027008     # deg  
SIM_DEC:             -25.011881      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0433   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60218.316    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -315.68  # days 
SIM_TRESTMAX:        231.78  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.23  28.95  27.39  26.12  25.64  25.55  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59597.2061 Y WFD -1.5840e-01  1.151e-01    0  1.000 43.250  2.73 2.372e+04  99.0000 
OBS: 59603.3516 i WFD  7.0719e-02  3.912e-02    0  1.000 43.890  2.50 1.588e+04  99.0000 
OBS: 59609.3772 z WFD -9.0055e-05  3.445e-02    0  1.000 44.280  2.11 2.373e+04  99.0000 
OBS: 59610.2903 i WFD  6.8968e-03  1.478e-02    0  1.000 44.590  2.03 1.408e+04  99.0000 
OBS: 59618.1691 Y WFD -3.0630e-02  1.068e-01    0  1.000 42.530  2.25 1.377e+04  99.0000 
OBS: 59621.1766 Y WFD  1.1455e-01  7.511e-02    0  1.000 42.550  1.60 1.387e+04  99.0000 
OBS: 59645.1382 u WFD -4.9256e-02  2.584e-02    0  1.000 41.260  2.25 1.031e+03  99.0000 
OBS: 59652.0608 Y WFD -2.3255e-02  9.816e-02    0  1.000 43.260  2.62 2.128e+04  99.0000 
OBS: 59653.0597 Y WFD -2.6441e-02  1.492e-01    0  1.000 42.520  2.74 1.565e+04  99.0000 
OBS: 59654.0521 Y WFD  2.2833e-01  1.526e-01    0  1.000 42.500  2.55 1.688e+04  99.0000 
OBS: 59658.2064 z WFD -4.2865e-02  3.950e-02    0  1.000 45.460  2.73 6.234e+04  99.0000 
OBS: 59660.2912 Y WFD  6.4749e-02  8.473e-02    0  1.000 42.560  1.72 1.469e+04  99.0000 
OBS: 59681.0405 z WFD -2.1961e-02  2.141e-02    0  1.000 44.270  1.28 2.408e+04  99.0000 
OBS: 59685.1571 Y WFD  1.5886e-02  5.421e-02    0  1.000 43.340  1.25 2.652e+04  99.0000 
OBS: 59686.2390 Y WFD  3.6250e-01  1.076e-01    0  1.000 42.550  1.66 1.915e+04  99.0000 
OBS: 59688.2447 z WFD  4.7675e-02  4.611e-02    0  1.000 44.250  2.30 2.835e+04  99.0000 
OBS: 59690.2414 i WFD  2.3460e-02  2.313e-02    0  1.000 44.580  2.07 2.141e+04  99.0000 
OBS: 59710.1325 i WFD -1.8908e-02  2.365e-02    0  1.000 44.620  1.93 2.436e+04  99.0000 
OBS: 59712.0939 Y WFD  3.1585e-01  1.570e-01    0  1.000 42.580  3.06 1.558e+04  99.0000 
OBS: 59713.1027 Y WFD -2.2864e-02  6.718e-02    0  1.000 43.330  1.71 2.380e+04  99.0000 
OBS: 59718.0710 i WFD -2.9709e-02  1.924e-02    0  1.000 44.630  1.85 2.087e+04  99.0000 
OBS: 59769.9978 z WFD  4.9959e-02  2.853e-02    0  1.000 44.260  1.59 2.560e+04  99.0000 
OBS: 59779.9689 z WFD -2.7445e-02  3.737e-02    0  1.000 44.250  2.21 2.391e+04  99.0000 
OBS: 59783.9698 z WFD  9.0487e-02  5.133e-02    0  1.000 43.490  2.30 1.567e+04  99.0000 
OBS: 59911.3447 z WFD -4.2898e-03  4.675e-02    0  1.000 43.480  1.96 1.659e+04  99.0000 
OBS: 59916.3469 z WFD -2.5172e-02  4.012e-02    0  1.000 43.480  1.60 1.744e+04  99.0000 
OBS: 59923.3473 z WFD  1.2380e-01  6.964e-02    0  1.000 43.500  2.42 2.039e+04  99.0000 
OBS: 59927.3412 Y WFD -3.7973e-02  7.414e-02    0  1.000 43.310  2.11 2.090e+04  99.0000 
OBS: 59938.3193 r WFD -5.3783e-03  1.032e-02    0  1.000 44.820  2.18 1.131e+04  99.0000 
OBS: 59941.2769 i WFD -1.5665e-02  1.357e-02    0  1.000 44.550  1.60 1.580e+04  99.0000 
OBS: 59941.3511 z WFD  3.5963e-02  3.161e-02    0  1.000 43.510  1.50 1.507e+04  99.0000 
OBS: 59944.2960 i WFD  1.3628e-02  1.088e-02    0  1.000 45.330  1.95 2.132e+04  99.0000 
OBS: 59950.2438 Y WFD  2.5249e-02  9.130e-02    0  1.000 43.250  2.29 2.244e+04  99.0000 
OBS: 59952.2484 Y WFD -4.5315e-02  4.448e-02    0  1.000 44.030  1.59 3.230e+04  99.0000 
