SURVEY:   LSST
SNID:     1210619
IAUC:     NULL
SNTYPE:   126
RA:       263.225502  # deg
DEC:      2.613737  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1319 +- 0.0066  # MW E(B-V) 
PEAKMJD:  59798.016     # estimate for LC fit codes
MJD_TRIGGER:       59793.039  
MJD_DETECT_FIRST:  59775.145  
MJD_DETECT_LAST:   59793.039  

REDSHIFT_HELIO:   1.080328 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.080080 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9564432424  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0803  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          263.225451    # deg 
HOSTGAL_DEC:         2.613644    # deg 
HOSTGAL_SNSEP:       0.183       # arcsec 
HOSTGAL_DDLR:        0.684       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.705 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.136
HOSTGAL_SQRADIUS:     9.460   # Ixx + Iyy
HOSTGAL_MAG:     28.50  27.11  25.35  24.25  23.48  23.19 # ugrizY
HOSTGAL_MAGERR:  26.62   0.15   0.03   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  705   # template index for SIMSED,NONIa
SIM_LIBID:           6620    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.08033  
SIM_REDSHIFT_CMB:    1.08007  
SIM_REDSHIFT_HOST:   1.06812  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9564432424 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.991 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.705 -9.000 
SIM_DLMU:            44.3074   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0151   # mag 
SIM_RA:              263.225494     # deg  
SIM_DEC:             2.613737      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1265   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59798.016    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -58.49  # days 
SIM_TRESTMAX:        370.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.02  29.77  28.21  26.89  26.15  25.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 66 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.3470 i WFD  1.3783e-02  1.465e-02    0  1.000 44.570  1.86 1.495e+04  99.0000 
OBS: 59678.4084 z WFD -1.4064e-02  4.808e-02    0  1.000 43.490  2.31 1.461e+04  99.0000 
OBS: 59683.3058 Y WFD  5.4790e-02  7.316e-02    0  1.000 42.540  1.48 1.447e+04  99.0000 
OBS: 59685.3150 Y WFD  4.9178e-02  3.477e-02    0  1.000 44.290  1.42 3.592e+04  99.0000 
OBS: 59694.3451 g WFD -7.7311e-03  7.464e-03    0  1.000 44.840  2.14 8.491e+03  99.0000 
OBS: 59699.4223 z WFD  5.3687e-03  5.306e-02    0  1.000 44.230  2.33 3.161e+04  99.0000 
OBS: 59701.4160 z WFD -4.6924e-03  3.225e-02    0  1.000 43.480  1.45 1.547e+04  99.0000 
OBS: 59702.4019 u WFD  9.0398e-02  3.156e-02    0  1.000 41.020  2.40 9.455e+02  99.0000 
OBS: 59703.4149 z WFD -3.9368e-02  4.076e-02    0  1.000 43.460  1.81 1.538e+04  99.0000 
OBS: 59721.1874 i WFD -2.6238e-02  1.815e-02    0  1.000 44.570  1.95 1.767e+04  99.0000 
OBS: 59763.1596 u WFD -2.3745e-02  3.638e-02    0  1.000 41.150  3.00 9.835e+02  99.0000 
OBS: 59768.0439 Y WFD -1.0794e-01  1.014e-01    0  1.000 43.250  2.79 2.045e+04  99.0000 
OBS: 59773.0426 Y WFD  1.2463e-02  3.393e-02    0  1.000 45.400  1.89 7.319e+04  99.0000 
OBS: 59774.1178 z WFD  7.8057e-02  2.904e-02    0  1.000 45.620  2.10 6.905e+04  30.0567 
OBS: 59775.1448 z WFD  2.0282e-01  2.227e-02 4096  1.000 45.890  2.24 6.365e+04  29.2338 
OBS: 59793.0373 r WFD  6.0877e-01  9.130e-03 6144  1.000 44.820  1.96 1.113e+04  28.0670 
OBS: 60001.4005 Y WFD  1.6992e-01  1.333e-01    0  1.000 43.280  2.05 3.763e+04  29.6009 
OBS: 60004.3911 z WFD -9.3078e-03  4.199e-02    0  1.000 43.480  1.83 1.596e+04  30.4571 
OBS: 60006.3943 Y WFD  2.1275e-01  9.319e-02    0  1.000 43.270  2.31 2.313e+04  29.6117 
OBS: 60009.3923 Y WFD  5.1589e-02  8.291e-02    0  1.000 43.270  2.18 2.180e+04  29.6478 
OBS: 60011.3916 Y WFD  1.3423e-01  8.230e-02    0  1.000 44.480  2.93 4.908e+04  29.6714 
OBS: 60080.2434 u WFD  1.4837e-02  1.654e-02    0  1.000 41.890  1.88 1.410e+03  36.0036 
OBS: 60094.2723 i WFD  2.0326e-02  1.667e-02    0  1.000 44.590  1.77 1.821e+04  31.7245 
OBS: 60095.1563 Y WFD  9.1794e-02  8.277e-02    0  1.000 42.540  1.63 1.486e+04  30.5375 
OBS: 60101.2450 z WFD -3.3114e-02  4.259e-02    0  1.000 44.270  1.87 3.280e+04  30.9645 
OBS: 60119.1840 r WFD  1.0043e-02  1.039e-02    0  1.000 44.820  2.24 1.109e+04  32.5084 
OBS: 60128.0959 Y WFD -1.1180e-01  8.568e-02    0  1.000 43.740  2.10 3.606e+04  30.8898 
OBS: 60129.1206 Y WFD  1.7690e-01  6.578e-02    0  1.000 43.320  1.58 2.499e+04  30.9012 
OBS: 60132.2330 i WFD  2.6660e-02  2.120e-02    0  1.000 45.020  2.15 2.834e+04  31.5355 
OBS: 60133.2015 r WFD  2.9623e-02  2.897e-02    0  1.000 44.110  2.56 1.406e+04  32.5370 
OBS: 60140.0814 u WFD -4.1715e-03  1.397e-02    0  1.000 41.980  1.68 1.448e+03  36.3548 
OBS: 60144.0817 r WFD -8.6293e-03  1.196e-02    0  1.000 44.810  2.59 1.094e+04  32.6115 
OBS: 60146.1079 g WFD -6.5414e-03  6.545e-03    0  1.000 44.780  2.21 6.821e+03  34.8827 
OBS: 60153.0552 Y WFD -1.1066e-02  1.155e-01    0  1.000 42.560  2.34 1.471e+04  31.1479 
