SURVEY:   LSST
SNID:     1212168
IAUC:     NULL
SNTYPE:   126
RA:       48.860083  # deg
DEC:      -36.531684  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0215 +- 0.0011  # MW E(B-V) 
PEAKMJD:  59774.926     # estimate for LC fit codes
MJD_TRIGGER:       59818.422  
MJD_DETECT_FIRST:  59813.422  
MJD_DETECT_LAST:   59859.184  

REDSHIFT_HELIO:   1.209597 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.208737 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  705   # template index for SIMSED,NONIa
SIM_LIBID:           8169    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.18241  
SIM_REDSHIFT_CMB:    1.18155  
SIM_REDSHIFT_HOST:   1.20960  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9003092837 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.741 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.168 -9.000 
SIM_DLMU:            44.5493   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0041   # mag 
SIM_RA:              48.860085     # deg  
SIM_DEC:             -36.531685      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0217   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59774.926    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        17.64  # days 
SIM_TRESTMAX:        412.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.87  29.79  28.39  27.20  26.22  26.00  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59813.4210 Y WFD  4.7770e-01  5.545e-02 4096  1.000 43.800  1.91 2.712e+04  28.1459 
OBS: 59817.3233 g WFD  1.6405e-02  4.840e-03    0  1.000 44.800  1.78 6.378e+03  32.9565 
OBS: 59818.3524 u WFD  1.7577e-02  1.426e-02    0  1.000 42.050  1.87 1.417e+03  33.5643 
OBS: 59818.4088 i WFD  3.3124e-02  1.490e-02    0  1.000 43.840  1.47 9.822e+03  31.1303 
OBS: 59818.4228 z WFD  2.8765e-01  4.150e-02 6144  1.000 43.540  1.45 2.104e+04  28.8956 
OBS: 59819.2758 u WFD -2.6856e-02  3.571e-02    0  1.000 41.050  2.84 9.297e+02  33.6108 
OBS: 59822.3938 i WFD  3.8451e-02  1.234e-02    0  1.000 44.590  1.74 1.371e+04  31.4536 
OBS: 59823.2989 g WFD  1.0909e-03  7.015e-03    0  1.000 44.770  2.53 6.328e+03  33.2959 
OBS: 59824.2449 i WFD  1.5349e-02  1.462e-02    0  1.000 44.550  1.82 1.497e+04  31.6445 
OBS: 59827.2787 z WFD  1.7411e-01  1.951e-02 4096  1.000 44.690  1.64 2.523e+04  29.2468 
OBS: 59832.2758 Y WFD  4.9034e-01  9.997e-02    0  1.000 42.580  1.92 1.581e+04  28.6039 
OBS: 59835.2462 Y WFD  3.2621e-01  3.009e-02 4096  1.000 44.500  1.43 3.745e+04  28.6016 
OBS: 59836.2246 Y WFD  3.6479e-01  3.313e-02 4096  1.000 44.660  1.73 3.949e+04  28.5929 
OBS: 59837.3667 i WFD  2.1872e-02  1.252e-02    0  1.000 45.390  1.70 2.975e+04  32.8412 
OBS: 59839.3829 r WFD  1.1010e-02  1.543e-02    0  1.000 44.160  1.82 1.103e+04  33.6596 
OBS: 59839.3990 z WFD  1.1836e-01  3.353e-02    0  1.000 43.520  1.56 1.551e+04  29.7613 
OBS: 59840.2584 r WFD  1.1354e-02  7.513e-03    0  1.000 44.840  1.65 1.108e+04  33.6941 
OBS: 59844.4008 z WFD  3.3434e-02  4.906e-02    0  1.000 43.530  1.70 2.102e+04  29.9494 
OBS: 59849.2079 r WFD -5.1932e-04  7.712e-03    0  1.000 45.570  2.47 1.489e+04  33.8709 
OBS: 59854.2884 r WFD  1.1872e-03  5.824e-03    0  1.000 44.850  1.41 1.015e+04  34.1497 
OBS: 59859.1823 Y WFD  3.5569e-01  4.590e-02 4096  1.000 43.760  1.63 2.535e+04  28.6583 
OBS: 59861.1606 Y WFD  3.7498e-01  1.162e-01    0  1.000 42.540  2.02 1.684e+04  28.6495 
OBS: 59862.2795 z WFD  6.8890e-02  1.877e-02    0  1.000 45.470  1.45 5.631e+04  30.1575 
OBS: 59863.3222 z WFD  1.0100e-01  1.972e-02    0  1.000 45.040  1.38 4.182e+04  30.1705 
OBS: 59866.3409 i WFD  1.7996e-02  1.567e-02    0  1.000 45.070  1.76 2.679e+04  33.4407 
OBS: 59867.2266 r WFD  1.4717e-02  1.102e-02    0  1.000 44.940  1.53 1.922e+04  34.3136 
OBS: 59870.2127 i WFD  3.8422e-03  9.939e-03    0  1.000 44.590  1.38 1.393e+04  33.6150 
OBS: 59897.2910 r WFD -7.0756e-03  1.639e-02    0  1.000 44.140  1.54 1.360e+04  35.3376 
OBS: 59898.0435 i WFD -3.9286e-03  1.651e-02    0  1.000 44.560  2.03 1.530e+04  99.0000 
OBS: 59904.0731 u WFD  4.1810e-02  2.626e-02    0  1.000 41.240  2.33 9.930e+02  35.6088 
OBS: 59908.1184 i WFD  2.5010e-03  1.607e-02    0  1.000 44.590  2.26 1.375e+04  33.9568 
OBS: 59909.0295 z WFD  5.7804e-02  2.448e-02    0  1.000 44.690  1.79 2.899e+04  30.3672 
OBS: 59914.1882 r WFD -2.5871e-03  9.172e-03    0  1.000 44.920  1.56 1.541e+04  34.9123 
OBS: 59915.0439 z WFD  3.5968e-02  2.837e-02    0  1.000 44.260  1.75 2.313e+04  30.4043 
