SURVEY:   LSST
SNID:     1213683
IAUC:     NULL
SNTYPE:   126
RA:       281.781634  # deg
DEC:      -45.409466  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0536 +- 0.0027  # MW E(B-V) 
PEAKMJD:  59681.004     # estimate for LC fit codes
MJD_TRIGGER:       59696.332  
MJD_DETECT_FIRST:  59688.414  
MJD_DETECT_LAST:   60161.168  

REDSHIFT_HELIO:   0.398419 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.398082 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9812748802  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3984  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          281.781899    # deg 
HOSTGAL_DEC:         -45.409472    # deg 
HOSTGAL_SNSEP:       0.362       # arcsec 
HOSTGAL_DDLR:        1.019       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.399 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.036
HOSTGAL_SQRADIUS:     11.525   # Ixx + Iyy
HOSTGAL_MAG:     24.78  22.74  21.13  20.46  20.07  19.86 # ugrizY
HOSTGAL_MAGERR:   0.09   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  746   # template index for SIMSED,NONIa
SIM_LIBID:           9684    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.39842  
SIM_REDSHIFT_CMB:    0.39808  
SIM_REDSHIFT_HOST:   0.36934  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9812748802 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.947 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.399 -9.000 
SIM_DLMU:            41.6726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0029   # mag 
SIM_RA:              281.781647     # deg  
SIM_DEC:             -45.409466      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0531   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59681.004    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0455  # spectro-search efficiency 
SIM_TRESTMIN:        5.30  # days 
SIM_TRESTMAX:        648.81  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.05  24.53  23.63  23.35  23.24  23.17  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 118 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59688.4149 z WFD  5.4413e+01  5.629e-02 4096  1.000 43.540  1.99 2.073e+04  23.1615 
OBS: 59696.3308 i WFD  4.5830e+01  1.371e-02 6144  1.000 44.580  1.80 1.433e+04  23.3471 
OBS: 59696.4235 z WFD  5.5390e+01  6.068e-02 4096  1.000 43.520  2.48 1.761e+04  23.1416 
OBS: 59700.2672 u WFD  2.7884e+00  1.889e-02 4096  1.000 41.240  1.59 1.034e+03  26.3919 
OBS: 59700.4246 z WFD  5.4874e+01  3.517e-02 4096  1.000 43.520  1.47 1.712e+04  23.1519 
OBS: 59712.1844 Y WFD  5.5064e+01  5.581e-02 4096  1.000 44.270  2.42 3.316e+04  23.1486 
OBS: 59713.2768 Y WFD  5.4136e+01  9.507e-02 4096  1.000 42.580  2.02 1.425e+04  23.1664 
OBS: 59722.4344 z WFD  4.3504e+01  6.744e-02 4096  1.000 43.500  2.31 2.065e+04  23.4016 
OBS: 59729.4336 z WFD  4.0722e+01  4.255e-02 4096  1.000 43.490  1.72 1.729e+04  23.4764 
OBS: 59748.1519 i WFD  2.1392e+01  1.404e-02 4096  1.000 45.820  1.83 4.594e+04  24.1743 
OBS: 59749.3225 z WFD  3.1007e+01  1.744e-02 4096  1.000 45.450  1.87 3.967e+04  23.7710 
OBS: 59750.1154 r WFD  8.4128e+00  8.002e-03 4096  1.000 44.810  1.67 1.126e+04  25.1867 
OBS: 59768.0805 Y WFD  2.3431e+01  8.263e-02 4096  1.000 42.550  1.78 1.369e+04  24.0728 
OBS: 59769.0819 z WFD  2.3031e+01  2.389e-02 4096  1.000 44.250  1.46 2.304e+04  24.0931 
OBS: 59770.1292 z WFD  2.2758e+01  2.494e-02 4096  1.000 44.270  1.44 2.485e+04  24.1055 
OBS: 59771.1451 z WFD  2.2518e+01  3.451e-02 4096  1.000 44.290  1.72 2.937e+04  24.1177 
OBS: 59775.2734 z WFD  2.1524e+01  4.932e-02 4096  1.000 44.270  2.13 3.332e+04  24.1690 
OBS: 59776.0485 i WFD  1.5818e+01  3.239e-02 4096  1.000 44.620  2.49 2.583e+04  24.5020 
OBS: 59786.1098 g WFD  1.6713e+00  6.264e-03 4096  1.000 45.580  3.09 9.743e+03  26.9421 
OBS: 59792.9729 z WFD  1.8264e+01  4.919e-02 4096  1.000 43.480  2.19 1.560e+04  24.3465 
OBS: 59798.0116 Y WFD  1.6659e+01  4.209e-02 4096  1.000 44.070  1.78 2.829e+04  24.4480 
OBS: 59804.0012 z WFD  1.6733e+01  2.928e-02 4096  1.000 44.270  1.50 2.806e+04  24.4431 
OBS: 59805.0417 i WFD  1.1841e+01  1.783e-02 4096  1.000 44.630  1.55 2.301e+04  24.8173 
OBS: 59806.0760 r WFD  5.1703e+00  1.309e-02 4096  1.000 44.930  1.83 1.888e+04  25.7125 
OBS: 59806.9684 Y WFD  1.5447e+01  1.107e-01 4096  1.000 42.570  1.57 2.120e+04  24.5430 
OBS: 59810.9808 Y WFD  1.4609e+01  5.537e-02 4096  1.000 43.330  1.72 1.948e+04  24.5837 
OBS: 59813.0803 r WFD  5.0947e+00  1.059e-02 4096  1.000 44.110  1.72 7.615e+03  25.7313 
OBS: 59819.0848 u WFD  5.8051e-01  1.919e-02 4096  1.000 41.370  1.79 1.063e+03  28.0973 
OBS: 59820.9822 z WFD  1.4844e+01  2.667e-02 4096  1.000 43.500  1.32 1.426e+04  24.5690 
OBS: 59823.0481 g WFD  1.4680e+00  5.594e-03 4096  1.000 44.890  1.84 7.729e+03  27.0833 
OBS: 59824.9944 z WFD  1.4507e+01  2.080e-02 4096  1.000 44.260  1.46 2.026e+04  24.5979 
OBS: 59830.1010 Y WFD  1.2363e+01  4.407e-02 4096  1.000 44.320  1.87 3.552e+04  24.7681 
OBS: 59840.0583 g WFD  1.1819e+00  5.136e-03 4096  1.000 44.830  1.76 7.020e+03  27.3183 
OBS: 59853.1233 r WFD  3.7524e+00  2.151e-02 4096  1.000 44.020  2.69 9.136e+03  26.0622 
