SURVEY:   LSST
SNID:     1214348
IAUC:     NULL
SNTYPE:   126
RA:       312.628201  # deg
DEC:      -17.511742  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0559 +- 0.0028  # MW E(B-V) 
PEAKMJD:  59742.586     # estimate for LC fit codes
MJD_TRIGGER:       59729.258  
MJD_DETECT_FIRST:  59722.332  
MJD_DETECT_LAST:   59887.016  

REDSHIFT_HELIO:   1.448209 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.445988 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  746   # template index for SIMSED,NONIa
SIM_LIBID:           10349    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.42699  
SIM_REDSHIFT_CMB:    1.42479  
SIM_REDSHIFT_HOST:   1.44821  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10317309757 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.896 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.621 -9.000 
SIM_DLMU:            45.0531   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0870   # mag 
SIM_RA:              312.628204     # deg  
SIM_DEC:             -17.511742      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0546   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59742.586    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -8.35  # days 
SIM_TRESTMAX:        364.75  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.04  29.97  28.75  27.62  26.90  26.51  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59722.3320 z WFD  2.0248e+00  2.827e-02 4096  1.000 44.260  1.91 2.111e+04  26.7538 
OBS: 59728.3370 u WFD  6.9923e-02  1.830e-02    0  1.000 41.330  1.62 1.081e+03  31.2494 
OBS: 59729.2588 i WFD  9.5806e-01  1.562e-02 6144  1.000 44.560  1.84 1.596e+04  27.5140 
OBS: 59752.2363 i WFD  7.5946e-01  1.690e-02 4096  1.000 44.590  2.15 1.520e+04  27.7676 
OBS: 59754.1848 i WFD  7.8973e-01  1.634e-02 4096  1.000 44.560  1.95 1.576e+04  27.7955 
OBS: 59767.1398 Y WFD  1.6209e+00  1.438e-01 4096  1.000 42.490  2.82 1.425e+04  26.9497 
OBS: 59772.3837 Y WFD  1.5411e+00  8.555e-02 4096  1.000 43.280  2.10 2.357e+04  27.0807 
OBS: 59777.2762 Y WFD  1.3593e+00  8.124e-02 4096  1.000 43.350  2.36 2.124e+04  27.2015 
OBS: 59779.2093 z WFD  6.4498e-01  1.920e-02 4096  1.000 45.020  1.83 3.015e+04  27.9271 
OBS: 59788.2692 r WFD  1.7387e-01  1.475e-02 4096  1.000 44.100  2.22 8.181e+03  29.3370 
OBS: 59790.2373 g WFD  6.1922e-02  7.353e-03 4096  1.000 44.890  2.42 7.744e+03  30.4972 
OBS: 59793.0786 r WFD  1.7075e-01  1.159e-02 4096  1.000 44.800  2.26 1.203e+04  29.4448 
OBS: 59797.0747 z WFD  3.7416e-01  3.744e-02 4096  1.000 44.240  2.35 2.232e+04  28.5108 
OBS: 59798.0548 Y WFD  1.0022e+00  1.032e-01 4096  1.000 42.500  1.98 1.470e+04  27.6046 
OBS: 59799.0887 Y WFD  9.3871e-01  9.270e-02 4096  1.000 42.560  1.88 1.470e+04  27.6120 
OBS: 59800.1530 Y WFD  9.3276e-01  7.478e-02 4096  1.000 42.580  1.49 1.524e+04  27.6347 
OBS: 59807.1130 r WFD  1.4296e-01  5.942e-03 4096  1.000 45.900  1.40 2.743e+04  29.6231 
OBS: 59810.1740 g WFD  4.8564e-02  5.545e-03 4096  1.000 44.890  1.84 7.681e+03  30.8170 
OBS: 59811.0648 r WFD  1.2920e-01  1.131e-02 4096  1.000 44.830  2.33 1.171e+04  29.6639 
OBS: 59817.1346 u WFD  2.6019e-02  1.176e-02    0  1.000 42.170  1.55 1.575e+03  31.8542 
OBS: 59820.2136 i WFD  2.9222e-01  1.251e-02 4096  1.000 44.580  1.57 1.527e+04  28.9251 
OBS: 59822.0338 i WFD  2.6064e-01  1.478e-02 4096  1.000 45.330  2.60 2.174e+04  28.9625 
OBS: 59823.9895 Y WFD  5.4474e-01  7.275e-02 4096  1.000 43.260  2.06 2.006e+04  28.0712 
OBS: 59825.9849 z WFD  2.8328e-01  5.643e-02    0  1.000 44.240  2.32 3.407e+04  28.9132 
OBS: 59836.9862 Y WFD  4.8184e-01  6.783e-02 4096  1.000 42.560  1.39 1.455e+04  28.1876 
OBS: 59841.0125 g WFD  3.5230e-02  3.759e-03 4096  1.000 45.600  1.75 1.053e+04  31.1023 
OBS: 59842.9881 Y WFD  5.0728e-01  7.170e-02 4096  1.000 42.560  1.49 1.434e+04  28.2408 
OBS: 59844.9896 z WFD  2.2873e-01  3.440e-02 4096  1.000 44.260  2.00 2.454e+04  29.0394 
OBS: 59860.1399 Y WFD  4.7493e-01  7.151e-02 4096  1.000 43.290  1.68 2.486e+04  28.3952 
OBS: 59861.0002 Y WFD  3.7030e-01  7.813e-02    0  1.000 42.610  1.53 1.594e+04  28.4086 
OBS: 59863.0544 z WFD  2.3600e-01  1.660e-02 4096  1.000 45.030  1.33 3.620e+04  29.1728 
OBS: 59864.1046 i WFD  1.6583e-01  2.205e-02 4096  1.000 44.610  1.71 2.540e+04  29.5242 
OBS: 59876.0621 u WFD -2.6055e-02  2.832e-02    0  1.000 41.940  3.20 1.486e+03  32.5601 
OBS: 59877.0096 z WFD  1.9034e-01  2.984e-02 4096  1.000 43.500  1.49 1.419e+04  29.2284 
OBS: 59887.0150 Y WFD  4.2021e-01  4.380e-02 4096  1.000 43.770  1.48 2.689e+04  28.5012 
OBS: 60037.4113 z WFD  1.0939e-01  6.034e-02    0  1.000 43.480  2.28 1.841e+04  29.9636 
OBS: 60051.3754 r WFD  1.9173e-02  7.686e-03    0  1.000 44.820  1.37 1.341e+04  31.5628 
OBS: 60052.4196 z WFD  3.3990e-02  3.999e-02    0  1.000 43.520  1.56 1.850e+04  30.1005 
OBS: 60055.3585 g WFD  1.8072e-02  6.329e-03    0  1.000 44.790  1.72 8.554e+03  32.3576 
OBS: 60057.4170 z WFD  1.5099e-01  3.442e-02    0  1.000 43.510  1.60 1.538e+04  30.1447 
OBS: 60058.4011 r WFD  6.7780e-03  1.196e-02    0  1.000 44.110  1.65 9.006e+03  31.6427 
OBS: 60062.4236 z WFD  1.1268e-01  5.188e-02    0  1.000 43.520  2.11 1.775e+04  30.1885 
OBS: 60064.4202 Y WFD  2.5860e-01  6.909e-02    0  1.000 42.580  1.50 1.399e+04  29.2524 
OBS: 60066.3613 i WFD  3.3831e-02  1.505e-02    0  1.000 44.570  1.80 1.587e+04  31.2842 
OBS: 60067.3503 z WFD  9.4523e-02  2.977e-02    0  1.000 44.250  1.72 2.447e+04  30.2308 
OBS: 60073.3399 Y WFD  1.6620e-01  5.115e-02    0  1.000 43.740  1.58 2.861e+04  29.3288 
OBS: 60080.3340 u WFD  2.8112e-02  1.759e-02    0  1.000 41.990  2.06 1.502e+03  33.5032 
OBS: 60083.3701 r WFD  2.2070e-02  7.287e-03    0  1.000 44.860  1.54 1.173e+04  31.9086 
OBS: 60087.2745 g WFD  1.6053e-02  4.473e-03    0  1.000 45.520  1.88 1.083e+04  32.6705 
OBS: 60095.2430 Y WFD  1.4439e-01  4.178e-02    0  1.000 44.450  1.98 3.586e+04  29.5139 
OBS: 60096.2366 Y WFD  2.1714e-01  9.012e-02    0  1.000 43.270  2.45 2.109e+04  29.5221 
OBS: 60111.2025 r WFD  7.4613e-03  8.771e-03    0  1.000 44.800  1.74 1.183e+04  32.1596 
OBS: 60113.2262 u WFD  1.0987e-02  2.154e-02    0  1.000 41.950  2.51 1.455e+03  33.7549 
OBS: 60119.2211 r WFD  1.1518e-03  1.159e-02    0  1.000 44.820  2.40 1.155e+04  32.2213 
OBS: 60123.1712 z WFD  6.6734e-02  1.760e-02    0  1.000 44.990  1.51 3.257e+04  30.6422 
OBS: 60126.2124 z WFD  1.2249e-01  3.591e-02    0  1.000 44.270  1.97 2.625e+04  30.6604 
OBS: 60127.2050 Y WFD  2.1193e-01  9.588e-02    0  1.000 42.590  1.77 1.660e+04  29.7675 
OBS: 60133.3141 i WFD  5.3103e-04  1.531e-02    0  1.000 45.390  1.90 3.255e+04  31.7424 
OBS: 60140.1282 u WFD -1.0194e-02  1.629e-02    0  1.000 41.890  1.80 1.451e+03  33.9112 
OBS: 60142.1410 i WFD  1.9906e-02  1.539e-02    0  1.000 45.330  2.67 2.203e+04  31.7798 
OBS: 60146.1263 g WFD  9.0836e-03  7.695e-03    0  1.000 44.800  2.36 7.650e+03  33.0906 
OBS: 60148.1799 r WFD  2.3734e-02  9.498e-03    0  1.000 44.850  2.01 1.161e+04  32.4015 
OBS: 60153.1178 Y WFD -3.9329e-03  8.349e-02    0  1.000 42.560  1.76 1.414e+04  29.9491 
OBS: 60166.1010 r WFD  1.2902e-02  8.627e-03    0  1.000 44.840  1.78 1.180e+04  32.4899 
OBS: 60169.0709 r WFD  2.8992e-03  1.008e-02    0  1.000 44.820  2.02 1.192e+04  32.5049 
OBS: 60177.0391 g WFD  1.0636e-02  6.871e-03    0  1.000 44.780  1.99 7.953e+03  33.2388 
OBS: 60179.1264 i WFD  1.4971e-02  1.158e-02    0  1.000 44.600  1.48 1.527e+04  31.9237 
OBS: 60180.0172 i WFD  2.5782e-02  1.963e-02    0  1.000 44.560  2.09 1.767e+04  31.9274 
