SURVEY:   LSST
SNID:     1214962
IAUC:     NULL
SNTYPE:   126
RA:       106.301496  # deg
DEC:      -21.870122  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3468 +- 0.0173  # MW E(B-V) 
PEAKMJD:  60698.949     # estimate for LC fit codes
MJD_TRIGGER:       60641.184  
MJD_DETECT_FIRST:  60636.297  
MJD_DETECT_LAST:   60667.113  

REDSHIFT_HELIO:   1.318880 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.320261 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9754006994  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3189  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          106.301714    # deg 
HOSTGAL_DEC:         -21.870228    # deg 
HOSTGAL_SNSEP:       0.352       # arcsec 
HOSTGAL_DDLR:        1.778       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.452 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.168
HOSTGAL_SQRADIUS:     8.099   # Ixx + Iyy
HOSTGAL_MAG:     29.02  28.15  26.97  25.82  24.94  24.20 # ugrizY
HOSTGAL_MAGERR:  26.62   0.18   0.08   0.05   0.05   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  746   # template index for SIMSED,NONIa
SIM_LIBID:           10963    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.31888  
SIM_REDSHIFT_CMB:    1.32026  
SIM_REDSHIFT_HOST:   1.28356  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9754006994 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.013 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.452 -9.000 
SIM_DLMU:            44.8453   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0207   # mag 
SIM_RA:              106.301498     # deg  
SIM_DEC:             -21.870123      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3247   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60698.949    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -480.66  # days 
SIM_TRESTMAX:        -11.57  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.10  30.73  29.17  27.88  27.17  26.63  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 158 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1340 u WFD  1.1033e-02  3.328e-02    0  1.000 41.210  2.90 9.835e+02  99.0000 
OBS: 59584.3462 z WFD -1.4156e-01  5.562e-02    0  1.000 43.460  2.45 1.550e+04  99.0000 
OBS: 59589.0729 Y WFD -9.5708e-03  7.540e-02    0  1.000 42.530  1.59 1.375e+04  99.0000 
OBS: 59590.0692 Y WFD  6.2839e-02  7.144e-02    0  1.000 42.530  1.49 1.390e+04  99.0000 
OBS: 59592.0817 z WFD -4.1121e-02  2.543e-02    0  1.000 44.250  1.50 2.397e+04  99.0000 
OBS: 59594.0867 Y WFD  5.5392e-02  8.110e-02    0  1.000 42.560  1.61 1.502e+04  99.0000 
OBS: 59597.0579 Y WFD -8.5035e-02  1.323e-01    0  1.000 42.540  2.32 1.669e+04  99.0000 
OBS: 59601.2998 i WFD -5.5916e-02  2.607e-02    0  1.000 44.580  2.05 2.437e+04  99.0000 
OBS: 59602.0460 Y WFD -5.9451e-02  9.961e-02    0  1.000 42.530  2.10 1.376e+04  99.0000 
OBS: 59625.0345 Y WFD -6.8766e-02  6.542e-02    0  1.000 43.330  1.80 2.202e+04  99.0000 
OBS: 59629.0437 z WFD  2.2297e-02  1.193e-02    0  1.000 45.020  1.18 2.905e+04  99.0000 
OBS: 59642.0144 z WFD  3.5249e-02  4.898e-02    0  1.000 43.520  2.47 1.431e+04  99.0000 
OBS: 59653.0314 Y WFD  1.4495e-01  9.378e-02    0  1.000 42.600  2.07 1.401e+04  99.0000 
OBS: 59655.0724 Y WFD -5.0851e-02  8.852e-02    0  1.000 42.580  1.81 1.485e+04  99.0000 
OBS: 59677.9962 Y WFD  2.7277e-02  8.486e-02    0  1.000 42.570  1.98 1.290e+04  99.0000 
OBS: 59679.9926 Y WFD  1.0456e-01  6.602e-02    0  1.000 42.600  1.52 1.343e+04  99.0000 
OBS: 59682.9897 Y WFD  1.2985e-02  5.236e-02    0  1.000 42.580  1.15 1.383e+04  99.0000 
OBS: 59686.0267 Y WFD -8.6629e-04  7.539e-02    0  1.000 42.560  1.51 1.488e+04  99.0000 
OBS: 59691.9787 z WFD -1.9714e-04  3.849e-02    0  1.000 43.500  1.95 1.399e+04  99.0000 
OBS: 59699.9719 z WFD  6.6236e-03  2.861e-02    0  1.000 44.250  1.86 2.174e+04  99.0000 
OBS: 59710.9783 Y WFD -3.4078e-01  1.129e-01    0  1.000 42.540  2.27 1.455e+04  99.0000 
OBS: 59713.9701 Y WFD -1.2317e-01  1.271e-01    0  1.000 42.540  2.45 1.519e+04  99.0000 
OBS: 59717.9643 Y WFD -4.0942e-02  1.331e-01    0  1.000 42.530  2.70 1.429e+04  99.0000 
OBS: 59859.3414 i WFD -1.2124e-02  1.861e-02    0  1.000 44.610  1.65 2.221e+04  99.0000 
OBS: 59860.2969 Y WFD  1.0163e-01  9.483e-02    0  1.000 42.500  1.73 1.546e+04  99.0000 
OBS: 59861.2956 Y WFD -1.8858e-03  8.584e-02    0  1.000 42.500  1.53 1.583e+04  99.0000 
OBS: 59864.3097 z WFD -2.3336e-02  3.306e-02    0  1.000 44.250  1.75 2.671e+04  99.0000 
OBS: 59870.3212 i WFD  3.3085e-02  9.793e-03    0  1.000 45.340  1.61 2.347e+04  99.0000 
OBS: 59874.3364 u WFD  1.6094e-02  2.164e-02    0  1.000 41.260  1.95 9.961e+02  99.0000 
OBS: 59875.2697 r WFD -1.8423e-03  1.005e-02    0  1.000 44.780  2.11 1.097e+04  99.0000 
OBS: 59876.2600 g WFD  8.0667e-03  6.262e-03    0  1.000 44.690  2.03 6.540e+03  99.0000 
OBS: 59879.2882 g WFD -6.2002e-04  5.559e-03    0  1.000 44.770  1.94 6.540e+03  99.0000 
OBS: 59895.3330 i WFD -2.4564e-02  3.170e-02    0  1.000 43.890  1.82 1.767e+04  99.0000 
OBS: 59896.2971 i WFD -9.0178e-05  2.498e-02    0  1.000 44.630  2.16 2.320e+04  99.0000 
