SURVEY:   LSST
SNID:     1215577
IAUC:     NULL
SNTYPE:   126
RA:       87.224223  # deg
DEC:      -55.422465  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0901 +- 0.0045  # MW E(B-V) 
PEAKMJD:  59648.500     # estimate for LC fit codes
MJD_TRIGGER:       59636.027  
MJD_DETECT_FIRST:  59634.047  
MJD_DETECT_LAST:   60057.973  

REDSHIFT_HELIO:   0.633756 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.634139 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           11578    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.45388  
SIM_REDSHIFT_CMB:    0.45421  
SIM_REDSHIFT_HOST:   0.44115  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10562790753 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.267 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.395 -9.000 
SIM_DLMU:            42.0113   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0085   # mag 
SIM_RA:              87.224220     # deg  
SIM_DEC:             -55.422466      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0915   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59648.500    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0136  # spectro-search efficiency 
SIM_TRESTMIN:        -46.40  # days 
SIM_TRESTMAX:        704.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.50  25.49  24.17  23.76  23.69  23.69  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.0478 z WFD  2.1787e-02  3.466e-02    0  1.000 44.250  2.09 2.345e+04  99.0000 
OBS: 59582.0513 z WFD -5.7715e-03  3.350e-02    0  1.000 44.240  2.22 2.114e+04  99.0000 
OBS: 59590.0774 Y WFD -1.1916e-02  5.859e-02    0  1.000 42.570  1.32 1.335e+04  99.0000 
OBS: 59601.1031 r WFD -6.5620e-03  1.005e-02    0  1.000 44.860  1.82 1.370e+04  99.0000 
OBS: 59601.1798 i WFD  1.3663e-02  1.964e-02    0  1.000 44.600  1.84 2.083e+04  99.0000 
OBS: 59603.1309 g WFD  5.7737e-03  9.151e-03    0  1.000 44.030  2.41 4.383e+03  99.0000 
OBS: 59621.0285 Y WFD -2.5361e-02  4.840e-02    0  1.000 43.780  1.57 2.827e+04  99.0000 
OBS: 59634.0454 r WFD  3.4627e+00  7.958e-03 4096  1.000 44.820  1.84 1.030e+04  26.1533 
OBS: 59636.0264 z WFD  6.9840e+00  3.914e-02 6144  1.000 43.500  2.02 1.372e+04  25.3954 
OBS: 59639.0191 z WFD  1.5937e+01  3.939e-02 4096  1.000 44.260  2.38 2.359e+04  24.4968 
OBS: 59648.0084 Y WFD  3.3154e+01  1.022e-01 4096  1.000 42.580  2.13 1.454e+04  23.7052 
OBS: 59649.0099 Y WFD  3.3871e+01  8.216e-02 4096  1.000 42.580  1.80 1.383e+04  23.6799 
OBS: 59659.0860 i WFD  2.5237e+01  1.778e-02 4096  1.000 45.340  2.02 3.387e+04  23.9942 
OBS: 59676.9896 Y WFD  2.4995e+01  1.309e-01 4096  1.000 42.530  2.78 1.365e+04  23.9970 
OBS: 59682.9742 Y WFD  2.0635e+01  8.516e-02 4096  1.000 42.570  1.31 1.953e+04  24.2005 
OBS: 59685.9707 Y WFD  1.9474e+01  1.135e-01 4096  1.000 42.570  1.55 2.203e+04  24.2800 
OBS: 59809.3984 r WFD  1.0078e+00  1.569e-02 4096  1.000 44.840  2.24 1.704e+04  27.5014 
OBS: 59818.3820 u WFD  2.4278e-02  2.648e-02    0  1.000 41.100  2.14 9.582e+02  31.0380 
OBS: 59827.3505 g WFD  1.5511e-01  5.403e-03 4096  1.000 44.720  1.84 6.397e+03  29.5129 
OBS: 59842.3028 r WFD  7.2788e-01  1.204e-02 4096  1.000 44.770  2.56 1.073e+04  27.8469 
OBS: 59851.2822 u WFD  3.4435e-02  2.582e-02    0  1.000 41.100  2.10 9.518e+02  31.5224 
OBS: 59853.2734 r WFD  6.6881e-01  1.225e-02 4096  1.000 44.780  2.62 1.077e+04  27.9602 
OBS: 59858.2615 z WFD  2.1827e+00  3.648e-02 4096  1.000 44.240  2.11 2.421e+04  26.6478 
OBS: 59859.2415 Y WFD  3.0435e+00  8.741e-02 4096  1.000 43.250  2.32 2.120e+04  26.3169 
OBS: 59861.2681 Y WFD  2.9993e+00  8.709e-02 4096  1.000 42.540  1.64 1.554e+04  26.3368 
OBS: 59862.2760 z WFD  2.0910e+00  2.053e-02 4096  1.000 45.010  1.47 3.976e+04  26.6864 
