SURVEY:   LSST
SNID:     1216524
IAUC:     NULL
SNTYPE:   126
RA:       212.329493  # deg
DEC:      -8.386162  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0336 +- 0.0017  # MW E(B-V) 
PEAKMJD:  59681.195     # estimate for LC fit codes
MJD_TRIGGER:       59681.145  
MJD_DETECT_FIRST:  59678.152  
MJD_DETECT_LAST:   60153.980  

REDSHIFT_HELIO:   0.481543 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.482859 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6000300848  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4815  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          212.328681    # deg 
HOSTGAL_DEC:         -8.386200    # deg 
HOSTGAL_SNSEP:       1.209       # arcsec 
HOSTGAL_DDLR:        1.364       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.920 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.673
HOSTGAL_SQRADIUS:     33.458   # Ixx + Iyy
HOSTGAL_MAG:     23.69  22.92  21.84  21.36  21.06  20.86 # ugrizY
HOSTGAL_MAGERR:   0.04   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           12525    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.48154  
SIM_REDSHIFT_CMB:    0.48286  
SIM_REDSHIFT_HOST:   0.47989  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6000300848 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.030 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.920 -9.000 
SIM_DLMU:            42.1685   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0004   # mag 
SIM_RA:              212.329498     # deg  
SIM_DEC:             -8.386163      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0334   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59681.195    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -19.56  # days 
SIM_TRESTMAX:        571.57  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.48  25.53  24.21  23.82  23.74  23.73  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2074 Y WFD -5.0141e-04  5.622e-02    0  1.000 43.720  1.94 2.515e+04  99.0000 
OBS: 59653.1927 Y WFD -1.0308e-01  1.124e-01    0  1.000 42.520  2.13 1.516e+04  99.0000 
OBS: 59655.3285 Y WFD  1.0172e-01  7.387e-02    0  1.000 43.750  2.38 2.769e+04  99.0000 
OBS: 59678.1520 z WFD  2.9913e+01  2.463e-02 4096  1.000 44.990  2.35 2.922e+04  23.8114 
OBS: 59681.1428 z WFD  3.1995e+01  1.680e-02 6144  1.000 45.000  1.40 3.366e+04  23.7377 
OBS: 59689.3384 z WFD  3.1370e+01  4.987e-02 4096  1.000 43.480  1.60 2.163e+04  23.7581 
OBS: 59699.2204 i WFD  1.7805e+01  1.576e-02 4096  1.000 44.590  2.01 1.508e+04  24.3723 
OBS: 59709.0838 i WFD  1.2775e+01  1.923e-02 4096  1.000 44.610  1.97 1.918e+04  24.7366 
OBS: 59710.1699 i WFD  1.2414e+01  1.930e-02 4096  1.000 44.620  1.74 2.200e+04  24.7662 
OBS: 59711.0642 Y WFD  2.2493e+01  6.157e-02 4096  1.000 43.750  2.06 2.664e+04  24.1194 
OBS: 59716.1063 Y WFD  1.9535e+01  5.087e-02 4096  1.000 44.830  2.36 5.197e+04  24.2694 
OBS: 59718.2053 i WFD  9.5925e+00  2.386e-02 4096  1.000 45.050  2.31 3.048e+04  25.0501 
OBS: 59750.9505 z WFD  7.9522e+00  7.522e-02 4096  1.000 43.520  2.17 2.501e+04  25.2557 
OBS: 59752.9604 z WFD  7.4541e+00  2.988e-02 4096  1.000 44.260  1.49 2.859e+04  25.3257 
OBS: 59753.9664 z WFD  7.3026e+00  3.053e-02 4096  1.000 43.500  1.51 1.431e+04  25.3391 
OBS: 59757.9661 z WFD  7.0659e+00  5.097e-02 4096  1.000 43.500  2.52 1.433e+04  25.3815 
OBS: 59771.0910 z WFD  5.8569e+00  3.873e-02 4096  1.000 44.690  2.08 3.947e+04  25.5724 
OBS: 59772.1033 Y WFD  8.2729e+00  1.132e-01 4096  1.000 42.520  1.95 1.667e+04  25.2185 
OBS: 59780.9747 z WFD  5.3935e+00  3.585e-02 4096  1.000 43.500  1.81 1.402e+04  25.6701 
OBS: 59789.0448 r WFD  1.5705e+00  1.139e-02 4096  1.000 45.560  3.02 1.781e+04  27.0062 
OBS: 59789.9822 z WFD  4.7883e+00  5.267e-02 4096  1.000 43.500  2.61 1.429e+04  25.7864 
OBS: 59790.0422 g WFD  3.3107e-01  1.120e-02 4096  1.000 44.780  3.13 8.238e+03  28.6802 
OBS: 59791.0207 u WFD  7.1323e-02  2.767e-02    0  1.000 41.180  2.14 1.078e+03  30.4156 
OBS: 59806.9980 g WFD  2.9241e-01  8.445e-03 4096  1.000 44.800  2.23 8.883e+03  28.7982 
OBS: 59811.9994 g WFD  2.9455e-01  1.095e-02 4096  1.000 44.000  1.93 6.369e+03  28.8536 
OBS: 59812.9852 Y WFD  5.6190e+00  1.055e-01 4096  1.000 42.510  2.08 1.443e+04  25.6045 
OBS: 59950.3644 Y WFD  1.9834e+00  1.997e-01 4096  1.000 42.510  2.25 2.526e+04  26.9307 
OBS: 59956.3620 z WFD  1.1168e+00  5.078e-02 4096  1.000 44.250  1.97 3.644e+04  27.4033 
OBS: 59968.3385 u WFD -4.3387e-02  3.534e-02    0  1.000 41.140  2.69 1.056e+03  32.2528 
OBS: 59973.3759 z WFD  9.6195e-01  3.210e-02 4096  1.000 43.520  1.33 1.742e+04  27.5807 
OBS: 59975.3763 z WFD  9.1348e-01  3.199e-02 4096  1.000 43.510  1.38 1.658e+04  27.6015 
OBS: 59978.3295 i WFD  5.2724e-01  1.353e-02 4096  1.000 44.600  1.39 1.900e+04  28.1918 
OBS: 59979.3261 Y WFD  1.2979e+00  6.189e-02 4096  1.000 42.560  1.26 1.464e+04  27.2203 
OBS: 59980.3020 Y WFD  1.2202e+00  6.296e-02 4096  1.000 43.280  1.63 2.235e+04  27.2300 
