SURVEY:   LSST
SNID:     1216735
IAUC:     NULL
SNTYPE:   126
RA:       234.205271  # deg
DEC:      -6.592447  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1355 +- 0.0068  # MW E(B-V) 
PEAKMJD:  59620.258     # estimate for LC fit codes
MJD_TRIGGER:       59655.316  
MJD_DETECT_FIRST:  59652.266  
MJD_DETECT_LAST:   59772.039  

REDSHIFT_HELIO:   1.228876 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.230006 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           12736    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.28775  
SIM_REDSHIFT_CMB:    1.28892  
SIM_REDSHIFT_HOST:   1.22888  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9565581972 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.553 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.719 -9.000 
SIM_DLMU:            44.7810   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0135   # mag 
SIM_RA:              234.205276     # deg  
SIM_DEC:             -6.592447      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1506   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59620.258    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        13.98  # days 
SIM_TRESTMAX:        408.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.90  30.76  29.27  27.81  26.84  26.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2647 Y WFD  9.5988e-01  9.623e-02 4096  1.000 42.510  1.92 1.427e+04  27.7069 
OBS: 59655.3147 Y WFD  7.3110e-01  5.128e-02 6144  1.000 44.500  2.43 3.756e+04  27.8120 
OBS: 59656.4064 z WFD  5.1355e-01  8.479e-02    0  1.000 43.530  2.61 2.366e+04  28.4203 
OBS: 59667.4049 z WFD  2.7381e-01  5.071e-02    0  1.000 43.490  2.39 1.490e+04  28.8207 
OBS: 59676.3541 i WFD  6.5031e-02  1.559e-02 4096  1.000 44.580  1.99 1.501e+04  30.4308 
OBS: 59681.2048 z WFD  2.3583e-01  2.254e-02 4096  1.000 44.250  1.38 2.309e+04  29.2327 
OBS: 59699.2294 i WFD  6.3944e-02  1.554e-02    0  1.000 44.580  2.01 1.482e+04  30.7415 
OBS: 59709.1911 i WFD  3.9358e-02  1.452e-02    0  1.000 45.350  2.33 2.426e+04  30.7811 
OBS: 59710.0967 i WFD  4.4999e-02  2.074e-02    0  1.000 44.580  1.82 2.184e+04  30.7842 
OBS: 59711.0957 Y WFD  1.9490e-01  9.510e-02    0  1.000 42.520  1.81 1.510e+04  28.7373 
OBS: 59717.2873 z WFD  1.8495e-01  1.096e-01    0  1.000 43.510  3.01 2.604e+04  29.6470 
OBS: 59751.1782 g WFD  1.1394e-02  8.828e-03    0  1.000 44.050  2.03 5.113e+03  33.4917 
OBS: 59772.0405 Y WFD  2.4701e-01  3.850e-02 4096  1.000 44.700  1.83 4.502e+04  29.0972 
OBS: 59773.0745 Y WFD  2.6618e-01  9.812e-02    0  1.000 42.590  1.82 1.652e+04  29.1015 
OBS: 59774.0785 z WFD  1.2410e-01  2.379e-02    0  1.000 45.620  2.05 5.796e+04  29.7256 
OBS: 59775.0566 z WFD  1.3236e-01  2.923e-02    0  1.000 45.010  2.08 4.001e+04  29.7287 
OBS: 59775.9660 z WFD  1.5240e-01  4.049e-02    0  1.000 44.260  2.38 2.427e+04  29.7317 
OBS: 59776.9660 z WFD  9.2061e-02  6.570e-02    0  1.000 43.510  3.10 1.516e+04  29.7352 
OBS: 59780.1077 r WFD  1.0510e-02  7.114e-03    0  1.000 45.570  2.07 1.639e+04  32.3325 
OBS: 59791.0032 u WFD  2.2827e-02  2.327e-02    0  1.000 41.300  2.04 1.063e+03  34.4515 
OBS: 59800.0801 Y WFD  1.2566e-01  1.294e-01    0  1.000 42.500  2.19 1.667e+04  29.2355 
OBS: 59801.0660 z WFD  1.1893e-01  3.397e-02    0  1.000 44.250  1.63 2.946e+04  29.8691 
OBS: 59807.0396 g WFD  5.3588e-03  7.778e-03    0  1.000 44.780  2.34 7.656e+03  33.5165 
OBS: 59809.0356 r WFD  1.2285e-02  8.039e-03    0  1.000 44.810  1.58 1.205e+04  32.3490 
OBS: 59810.0137 r WFD  1.0110e-02  8.266e-03    0  1.000 44.820  1.65 1.197e+04  32.3521 
OBS: 59819.0263 u WFD -5.9246e-02  2.928e-02    0  1.000 41.080  2.16 1.031e+03  34.4962 
