SURVEY:   LSST
SNID:     1216892
IAUC:     NULL
SNTYPE:   126
RA:       46.237313  # deg
DEC:      -6.194910  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0699 +- 0.0035  # MW E(B-V) 
PEAKMJD:  60523.336     # estimate for LC fit codes
MJD_TRIGGER:       60511.410  
MJD_DETECT_FIRST:  60508.418  
MJD_DETECT_LAST:   60669.090  

REDSHIFT_HELIO:   0.308010 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.307194 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9813047236  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3080  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          46.237124    # deg 
HOSTGAL_DEC:         -6.195147    # deg 
HOSTGAL_SNSEP:       0.500       # arcsec 
HOSTGAL_DDLR:        1.160       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.222 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.385
HOSTGAL_SQRADIUS:     14.723   # Ixx + Iyy
HOSTGAL_MAG:     24.37  23.44  22.21  21.44  21.11  20.90 # ugrizY
HOSTGAL_MAGERR:   0.07   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           12893    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30801  
SIM_REDSHIFT_CMB:    0.30719  
SIM_REDSHIFT_HOST:   0.32852  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9813047236 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.280 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.222 -9.000 
SIM_DLMU:            41.0162   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0052   # mag 
SIM_RA:              46.237312     # deg  
SIM_DEC:             -6.194910      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0702   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60523.336    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1793  # spectro-search efficiency 
SIM_TRESTMIN:        -543.13  # days 
SIM_TRESTMAX:        111.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.87  23.90  23.04  22.80  22.81  23.01  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59813.3646 i WFD -9.4413e-04  9.157e-03    0  1.000 45.330  1.65 2.122e+04  99.0000 
OBS: 59817.3491 g WFD -1.4045e-03  5.628e-03    0  1.000 44.810  1.90 7.014e+03  99.0000 
OBS: 59818.3340 u WFD  1.7927e-02  1.801e-02    0  1.000 41.950  2.13 1.433e+03  99.0000 
OBS: 59819.2856 u WFD -3.5355e-02  3.740e-02    0  1.000 41.010  2.80 9.518e+02  99.0000 
OBS: 59819.3553 g WFD  6.8917e-03  5.823e-03    0  1.000 44.810  1.98 6.963e+03  99.0000 
OBS: 59820.4015 i WFD  4.4643e-03  1.838e-02    0  1.000 43.830  1.71 1.032e+04  99.0000 
OBS: 59821.4139 z WFD  2.8169e-02  3.769e-02    0  1.000 43.510  1.78 1.514e+04  99.0000 
OBS: 59822.3634 i WFD -1.3520e-02  1.237e-02    0  1.000 45.330  2.29 2.064e+04  99.0000 
OBS: 59824.2982 i WFD  1.2311e-02  1.198e-02    0  1.000 44.570  1.51 1.506e+04  99.0000 
OBS: 59831.2418 Y WFD  4.5827e-02  1.172e-01    0  1.000 42.500  2.03 1.628e+04  99.0000 
OBS: 59832.3746 Y WFD  2.1018e-03  5.309e-02    0  1.000 43.770  1.68 2.871e+04  99.0000 
OBS: 59843.4022 z WFD  2.1793e-02  5.379e-02    0  1.000 43.520  1.66 2.339e+04  99.0000 
OBS: 59844.3650 r WFD  8.4748e-03  7.727e-03    0  1.000 44.840  1.72 1.094e+04  99.0000 
OBS: 59849.2351 r WFD  3.3635e-02  1.172e-02    0  1.000 44.820  2.53 1.107e+04  99.0000 
OBS: 59850.2081 i WFD -1.9574e-02  1.832e-02    0  1.000 44.550  2.23 1.531e+04  99.0000 
OBS: 59850.3902 z WFD -3.3755e-02  4.905e-02    0  1.000 44.250  2.32 2.989e+04  99.0000 
OBS: 59851.2407 u WFD  1.7339e-02  2.541e-02    0  1.000 41.190  2.14 9.993e+02  99.0000 
OBS: 59853.3881 z WFD  6.1489e-02  3.321e-02    0  1.000 44.250  1.59 2.953e+04  99.0000 
OBS: 59854.1971 Y WFD  9.2435e-02  5.251e-02    0  1.000 43.710  1.89 2.389e+04  99.0000 
OBS: 59854.3836 z WFD -1.3560e-02  3.760e-02    0  1.000 43.490  1.72 1.535e+04  99.0000 
OBS: 59856.1807 i WFD  4.0128e-02  2.118e-02    0  1.000 44.560  2.09 1.906e+04  99.0000 
OBS: 59857.2348 Y WFD  4.1637e-02  7.299e-02    0  1.000 42.550  1.59 1.356e+04  99.0000 
OBS: 59858.2480 z WFD -2.3833e-02  3.061e-02    0  1.000 44.260  1.89 2.311e+04  99.0000 
OBS: 59859.2659 Y WFD -1.5485e-02  7.904e-02    0  1.000 42.580  1.68 1.429e+04  99.0000 
OBS: 59860.1888 Y WFD  5.8838e-02  4.717e-02    0  1.000 44.050  1.67 3.322e+04  99.0000 
OBS: 59861.1990 Y WFD  6.3790e-02  7.740e-02    0  1.000 43.320  1.78 2.610e+04  99.0000 
OBS: 59868.2943 r WFD -1.0049e-03  1.594e-02    0  1.000 44.160  1.53 1.356e+04  99.0000 
OBS: 59869.2606 r WFD -3.3656e-03  9.652e-03    0  1.000 44.880  1.78 1.370e+04  99.0000 
OBS: 59875.1921 u WFD  1.7835e-02  3.697e-02    0  1.000 41.230  3.16 1.021e+03  99.0000 
OBS: 59876.1312 u WFD -1.8925e-02  3.095e-02    0  1.000 41.030  2.33 9.645e+02  99.0000 
OBS: 59878.1276 i WFD  5.2394e-04  1.232e-02    0  1.000 44.560  1.49 1.555e+04  99.0000 
OBS: 59879.1306 g WFD -1.0065e-02  6.015e-03    0  1.000 44.760  1.91 7.121e+03  99.0000 
OBS: 59885.1195 z WFD -2.5094e-02  2.446e-02    0  1.000 44.240  1.55 2.210e+04  99.0000 
OBS: 59897.0895 r WFD -5.7905e-03  9.459e-03    0  1.000 44.800  1.95 1.138e+04  99.0000 
OBS: 59906.1892 r WFD -1.0294e-02  8.904e-03    0  1.000 44.840  1.96 1.106e+04  99.0000 
OBS: 59910.0249 z WFD  6.7504e-02  4.633e-02    0  1.000 43.490  1.74 1.870e+04  99.0000 
OBS: 59911.0372 z WFD  5.3469e-02  2.961e-02    0  1.000 44.230  1.88 2.186e+04  99.0000 
OBS: 59912.0326 z WFD -6.6717e-02  4.756e-02    0  1.000 44.240  2.40 2.776e+04  99.0000 
OBS: 59920.0526 Y WFD -5.7691e-02  1.121e-01    0  1.000 42.570  1.80 1.874e+04  99.0000 
OBS: 59927.1949 r WFD  2.7590e-02  1.845e-02    0  1.000 44.080  1.86 1.199e+04  99.0000 
OBS: 59931.0520 Y WFD  2.5171e-02  4.456e-02    0  1.000 43.320  1.44 1.858e+04  99.0000 
OBS: 59943.0439 Y WFD -2.0497e-01  8.729e-02    0  1.000 42.580  1.79 1.481e+04  99.0000 
OBS: 59949.1115 z WFD -1.2110e-02  4.592e-02    0  1.000 44.270  2.14 3.090e+04  99.0000 
OBS: 59950.1004 Y WFD  8.6171e-03  1.046e-01    0  1.000 42.560  1.95 1.599e+04  99.0000 
OBS: 59953.1049 i WFD  1.2455e-03  1.731e-02    0  1.000 45.360  1.96 3.471e+04  99.0000 
