SURVEY:   LSST
SNID:     1217196
IAUC:     NULL
SNTYPE:   126
RA:       264.438315  # deg
DEC:      0.353303  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2258 +- 0.0113  # MW E(B-V) 
PEAKMJD:  60477.020     # estimate for LC fit codes
MJD_TRIGGER:       60458.246  
MJD_DETECT_FIRST:  60457.281  
MJD_DETECT_LAST:   60568.016  

REDSHIFT_HELIO:   1.262380 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.262065 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8816213381  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2624  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          264.438373    # deg 
HOSTGAL_DEC:         0.353056    # deg 
HOSTGAL_SNSEP:       0.453       # arcsec 
HOSTGAL_DDLR:        2.197       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.690 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.521
HOSTGAL_SQRADIUS:     10.927   # Ixx + Iyy
HOSTGAL_MAG:     29.40  28.28  26.82  25.69  24.75  24.12 # ugrizY
HOSTGAL_MAGERR:   0.94   0.33   0.09   0.05   0.05   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           13197    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.26238  
SIM_REDSHIFT_CMB:    1.26207  
SIM_REDSHIFT_HOST:   1.24134  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8816213381 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.464 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.690 -9.000 
SIM_DLMU:            44.7258   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0243   # mag 
SIM_RA:              264.438324     # deg  
SIM_DEC:             0.353303      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2300   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60477.020    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -353.96  # days 
SIM_TRESTMAX:        40.23  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.24  31.00  29.40  27.88  26.90  26.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.3330 i WFD -8.1753e-03  9.856e-03    0  1.000 45.320  1.75 2.133e+04  99.0000 
OBS: 59678.4080 z WFD  2.1610e-03  4.479e-02    0  1.000 43.490  2.19 1.436e+04  99.0000 
OBS: 59683.3058 Y WFD  6.7009e-02  7.316e-02    0  1.000 42.540  1.48 1.447e+04  99.0000 
OBS: 59685.3150 Y WFD  3.4104e-02  3.477e-02    0  1.000 44.290  1.42 3.592e+04  99.0000 
OBS: 59694.3449 g WFD -8.0484e-03  6.869e-03    0  1.000 44.870  2.00 8.595e+03  99.0000 
OBS: 59699.4232 z WFD  6.8047e-03  5.354e-02    0  1.000 44.250  2.26 3.349e+04  99.0000 
OBS: 59701.4202 z WFD -1.3003e-02  2.542e-02    0  1.000 44.240  1.47 2.422e+04  99.0000 
OBS: 59702.4024 u WFD -9.3804e-04  2.149e-02    0  1.000 41.820  2.37 1.363e+03  99.0000 
OBS: 59703.4149 z WFD -4.6681e-02  4.076e-02    0  1.000 43.460  1.81 1.538e+04  99.0000 
OBS: 59715.1984 Y WFD -1.0702e-01  8.776e-02    0  1.000 43.290  1.84 2.785e+04  99.0000 
OBS: 59721.1874 i WFD -1.8678e-03  1.815e-02    0  1.000 44.570  1.95 1.767e+04  99.0000 
OBS: 59768.0374 Y WFD  7.3247e-02  1.474e-01    0  1.000 42.510  2.87 1.462e+04  99.0000 
OBS: 59773.0477 Y WFD  1.7581e-02  5.611e-02    0  1.000 44.290  1.86 4.425e+04  99.0000 
OBS: 59774.1276 z WFD -7.8946e-04  3.918e-02    0  1.000 45.010  2.12 5.261e+04  99.0000 
OBS: 59775.1482 z WFD -3.9500e-03  2.328e-02    0  1.000 45.890  2.31 6.452e+04  99.0000 
OBS: 59793.0378 r WFD  8.4369e-03  9.235e-03    0  1.000 44.820  1.99 1.109e+04  99.0000 
OBS: 59810.0539 r WFD  1.7664e-03  6.863e-03    0  1.000 44.820  1.49 1.101e+04  99.0000 
OBS: 59811.9796 Y WFD -1.8013e-02  7.957e-02    0  1.000 42.550  1.69 1.391e+04  99.0000 
OBS: 59819.0485 u WFD  1.1547e-02  2.498e-02    0  1.000 41.200  2.09 1.015e+03  99.0000 
OBS: 59845.0200 r WFD  9.0827e-03  1.830e-02    0  1.000 44.030  2.56 8.254e+03  99.0000 
OBS: 60001.3971 Y WFD -1.3310e-01  1.020e-01    0  1.000 43.280  2.01 2.936e+04  99.0000 
OBS: 60002.3904 Y WFD -5.2188e-02  9.861e-02    0  1.000 42.520  1.89 1.499e+04  99.0000 
OBS: 60004.3920 z WFD  6.0297e-02  4.190e-02    0  1.000 43.480  1.81 1.611e+04  99.0000 
OBS: 60006.3934 Y WFD  1.4577e-01  9.923e-02    0  1.000 43.270  2.30 2.474e+04  99.0000 
OBS: 60011.3936 Y WFD  1.7247e-01  1.536e-01    0  1.000 43.310  2.82 3.241e+04  99.0000 
OBS: 60021.3774 g WFD -4.1742e-03  5.571e-03    0  1.000 44.780  1.70 7.548e+03  99.0000 
OBS: 60023.3746 r WFD  4.2667e-03  6.562e-03    0  1.000 44.800  1.36 1.132e+04  99.0000 
OBS: 60025.4105 z WFD -3.4563e-02  3.595e-02    0  1.000 43.510  1.24 2.074e+04  99.0000 
OBS: 60026.3686 g WFD  6.6792e-03  4.146e-03    0  1.000 44.790  1.36 7.087e+03  99.0000 
OBS: 60028.3503 r WFD -9.8000e-04  6.820e-03    0  1.000 44.790  1.40 1.132e+04  99.0000 
OBS: 60029.3455 i WFD  3.1239e-03  1.370e-02    0  1.000 44.560  1.66 1.552e+04  99.0000 
OBS: 60031.3504 r WFD  7.7218e-03  6.574e-03    0  1.000 44.800  1.37 1.126e+04  99.0000 
OBS: 60032.3628 i WFD  2.4684e-03  7.536e-03    0  1.000 45.320  1.33 2.146e+04  99.0000 
OBS: 60036.3250 i WFD  1.7878e-02  1.294e-02    0  1.000 44.560  1.57 1.550e+04  99.0000 
