SURVEY:   LSST
SNID:     1218699
IAUC:     NULL
SNTYPE:   126
RA:       254.343440  # deg
DEC:      -17.188617  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3379 +- 0.0169  # MW E(B-V) 
PEAKMJD:  59575.988     # estimate for LC fit codes
MJD_TRIGGER:       59676.312  
MJD_DETECT_FIRST:  59668.406  
MJD_DETECT_LAST:   59711.152  

REDSHIFT_HELIO:   0.836366 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.836582 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10501142421  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8364  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          254.343112    # deg 
HOSTGAL_DEC:         -17.188287    # deg 
HOSTGAL_SNSEP:       0.743       # arcsec 
HOSTGAL_DDLR:        1.958       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.911 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.463
HOSTGAL_SQRADIUS:     14.059   # Ixx + Iyy
HOSTGAL_MAG:     26.35  25.70  24.64  23.56  23.06  22.80 # ugrizY
HOSTGAL_MAGERR:   0.17   0.02   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           14700    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.83637  
SIM_REDSHIFT_CMB:    0.83659  
SIM_REDSHIFT_HOST:   0.84028  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10501142421 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.178 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.911 -9.000 
SIM_DLMU:            43.6218   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0238   # mag 
SIM_RA:              254.343445     # deg  
SIM_DEC:             -17.188618      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3237   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59575.988    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        50.32  # days 
SIM_TRESTMAX:        540.24  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.76  28.88  27.02  25.98  25.58  25.30  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59668.4052 z WFD  5.2792e-01  5.996e-02 4096  1.000 43.510  3.04 1.410e+04  28.1832 
OBS: 59676.3144 i WFD  2.5164e-01  1.171e-02 6144  1.000 44.590  1.54 1.470e+04  29.0121 
OBS: 59680.2208 i WFD  2.3318e-01  1.883e-02 4096  1.000 44.560  1.89 1.874e+04  29.0590 
OBS: 59681.2289 z WFD  4.3546e-01  2.359e-02 4096  1.000 44.240  1.42 2.327e+04  28.3662 
OBS: 59683.2838 Y WFD  6.2808e-01  3.960e-02 4096  1.000 43.330  1.22 1.966e+04  27.9826 
OBS: 59685.2727 Y WFD  6.3501e-01  3.890e-02 4096  1.000 43.780  1.28 2.787e+04  28.0136 
OBS: 59694.3771 g WFD -5.1331e-04  6.612e-03    0  1.000 44.890  1.88 8.965e+03  32.9013 
OBS: 59699.4267 z WFD  3.0835e-01  7.450e-02    0  1.000 43.490  2.32 2.254e+04  28.6185 
OBS: 59701.4214 z WFD  4.0896e-01  3.507e-02 4096  1.000 43.480  1.48 1.648e+04  28.6468 
OBS: 59703.4189 z WFD  3.4900e-01  3.565e-02 4096  1.000 43.480  1.58 1.569e+04  28.6757 
OBS: 59705.4245 z WFD  2.9153e-01  5.689e-02 4096  1.000 43.470  2.20 1.782e+04  28.7048 
OBS: 59709.2317 i WFD  1.3284e-01  1.595e-02 4096  1.000 44.600  2.03 1.533e+04  29.5846 
OBS: 59711.1519 Y WFD  5.4599e-01  7.692e-02 4096  1.000 43.300  2.24 2.024e+04  28.4166 
OBS: 59763.1705 u WFD -2.2958e-03  2.865e-02    0  1.000 41.260  2.48 1.037e+03  35.3208 
OBS: 59768.0063 Y WFD  3.2973e-01  7.411e-02    0  1.000 43.280  2.16 1.985e+04  29.2471 
OBS: 59774.1816 z WFD  1.5682e-01  2.746e-02    0  1.000 45.460  1.92 6.163e+04  29.6562 
OBS: 59775.0638 z WFD  1.9215e-01  3.950e-02    0  1.000 44.290  2.07 2.799e+04  29.6687 
OBS: 59776.1622 i WFD  3.0525e-02  2.829e-02    0  1.000 44.630  2.28 2.489e+04  30.9628 
OBS: 59780.1179 r WFD  1.6497e-02  7.786e-03    0  1.000 44.860  1.71 1.129e+04  32.8432 
OBS: 59788.1126 r WFD  1.1522e-02  7.509e-03    0  1.000 46.040  2.78 1.986e+04  33.0207 
OBS: 59790.9940 u WFD  1.8931e-02  2.068e-02    0  1.000 41.310  1.83 1.063e+03  35.7907 
OBS: 59801.1331 z WFD  7.1958e-02  4.415e-02    0  1.000 44.260  1.75 3.600e+04  30.0335 
OBS: 59806.0615 r WFD -2.6267e-02  1.903e-02    0  1.000 44.150  1.95 1.258e+04  33.3991 
OBS: 59809.0425 r WFD  6.6646e-03  7.047e-03    0  1.000 44.850  1.50 1.154e+04  33.4566 
OBS: 59811.9764 Y WFD  1.3166e-01  7.207e-02    0  1.000 42.600  1.57 1.420e+04  29.9139 
OBS: 59819.0303 u WFD -2.5920e-03  1.521e-02    0  1.000 42.080  1.88 1.546e+03  36.2178 
OBS: 59820.0466 i WFD  1.8105e-02  9.812e-03    0  1.000 45.340  1.74 2.176e+04  31.7382 
OBS: 59845.0338 r WFD  4.1626e-02  1.652e-02    0  1.000 44.790  2.95 1.302e+04  33.9365 
OBS: 59846.0279 i WFD  2.1494e-02  2.968e-02    0  1.000 43.800  2.32 1.195e+04  32.1243 
OBS: 59987.3852 z WFD  2.8223e-02  4.223e-02    0  1.000 44.250  2.01 2.971e+04  33.0976 
OBS: 59993.3828 z WFD  5.6102e-02  4.486e-02    0  1.000 43.500  2.04 1.558e+04  33.1978 
OBS: 59997.3662 u WFD  1.6149e-02  2.381e-02    0  1.000 41.920  2.55 1.540e+03  37.2895 
OBS: 60000.3480 g WFD  6.8458e-03  4.988e-03    0  1.000 45.540  1.95 1.186e+04  36.4759 
OBS: 60000.3924 Y WFD  8.5587e-02  4.776e-02    0  1.000 43.320  1.35 2.124e+04  32.6753 
