SURVEY:   LSST
SNID:     1219127
IAUC:     NULL
SNTYPE:   126
RA:       198.493146  # deg
DEC:      -21.185183  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0894 +- 0.0045  # MW E(B-V) 
PEAKMJD:  59847.254     # estimate for LC fit codes
MJD_TRIGGER:       59950.320  
MJD_DETECT_FIRST:  59937.352  
MJD_DETECT_LAST:   59978.336  

REDSHIFT_HELIO:   1.164570 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.166818 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           15128    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.11616  
SIM_REDSHIFT_CMB:    1.11836  
SIM_REDSHIFT_HOST:   1.16457  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9690268534 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.998 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.758 -9.000 
SIM_DLMU:            44.3984   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0417   # mag 
SIM_RA:              198.493149     # deg  
SIM_DEC:             -21.185183      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0981   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59847.254    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -107.28  # days 
SIM_TRESTMAX:        326.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.94  29.60  27.93  26.82  26.07  25.88  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2305 Y WFD  2.9101e-02  9.327e-02    0  1.000 42.530  1.96 1.380e+04  99.0000 
OBS: 59621.2139 Y WFD  1.6535e-01  8.193e-02    0  1.000 42.510  1.62 1.440e+04  99.0000 
OBS: 59645.3973 z WFD -2.5716e-02  5.341e-02    0  1.000 43.500  2.40 1.577e+04  99.0000 
OBS: 59652.1846 Y WFD  1.1052e-02  8.520e-02    0  1.000 42.550  1.82 1.383e+04  99.0000 
OBS: 59653.1757 Y WFD  2.3070e-02  9.160e-02    0  1.000 42.560  1.90 1.437e+04  99.0000 
OBS: 59655.1651 Y WFD -7.6430e-02  4.076e-02    0  1.000 44.510  1.76 4.160e+04  99.0000 
OBS: 59662.3283 i WFD -2.1472e-02  1.844e-02    0  1.000 45.350  2.61 2.751e+04  99.0000 
OBS: 59679.0611 z WFD  8.3778e-03  2.709e-02    0  1.000 44.230  1.67 2.252e+04  99.0000 
OBS: 59682.0517 Y WFD -2.5423e-02  8.380e-02    0  1.000 42.500  1.52 1.555e+04  99.0000 
OBS: 59688.1267 z WFD  2.2583e-02  2.893e-02    0  1.000 45.260  2.07 5.010e+04  99.0000 
OBS: 59692.1839 g WFD  3.2731e-03  9.475e-03    0  1.000 44.210  1.75 7.378e+03  99.0000 
OBS: 59710.0332 i WFD  1.9229e-02  2.030e-02    0  1.000 44.620  1.78 2.267e+04  99.0000 
OBS: 59710.9898 Y WFD  3.9927e-02  1.000e-01    0  1.000 43.290  2.64 2.213e+04  99.0000 
OBS: 59716.0932 Y WFD  4.0319e-02  4.879e-02    0  1.000 44.830  2.35 5.008e+04  99.0000 
OBS: 59717.1624 z WFD  4.3167e-02  2.451e-02    0  1.000 45.470  2.29 4.654e+04  99.0000 
OBS: 59770.0267 z WFD -2.7450e-02  1.964e-02    0  1.000 45.030  1.44 3.954e+04  99.0000 
OBS: 59786.9665 z WFD  8.2101e-02  5.081e-02    0  1.000 44.270  2.62 2.793e+04  99.0000 
OBS: 59805.9945 r WFD -9.6322e-03  1.498e-02    0  1.000 44.030  1.82 9.499e+03  99.0000 
OBS: 59937.3526 z WFD  2.5889e-01  5.817e-02 4096  1.000 43.490  2.10 1.945e+04  28.9233 
OBS: 59946.3616 Y WFD  4.7468e-01  1.535e-01    0  1.000 42.570  2.09 2.209e+04  28.5062 
OBS: 59950.3205 Y WFD  5.5745e-01  7.176e-02 6144  1.000 43.270  1.88 2.188e+04  28.5473 
OBS: 59951.3234 z WFD  2.6490e-01  3.698e-02 4096  1.000 44.250  1.84 2.842e+04  29.0646 
OBS: 59962.3352 g WFD  1.7986e-03  4.233e-03    0  1.000 45.610  1.78 1.176e+04  33.1620 
OBS: 59964.2980 u WFD -3.4210e-02  2.167e-02    0  1.000 41.920  2.43 1.470e+03  34.1583 
OBS: 59965.3221 r WFD  1.9383e-02  1.042e-02    0  1.000 44.840  2.17 1.168e+04  31.7836 
OBS: 59972.3664 Y WFD  3.0426e-01  7.871e-02    0  1.000 42.590  1.85 1.304e+04  28.8098 
OBS: 59978.2410 Y WFD  2.9855e-01  7.668e-02    0  1.000 42.520  1.46 1.509e+04  28.8827 
OBS: 59978.3350 i WFD  6.6114e-02  1.119e-02 4096  1.000 44.610  1.26 1.749e+04  30.4349 
OBS: 59979.2715 Y WFD  2.5317e-01  6.187e-02    0  1.000 42.560  1.24 1.488e+04  28.8960 
OBS: 59980.2322 Y WFD  2.5673e-01  8.570e-02    0  1.000 42.520  1.51 1.631e+04  28.9085 
OBS: 59984.3887 z WFD  9.8718e-02  5.334e-02    0  1.000 43.550  1.47 2.692e+04  29.4524 
OBS: 59993.2277 r WFD  2.0650e-02  7.764e-03    0  1.000 44.810  1.61 1.142e+04  32.1279 
OBS: 59994.2205 r WFD  1.4524e-02  9.927e-03    0  1.000 44.810  2.05 1.147e+04  32.1407 
OBS: 59995.2131 r WFD  1.9275e-02  8.466e-03    0  1.000 44.790  1.70 1.158e+04  32.1537 
OBS: 59997.1984 u WFD -5.3612e-03  2.003e-02    0  1.000 41.840  2.18 1.407e+03  34.5207 
OBS: 59999.1875 u WFD  4.8397e-02  2.423e-02    0  1.000 41.070  1.85 9.866e+02  34.5397 
OBS: 60000.2467 g WFD -9.6276e-04  5.199e-03    0  1.000 44.840  1.76 7.191e+03  33.5731 
OBS: 60002.1977 r WFD -6.6097e-03  9.942e-03    0  1.000 44.810  2.06 1.143e+04  32.2514 
OBS: 60009.1589 Y WFD  4.3894e-01  1.218e-01    0  1.000 42.520  2.09 1.675e+04  29.2929 
OBS: 60010.3529 z WFD  4.4921e-02  4.351e-02    0  1.000 44.280  1.92 3.294e+04  29.9448 
