SURVEY:   LSST
SNID:     1219438
IAUC:     NULL
SNTYPE:   126
RA:       199.131523  # deg
DEC:      -22.700655  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0880 +- 0.0044  # MW E(B-V) 
PEAKMJD:  59666.465     # estimate for LC fit codes
MJD_TRIGGER:       59654.141  
MJD_DETECT_FIRST:  59653.176  
MJD_DETECT_LAST:   59802.000  

REDSHIFT_HELIO:   0.696351 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.698089 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8750871597  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6964  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          199.131391    # deg 
HOSTGAL_DEC:         -22.700811    # deg 
HOSTGAL_SNSEP:       0.336       # arcsec 
HOSTGAL_DDLR:        0.797       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.988 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.697
HOSTGAL_SQRADIUS:     20.363   # Ixx + Iyy
HOSTGAL_MAG:     24.10  23.78  23.14  22.44  22.22  22.03 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           15439    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.69635  
SIM_REDSHIFT_CMB:    0.69809  
SIM_REDSHIFT_HOST:   0.68705  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8750871597 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.255 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.988 -9.000 
SIM_DLMU:            43.1374   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0121   # mag 
SIM_RA:              199.131516     # deg  
SIM_DEC:             -22.700655      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0907   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59666.465    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -27.26  # days 
SIM_TRESTMAX:        589.44  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.93  27.14  25.57  24.98  24.76  24.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2314 Y WFD -1.1861e-01  8.742e-02    0  1.000 42.530  1.84 1.378e+04  99.0000 
OBS: 59621.2144 Y WFD  4.9200e-02  8.189e-02    0  1.000 42.510  1.62 1.439e+04  99.0000 
OBS: 59645.3973 z WFD -5.4438e-02  5.341e-02    0  1.000 43.500  2.40 1.577e+04  99.0000 
OBS: 59653.1766 Y WFD  4.9981e+00  9.833e-02 4096  1.000 42.560  2.05 1.430e+04  25.7457 
OBS: 59654.1422 Y WFD  5.8426e+00  1.417e-01 6144  1.000 42.520  2.58 1.578e+04  25.6070 
OBS: 59655.1641 Y WFD  6.4778e+00  4.524e-02 4096  1.000 44.310  1.79 3.775e+04  25.4710 
OBS: 59662.3283 i WFD  9.2584e+00  1.846e-02 4096  1.000 45.350  2.61 2.751e+04  25.0852 
OBS: 59679.0611 z WFD  9.9324e+00  2.713e-02 4096  1.000 44.230  1.67 2.252e+04  25.0091 
OBS: 59682.0517 Y WFD  1.2076e+01  8.387e-02 4096  1.000 42.500  1.52 1.555e+04  24.7961 
OBS: 59688.1155 z WFD  5.8651e+00  1.923e-02 4096  1.000 46.120  2.05 7.422e+04  25.5837 
OBS: 59692.1839 g WFD  2.3698e-01  9.478e-03 4096  1.000 44.210  1.75 7.378e+03  29.0518 
OBS: 59710.0332 i WFD  1.3216e+00  2.031e-02 4096  1.000 44.620  1.78 2.267e+04  27.1858 
OBS: 59710.9898 Y WFD  3.7250e+00  1.000e-01 4096  1.000 43.290  2.64 2.213e+04  26.1190 
OBS: 59716.0776 Y WFD  3.2397e+00  6.703e-02 4096  1.000 44.070  2.28 3.521e+04  26.2422 
OBS: 59717.1552 z WFD  2.1787e+00  4.277e-02 4096  1.000 44.280  2.31 2.691e+04  26.6537 
OBS: 59718.2185 i WFD  1.2486e+00  4.753e-02 4096  1.000 43.850  2.64 1.761e+04  27.2712 
OBS: 59770.0406 z WFD  1.0158e+00  1.881e-02 4096  1.000 45.260  1.49 4.525e+04  27.4851 
OBS: 59786.9641 z WFD  7.4702e-01  7.166e-02 4096  1.000 43.520  2.89 1.790e+04  27.7615 
OBS: 59802.0015 Y WFD  8.2714e-01  1.083e-01 4096  1.000 42.520  1.95 1.595e+04  27.7489 
OBS: 59807.0016 g WFD  3.1980e-02  1.465e-02    0  1.000 43.980  2.72 5.939e+03  31.7711 
OBS: 59937.3526 z WFD  1.6005e-01  5.817e-02    0  1.000 43.490  2.10 1.945e+04  30.1697 
OBS: 59946.3616 Y WFD  2.6974e-01  1.535e-01    0  1.000 42.570  2.09 2.209e+04  30.0753 
OBS: 59950.3430 Y WFD  1.6692e-01  5.772e-02    0  1.000 43.740  1.92 2.657e+04  30.1399 
OBS: 59962.3367 g WFD  6.2011e-03  6.091e-03    0  1.000 44.860  1.80 8.390e+03  34.2554 
OBS: 59964.2902 u WFD  5.1002e-03  2.319e-02    0  1.000 41.840  2.49 1.426e+03  35.0758 
OBS: 59965.3239 r WFD  4.9773e-03  9.847e-03    0  1.000 44.840  2.07 1.158e+04  32.9950 
OBS: 59972.3664 Y WFD  9.7096e-02  7.870e-02    0  1.000 42.590  1.85 1.304e+04  30.4969 
OBS: 59978.2401 Y WFD  4.8539e-02  7.840e-02    0  1.000 42.520  1.49 1.512e+04  30.5921 
OBS: 59979.2724 Y WFD  1.4707e-01  6.162e-02    0  1.000 42.560  1.24 1.482e+04  30.6088 
OBS: 59980.2352 Y WFD -7.1303e-02  5.901e-02    0  1.000 43.270  1.48 2.286e+04  30.6244 
OBS: 59984.3883 z WFD  1.4435e-02  3.679e-02    0  1.000 44.300  1.47 3.705e+04  30.9400 
OBS: 59991.2775 r WFD -6.8151e-03  8.021e-03    0  1.000 44.840  1.72 1.135e+04  33.3142 
OBS: 59994.2219 r WFD  7.3225e-03  6.902e-03    0  1.000 45.570  2.04 1.613e+04  33.3505 
OBS: 59995.2129 r WFD  7.6379e-03  5.828e-03    0  1.000 45.560  1.69 1.629e+04  33.3627 
