SURVEY:   LSST
SNID:     1219672
IAUC:     NULL
SNTYPE:   126
RA:       204.801514  # deg
DEC:      -21.176466  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0745 +- 0.0037  # MW E(B-V) 
PEAKMJD:  60036.156     # estimate for LC fit codes
MJD_TRIGGER:       60027.152  
MJD_DETECT_FIRST:  60020.195  
MJD_DETECT_LAST:   60166.027  

REDSHIFT_HELIO:   0.556095 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.557603 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6062883463  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5561  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          204.801572    # deg 
HOSTGAL_DEC:         -21.176291    # deg 
HOSTGAL_SNSEP:       0.327       # arcsec 
HOSTGAL_DDLR:        1.328       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.947 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.500
HOSTGAL_SQRADIUS:     14.281   # Ixx + Iyy
HOSTGAL_MAG:     23.44  22.36  21.05  20.32  19.94  19.76 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  712   # template index for SIMSED,NONIa
SIM_LIBID:           15673    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55610  
SIM_REDSHIFT_CMB:    0.55760  
SIM_REDSHIFT_HOST:   0.53039  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6062883463 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.069 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.947 -9.000 
SIM_DLMU:            42.5442   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0103   # mag 
SIM_RA:              204.801514     # deg  
SIM_DEC:             -21.176466      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0808   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60036.156    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -267.29  # days 
SIM_TRESTMAX:        317.38  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.90  26.02  24.75  24.32  24.10  24.09  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2332 Y WFD -5.7099e-02  9.505e-02    0  1.000 42.510  1.92 1.409e+04  99.0000 
OBS: 59621.2333 Y WFD  4.8059e-02  8.755e-02    0  1.000 42.510  1.78 1.400e+04  99.0000 
OBS: 59629.2763 z WFD  1.4233e-03  1.705e-02    0  1.000 45.470  1.32 5.616e+04  99.0000 
OBS: 59652.1779 Y WFD  3.0786e-03  7.596e-02    0  1.000 43.300  2.22 2.017e+04  99.0000 
OBS: 59653.1784 Y WFD -8.2553e-03  1.057e-01    0  1.000 42.530  2.12 1.446e+04  99.0000 
OBS: 59655.1848 Y WFD -1.3106e-02  6.721e-02    0  1.000 43.310  1.70 2.352e+04  99.0000 
OBS: 59662.3048 i WFD  2.8613e-02  1.618e-02    0  1.000 45.370  2.36 2.720e+04  99.0000 
OBS: 59688.1020 z WFD -2.1653e-02  3.305e-02    0  1.000 45.030  2.00 4.792e+04  99.0000 
OBS: 59692.1800 g WFD  1.0378e-03  6.690e-03    0  1.000 44.960  1.76 1.033e+04  99.0000 
OBS: 59710.0058 i WFD  1.7332e-02  2.182e-02    0  1.000 44.590  1.83 2.306e+04  99.0000 
OBS: 59710.9823 Y WFD  1.6806e-01  1.498e-01    0  1.000 42.520  2.68 1.606e+04  99.0000 
OBS: 59716.1015 Y WFD  8.3115e-02  4.755e-02    0  1.000 44.700  2.19 4.647e+04  99.0000 
OBS: 59718.2167 i WFD -2.3470e-02  4.560e-02    0  1.000 43.860  2.56 1.758e+04  99.0000 
OBS: 59727.9551 z WFD -1.0219e-01  5.353e-02    0  1.000 43.490  2.03 1.851e+04  99.0000 
OBS: 59757.9684 z WFD -4.3799e-02  4.325e-02    0  1.000 43.510  2.27 1.363e+04  99.0000 
OBS: 59771.0871 z WFD -1.4460e-02  3.113e-02    0  1.000 45.010  2.05 4.323e+04  99.0000 
OBS: 59786.9674 z WFD -3.4936e-02  4.639e-02    0  1.000 44.270  2.57 2.600e+04  99.0000 
OBS: 59789.0670 r WFD -2.5007e-02  1.969e-02    0  1.000 44.020  2.58 8.728e+03  99.0000 
OBS: 59790.0387 g WFD -4.1625e-03  1.035e-02    0  1.000 44.770  3.00 7.877e+03  99.0000 
OBS: 59791.0466 u WFD  1.2295e-02  4.090e-02    0  1.000 41.040  3.00 9.993e+02  99.0000 
OBS: 59802.0254 Y WFD  4.4662e-02  1.189e-01    0  1.000 42.500  2.09 1.604e+04  99.0000 
OBS: 59805.9983 r WFD -1.5695e-02  1.003e-02    0  1.000 44.810  1.80 1.319e+04  99.0000 
OBS: 59809.9956 r WFD -4.8276e-03  1.486e-02    0  1.000 44.050  1.83 9.550e+03  99.0000 
OBS: 59950.3541 Y WFD  1.4766e-01  1.002e-01    0  1.000 42.540  1.84 1.593e+04  99.0000 
OBS: 59952.3375 Y WFD -4.9151e-02  6.593e-02    0  1.000 43.290  1.75 2.200e+04  99.0000 
OBS: 59964.3357 u WFD  6.3217e-03  1.927e-02    0  1.000 41.970  2.22 1.499e+03  99.0000 
OBS: 59972.3295 r WFD  2.8741e-03  8.507e-03    0  1.000 44.840  1.75 1.183e+04  99.0000 
OBS: 59977.2713 z WFD  3.8900e-02  2.294e-02    0  1.000 44.240  1.35 2.381e+04  99.0000 
OBS: 59979.2750 Y WFD -2.2230e-03  4.614e-02    0  1.000 43.290  1.27 2.122e+04  99.0000 
OBS: 59980.2395 Y WFD -9.7547e-02  8.760e-02    0  1.000 42.500  1.51 1.636e+04  99.0000 
OBS: 59994.2468 r WFD  5.8509e-03  9.139e-03    0  1.000 44.820  1.90 1.149e+04  99.0000 
OBS: 59997.2131 u WFD -1.1903e-02  1.865e-02    0  1.000 41.860  2.04 1.426e+03  99.0000 
OBS: 59998.3734 i WFD -2.5636e-02  1.552e-02    0  1.000 43.850  1.48 1.026e+04  99.0000 
OBS: 59999.1992 u WFD  2.9539e-03  2.952e-02    0  1.000 41.050  2.22 9.835e+02  99.0000 
