SURVEY:   LSST
SNID:     1222880
IAUC:     NULL
SNTYPE:   126
RA:       358.049515  # deg
DEC:      -4.489705  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0282 +- 0.0014  # MW E(B-V) 
PEAKMJD:  59809.980     # estimate for LC fit codes
MJD_TRIGGER:       59784.434  
MJD_DETECT_FIRST:  59783.324  
MJD_DETECT_LAST:   60127.340  

REDSHIFT_HELIO:   0.981091 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.978736 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8064240158  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9811  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          358.049746    # deg 
HOSTGAL_DEC:         -4.489880    # deg 
HOSTGAL_SNSEP:       0.455       # arcsec 
HOSTGAL_DDLR:        0.550       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.019 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.083
HOSTGAL_SQRADIUS:     17.494   # Ixx + Iyy
HOSTGAL_MAG:     24.74  24.28  22.93  21.90  21.10  20.83 # ugrizY
HOSTGAL_MAGERR:   0.09   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  714   # template index for SIMSED,NONIa
SIM_LIBID:           18881    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.98109  
SIM_REDSHIFT_CMB:    0.97874  
SIM_REDSHIFT_HOST:   0.92607  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8064240158 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.180 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.019 -9.000 
SIM_DLMU:            44.0451   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0153   # mag 
SIM_RA:              358.049530     # deg  
SIM_DEC:             -4.489706      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0272   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59809.980    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -24.53  # days 
SIM_TRESTMAX:        431.62  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.40  29.49  28.04  26.37  25.50  25.25  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 131 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59761.4424 z WFD  2.2436e-02  6.361e-02    0  1.000 43.520  2.47 1.859e+04  99.0000 
OBS: 59770.3400 Y WFD -1.1122e-01  7.989e-02    0  1.000 42.550  1.79 1.318e+04  99.0000 
OBS: 59771.3678 z WFD  6.7261e-03  2.625e-02    0  1.000 44.260  1.67 2.243e+04  31.0966 
OBS: 59772.3533 Y WFD  1.4342e-01  6.460e-02    0  1.000 43.320  1.89 2.052e+04  29.6915 
OBS: 59773.4430 Y WFD  1.6849e-01  8.316e-02    0  1.000 43.330  1.62 3.110e+04  28.9292 
OBS: 59783.3256 r WFD  4.7873e-01  1.246e-02 4096  1.000 44.850  2.60 1.177e+04  28.2997 
OBS: 59784.4353 z WFD  1.7592e+00  4.731e-02 6144  1.000 43.490  2.04 1.628e+04  26.8545 
OBS: 59789.4298 z WFD  2.8508e+00  5.221e-02 4096  1.000 43.490  2.39 1.533e+04  26.3555 
OBS: 59790.3084 g WFD  1.8169e-01  8.143e-03 4096  1.000 44.840  2.66 7.450e+03  29.3786 
OBS: 59791.2376 i WFD  2.1815e+00  1.986e-02 4096  1.000 44.560  2.36 1.582e+04  26.6721 
OBS: 59799.2268 z WFD  5.3393e+00  3.500e-02 4096  1.000 44.240  2.06 2.379e+04  25.6812 
OBS: 59800.2136 Y WFD  7.1994e+00  5.296e-02 4096  1.000 44.030  2.05 2.981e+04  25.3598 
OBS: 59803.2256 Y WFD  7.7911e+00  6.661e-02 4096  1.000 43.760  1.78 3.368e+04  25.2875 
OBS: 59808.2885 i WFD  2.8941e+00  1.885e-02 4096  1.000 44.630  1.53 2.470e+04  26.3417 
OBS: 59811.2072 i WFD  2.7617e+00  1.536e-02 4096  1.000 44.570  1.88 1.550e+04  26.3988 
OBS: 59812.2193 r WFD  5.5056e-01  1.061e-02 4096  1.000 44.830  2.20 1.163e+04  28.1504 
OBS: 59818.2536 u WFD  5.9068e-02  1.710e-02    0  1.000 41.910  1.92 1.455e+03  30.5851 
OBS: 59819.2316 u WFD  5.8060e-02  1.884e-02    0  1.000 42.040  2.30 1.508e+03  30.6146 
OBS: 59822.1775 i WFD  2.0097e+00  1.223e-02 4096  1.000 45.320  2.11 2.195e+04  26.7409 
OBS: 59825.1460 z WFD  4.4860e+00  3.358e-02 4096  1.000 44.230  2.15 2.167e+04  25.8784 
OBS: 59827.1686 z WFD  4.1209e+00  3.157e-02 4096  1.000 44.250  2.00 2.231e+04  25.9664 
OBS: 59835.1361 Y WFD  4.6975e+00  6.830e-02 4096  1.000 43.310  1.68 2.418e+04  25.8253 
OBS: 59837.1237 r WFD  1.2019e-01  1.220e-02 4096  1.000 44.060  1.71 8.469e+03  29.7992 
OBS: 59839.1329 g WFD  4.3300e-02  4.001e-03 4096  1.000 45.560  1.75 1.080e+04  30.9787 
OBS: 59842.1315 r WFD  1.0631e-01  5.124e-03 4096  1.000 46.020  1.80 2.054e+04  30.0008 
OBS: 59855.0482 z WFD  1.5958e+00  2.884e-02 4096  1.000 44.230  1.77 2.261e+04  27.0137 
OBS: 59856.0424 Y WFD  2.4711e+00  9.834e-02 4096  1.000 42.490  1.88 1.462e+04  26.5294 
OBS: 59863.1556 z WFD  1.4276e+00  3.027e-02 4096  1.000 45.030  1.77 4.959e+04  27.1544 
OBS: 59870.0768 i WFD  5.7482e-01  1.512e-02 4096  1.000 44.580  1.92 1.508e+04  28.1309 
OBS: 59871.0031 Y WFD  1.9987e+00  5.915e-02 4096  1.000 43.700  1.85 2.724e+04  26.7785 
OBS: 59873.0127 Y WFD  1.9120e+00  6.852e-02 4096  1.000 42.530  1.42 1.399e+04  26.8045 
OBS: 59875.0643 u WFD  5.7210e-03  1.801e-02    0  1.000 41.340  1.60 1.088e+03  32.3482 
OBS: 59880.0922 r WFD  4.7409e-02  4.204e-03 4096  1.000 45.610  1.28 1.625e+04  30.7682 
OBS: 59883.0030 Y WFD  1.6853e+00  8.513e-02 4096  1.000 42.550  1.27 1.980e+04  26.8591 
