SURVEY:   LSST
SNID:     1223218
IAUC:     NULL
SNTYPE:   126
RA:       130.027744  # deg
DEC:      -18.781426  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0885 +- 0.0044  # MW E(B-V) 
PEAKMJD:  59721.496     # estimate for LC fit codes
MJD_TRIGGER:       59711.988  
MJD_DETECT_FIRST:  59686.098  
MJD_DETECT_LAST:   59723.965  

REDSHIFT_HELIO:   1.496959 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.499365 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10316482941  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4970  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          130.027937    # deg 
HOSTGAL_DEC:         -18.781516    # deg 
HOSTGAL_SNSEP:       0.305       # arcsec 
HOSTGAL_DDLR:        1.404       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.452 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.911
HOSTGAL_SQRADIUS:     16.549   # Ixx + Iyy
HOSTGAL_MAG:     30.09  28.54  27.16  25.88  25.16  24.44 # ugrizY
HOSTGAL_MAGERR:  26.62   0.83   0.17   0.07   0.07   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  714   # template index for SIMSED,NONIa
SIM_LIBID:           19219    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.49696  
SIM_REDSHIFT_CMB:    1.49936  
SIM_REDSHIFT_HOST:   1.41506  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10316482941 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.937 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.452 -9.000 
SIM_DLMU:            45.1858   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0588   # mag 
SIM_RA:              130.027740     # deg  
SIM_DEC:             -18.781427      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0867   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59721.496    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -55.30  # days 
SIM_TRESTMAX:        380.36  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.17  31.29  30.35  29.31  28.14  27.09  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2681 u WFD  2.9774e-02  1.697e-02    0  1.000 41.370  1.62 1.040e+03  99.0000 
OBS: 59584.2863 u WFD  3.7629e-04  2.336e-02    0  1.000 41.320  2.17 1.021e+03  99.0000 
OBS: 59588.1520 Y WFD -2.6162e-02  8.376e-02    0  1.000 42.550  1.84 1.345e+04  99.0000 
OBS: 59589.3441 i WFD  3.3922e-02  2.198e-02    0  1.000 43.820  2.02 1.035e+04  99.0000 
OBS: 59592.2315 z WFD  2.7619e-03  2.302e-02    0  1.000 44.270  1.58 2.098e+04  99.0000 
OBS: 59594.1114 Y WFD -2.9416e-01  1.027e-01    0  1.000 42.520  1.91 1.545e+04  99.0000 
OBS: 59600.3567 z WFD  5.3054e-03  5.752e-02    0  1.000 43.490  1.88 2.148e+04  99.0000 
OBS: 59625.0356 Y WFD -3.2541e-02  5.963e-02    0  1.000 44.050  1.90 3.691e+04  99.0000 
OBS: 59626.0624 z WFD -2.7620e-02  2.421e-02    0  1.000 45.030  1.41 4.979e+04  99.0000 
OBS: 59631.1923 i WFD  1.8458e-03  2.074e-02    0  1.000 44.620  2.00 2.061e+04  99.0000 
OBS: 59660.2014 Y WFD -8.0812e-02  1.048e-01    0  1.000 42.500  2.01 1.471e+04  99.0000 
OBS: 59665.9859 Y WFD -6.7685e-02  1.099e-01    0  1.000 43.350  2.28 2.975e+04  99.0000 
OBS: 59674.9901 z WFD  2.9744e-02  1.962e-02    0  1.000 44.270  1.39 2.033e+04  31.0137 
OBS: 59684.0797 Y WFD  3.5478e-01  6.824e-02    0  1.000 42.580  1.34 1.546e+04  28.6315 
OBS: 59686.0984 Y WFD  4.5899e-01  7.728e-02 4096  1.000 42.560  1.47 1.567e+04  28.3882 
OBS: 59711.9892 Y WFD  1.5847e+00  7.765e-02 6144  1.000 42.580  1.66 1.420e+04  27.0142 
OBS: 59713.0072 Y WFD  1.6386e+00  6.924e-02 4096  1.000 43.320  2.02 2.058e+04  27.0188 
OBS: 59723.9649 z WFD  5.3946e-01  2.766e-02 4096  1.000 44.250  1.86 2.102e+04  28.2365 
OBS: 59861.3732 Y WFD  2.3685e-01  7.923e-02    0  1.000 43.260  1.96 2.296e+04  29.3318 
OBS: 59874.3762 z WFD  1.1896e-01  6.890e-02    0  1.000 43.520  1.88 2.645e+04  31.0406 
OBS: 59877.3686 z WFD  1.3302e-02  3.364e-02    0  1.000 44.260  1.82 2.637e+04  31.0620 
OBS: 59878.3377 g WFD  3.1648e-03  4.916e-03    0  1.000 44.760  1.57 7.080e+03  33.7425 
OBS: 59880.3641 z WFD  6.0775e-02  2.152e-02    0  1.000 44.260  1.33 2.309e+04  31.0832 
OBS: 59884.3396 r WFD  7.2107e-03  6.344e-03    0  1.000 44.810  1.34 1.121e+04  33.0873 
OBS: 59887.3606 z WFD -1.5298e-02  3.917e-02    0  1.000 43.510  1.68 1.667e+04  31.1326 
OBS: 59897.3563 z WFD  1.1133e-02  3.997e-02    0  1.000 43.520  1.48 1.949e+04  31.1988 
OBS: 59899.3252 i WFD -3.8944e-04  2.190e-02    0  1.000 44.600  2.33 1.834e+04  32.3094 
OBS: 59901.3269 r WFD  5.3389e-03  1.426e-02    0  1.000 44.110  2.02 8.775e+03  33.0776 
OBS: 59903.3042 r WFD  4.5647e-03  7.492e-03    0  1.000 45.270  2.04 1.328e+04  33.1683 
OBS: 59905.2634 u WFD -4.9050e-03  1.891e-02    0  1.000 41.830  2.10 1.366e+03  34.6559 
OBS: 59906.2912 r WFD  2.8211e-02  1.141e-02    0  1.000 44.810  2.51 1.076e+04  33.1852 
OBS: 59906.3464 z WFD -1.2711e-02  4.510e-02    0  1.000 43.510  2.26 1.427e+04  31.2695 
OBS: 59910.2635 g WFD  6.5652e-04  5.971e-03    0  1.000 44.760  2.04 6.619e+03  33.8797 
OBS: 59911.2875 r WFD  6.0587e-03  5.385e-03    0  1.000 45.580  1.72 1.507e+04  33.2165 
OBS: 59918.2631 Y WFD  6.2325e-02  8.469e-02    0  1.000 42.550  1.80 1.390e+04  29.8311 
OBS: 59919.2373 z WFD  3.6403e-02  3.678e-02    0  1.000 44.260  1.99 2.637e+04  31.3725 
OBS: 59920.2545 Y WFD  4.7162e-02  5.710e-02    0  1.000 43.310  1.60 2.123e+04  29.8472 
OBS: 59924.1964 Y WFD  9.7884e-02  1.125e-01    0  1.000 42.500  1.97 1.611e+04  29.8672 
OBS: 59928.2488 i WFD  8.3921e-03  1.072e-02    0  1.000 46.110  2.23 3.768e+04  32.5618 
OBS: 59931.2599 g WFD  5.7082e-04  4.840e-03    0  1.000 44.840  1.65 7.140e+03  34.0131 
OBS: 59932.1960 g WFD -2.9383e-03  4.839e-03    0  1.000 44.740  1.62 6.631e+03  34.0168 
OBS: 59937.2230 r WFD -1.0096e-03  7.709e-03    0  1.000 44.820  1.75 1.053e+04  33.3815 
OBS: 59941.1723 i WFD  1.2756e-03  1.423e-02    0  1.000 44.560  1.77 1.512e+04  32.7198 
OBS: 59950.1883 Y WFD  6.1796e-02  7.636e-02    0  1.000 42.580  1.46 1.588e+04  30.1181 
OBS: 59958.2302 r WFD  1.0580e-02  5.726e-03    0  1.000 46.070  1.66 2.607e+04  33.5301 
OBS: 59964.1062 u WFD  1.7456e-02  1.708e-02    0  1.000 41.840  1.91 1.369e+03  35.0253 
OBS: 59975.1659 i WFD  1.7411e-02  1.330e-02    0  1.000 44.630  1.41 1.893e+04  32.8773 
OBS: 59980.0536 Y WFD  1.2047e-01  8.828e-02    0  1.000 42.530  1.42 1.803e+04  30.3643 
OBS: 59982.0480 z WFD  4.9058e-02  3.855e-02    0  1.000 44.240  1.73 3.121e+04  31.8660 
OBS: 59987.0658 i WFD  1.2351e-03  1.584e-02    0  1.000 44.570  2.03 1.482e+04  33.0272 
OBS: 60000.0307 Y WFD  1.6647e-01  6.775e-02    0  1.000 42.550  1.50 1.334e+04  30.5469 
OBS: 60000.0635 g WFD  5.0493e-03  5.397e-03    0  1.000 44.840  1.79 7.340e+03  34.4713 
OBS: 60010.2425 z WFD -5.4432e-03  7.180e-02    0  1.000 43.490  1.92 2.626e+04  31.9617 
OBS: 60011.1932 Y WFD  7.8873e-02  1.183e-01    0  1.000 42.560  2.12 1.664e+04  30.5539 
OBS: 60013.2209 z WFD  1.5757e-02  3.445e-02    0  1.000 44.250  1.78 2.737e+04  31.9250 
OBS: 60024.9955 z WFD -1.0024e-02  2.751e-02    0  1.000 43.520  1.19 1.668e+04  31.9915 
OBS: 60036.1619 Y WFD  1.4835e-01  1.162e-01    0  1.000 42.520  2.09 1.597e+04  30.7512 
OBS: 60037.0989 Y WFD  4.1669e-02  6.038e-02    0  1.000 43.320  1.67 2.171e+04  30.7597 
OBS: 60038.9987 Y WFD -1.0997e-01  1.180e-01    0  1.000 42.600  2.40 1.521e+04  30.7767 
OBS: 60040.0965 Y WFD -9.3849e-02  1.054e-01    0  1.000 42.580  2.03 1.576e+04  30.7867 
OBS: 60065.0766 z WFD -1.1257e-01  6.632e-02    0  1.000 43.490  2.44 1.908e+04  32.1941 
OBS: 60066.0838 z WFD  1.2047e-02  5.271e-02    0  1.000 43.480  1.84 1.993e+04  32.2007 
OBS: 60067.0382 z WFD -3.8456e-02  3.492e-02    0  1.000 44.260  1.88 2.650e+04  32.2070 
OBS: 60069.0766 z WFD  5.1076e-02  5.848e-02    0  1.000 43.490  1.94 2.117e+04  32.2165 
OBS: 60077.9899 g WFD  1.2350e-03  3.890e-03    0  1.000 45.580  1.92 9.749e+03  34.8087 
OBS: 60080.0087 u WFD -2.2520e-02  2.388e-02    0  1.000 41.210  2.01 1.018e+03  35.6230 
OBS: 60093.9644 Y WFD -1.4342e-02  3.510e-02    0  1.000 44.070  1.44 2.920e+04  31.1587 
OBS: 60095.0041 Y WFD  2.3264e-02  6.512e-02    0  1.000 43.260  1.74 2.126e+04  31.1672 
OBS: 60099.9929 Y WFD -7.9336e-02  1.318e-01    0  1.000 42.520  2.42 1.565e+04  31.2135 
OBS: 60100.9836 i WFD -3.8332e-02  2.083e-02    0  1.000 44.580  1.70 2.347e+04  33.4402 
OBS: 60244.3416 z WFD  1.7416e-02  3.716e-02    0  1.000 44.250  2.03 2.588e+04  33.2488 
OBS: 60245.3359 Y WFD -3.0334e-02  1.046e-01    0  1.000 42.540  1.99 1.538e+04  32.4465 
OBS: 60250.3581 z WFD -2.5177e-02  5.166e-02    0  1.000 43.510  2.07 1.785e+04  33.2838 
OBS: 60262.3365 r WFD -5.7746e-03  1.343e-02    0  1.000 44.090  2.12 7.729e+03  35.0335 
OBS: 60269.3202 i WFD  2.9090e-02  1.793e-02    0  1.000 44.580  2.38 1.444e+04  34.2239 
OBS: 60270.3160 i WFD -1.7170e-03  1.531e-02    0  1.000 44.580  2.03 1.445e+04  34.2279 
OBS: 60272.2946 i WFD  1.5768e-02  2.060e-02    0  1.000 44.610  2.03 1.999e+04  34.2358 
