SURVEY:   LSST
SNID:     1255294
IAUC:     NULL
SNTYPE:   110
RA:       116.553595  # deg
DEC:      -34.014361  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    1.2869 +- 0.0643  # MW E(B-V) 
PEAKMJD:  60125.031     # estimate for LC fit codes
MJD_TRIGGER:       60240.312  
MJD_DETECT_FIRST:  60101.953  
MJD_DETECT_LAST:   60306.125  

REDSHIFT_HELIO:   0.686402 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.687611 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           293    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.67958  
SIM_REDSHIFT_CMB:    0.68079  
SIM_REDSHIFT_HOST:   0.68640  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8938380523 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.062 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.178 -9.000 
SIM_DLMU:            43.0715   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0192   # mag 
SIM_RA:              116.553596     # deg  
SIM_DEC:             -34.014362      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           1.2707   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60125.031    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.2632e-06 
SIM_SALT2x1:         -0.1213 
SIM_SALT2c:          -0.0259 
SIM_SALT2mB:         23.6430 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -322.54  # days 
SIM_TRESTMAX:        325.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.21  29.42  26.65  25.68  25.24  24.84  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2928 u WFD -8.9222e-04  1.830e-02    0  1.000 41.270  1.68 9.866e+02  99.0000 
OBS: 59583.3615 z WFD -8.1653e-02  6.454e-02    0  1.000 43.500  2.21 2.069e+04  99.0000 
OBS: 59589.0666 Y WFD  7.1255e-02  8.876e-02    0  1.000 42.490  1.75 1.418e+04  99.0000 
OBS: 59594.2187 Y WFD -1.0072e-02  7.287e-02    0  1.000 43.270  2.01 2.079e+04  99.0000 
OBS: 59596.0545 Y WFD  3.8908e-02  8.692e-02    0  1.000 42.540  1.54 1.652e+04  99.0000 
OBS: 59598.3260 z WFD  1.2130e-01  6.871e-02    0  1.000 44.250  3.13 3.103e+04  99.0000 
OBS: 59600.0489 z WFD  2.3283e-02  3.149e-02    0  1.000 44.230  1.98 2.207e+04  99.0000 
OBS: 59601.3075 i WFD -2.3424e-02  2.382e-02    0  1.000 44.610  1.99 2.357e+04  99.0000 
OBS: 59611.0411 z WFD -6.5798e-03  2.556e-02    0  1.000 44.690  2.03 2.669e+04  99.0000 
OBS: 59625.0224 Y WFD  1.3340e-01  8.251e-02    0  1.000 43.320  1.76 2.814e+04  99.0000 
OBS: 59653.0404 Y WFD  3.9118e-02  9.401e-02    0  1.000 42.600  2.13 1.365e+04  99.0000 
OBS: 59655.0550 Y WFD  6.6884e-02  8.608e-02    0  1.000 42.600  1.82 1.463e+04  99.0000 
OBS: 59676.9974 Y WFD -8.8319e-03  9.258e-02    0  1.000 42.590  2.26 1.255e+04  99.0000 
OBS: 59684.0938 Y WFD -4.1056e-02  7.392e-02    0  1.000 42.540  1.40 1.545e+04  99.0000 
OBS: 59686.1116 Y WFD -7.6073e-02  9.479e-02    0  1.000 42.500  1.66 1.611e+04  99.0000 
OBS: 59687.0376 z WFD  4.6427e-02  2.609e-02    0  1.000 44.270  1.49 2.521e+04  99.0000 
OBS: 59691.9828 z WFD -2.1850e-02  3.718e-02    0  1.000 43.510  1.99 1.336e+04  99.0000 
OBS: 59709.9747 Y WFD  5.3054e-02  7.155e-02    0  1.000 42.580  1.59 1.366e+04  99.0000 
OBS: 59713.0266 Y WFD  3.7958e-02  1.143e-01    0  1.000 42.520  2.17 1.513e+04  99.0000 
OBS: 59850.3750 g WFD -9.5798e-04  1.170e-02    0  1.000 43.990  2.72 4.785e+03  99.0000 
OBS: 59851.3654 u WFD -1.3517e-02  2.833e-02    0  1.000 41.100  2.26 9.708e+02  99.0000 
OBS: 59853.3555 g WFD  5.5812e-03  7.473e-03    0  1.000 44.710  2.38 6.780e+03  99.0000 
OBS: 59859.3627 i WFD -1.0344e-03  2.247e-02    0  1.000 43.850  1.50 1.465e+04  99.0000 
OBS: 59862.3795 z WFD -6.5513e-02  4.431e-02    0  1.000 43.520  1.60 1.999e+04  99.0000 
OBS: 59873.2981 r WFD -1.6690e-03  5.346e-03    0  1.000 45.540  1.60 1.550e+04  99.0000 
OBS: 59874.2898 u WFD  3.4109e-02  2.772e-02    0  1.000 41.020  2.13 9.360e+02  99.0000 
OBS: 59874.3697 z WFD -8.5009e-03  2.730e-02    0  1.000 44.260  1.76 2.214e+04  99.0000 
OBS: 59878.2712 g WFD  1.0892e-03  5.134e-03    0  1.000 44.690  1.67 6.517e+03  99.0000 
OBS: 59879.3613 z WFD  2.9638e-02  3.219e-02    0  1.000 43.510  1.64 1.404e+04  99.0000 
OBS: 59884.3037 r WFD -3.2868e-04  4.831e-03    0  1.000 45.560  1.52 1.502e+04  99.0000 
