SURVEY:   LSST
SNID:     1255762
IAUC:     NULL
SNTYPE:   110
RA:       340.714677  # deg
DEC:      2.191844  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0745 +- 0.0037  # MW E(B-V) 
PEAKMJD:  60298.871     # estimate for LC fit codes
MJD_TRIGGER:       60443.406  
MJD_DETECT_FIRST:  60442.422  
MJD_DETECT_LAST:   60601.082  

REDSHIFT_HELIO:   0.814749 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.812538 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6001746693  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8147  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          340.714395    # deg 
HOSTGAL_DEC:         2.191327    # deg 
HOSTGAL_SNSEP:       1.022       # arcsec 
HOSTGAL_DDLR:        2.713       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.735 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.220
HOSTGAL_SQRADIUS:     12.726   # Ixx + Iyy
HOSTGAL_MAG:     23.24  23.13  22.56  21.65  21.15  21.02 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           762    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.81475  
SIM_REDSHIFT_CMB:    0.81254  
SIM_REDSHIFT_HOST:   0.83386  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6001746693 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.952 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.735 -9.000 
SIM_DLMU:            43.5468   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0154   # mag 
SIM_RA:              340.714691     # deg  
SIM_DEC:             2.191844      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0722   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60298.871    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.0763e-06 
SIM_SALT2x1:         -0.8732 
SIM_SALT2c:          0.0358 
SIM_SALT2mB:         24.4149 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -301.55  # days 
SIM_TRESTMAX:        184.36  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.55  27.39  25.05  24.03  24.08  24.03  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 80 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.2991 i WFD  2.9399e-02  2.408e-02    0  1.000 44.560  2.51 1.805e+04  99.0000 
OBS: 59761.4357 z WFD  4.8968e-02  6.167e-02    0  1.000 43.490  2.78 1.557e+04  99.0000 
OBS: 59769.4344 Y WFD  1.3736e-01  8.459e-02    0  1.000 42.510  1.68 1.433e+04  99.0000 
OBS: 59770.2863 Y WFD  4.5482e-02  9.444e-02    0  1.000 42.530  1.94 1.412e+04  99.0000 
OBS: 59772.3694 Y WFD -1.2865e-02  6.772e-02    0  1.000 43.300  1.90 2.101e+04  99.0000 
OBS: 59773.4000 Y WFD  5.8014e-02  1.030e-01    0  1.000 42.540  1.82 1.656e+04  99.0000 
OBS: 59774.3316 z WFD  4.9427e-02  4.744e-02    0  1.000 44.270  1.98 3.451e+04  99.0000 
OBS: 59784.3792 r WFD -2.0142e-03  1.072e-02    0  1.000 44.790  2.12 1.175e+04  99.0000 
OBS: 59790.2489 g WFD -1.0473e-02  8.085e-03    0  1.000 44.800  2.58 7.352e+03  99.0000 
OBS: 59791.2320 i WFD -7.2984e-03  1.861e-02    0  1.000 44.570  2.28 1.549e+04  99.0000 
OBS: 59793.2108 g WFD -1.2564e-02  8.554e-03    0  1.000 44.790  2.70 7.365e+03  99.0000 
OBS: 59863.0346 z WFD -8.1815e-03  1.929e-02    0  1.000 45.460  1.47 5.654e+04  99.0000 
OBS: 59866.0087 Y WFD  9.5138e-02  8.197e-02    0  1.000 42.530  1.71 1.390e+04  99.0000 
OBS: 59875.0800 u WFD -1.5624e-02  2.084e-02    0  1.000 41.240  1.76 1.044e+03  99.0000 
OBS: 59896.0149 Y WFD  5.6061e-02  9.424e-02    0  1.000 43.320  1.95 2.901e+04  99.0000 
OBS: 59900.0822 i WFD  1.2850e-02  2.544e-02    0  1.000 44.560  2.97 1.611e+04  99.0000 
OBS: 60067.4295 z WFD  7.9815e-02  7.668e-02    0  1.000 43.500  1.80 3.018e+04  99.0000 
OBS: 60083.4260 z WFD -2.4660e-02  3.088e-02    0  1.000 44.250  1.67 2.614e+04  99.0000 
OBS: 60084.4290 z WFD -5.0393e-02  4.742e-02    0  1.000 43.490  1.95 1.707e+04  99.0000 
OBS: 60096.3767 Y WFD -2.0674e-02  1.054e-01    0  1.000 42.530  2.22 1.377e+04  99.0000 
OBS: 60096.4009 i WFD  2.2011e-02  1.845e-02    0  1.000 44.580  2.23 1.585e+04  99.0000 
OBS: 60101.3996 z WFD -4.5666e-02  3.067e-02    0  1.000 44.260  1.59 2.752e+04  99.0000 
OBS: 60111.3580 r WFD -1.1624e-02  1.019e-02    0  1.000 44.820  2.05 1.188e+04  99.0000 
OBS: 60118.3409 u WFD  3.1518e-02  2.336e-02    0  1.000 41.880  2.58 1.439e+03  99.0000 
OBS: 60122.3668 r WFD  1.9765e-03  9.388e-03    0  1.000 44.830  1.95 1.161e+04  99.0000 
OBS: 60124.3192 Y WFD  4.7558e-02  7.610e-02    0  1.000 42.550  1.66 1.354e+04  99.0000 
OBS: 60125.2756 z WFD -2.2234e-02  3.382e-02    0  1.000 44.230  1.88 2.497e+04  99.0000 
OBS: 60127.3610 Y WFD -6.2903e-03  6.098e-02    0  1.000 43.310  1.72 2.109e+04  99.0000 
OBS: 60137.3025 i WFD -6.0731e-03  1.197e-02    0  1.000 45.320  2.08 2.180e+04  99.0000 
OBS: 60140.2903 u WFD -9.4843e-03  2.904e-02    0  1.000 41.200  2.40 1.028e+03  99.0000 
OBS: 60142.2602 i WFD  3.7673e-03  1.956e-02    0  1.000 44.570  2.39 1.554e+04  99.0000 
OBS: 60145.2454 u WFD  3.6241e-02  2.923e-02    0  1.000 41.120  2.30 1.002e+03  99.0000 
OBS: 60148.2744 r WFD -1.2056e-02  1.030e-02    0  1.000 44.820  2.14 1.150e+04  99.0000 
OBS: 60149.2551 r WFD -1.1280e-02  9.130e-03    0  1.000 44.810  1.87 1.156e+04  99.0000 
OBS: 60153.2075 Y WFD -4.5613e-02  6.547e-02    0  1.000 43.260  1.84 2.021e+04  99.0000 
OBS: 60162.2154 Y WFD  3.3041e-02  9.112e-02    0  1.000 43.290  2.48 2.146e+04  99.0000 
OBS: 60163.3365 i WFD  1.6067e-02  2.346e-02    0  1.000 44.600  2.13 2.150e+04  99.0000 
