SURVEY:   LSST
SNID:     1256061
IAUC:     NULL
SNTYPE:   110
RA:       40.524521  # deg
DEC:      -48.891352  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0233 +- 0.0012  # MW E(B-V) 
PEAKMJD:  60458.945     # estimate for LC fit codes
MJD_TRIGGER:       60495.387  
MJD_DETECT_FIRST:  60486.438  
MJD_DETECT_LAST:   60665.055  

REDSHIFT_HELIO:   1.605896 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.604914 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9818069859  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.6059  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          40.524512    # deg 
HOSTGAL_DEC:         -48.891337    # deg 
HOSTGAL_SNSEP:       0.031       # arcsec 
HOSTGAL_DDLR:        0.203       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.897 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.490
HOSTGAL_SQRADIUS:     12.380   # Ixx + Iyy
HOSTGAL_MAG:     26.73  26.50  26.32  25.69  25.23  24.57 # ugrizY
HOSTGAL_MAGERR:   1.17   0.13   0.11   0.09   0.12   0.14 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1061    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.60590  
SIM_REDSHIFT_CMB:    1.60491  
SIM_REDSHIFT_HOST:   1.63095  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9818069859 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.407 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.897 -9.000 
SIM_DLMU:            45.3709   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0362   # mag 
SIM_RA:              40.524521     # deg  
SIM_DEC:             -48.891354      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0239   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60458.945    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         9.4560e-07 
SIM_SALT2x1:         0.9025 
SIM_SALT2c:          -0.0593 
SIM_SALT2mB:         25.6957 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -250.93  # days 
SIM_TRESTMAX:        82.58  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.40  32.02  28.64  26.47  25.67  25.15  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59805.2846 Y WFD -3.9503e-02  3.616e-02    0  1.000 44.290  1.53 3.467e+04  99.0000 
OBS: 59806.3838 z WFD -2.0435e-02  1.883e-02    0  1.000 45.470  1.79 4.575e+04  99.0000 
OBS: 59807.2925 Y WFD -1.6618e-02  4.113e-02    0  1.000 44.060  1.70 2.872e+04  99.0000 
OBS: 59807.3994 i WFD -3.0065e-02  2.981e-02    0  1.000 43.890  1.94 1.559e+04  99.0000 
OBS: 59807.4319 z WFD -1.2159e-02  7.108e-02    0  1.000 43.530  1.98 2.615e+04  99.0000 
OBS: 59809.3414 r WFD  7.0259e-03  7.417e-03    0  1.000 45.660  1.58 2.432e+04  99.0000 
OBS: 59812.3947 g WFD -6.3134e-03  7.255e-03    0  1.000 44.890  2.38 7.770e+03  99.0000 
OBS: 59818.2426 u WFD  2.9637e-03  2.754e-02    0  1.000 41.090  2.22 9.518e+02  99.0000 
OBS: 59818.4191 z WFD -1.3578e-02  3.452e-02    0  1.000 43.510  1.50 1.646e+04  99.0000 
OBS: 59820.2623 u WFD  5.6273e-03  2.262e-02    0  1.000 41.180  1.93 9.771e+02  99.0000 
OBS: 59823.2410 g WFD -3.7219e-03  8.529e-03    0  1.000 44.740  2.97 6.375e+03  99.0000 
OBS: 59824.3647 i WFD  8.7747e-04  1.025e-02    0  1.000 44.590  1.43 1.386e+04  99.0000 
OBS: 59827.3036 z WFD -3.1686e-03  3.086e-02    0  1.000 43.500  1.62 1.350e+04  99.0000 
OBS: 59832.1966 Y WFD -2.1166e-02  6.891e-02    0  1.000 43.280  1.65 2.417e+04  99.0000 
OBS: 59837.3495 i WFD -6.1665e-03  1.740e-02    0  1.000 44.620  1.73 2.000e+04  99.0000 
OBS: 59839.3797 r WFD  4.3765e-02  1.567e-02    0  1.000 44.140  1.88 1.065e+04  99.0000 
OBS: 59839.3922 z WFD  5.3567e-02  3.311e-02    0  1.000 43.500  1.63 1.439e+04  99.0000 
OBS: 59843.2018 i WFD -8.1255e-03  1.421e-02    0  1.000 44.570  1.85 1.458e+04  99.0000 
OBS: 59850.1398 i WFD  4.7659e-03  1.861e-02    0  1.000 44.550  2.26 1.535e+04  99.0000 
OBS: 59853.2192 r WFD -1.6764e-02  8.762e-03    0  1.000 44.820  2.03 1.032e+04  99.0000 
OBS: 59858.1716 z WFD  7.0075e-03  2.031e-02    0  1.000 45.000  1.67 3.431e+04  99.0000 
OBS: 59859.1588 Y WFD -9.4842e-02  9.050e-02    0  1.000 42.560  1.82 1.482e+04  99.0000 
OBS: 59862.1167 z WFD  4.8254e-02  2.476e-02    0  1.000 45.010  1.51 4.668e+04  99.0000 
OBS: 59867.2812 r WFD -5.9148e-03  1.356e-02    0  1.000 44.910  1.83 1.925e+04  99.0000 
OBS: 59868.1318 r WFD  6.7390e-03  6.822e-03    0  1.000 44.800  1.51 1.060e+04  99.0000 
OBS: 59874.1222 u WFD  1.1547e-02  1.493e-02    0  1.000 41.940  1.81 1.385e+03  99.0000 
OBS: 59879.0798 g WFD -1.8788e-03  5.718e-03    0  1.000 44.730  1.96 6.416e+03  99.0000 
OBS: 59886.0373 z WFD -2.4655e-02  2.863e-02    0  1.000 44.230  1.64 2.423e+04  99.0000 
OBS: 59887.2611 i WFD  1.6204e-02  1.565e-02    0  1.000 44.620  1.37 2.271e+04  99.0000 
OBS: 59900.0307 Y WFD -8.1895e-03  7.773e-02    0  1.000 43.280  2.33 1.930e+04  99.0000 
OBS: 59901.0231 Y WFD -1.4234e-01  1.450e-01    0  1.000 42.530  2.89 1.455e+04  99.0000 
OBS: 59906.1071 u WFD -4.6418e-03  2.160e-02    0  1.000 41.240  1.96 9.708e+02  99.0000 
OBS: 59914.1092 r WFD -1.2095e-02  1.195e-02    0  1.000 44.900  1.88 1.635e+04  99.0000 
OBS: 59916.1434 i WFD  5.6889e-03  1.211e-02    0  1.000 45.380  1.59 3.048e+04  99.0000 
OBS: 59929.0397 Y WFD -7.8462e-02  8.237e-02    0  1.000 42.580  1.79 1.397e+04  99.0000 
OBS: 59935.0454 z WFD -2.0480e-02  2.357e-02    0  1.000 43.500  1.19 1.404e+04  99.0000 
OBS: 59943.0871 r WFD -3.4279e-03  1.086e-02    0  1.000 44.890  1.79 1.546e+04  99.0000 
