SURVEY:   LSST
SNID:     1256370
IAUC:     NULL
SNTYPE:   110
RA:       30.596198  # deg
DEC:      -53.778898  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0226 +- 0.0011  # MW E(B-V) 
PEAKMJD:  60113.676     # estimate for LC fit codes
MJD_TRIGGER:       60123.395  
MJD_DETECT_FIRST:  60103.430  
MJD_DETECT_LAST:   60352.031  

REDSHIFT_HELIO:   1.169460 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.168567 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5877191984  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1695  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          30.596185    # deg 
HOSTGAL_DEC:         -53.778787    # deg 
HOSTGAL_SNSEP:       0.200       # arcsec 
HOSTGAL_DDLR:        0.529       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.393 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.476
HOSTGAL_SQRADIUS:     12.254   # Ixx + Iyy
HOSTGAL_MAG:     25.51  25.47  25.26  24.86  24.33  24.23 # ugrizY
HOSTGAL_MAGERR:   0.20   0.05   0.04   0.04   0.04   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           1370    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.16946  
SIM_REDSHIFT_CMB:    1.16858  
SIM_REDSHIFT_HOST:   1.12608  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5877191984 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.847 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.393 -9.000 
SIM_DLMU:            44.5196   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0239   # mag 
SIM_RA:              30.596199     # deg  
SIM_DEC:             -53.778896      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0223   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60113.676    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6803e-06 
SIM_SALT2x1:         -0.5023 
SIM_SALT2c:          -0.0495 
SIM_SALT2mB:         25.0716 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -146.32  # days 
SIM_TRESTMAX:        254.26  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.68  29.39  26.34  25.05  24.34  24.41  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59796.3656 g WFD -5.5906e-03  6.459e-03    0  1.000 44.790  2.38 6.309e+03  99.0000 
OBS: 59798.2984 r WFD  1.2723e-03  1.109e-02    0  1.000 45.260  2.68 1.482e+04  99.0000 
OBS: 59799.3474 z WFD -1.4356e-02  2.498e-02    0  1.000 44.690  2.18 2.430e+04  99.0000 
OBS: 59800.2870 Y WFD  8.7037e-02  4.511e-02    0  1.000 44.050  1.85 2.868e+04  99.0000 
OBS: 59801.2852 z WFD -1.1280e-02  2.854e-02    0  1.000 45.010  2.14 3.796e+04  99.0000 
OBS: 59802.3583 Y WFD -8.6453e-02  5.070e-02    0  1.000 43.770  1.76 2.618e+04  99.0000 
OBS: 59803.3019 Y WFD -1.3668e-02  9.936e-02    0  1.000 42.560  1.84 1.610e+04  99.0000 
OBS: 59804.3565 z WFD  9.9882e-03  2.764e-02    0  1.000 44.280  1.39 2.890e+04  99.0000 
OBS: 59805.2754 Y WFD -2.8341e-03  4.353e-02    0  1.000 43.750  1.45 2.678e+04  99.0000 
OBS: 59806.4149 z WFD -3.3152e-02  4.972e-02    0  1.000 43.520  2.08 1.725e+04  99.0000 
OBS: 59807.4076 i WFD -6.4466e-02  2.957e-02    0  1.000 43.870  1.91 1.542e+04  99.0000 
OBS: 59818.2093 u WFD -9.0359e-03  2.566e-02    0  1.000 41.030  1.99 9.360e+02  99.0000 
OBS: 59820.2704 u WFD -8.7158e-03  2.281e-02    0  1.000 41.170  1.96 9.613e+02  99.0000 
OBS: 59823.1860 g WFD  1.4349e-02  8.195e-03    0  1.000 44.670  2.67 6.388e+03  99.0000 
OBS: 59824.2864 i WFD  9.6581e-03  1.139e-02    0  1.000 44.580  1.54 1.418e+04  99.0000 
OBS: 59830.1817 Y WFD  1.7523e-01  1.014e-01    0  1.000 42.520  1.89 1.541e+04  99.0000 
OBS: 59832.1815 Y WFD -2.2032e-01  1.070e-01    0  1.000 42.540  1.82 1.721e+04  99.0000 
OBS: 59837.2651 i WFD -1.3037e-02  8.278e-03    0  1.000 45.810  1.44 3.419e+04  99.0000 
OBS: 59843.1411 i WFD  2.3880e-02  1.668e-02    0  1.000 44.560  2.05 1.531e+04  99.0000 
OBS: 59844.1413 r WFD -7.9332e-03  1.042e-02    0  1.000 44.780  2.22 1.081e+04  99.0000 
OBS: 59853.1856 r WFD  1.4904e-02  1.041e-02    0  1.000 44.810  2.38 1.036e+04  99.0000 
OBS: 59858.1193 z WFD  4.2857e-02  2.967e-02    0  1.000 44.250  1.65 2.542e+04  99.0000 
OBS: 59862.0948 z WFD -3.1896e-02  3.750e-02    0  1.000 44.250  1.63 3.253e+04  99.0000 
OBS: 59866.1024 i WFD  1.2246e-02  1.664e-02    0  1.000 44.550  2.06 1.505e+04  99.0000 
OBS: 59867.2769 r WFD -1.4531e-02  1.313e-02    0  1.000 44.910  1.76 1.938e+04  99.0000 
OBS: 59874.1203 u WFD  7.1310e-03  2.054e-02    0  1.000 41.190  1.78 9.708e+02  99.0000 
OBS: 59878.0868 g WFD  6.1080e-03  5.020e-03    0  1.000 44.750  1.78 6.318e+03  99.0000 
OBS: 59879.0627 g WFD -8.6069e-03  5.890e-03    0  1.000 44.740  2.06 6.347e+03  99.0000 
OBS: 59887.2409 i WFD  1.6643e-02  1.287e-02    0  1.000 45.370  1.53 3.337e+04  99.0000 
OBS: 59900.0293 Y WFD  4.2390e-02  7.449e-02    0  1.000 43.300  2.30 1.909e+04  99.0000 
OBS: 59901.0263 Y WFD  6.6815e-02  1.475e-01    0  1.000 42.550  3.16 1.379e+04  99.0000 
OBS: 59906.2172 r WFD  4.1158e-03  8.881e-03    0  1.000 44.790  1.97 1.048e+04  99.0000 
OBS: 59908.0945 u WFD  8.9926e-03  3.620e-02    0  1.000 41.180  3.18 9.487e+02  99.0000 
OBS: 59914.1049 r WFD  7.2092e-03  1.189e-02    0  1.000 44.900  1.82 1.681e+04  99.0000 
OBS: 59916.1454 i WFD -1.0605e-03  1.835e-02    0  1.000 44.620  1.66 2.197e+04  99.0000 
OBS: 59934.0822 u WFD -1.0397e-02  1.464e-02    0  1.000 41.330  1.36 1.031e+03  99.0000 
OBS: 59943.0834 r WFD -3.1202e-03  1.231e-02    0  1.000 44.870  1.93 1.596e+04  99.0000 
