SURVEY:   LSST
SNID:     1257412
IAUC:     NULL
SNTYPE:   110
RA:       4.721853  # deg
DEC:      3.231021  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0285 +- 0.0014  # MW E(B-V) 
PEAKMJD:  59851.465     # estimate for LC fit codes
MJD_TRIGGER:       59846.109  
MJD_DETECT_FIRST:  59825.168  
MJD_DETECT_LAST:   60127.336  

REDSHIFT_HELIO:   1.132484 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.129973 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9751014540  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1325  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          4.721777    # deg 
HOSTGAL_DEC:         3.231001    # deg 
HOSTGAL_SNSEP:       0.113       # arcsec 
HOSTGAL_DDLR:        0.284       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.588 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.253
HOSTGAL_SQRADIUS:     13.923   # Ixx + Iyy
HOSTGAL_MAG:     25.90  25.52  24.90  24.19  23.98  23.81 # ugrizY
HOSTGAL_MAGERR:   0.46   0.06   0.03   0.02   0.03   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2412    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.13248  
SIM_REDSHIFT_CMB:    1.12997  
SIM_REDSHIFT_HOST:   1.16024  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9751014540 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.194 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.588 -9.000 
SIM_DLMU:            44.4310   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0245   # mag 
SIM_RA:              4.721853     # deg  
SIM_DEC:             3.231021      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0259   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59851.465    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6690e-06 
SIM_SALT2x1:         -0.3883 
SIM_SALT2c:          -0.0134 
SIM_SALT2mB:         25.0789 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -38.09  # days 
SIM_TRESTMAX:        381.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.23  29.62  26.38  25.12  24.35  24.41  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3378 Y WFD  1.2768e-01  9.201e-02    0  1.000 42.530  1.90 1.404e+04  99.0000 
OBS: 59771.3874 z WFD -3.4969e-02  2.376e-02    0  1.000 45.450  2.02 5.023e+04  99.0000 
OBS: 59772.3755 Y WFD -1.7950e-02  4.430e-02    0  1.000 44.060  1.80 2.921e+04  99.0000 
OBS: 59783.3259 r WFD  2.0860e-02  9.807e-03    0  1.000 45.570  2.74 1.707e+04  99.0000 
OBS: 59789.3582 r WFD  3.3635e-02  1.276e-02    0  1.000 44.820  2.64 1.155e+04  99.0000 
OBS: 59789.4276 z WFD -1.2137e-02  5.799e-02    0  1.000 43.480  2.69 1.500e+04  99.0000 
OBS: 59790.4355 z WFD  5.2128e-02  6.076e-02    0  1.000 43.500  2.37 1.817e+04  99.0000 
OBS: 59791.2578 i WFD -1.2242e-02  2.177e-02    0  1.000 44.550  2.52 1.610e+04  99.0000 
OBS: 59825.1698 z WFD  3.8529e+00  3.434e-02 4096  1.000 44.230  2.18 2.185e+04  26.0664 
OBS: 59846.1087 i WFD  9.5586e+00  2.024e-02 6144  1.000 44.550  2.32 1.623e+04  25.0486 
OBS: 59863.2353 z WFD  1.4116e+01  5.028e-02 4096  1.000 44.250  1.73 4.107e+04  24.6231 
OBS: 59875.0629 u WFD -2.0274e-02  2.140e-02    0  1.000 41.170  1.71 1.034e+03  99.0000 
OBS: 59877.0727 u WFD -1.2693e-02  1.780e-02    0  1.000 41.280  1.51 1.078e+03  37.4306 
OBS: 59880.1793 r WFD  4.2485e-01  8.049e-03 4096  1.000 44.800  1.60 1.180e+04  28.4131 
OBS: 59895.1697 i WFD  9.1850e-01  4.455e-02 4096  1.000 43.820  2.48 1.709e+04  27.6212 
OBS: 59896.0210 Y WFD  3.6381e+00  7.022e-02 4096  1.000 43.310  2.02 2.067e+04  26.0808 
OBS: 59922.0468 z WFD  1.1271e+00  3.619e-02 4096  1.000 44.260  1.92 2.689e+04  27.4370 
OBS: 59937.0429 z WFD  8.7436e-01  4.891e-02 4096  1.000 44.240  1.99 3.443e+04  27.6227 
OBS: 60094.4222 Y WFD  3.2325e-01  7.659e-02 4096  1.000 42.500  1.48 1.460e+04  28.6429 
OBS: 60095.4204 i WFD  3.6424e-02  2.666e-02    0  1.000 43.800  1.95 1.277e+04  30.3810 
OBS: 60096.4173 i WFD  5.9274e-02  3.486e-02    0  1.000 43.800  2.57 1.267e+04  30.3914 
OBS: 60111.3853 r WFD  2.3998e-02  1.131e-02    0  1.000 44.800  2.03 1.307e+04  31.5562 
OBS: 60124.3567 i WFD  3.8746e-02  1.853e-02    0  1.000 44.560  2.12 1.644e+04  30.6791 
OBS: 60127.3369 Y WFD  9.6633e-02  7.342e-02 4096  1.000 43.260  1.88 2.218e+04  28.9126 
OBS: 60137.3645 i WFD  7.6850e-02  2.268e-02    0  1.000 44.580  2.68 1.622e+04  30.8109 
OBS: 60139.3460 i WFD  5.0121e-02  1.735e-02    0  1.000 44.570  2.09 1.576e+04  30.8308 
OBS: 60140.3083 u WFD  1.2946e-02  3.459e-02    0  1.000 41.050  2.56 9.993e+02  99.0000 
OBS: 60141.3568 g WFD -7.6389e-03  6.862e-03    0  1.000 44.820  2.12 7.735e+03  33.8895 
OBS: 60143.3352 r WFD  2.0338e-02  7.742e-03    0  1.000 45.570  2.18 1.693e+04  31.8807 
OBS: 60144.2989 g WFD -2.5482e-03  8.041e-03    0  1.000 44.760  2.38 7.640e+03  33.9191 
OBS: 60181.2110 z WFD  1.4280e-01  3.218e-02    0  1.000 44.990  2.89 3.113e+04  29.7668 
OBS: 60182.2238 z WFD  2.0839e-01  4.837e-02    0  1.000 44.250  3.05 2.242e+04  29.7751 
OBS: 60183.2029 Y WFD  2.0670e-01  6.921e-02    0  1.000 43.700  2.34 2.520e+04  29.3619 
OBS: 60198.1762 u WFD  1.3494e-02  3.229e-02    0  1.000 41.120  2.51 1.015e+03  99.0000 
OBS: 60206.1342 u WFD -3.1559e-03  2.034e-02    0  1.000 41.860  2.20 1.442e+03  99.0000 
OBS: 60207.1741 i WFD  8.0720e-03  2.011e-02    0  1.000 44.580  2.47 1.560e+04  31.4969 
OBS: 60208.1154 Y WFD -8.0649e-02  1.265e-01    0  1.000 42.510  2.54 1.418e+04  29.5587 
OBS: 60209.1124 r WFD  2.0100e-02  1.437e-02    0  1.000 44.800  2.34 1.440e+04  32.5253 
OBS: 60212.1007 Y WFD  1.3874e-01  7.378e-02    0  1.000 43.260  1.98 2.117e+04  29.5900 
OBS: 60214.1635 z WFD  1.0381e-01  4.611e-02    0  1.000 44.270  2.03 3.271e+04  30.0334 
OBS: 60225.0968 i WFD  2.5060e-02  1.866e-02    0  1.000 44.560  2.23 1.574e+04  31.6680 
OBS: 60285.0322 z WFD  1.3130e-01  5.437e-02    0  1.000 43.500  2.24 1.720e+04  30.5924 
OBS: 60307.0364 z WFD  3.0358e-02  6.783e-02    0  1.000 43.480  1.91 2.470e+04  30.7623 
OBS: 60497.3240 i WFD  2.7084e-02  1.869e-02    0  1.000 44.550  2.12 1.643e+04  34.1191 
OBS: 60498.3310 i WFD  6.3958e-03  2.218e-02    0  1.000 44.560  2.56 1.630e+04  34.1279 
OBS: 60501.3209 u WFD -6.6215e-03  2.226e-02    0  1.000 41.810  2.32 1.429e+03  99.0000 
OBS: 60511.2859 z WFD -3.6758e-02  5.905e-02    0  1.000 44.240  2.84 2.913e+04  32.2667 
OBS: 60512.2863 z WFD  1.7546e-02  4.458e-02    0  1.000 44.240  1.97 3.170e+04  32.2738 
OBS: 60514.2939 z WFD -4.3387e-02  5.142e-02    0  1.000 44.260  2.10 3.494e+04  32.2880 
OBS: 60528.2421 i WFD  7.6221e-03  1.844e-02    0  1.000 44.550  2.14 1.606e+04  34.3875 
OBS: 60541.2560 Y WFD  8.7862e-02  8.829e-02    0  1.000 43.310  2.09 2.513e+04  31.9790 
OBS: 60547.2047 i WFD -1.1950e-02  1.480e-02    0  1.000 45.330  1.99 2.842e+04  34.5517 
