SURVEY:   LSST
SNID:     1257495
IAUC:     NULL
SNTYPE:   110
RA:       165.188250  # deg
DEC:      -11.353946  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0242 +- 0.0012  # MW E(B-V) 
PEAKMJD:  59523.527     # estimate for LC fit codes
MJD_TRIGGER:       59594.312  
MJD_DETECT_FIRST:  59591.254  
MJD_DETECT_LAST:   59713.059  

REDSHIFT_HELIO:   1.600647 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.603846 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2495    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.52815  
SIM_REDSHIFT_CMB:    1.53126  
SIM_REDSHIFT_HOST:   1.60065  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8816499998 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.702 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.462 -9.000 
SIM_DLMU:            45.2416   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0376   # mag 
SIM_RA:              165.188248     # deg  
SIM_DEC:             -11.353946      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0251   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59523.527    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.1745e-06 
SIM_SALT2x1:         0.9906 
SIM_SALT2c:          -0.0895 
SIM_SALT2mB:         25.4604 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        26.76  # days 
SIM_TRESTMAX:        453.45  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.47  30.61  27.80  25.78  25.09  24.75  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59591.2535 Y WFD  1.4603e+00  7.318e-02 4096  1.000 42.550  1.60 1.351e+04  27.1703 
OBS: 59594.3127 Y WFD  1.2248e+00  5.102e-02 6144  1.000 43.320  1.63 1.879e+04  27.2849 
OBS: 59603.3489 i WFD  2.7768e-01  4.421e-02    0  1.000 43.870  2.76 1.596e+04  28.5089 
OBS: 59614.2069 i WFD  4.9086e-01  2.236e-02 4096  1.000 44.570  2.84 1.495e+04  28.2960 
OBS: 59615.3680 z WFD  2.5322e-01  5.786e-02    0  1.000 43.490  2.82 1.440e+04  29.2347 
OBS: 59623.2484 z WFD  2.0546e-01  3.865e-02 4096  1.000 44.260  2.40 2.298e+04  29.5834 
OBS: 59645.1146 u WFD -2.3816e-02  3.031e-02    0  1.000 41.190  2.49 1.025e+03  37.6404 
OBS: 59658.0612 z WFD  2.2823e-01  4.091e-02    0  1.000 45.010  2.39 4.874e+04  29.3337 
OBS: 59660.1613 Y WFD  5.5965e-01  4.639e-02 4096  1.000 44.070  2.00 2.778e+04  28.1705 
OBS: 59685.1283 Y WFD  4.6794e-01  4.662e-02 4096  1.000 43.760  1.27 3.305e+04  28.3817 
OBS: 59698.9772 z WFD  1.5593e-01  3.841e-02    0  1.000 43.490  1.90 1.419e+04  29.7328 
OBS: 59711.9610 Y WFD  4.5260e-01  1.146e-01    0  1.000 42.590  2.01 1.747e+04  28.6055 
OBS: 59713.0567 Y WFD  3.0483e-01  5.887e-02 4096  1.000 43.750  1.84 2.854e+04  28.6146 
OBS: 59769.9895 z WFD  1.1789e-01  4.553e-02    0  1.000 43.490  1.72 1.858e+04  30.3956 
OBS: 59770.9723 z WFD  1.3014e-01  3.491e-02    0  1.000 44.250  1.84 2.683e+04  30.4045 
OBS: 59779.9588 z WFD  5.5075e-02  7.151e-02    0  1.000 44.250  2.58 3.919e+04  30.4857 
OBS: 59911.3398 z WFD -1.0303e-02  4.804e-02    0  1.000 43.470  2.07 1.599e+04  31.6165 
OBS: 59913.3396 z WFD -3.1037e-02  4.137e-02    0  1.000 43.480  1.86 1.547e+04  31.6329 
OBS: 59917.3352 z WFD  1.3910e-02  3.949e-02    0  1.000 43.470  1.77 1.538e+04  31.6658 
OBS: 59922.3337 z WFD  9.1426e-03  2.571e-02    0  1.000 44.690  1.55 3.517e+04  31.7069 
OBS: 59923.3234 z WFD -1.0242e-02  3.253e-02    0  1.000 44.250  1.62 2.839e+04  31.7150 
OBS: 59924.3256 Y WFD  6.4794e-02  5.730e-02    0  1.000 43.280  1.53 2.167e+04  30.2662 
OBS: 59931.3436 z WFD  4.0409e-02  2.687e-02    0  1.000 44.260  1.64 2.338e+04  31.7805 
OBS: 59934.2915 g WFD  7.7114e-03  5.237e-03    0  1.000 44.740  1.58 7.359e+03  36.4240 
OBS: 59935.3142 i WFD  9.5061e-03  1.233e-02    0  1.000 44.570  1.52 1.540e+04  32.8480 
OBS: 59939.2841 i WFD  2.7517e-02  2.123e-02    0  1.000 44.560  2.54 1.572e+04  32.8802 
OBS: 59953.3530 Y WFD -6.4463e-02  5.488e-02    0  1.000 43.330  1.48 2.247e+04  30.4792 
OBS: 59962.3571 Y WFD  6.8176e-02  4.319e-02    0  1.000 43.320  1.41 1.839e+04  30.5447 
OBS: 59965.2202 r WFD -1.3526e-02  1.034e-02    0  1.000 44.800  2.13 1.139e+04  99.0000 
