SURVEY:   LSST
SNID:     1257752
IAUC:     NULL
SNTYPE:   110
RA:       317.943314  # deg
DEC:      -34.168456  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0706 +- 0.0035  # MW E(B-V) 
PEAKMJD:  60259.965     # estimate for LC fit codes
MJD_TRIGGER:       60397.406  
MJD_DETECT_FIRST:  60251.020  
MJD_DETECT_LAST:   60575.043  

REDSHIFT_HELIO:   1.039905 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.038287 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10564224965  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0399  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          317.943598    # deg 
HOSTGAL_DEC:         -34.168377    # deg 
HOSTGAL_SNSEP:       0.400       # arcsec 
HOSTGAL_DDLR:        0.742       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.987 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.025
HOSTGAL_SQRADIUS:     15.587   # Ixx + Iyy
HOSTGAL_MAG:     26.21  25.60  24.39  23.33  22.70  22.49 # ugrizY
HOSTGAL_MAGERR:   0.34   0.05   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           2752    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.03990  
SIM_REDSHIFT_CMB:    1.03829  
SIM_REDSHIFT_HOST:   1.03044  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10564224965 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.716 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.987 -9.000 
SIM_DLMU:            44.2028   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0086   # mag 
SIM_RA:              317.943329     # deg  
SIM_DEC:             -34.168457      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0712   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60259.965    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.0946e-06 
SIM_SALT2x1:         -0.5238 
SIM_SALT2c:          -0.1622 
SIM_SALT2mB:         24.4085 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -263.76  # days 
SIM_TRESTMAX:        180.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.42  27.38  24.90  24.07  23.83  24.03  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59722.3411 z WFD -2.1643e-02  2.767e-02    0  1.000 44.260  1.90 2.078e+04  99.0000 
OBS: 59728.3544 u WFD -5.7004e-04  1.191e-02    0  1.000 42.150  1.59 1.527e+03  99.0000 
OBS: 59729.2488 i WFD  9.2934e-03  1.067e-02    0  1.000 45.310  1.79 2.237e+04  99.0000 
OBS: 59753.2443 g WFD -3.8325e-03  7.924e-03    0  1.000 44.830  2.71 7.052e+03  99.0000 
OBS: 59770.1603 z WFD -2.4086e-02  2.844e-02    0  1.000 44.250  1.68 2.393e+04  99.0000 
OBS: 59771.1850 z WFD -4.6241e-02  2.765e-02    0  1.000 44.270  1.55 2.569e+04  99.0000 
OBS: 59772.4056 Y WFD -5.1793e-02  1.029e-01    0  1.000 42.540  1.88 1.602e+04  99.0000 
OBS: 59777.3259 Y WFD -6.9185e-02  1.097e-01    0  1.000 43.330  3.16 2.104e+04  99.0000 
OBS: 59783.0940 r WFD -4.9127e-05  9.346e-03    0  1.000 45.530  2.61 1.646e+04  99.0000 
OBS: 59789.0907 r WFD  2.1268e-02  1.255e-02    0  1.000 44.790  2.51 1.163e+04  99.0000 
OBS: 59791.0995 u WFD -7.6002e-03  1.964e-02    0  1.000 41.910  2.24 1.433e+03  99.0000 
OBS: 59793.1080 r WFD -4.2397e-03  1.273e-02    0  1.000 44.820  2.67 1.139e+04  99.0000 
OBS: 59797.0781 z WFD -2.7742e-02  2.570e-02    0  1.000 44.990  2.30 3.123e+04  99.0000 
OBS: 59798.0950 Y WFD -1.0407e-01  5.659e-02    0  1.000 43.300  1.70 1.962e+04  99.0000 
OBS: 59799.0420 Y WFD  1.1785e-01  1.090e-01    0  1.000 42.500  2.00 1.537e+04  99.0000 
OBS: 59805.1405 Y WFD -3.6266e-03  4.469e-02    0  1.000 43.360  1.28 2.175e+04  99.0000 
OBS: 59808.0753 g WFD  7.6421e-03  5.119e-03    0  1.000 44.830  1.68 7.349e+03  99.0000 
OBS: 59811.0267 r WFD  9.9931e-03  1.194e-02    0  1.000 44.790  2.37 1.172e+04  99.0000 
OBS: 59813.2396 i WFD -7.5118e-03  1.002e-02    0  1.000 45.340  1.86 2.078e+04  99.0000 
OBS: 59817.9915 z WFD -1.6996e-02  4.233e-02    0  1.000 43.460  1.88 1.538e+04  99.0000 
OBS: 59820.0854 i WFD -9.1947e-03  1.082e-02    0  1.000 44.590  1.45 1.443e+04  99.0000 
OBS: 59821.2121 r WFD -3.1235e-03  8.009e-03    0  1.000 44.840  1.77 1.101e+04  99.0000 
OBS: 59821.9897 z WFD  4.0586e-02  4.500e-02    0  1.000 43.470  2.04 1.520e+04  99.0000 
OBS: 59822.0091 i WFD  2.0459e-02  1.992e-02    0  1.000 44.570  2.44 1.550e+04  99.0000 
OBS: 59823.9761 Y WFD  2.9677e-02  1.150e-01    0  1.000 43.260  2.37 2.757e+04  99.0000 
OBS: 59824.9830 z WFD  6.7681e-02  3.943e-02    0  1.000 44.240  1.79 3.085e+04  99.0000 
OBS: 59826.9824 z WFD -8.1840e-03  4.064e-02    0  1.000 44.240  1.81 3.146e+04  99.0000 
OBS: 59835.0364 r WFD -7.8009e-03  9.538e-03    0  1.000 44.090  1.51 7.706e+03  99.0000 
OBS: 59836.1314 r WFD  1.9387e-02  1.076e-02    0  1.000 44.940  1.40 2.052e+04  99.0000 
OBS: 59839.9927 Y WFD -1.8151e-02  3.931e-02    0  1.000 43.760  1.51 2.344e+04  99.0000 
OBS: 59859.1149 Y WFD  1.6212e-01  9.204e-02    0  1.000 42.590  1.73 1.630e+04  99.0000 
OBS: 59860.0777 Y WFD -5.9234e-03  6.011e-02    0  1.000 43.360  1.66 2.255e+04  99.0000 
OBS: 59863.1223 z WFD  1.6919e-02  2.839e-02    0  1.000 44.270  1.54 2.655e+04  99.0000 
OBS: 59869.1059 r WFD  1.7544e-03  8.129e-03    0  1.000 44.830  1.75 1.120e+04  99.0000 
OBS: 59872.1370 i WFD -3.1664e-03  1.378e-02    0  1.000 44.560  1.65 1.571e+04  99.0000 
OBS: 59874.0955 u WFD -2.6274e-02  1.977e-02    0  1.000 41.240  1.67 1.044e+03  99.0000 
OBS: 59879.0621 g WFD -4.0842e-03  5.278e-03    0  1.000 44.850  1.75 7.409e+03  99.0000 
