SURVEY:   LSST
SNID:     1258110
IAUC:     NULL
SNTYPE:   110
RA:       80.986878  # deg
DEC:      -56.150235  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0328 +- 0.0016  # MW E(B-V) 
PEAKMJD:  60044.574     # estimate for LC fit codes
MJD_TRIGGER:       60036.016  
MJD_DETECT_FIRST:  60019.016  
MJD_DETECT_LAST:   60348.039  

REDSHIFT_HELIO:   0.776514 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.776798 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5938653996  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7765  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          80.986858    # deg 
HOSTGAL_DEC:         -56.150186    # deg 
HOSTGAL_SNSEP:       0.094       # arcsec 
HOSTGAL_DDLR:        0.268       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.246 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.527
HOSTGAL_SQRADIUS:     16.443   # Ixx + Iyy
HOSTGAL_MAG:     24.74  24.22  23.25  22.23  21.85  21.66 # ugrizY
HOSTGAL_MAGERR:   0.12   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3110    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.77651  
SIM_REDSHIFT_CMB:    0.77681  
SIM_REDSHIFT_HOST:   0.77187  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5938653996 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.107 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.246 -9.000 
SIM_DLMU:            43.4237   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0137   # mag 
SIM_RA:              80.986877     # deg  
SIM_DEC:             -56.150234      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0319   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60044.574    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.0815e-06 
SIM_SALT2x1:         -0.9148 
SIM_SALT2c:          -0.0254 
SIM_SALT2mB:         24.1079 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        -260.92  # days 
SIM_TRESTMAX:        353.21  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.98  26.40  24.43  23.63  23.84  23.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.0474 z WFD  5.5967e-02  3.401e-02    0  1.000 44.250  2.05 2.345e+04  99.0000 
OBS: 59582.0527 z WFD  4.7446e-03  3.234e-02    0  1.000 44.250  2.18 2.098e+04  99.0000 
OBS: 59583.0445 z WFD  2.5374e-02  6.853e-02    0  1.000 43.500  3.13 1.551e+04  99.0000 
OBS: 59589.0549 Y WFD  1.5882e-01  7.664e-02    0  1.000 42.550  1.70 1.332e+04  99.0000 
OBS: 59595.0725 Y WFD  2.8424e-02  9.174e-02    0  1.000 43.330  2.75 2.021e+04  99.0000 
OBS: 59601.1995 i WFD -9.2043e-04  1.790e-02    0  1.000 45.030  1.97 2.634e+04  99.0000 
OBS: 59603.0420 Y WFD -7.8768e-02  8.980e-02    0  1.000 42.580  1.95 1.398e+04  99.0000 
OBS: 59624.0462 z WFD -5.4624e-02  4.035e-02    0  1.000 44.260  2.42 2.379e+04  99.0000 
OBS: 59634.1253 r WFD -4.5863e-04  9.816e-03    0  1.000 44.780  2.09 1.082e+04  99.0000 
OBS: 59638.0445 u WFD  1.2181e-02  2.580e-02    0  1.000 41.230  2.29 9.835e+02  99.0000 
OBS: 59648.0029 Y WFD  2.5014e-01  1.364e-01    0  1.000 42.590  2.16 1.935e+04  99.0000 
OBS: 59659.0731 i WFD -6.8623e-03  2.066e-02    0  1.000 45.020  2.06 2.881e+04  99.0000 
OBS: 59662.9985 z WFD  1.3224e-01  5.211e-02    0  1.000 43.490  2.48 1.475e+04  99.0000 
OBS: 59682.9751 Y WFD  3.1661e-03  8.439e-02    0  1.000 42.550  1.34 1.860e+04  99.0000 
OBS: 59685.9917 Y WFD -3.7331e-02  8.893e-02    0  1.000 42.540  1.68 1.549e+04  99.0000 
OBS: 59689.9772 z WFD  1.5096e-02  2.560e-02    0  1.000 44.990  2.02 3.542e+04  99.0000 
OBS: 59694.9701 Y WFD  6.7242e-02  1.085e-01    0  1.000 42.520  1.92 1.624e+04  99.0000 
OBS: 59798.3975 g WFD  9.3695e-03  7.865e-03    0  1.000 44.670  2.56 6.394e+03  99.0000 
OBS: 59825.3113 r WFD  2.0556e-02  1.326e-02    0  1.000 44.750  2.76 1.077e+04  99.0000 
OBS: 59835.3892 Y WFD -2.7176e-02  6.639e-02    0  1.000 42.550  1.41 1.391e+04  99.0000 
OBS: 59837.4064 z WFD -5.0052e-02  4.168e-02    0  1.000 43.530  1.41 2.154e+04  99.0000 
OBS: 59839.2842 r WFD -4.5737e-03  1.386e-02    0  1.000 44.810  2.04 1.609e+04  99.0000 
OBS: 59842.3042 r WFD -7.8316e-04  1.139e-02    0  1.000 44.790  2.49 1.064e+04  99.0000 
OBS: 59851.2826 u WFD  2.3001e-02  2.510e-02    0  1.000 41.090  2.05 9.392e+02  99.0000 
OBS: 59853.2778 r WFD -5.7850e-03  1.106e-02    0  1.000 44.790  2.43 1.058e+04  99.0000 
OBS: 59858.2613 z WFD -5.1437e-02  3.484e-02    0  1.000 44.240  2.05 2.381e+04  99.0000 
OBS: 59859.2543 Y WFD -1.5268e-01  1.055e-01    0  1.000 42.540  2.10 1.471e+04  99.0000 
OBS: 59861.2692 Y WFD -1.7658e-02  4.023e-02    0  1.000 44.060  1.56 3.061e+04  99.0000 
OBS: 59862.2543 z WFD -1.8209e-03  1.708e-02    0  1.000 45.450  1.47 4.961e+04  99.0000 
OBS: 59869.2079 r WFD -6.2413e-04  9.470e-03    0  1.000 44.760  2.00 1.071e+04  99.0000 
OBS: 59870.3155 i WFD  4.9855e-03  1.229e-02    0  1.000 44.590  1.57 1.514e+04  99.0000 
OBS: 59874.2191 u WFD -1.1461e-02  2.346e-02    0  1.000 41.110  1.92 9.550e+02  99.0000 
OBS: 59876.2348 g WFD -7.6772e-03  4.690e-03    0  1.000 44.750  1.68 6.255e+03  99.0000 
OBS: 59887.1542 Y WFD -7.2682e-02  8.006e-02    0  1.000 42.520  1.56 1.475e+04  99.0000 
OBS: 59897.2447 r WFD  3.9540e-03  1.149e-02    0  1.000 44.910  1.61 1.854e+04  99.0000 
OBS: 59898.1743 i WFD  7.7904e-04  1.711e-02    0  1.000 44.560  2.20 1.463e+04  99.0000 
OBS: 59905.1129 u WFD  3.6386e-04  3.356e-02    0  1.000 40.990  2.56 9.171e+02  99.0000 
