SURVEY:   LSST
SNID:     1258275
IAUC:     NULL
SNTYPE:   110
RA:       108.260864  # deg
DEC:      -28.356557  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1639 +- 0.0082  # MW E(B-V) 
PEAKMJD:  59722.777     # estimate for LC fit codes
MJD_TRIGGER:       59693.973  
MJD_DETECT_FIRST:  59691.980  
MJD_DETECT_LAST:   60064.023  

REDSHIFT_HELIO:   0.780814 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.781910 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9816217099  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7808  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          108.260701    # deg 
HOSTGAL_DEC:         -28.356714    # deg 
HOSTGAL_SNSEP:       0.361       # arcsec 
HOSTGAL_DDLR:        0.869       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.086 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.360
HOSTGAL_SQRADIUS:     9.927   # Ixx + Iyy
HOSTGAL_MAG:     26.77  26.48  25.50  24.67  23.70  23.19 # ugrizY
HOSTGAL_MAGERR:   0.52   0.06   0.03   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3275    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.78081  
SIM_REDSHIFT_CMB:    0.78191  
SIM_REDSHIFT_HOST:   0.74364  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9816217099 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.546 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.086 -9.000 
SIM_DLMU:            43.4402   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0154   # mag 
SIM_RA:              108.260864     # deg  
SIM_DEC:             -28.356558      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1635   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59722.777    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.4133e-06 
SIM_SALT2x1:         0.6169 
SIM_SALT2c:          -0.1198 
SIM_SALT2mB:         23.6173 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0450  # spectro-search efficiency 
SIM_TRESTMIN:        -78.86  # days 
SIM_TRESTMAX:        530.28  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.52  25.49  23.98  23.35  23.55  23.54  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 158 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3400 u WFD -4.0412e-03  2.411e-02    0  1.000 41.850  2.66 1.401e+03  99.0000 
OBS: 59583.3516 z WFD  3.6324e-02  4.048e-02    0  1.000 44.220  2.34 2.379e+04  99.0000 
OBS: 59584.3569 z WFD  2.1328e-02  5.379e-02    0  1.000 43.470  2.13 1.741e+04  99.0000 
OBS: 59594.0795 Y WFD -3.0832e-02  6.151e-02    0  1.000 43.310  1.75 2.091e+04  99.0000 
OBS: 59597.1369 Y WFD  8.4683e-02  1.107e-01    0  1.000 42.610  2.21 1.563e+04  99.0000 
OBS: 59601.2907 i WFD  1.9315e-02  1.353e-02    0  1.000 45.790  1.95 4.052e+04  99.0000 
OBS: 59602.0418 Y WFD -5.9182e-02  7.254e-02    0  1.000 43.300  2.06 2.075e+04  99.0000 
OBS: 59611.0444 z WFD  1.9147e-02  2.803e-02    0  1.000 44.250  2.00 1.981e+04  99.0000 
OBS: 59636.0150 z WFD -9.5104e-02  4.844e-02    0  1.000 43.520  2.04 1.714e+04  99.0000 
OBS: 59653.0458 Y WFD  1.4099e-02  4.984e-02    0  1.000 43.790  1.92 2.403e+04  99.0000 
OBS: 59655.0360 Y WFD -4.9246e-02  5.509e-02    0  1.000 43.350  1.67 2.036e+04  99.0000 
OBS: 59657.0520 z WFD  3.0467e-03  2.123e-02    0  1.000 45.030  1.70 3.621e+04  99.0000 
OBS: 59662.0264 i WFD  1.7766e-03  1.388e-02    0  1.000 44.590  1.94 1.383e+04  99.0000 
OBS: 59667.9950 z WFD -8.3298e-03  3.983e-02    0  1.000 44.270  2.78 2.063e+04  99.0000 
OBS: 59679.9889 Y WFD  6.9312e-02  6.234e-02    0  1.000 42.600  1.45 1.330e+04  99.0000 
OBS: 59685.0284 Y WFD  2.8966e-02  6.489e-02    0  1.000 42.560  1.31 1.477e+04  99.0000 
OBS: 59691.9805 z WFD  8.1500e-01  3.665e-02 4096  1.000 43.500  1.91 1.359e+04  27.8006 
OBS: 59693.9726 Y WFD  2.0923e+00  9.222e-02 6144  1.000 42.570  2.03 1.367e+04  26.7692 
OBS: 59701.9696 z WFD  1.3089e+01  3.868e-02 4096  1.000 43.500  1.89 1.448e+04  24.7098 
OBS: 59712.9634 Y WFD  3.1700e+01  9.469e-02 4096  1.000 42.560  1.85 1.523e+04  23.7504 
OBS: 59719.9554 Y WFD  3.7622e+01  1.350e-01 4096  1.000 42.550  2.13 1.870e+04  23.5671 
OBS: 59850.3584 g WFD  4.3632e-03  4.879e-03    0  1.000 45.950  2.84 1.162e+04  99.0000 
OBS: 59851.3403 u WFD -2.6943e-03  1.588e-02    0  1.000 42.280  2.18 1.673e+03  32.8170 
OBS: 59854.3509 r WFD  4.9461e-01  7.773e-03 4096  1.000 44.800  1.68 1.085e+04  28.2522 
OBS: 59859.3591 i WFD  1.4177e+00  1.510e-02 4096  1.000 44.610  1.44 2.065e+04  27.1205 
OBS: 59861.3030 Y WFD  2.8688e+00  5.952e-02 4096  1.000 43.260  1.52 2.224e+04  26.3728 
OBS: 59864.3131 z WFD  1.8170e+00  1.885e-02 4096  1.000 45.450  1.77 4.545e+04  26.8501 
OBS: 59870.2860 i WFD  1.2892e+00  1.620e-02 4096  1.000 44.560  1.85 1.647e+04  27.2294 
OBS: 59871.3461 g WFD -3.1594e-03  5.264e-03    0  1.000 44.890  1.53 8.769e+03  99.0000 
OBS: 59874.2751 u WFD  1.0338e-02  3.027e-02    0  1.000 41.010  2.32 9.297e+02  33.1238 
OBS: 59875.2708 r WFD  3.8784e-01  7.104e-03 4096  1.000 45.540  2.12 1.554e+04  28.5314 
OBS: 59878.2735 g WFD -1.3900e-04  4.730e-03    0  1.000 44.720  1.58 6.524e+03  99.0000 
OBS: 59883.3685 z WFD  1.5081e+00  3.568e-02 4096  1.000 43.540  1.20 2.185e+04  27.0667 
OBS: 59884.3358 r WFD  3.5275e-01  7.194e-03 4096  1.000 44.080  1.20 7.242e+03  28.6503 
OBS: 59895.3112 i WFD  1.0241e+00  1.551e-02 4096  1.000 45.080  1.59 2.961e+04  27.4770 
OBS: 59899.2155 i WFD  1.0066e+00  2.011e-02 4096  1.000 44.560  2.52 1.501e+04  27.5153 
