SURVEY:   LSST
SNID:     1258749
IAUC:     NULL
SNTYPE:   110
RA:       211.315095  # deg
DEC:      -15.550154  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0741 +- 0.0037  # MW E(B-V) 
PEAKMJD:  59715.781     # estimate for LC fit codes
MJD_TRIGGER:       59689.309  
MJD_DETECT_FIRST:  59681.125  
MJD_DETECT_LAST:   59801.004  

REDSHIFT_HELIO:   1.208075 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.210059 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3749    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.25192  
SIM_REDSHIFT_CMB:    1.25394  
SIM_REDSHIFT_HOST:   1.20808  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8815893690 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.354 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.678 -9.000 
SIM_DLMU:            44.7062   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0963   # mag 
SIM_RA:              211.315094     # deg  
SIM_DEC:             -15.550154      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0749   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59715.781    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         9.5966e-07 
SIM_SALT2x1:         -0.3651 
SIM_SALT2c:          0.0927 
SIM_SALT2mB:         25.6797 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -38.42  # days 
SIM_TRESTMAX:        369.11  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   37.92  31.86  28.18  26.13  25.25  24.93  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59629.2537 z WFD -4.9021e-02  3.415e-02    0  1.000 44.260  1.43 3.408e+04  99.0000 
OBS: 59645.4040 z WFD  3.4786e-02  8.776e-02    0  1.000 43.510  2.90 2.164e+04  99.0000 
OBS: 59652.1853 Y WFD  2.0740e-02  6.600e-02    0  1.000 43.700  2.23 2.521e+04  99.0000 
OBS: 59653.1833 Y WFD -3.0678e-02  1.153e-01    0  1.000 42.520  2.23 1.486e+04  99.0000 
OBS: 59655.1816 Y WFD  1.5127e-02  6.188e-02    0  1.000 43.730  1.83 2.961e+04  99.0000 
OBS: 59662.3585 i WFD -2.1951e-02  1.240e-02    0  1.000 46.110  2.40 4.051e+04  99.0000 
OBS: 59681.1241 z WFD  2.7986e-01  1.791e-02 4096  1.000 45.000  1.50 3.368e+04  28.9867 
OBS: 59689.3075 z WFD  2.1323e+00  2.872e-02 6144  1.000 44.260  1.50 2.731e+04  26.6762 
OBS: 59709.0823 i WFD  3.9447e+00  1.869e-02 4096  1.000 44.600  1.94 1.879e+04  26.0117 
OBS: 59710.0607 i WFD  3.9487e+00  2.218e-02 4096  1.000 44.620  1.95 2.259e+04  26.0163 
OBS: 59711.0182 Y WFD  1.0488e+01  5.800e-02 4096  1.000 44.030  2.11 3.172e+04  24.9523 
OBS: 59716.1410 Y WFD  1.0744e+01  6.758e-02 4096  1.000 44.080  2.23 3.663e+04  24.9319 
OBS: 59729.9620 z WFD  5.8106e+00  4.931e-02 4096  1.000 43.480  2.16 1.587e+04  25.6054 
OBS: 59746.1771 z WFD  2.7174e+00  3.740e-02 4096  1.000 44.250  1.86 2.842e+04  26.4198 
OBS: 59751.9628 z WFD  1.8680e+00  2.667e-02 4096  1.000 44.250  1.85 2.038e+04  26.7954 
OBS: 59756.9628 z WFD  1.4250e+00  3.717e-02 4096  1.000 43.500  1.83 1.439e+04  27.0964 
OBS: 59757.9670 z WFD  1.3529e+00  4.810e-02 4096  1.000 43.500  2.44 1.397e+04  27.1545 
OBS: 59782.9685 z WFD  5.8571e-01  5.179e-02 4096  1.000 43.520  2.55 1.466e+04  28.1266 
OBS: 59785.9801 z WFD  5.0197e-01  6.152e-02 4096  1.000 43.500  3.15 1.384e+04  28.2080 
OBS: 59789.0657 r WFD  1.1128e-01  1.874e-02    0  1.000 44.040  2.48 8.804e+03  30.2286 
OBS: 59789.9791 z WFD  4.5184e-01  4.947e-02 4096  1.000 43.500  2.52 1.391e+04  28.3040 
OBS: 59791.0288 u WFD  1.2512e-02  2.780e-02    0  1.000 41.240  2.24 1.094e+03  99.0000 
OBS: 59801.0046 z WFD  3.7674e-01  3.137e-02 4096  1.000 44.260  1.66 2.696e+04  28.4962 
OBS: 59810.0139 r WFD  4.6981e-02  1.517e-02    0  1.000 44.030  1.78 9.841e+03  30.9613 
OBS: 59812.0018 g WFD -7.7208e-03  1.088e-02    0  1.000 44.040  1.91 6.638e+03  33.3969 
OBS: 59946.3638 Y WFD  9.7579e-02  2.396e-01    0  1.000 42.520  2.33 2.955e+04  29.2329 
OBS: 59964.3357 u WFD  1.8321e-02  3.163e-02    0  1.000 41.170  2.41 1.085e+03  99.0000 
OBS: 59972.3295 r WFD  1.3373e-02  9.569e-03    0  1.000 44.820  1.85 1.236e+04  32.1778 
OBS: 59978.3044 Y WFD  1.8584e-01  4.892e-02    0  1.000 43.290  1.40 2.041e+04  29.4742 
