SURVEY:   LSST
SNID:     1258768
IAUC:     NULL
SNTYPE:   10
RA:       295.422273  # deg
DEC:      -26.350226  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1101 +- 0.0055  # MW E(B-V) 
PEAKMJD:  60329.824     # estimate for LC fit codes
MJD_TRIGGER:       60392.363  
MJD_DETECT_FIRST:  60385.402  
MJD_DETECT_LAST:   60624.008  

REDSHIFT_HELIO:   0.241157 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.240414 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8062860773  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.2412  +- 0.0100 
HOSTGAL_SPECZ:       0.2412  +- 0.0000 
HOSTGAL_RA:          295.422294    # deg 
HOSTGAL_DEC:         -26.350147    # deg 
HOSTGAL_SNSEP:       0.147       # arcsec 
HOSTGAL_DDLR:        0.837       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.766 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.244
HOSTGAL_SQRADIUS:     9.389   # Ixx + Iyy
HOSTGAL_MAG:     28.19  27.12  25.78  25.17  24.83  24.59 # ugrizY
HOSTGAL_MAGERR:   1.50   0.16   0.05   0.05   0.06   0.11 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           3768    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.24115  
SIM_REDSHIFT_CMB:    0.24041  
SIM_REDSHIFT_HOST:   0.24792  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8062860773 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.353 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.766 -9.000 
SIM_DLMU:            40.4071   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0009   # mag 
SIM_RA:              295.422272     # deg  
SIM_DEC:             -26.350227      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1165   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60329.824    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.6068e-05 
SIM_SALT2x1:         1.2134 
SIM_SALT2c:          0.1261 
SIM_SALT2mB:         21.2632 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9209  # spectro-search efficiency 
SIM_TRESTMIN:        -498.68  # days 
SIM_TRESTMAX:        237.17  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.00  21.92  21.47  21.35  21.75  21.94  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59711.2539 Y WFD  1.5677e-01  7.697e-02    0  1.000 43.730  2.76 2.442e+04  99.0000 
OBS: 59712.2587 Y WFD  8.5123e-02  1.150e-01    0  1.000 42.550  2.39 1.422e+04  99.0000 
OBS: 59715.2373 Y WFD -4.0651e-02  1.171e-01    0  1.000 42.540  1.98 1.730e+04  99.0000 
OBS: 59722.3384 z WFD -4.1609e-02  2.940e-02    0  1.000 44.260  2.11 1.988e+04  99.0000 
OBS: 59728.4339 z WFD -2.2904e-02  4.150e-02    0  1.000 44.260  1.86 3.184e+04  99.0000 
OBS: 59729.2181 i WFD -1.3759e-02  1.122e-02    0  1.000 45.320  1.95 2.180e+04  99.0000 
OBS: 59750.3199 r WFD  2.1776e-03  1.130e-02    0  1.000 44.920  1.59 1.863e+04  99.0000 
OBS: 59753.1770 g WFD -7.0809e-03  4.293e-03    0  1.000 45.580  1.96 1.054e+04  99.0000 
OBS: 59754.1268 i WFD  1.7534e-02  1.603e-02    0  1.000 44.560  1.91 1.579e+04  99.0000 
OBS: 59768.0759 Y WFD -4.1138e-02  9.845e-02    0  1.000 42.490  1.90 1.448e+04  99.0000 
OBS: 59776.3185 z WFD  5.1342e-02  5.438e-02    0  1.000 44.260  2.49 3.116e+04  99.0000 
OBS: 59777.2165 Y WFD  1.2256e-01  1.419e-01    0  1.000 42.600  3.15 1.393e+04  99.0000 
OBS: 59778.0649 r WFD  8.4090e-03  1.352e-02    0  1.000 44.800  2.64 1.201e+04  99.0000 
OBS: 59791.1006 u WFD  3.7573e-02  2.580e-02    0  1.000 41.270  2.24 1.044e+03  99.0000 
OBS: 59805.0152 i WFD  3.7192e-03  1.385e-02    0  1.000 45.590  2.10 3.203e+04  99.0000 
OBS: 59805.9840 Y WFD -1.5607e-02  5.784e-02    0  1.000 43.260  1.66 1.979e+04  99.0000 
OBS: 59806.1727 i WFD -1.0569e-02  1.470e-02    0  1.000 45.380  1.77 3.324e+04  99.0000 
OBS: 59806.9769 Y WFD -1.2900e-03  9.309e-02    0  1.000 42.520  1.80 1.486e+04  99.0000 
OBS: 59807.0932 r WFD -1.1865e-03  7.423e-03    0  1.000 44.890  1.40 1.352e+04  99.0000 
OBS: 59807.9777 z WFD -1.9317e-02  3.489e-02    0  1.000 43.480  1.53 1.586e+04  99.0000 
OBS: 59810.9996 r WFD  7.8381e-03  1.016e-02    0  1.000 44.830  2.12 1.156e+04  99.0000 
OBS: 59812.0308 g WFD  2.9738e-03  4.811e-03    0  1.000 44.850  1.60 7.387e+03  99.0000 
OBS: 59817.1492 u WFD -6.5132e-03  1.572e-02    0  1.000 41.350  1.43 1.072e+03  99.0000 
OBS: 59836.9831 Y WFD -4.0850e-02  6.437e-02    0  1.000 42.610  1.30 1.546e+04  99.0000 
OBS: 59842.9917 Y WFD  7.0702e-02  5.878e-02    0  1.000 42.600  1.39 1.308e+04  99.0000 
OBS: 59844.9871 z WFD  5.8990e-03  3.784e-02    0  1.000 43.520  1.74 1.569e+04  99.0000 
OBS: 59845.0265 r WFD -1.7242e-02  9.770e-03    0  1.000 44.870  2.14 1.143e+04  99.0000 
OBS: 59859.0489 Y WFD  1.4070e-02  8.201e-02    0  1.000 42.580  1.64 1.519e+04  99.0000 
OBS: 59860.0910 Y WFD -4.6117e-02  9.705e-02    0  1.000 42.540  1.79 1.587e+04  99.0000 
OBS: 59864.0719 i WFD -2.3421e-04  2.323e-02    0  1.000 44.610  1.88 2.433e+04  99.0000 
OBS: 59868.0338 r WFD  9.5569e-03  7.536e-03    0  1.000 44.860  1.53 1.221e+04  99.0000 
OBS: 59877.0068 z WFD -1.4267e-02  1.979e-02    0  1.000 45.020  1.46 3.894e+04  99.0000 
OBS: 59877.0605 u WFD  5.3138e-03  1.347e-02    0  1.000 42.360  1.77 1.882e+03  99.0000 
OBS: 60017.4085 z WFD -5.3756e-02  8.799e-02    0  1.000 43.500  2.12 2.941e+04  99.0000 
OBS: 60026.4069 z WFD  2.3772e-02  3.241e-02    0  1.000 43.510  1.32 1.756e+04  99.0000 
OBS: 60027.3845 u WFD -9.5884e-03  2.588e-02    0  1.000 41.230  1.97 1.148e+03  99.0000 
OBS: 60031.3983 r WFD -1.2726e-04  1.247e-02    0  1.000 44.100  1.64 9.364e+03  99.0000 
