SURVEY:   LSST
SNID:     1259135
IAUC:     NULL
SNTYPE:   110
RA:       97.102751  # deg
DEC:      -10.509527  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.7200 +- 0.0360  # MW E(B-V) 
PEAKMJD:  59547.730     # estimate for LC fit codes
MJD_TRIGGER:       59589.266  
MJD_DETECT_FIRST:  59588.074  
MJD_DETECT_LAST:   59884.363  

REDSHIFT_HELIO:   0.585790 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.586460 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8875494889  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5858  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          97.102743    # deg 
HOSTGAL_DEC:         -10.509529    # deg 
HOSTGAL_SNSEP:       0.015       # arcsec 
HOSTGAL_DDLR:        0.095       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.978 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.153
HOSTGAL_SQRADIUS:     8.549   # Ixx + Iyy
HOSTGAL_MAG:     29.44  28.32  26.80  26.03  25.52  25.20 # ugrizY
HOSTGAL_MAGERR:   0.84   0.06   0.03   0.03   0.04   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4135    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58579  
SIM_REDSHIFT_CMB:    0.58646  
SIM_REDSHIFT_HOST:   0.55664  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8875494889 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.164 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.978 -9.000 
SIM_DLMU:            42.6780   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0149   # mag 
SIM_RA:              97.102753     # deg  
SIM_DEC:             -10.509526      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.7203   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59547.730    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.8995e-06 
SIM_SALT2x1:         -0.2931 
SIM_SALT2c:          -0.0298 
SIM_SALT2mB:         23.2616 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        22.92  # days 
SIM_TRESTMAX:        707.75  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.99  26.88  24.86  24.38  24.09  24.02  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0890 u WFD  1.8928e-02  3.942e-02    0  1.000 41.060  3.07 9.582e+02  31.5950 
OBS: 59588.0731 Y WFD  9.4894e+00  1.272e-01 4096  1.000 42.550  2.77 1.356e+04  25.0584 
OBS: 59589.2663 i WFD  2.9008e+00  1.516e-02 6144  1.000 44.560  1.86 1.531e+04  26.3446 
OBS: 59592.1102 z WFD  7.8896e+00  2.433e-02 4096  1.000 44.270  1.42 2.464e+04  25.2645 
OBS: 59593.0614 z WFD  7.5636e+00  3.253e-02 4096  1.000 44.260  1.65 2.811e+04  25.2995 
OBS: 59597.1199 Y WFD  7.0341e+00  1.067e-01 4096  1.000 42.590  1.94 1.686e+04  25.4012 
OBS: 59603.1504 i WFD  1.7320e+00  1.879e-02 4096  1.000 44.590  2.39 1.519e+04  26.9034 
OBS: 59607.0363 Y WFD  4.8835e+00  1.334e-01 4096  1.000 42.560  2.52 1.577e+04  25.7399 
OBS: 59623.0402 z WFD  3.2791e+00  3.587e-02 4096  1.000 44.280  1.82 2.863e+04  26.1914 
OBS: 59625.0575 Y WFD  3.6403e+00  4.583e-02 4096  1.000 43.770  1.53 2.721e+04  26.0991 
OBS: 59653.0269 Y WFD  2.3417e+00  1.040e-01 4096  1.000 42.580  2.20 1.436e+04  26.6396 
OBS: 59655.0697 Y WFD  2.3101e+00  1.002e-01 4096  1.000 42.560  1.94 1.540e+04  26.6781 
OBS: 59657.0122 z WFD  1.8658e+00  3.011e-02 4096  1.000 44.270  1.75 2.477e+04  26.8012 
OBS: 59679.9949 Y WFD  1.5943e+00  7.653e-02 4096  1.000 42.550  1.62 1.395e+04  27.1353 
OBS: 59682.0068 Y WFD  1.3958e+00  7.352e-02 4096  1.000 42.540  1.48 1.454e+04  27.1713 
OBS: 59684.0013 Y WFD  1.3629e+00  7.175e-02 4096  1.000 42.540  1.41 1.489e+04  27.2067 
OBS: 59687.9880 Y WFD  1.3203e+00  1.326e-01 4096  1.000 42.530  2.85 1.350e+04  27.2771 
OBS: 59691.9747 z WFD  1.1428e+00  5.412e-02    0  1.000 43.490  2.45 1.551e+04  27.3821 
OBS: 59835.3745 Y WFD  2.3875e-01  6.426e-02    0  1.000 43.280  1.75 2.125e+04  29.4746 
OBS: 59841.3791 i WFD  1.1793e-01  1.264e-02 4096  1.000 45.330  2.02 2.392e+04  29.8307 
OBS: 59843.3750 g WFD  6.6093e-03  7.521e-03    0  1.000 44.060  1.72 5.189e+03  33.8131 
OBS: 59850.3542 g WFD  3.8597e-03  6.137e-03    0  1.000 45.520  2.87 9.737e+03  33.9009 
OBS: 59851.3429 u WFD -1.7016e-02  1.843e-02    0  1.000 41.870  2.08 1.395e+03  99.0000 
OBS: 59859.3320 i WFD  1.0556e-01  2.220e-02    0  1.000 44.600  1.88 2.305e+04  30.0215 
OBS: 59860.2920 Y WFD  1.0069e-01  9.493e-02    0  1.000 42.500  1.73 1.548e+04  29.7824 
OBS: 59861.2978 Y WFD  3.0804e-02  7.929e-02    0  1.000 42.520  1.44 1.582e+04  29.7945 
OBS: 59870.2817 i WFD  8.7368e-02  1.595e-02 4096  1.000 44.560  1.80 1.667e+04  30.1363 
OBS: 59876.2662 g WFD -1.5599e-03  5.623e-03    0  1.000 44.730  1.85 6.685e+03  34.2233 
OBS: 59880.2727 r WFD  3.9373e-02  6.065e-03    0  1.000 44.800  1.31 1.086e+04  31.3988 
OBS: 59884.3616 z WFD  1.3039e-01  2.621e-02 4096  1.000 44.270  1.30 2.904e+04  29.7289 
OBS: 59897.3096 i WFD  5.6596e-02  1.785e-02    0  1.000 44.620  1.59 2.232e+04  30.4149 
OBS: 59899.2627 i WFD  1.0639e-01  2.188e-02    0  1.000 44.600  2.57 1.662e+04  30.4348 
OBS: 59900.1941 i WFD  8.4296e-02  2.266e-02    0  1.000 44.560  2.76 1.544e+04  30.4443 
OBS: 59902.2473 r WFD  1.9323e-02  8.323e-03    0  1.000 45.580  2.67 1.500e+04  31.6348 
OBS: 59904.2773 u WFD -2.8798e-02  3.554e-02    0  1.000 41.190  3.09 9.677e+02  99.0000 
OBS: 59904.3012 r WFD  2.7942e-02  1.132e-02    0  1.000 44.830  2.62 1.042e+04  31.6567 
