SURVEY:   LSST
SNID:     1259225
IAUC:     NULL
SNTYPE:   110
RA:       325.507398  # deg
DEC:      3.003597  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0749 +- 0.0037  # MW E(B-V) 
PEAKMJD:  59956.465     # estimate for LC fit codes
MJD_TRIGGER:       60083.391  
MJD_DETECT_FIRST:  60067.418  
MJD_DETECT_LAST:   60223.027  

REDSHIFT_HELIO:   0.752174 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.750182 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9001020311  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7522  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          325.507632    # deg 
HOSTGAL_DEC:         3.003667    # deg 
HOSTGAL_SNSEP:       0.354       # arcsec 
HOSTGAL_DDLR:        1.501       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.423 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.561
HOSTGAL_SQRADIUS:     10.255   # Ixx + Iyy
HOSTGAL_MAG:     24.49  24.17  23.62  22.93  22.72  22.56 # ugrizY
HOSTGAL_MAGERR:   0.07   0.01   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           4225    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.75217  
SIM_REDSHIFT_CMB:    0.75018  
SIM_REDSHIFT_HOST:   0.76207  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9001020311 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.343 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.423 -9.000 
SIM_DLMU:            43.3336   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0080   # mag 
SIM_RA:              325.507385     # deg  
SIM_DEC:             3.003597      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0772   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59956.465    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.4200e-06 
SIM_SALT2x1:         -0.1902 
SIM_SALT2c:          0.0085 
SIM_SALT2mB:         24.0214 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        -106.36  # days 
SIM_TRESTMAX:        383.13  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.09  26.37  24.41  23.65  23.81  23.75  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3077 Y WFD  4.6971e-02  7.857e-02    0  1.000 42.550  1.70 1.365e+04  99.0000 
OBS: 59772.2735 Y WFD -1.3516e-01  9.310e-02    0  1.000 43.290  2.41 2.256e+04  99.0000 
OBS: 59774.3403 z WFD -2.7826e-03  4.163e-02    0  1.000 45.020  2.14 5.590e+04  99.0000 
OBS: 59779.3126 z WFD  1.6482e-02  6.005e-02    0  1.000 43.500  2.57 1.656e+04  99.0000 
OBS: 59784.3579 r WFD -1.1857e-02  1.385e-02    0  1.000 44.770  2.69 1.175e+04  99.0000 
OBS: 59788.2765 g WFD -3.9902e-03  1.088e-02    0  1.000 44.050  2.52 5.075e+03  99.0000 
OBS: 59790.2490 g WFD  3.8754e-03  7.591e-03    0  1.000 44.800  2.47 7.210e+03  99.0000 
OBS: 59791.2306 i WFD -2.6811e-02  1.735e-02    0  1.000 44.570  2.18 1.511e+04  99.0000 
OBS: 59796.1276 Y WFD  1.3131e-01  1.506e-01    0  1.000 42.490  2.96 1.422e+04  99.0000 
OBS: 59837.0713 r WFD -2.8785e-03  7.810e-03    0  1.000 44.810  1.63 1.135e+04  99.0000 
OBS: 59840.0212 g WFD  6.8051e-03  5.761e-03    0  1.000 44.710  1.74 7.150e+03  99.0000 
OBS: 59849.9869 z WFD  3.6899e-02  6.644e-02    0  1.000 43.490  2.35 1.985e+04  99.0000 
OBS: 59853.0275 r WFD  3.6102e-03  9.082e-03    0  1.000 44.820  1.78 1.219e+04  99.0000 
OBS: 59854.0107 Y WFD -9.6448e-02  8.858e-02    0  1.000 42.530  1.87 1.374e+04  99.0000 
OBS: 59860.1155 Y WFD  8.8362e-02  9.423e-02    0  1.000 42.550  1.50 1.856e+04  99.0000 
OBS: 59861.0439 Y WFD -7.6608e-02  4.565e-02    0  1.000 44.080  1.57 3.515e+04  99.0000 
OBS: 59862.0016 z WFD -2.7028e-02  3.176e-02    0  1.000 44.270  1.28 3.574e+04  99.0000 
OBS: 59863.0906 z WFD -6.6532e-03  3.140e-02    0  1.000 44.260  1.54 2.909e+04  99.0000 
OBS: 59876.0833 u WFD  1.4248e-02  3.844e-02    0  1.000 41.090  2.98 9.898e+02  99.0000 
OBS: 59897.0260 z WFD  5.5021e-03  5.043e-02    0  1.000 43.480  2.33 1.506e+04  99.0000 
OBS: 60067.4182 z WFD  1.8016e+00  3.782e-02 4096  1.000 43.490  1.71 1.552e+04  26.8975 
OBS: 60083.3889 r WFD  3.4341e-01  8.822e-03 6144  1.000 44.810  1.75 1.193e+04  28.6944 
OBS: 60096.4021 i WFD  1.0537e+00  1.382e-02 4096  1.000 45.010  2.10 1.873e+04  27.4506 
OBS: 60101.3615 z WFD  1.2061e+00  2.598e-02 4096  1.000 45.010  1.77 4.179e+04  27.3089 
OBS: 60111.3063 r WFD  2.3019e-01  7.184e-03 4096  1.000 45.550  2.07 1.624e+04  29.0726 
OBS: 60118.3024 u WFD  9.6753e-03  2.264e-02    0  1.000 41.900  2.58 1.420e+03  39.0631 
OBS: 60119.2710 r WFD  2.1315e-01  1.434e-02 4096  1.000 44.790  2.88 1.158e+04  29.1783 
OBS: 60120.2910 g WFD  4.9234e-02  8.875e-03 4096  1.000 44.780  2.84 7.197e+03  30.8760 
OBS: 60124.2306 Y WFD  1.4711e+00  1.046e-01 4096  1.000 42.490  2.00 1.461e+04  27.0670 
OBS: 60137.3194 i WFD  7.1332e-01  1.671e-02 4096  1.000 44.570  2.08 1.525e+04  27.8534 
OBS: 60140.2088 u WFD -1.9770e-02  2.690e-02    0  1.000 41.130  2.13 1.006e+03  39.3494 
OBS: 60141.2927 g WFD  3.0315e-02  8.498e-03    0  1.000 44.790  2.79 7.080e+03  31.1500 
OBS: 60142.3056 i WFD  6.9568e-01  1.543e-02 4096  1.000 44.570  1.94 1.510e+04  27.9021 
OBS: 60143.2211 r WFD  1.7030e-01  9.862e-03 4096  1.000 44.810  2.05 1.139e+04  29.4907 
OBS: 60145.1894 u WFD  1.9415e-02  3.355e-02    0  1.000 41.020  2.51 9.613e+02  39.4135 
OBS: 60146.1745 g WFD  3.7492e-02  7.020e-03    0  1.000 44.710  2.14 7.084e+03  31.2128 
