SURVEY:   LSST
SNID:     1260095
IAUC:     NULL
SNTYPE:   110
RA:       70.276967  # deg
DEC:      -17.032279  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0420 +- 0.0021  # MW E(B-V) 
PEAKMJD:  59834.113     # estimate for LC fit codes
MJD_TRIGGER:       59805.398  
MJD_DETECT_FIRST:  59803.367  
MJD_DETECT_LAST:   60267.160  

REDSHIFT_HELIO:   0.905906 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.905692 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9751523435  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9059  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          70.277126    # deg 
HOSTGAL_DEC:         -17.032259    # deg 
HOSTGAL_SNSEP:       0.223       # arcsec 
HOSTGAL_DDLR:        1.043       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.560 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.333
HOSTGAL_SQRADIUS:     9.927   # Ixx + Iyy
HOSTGAL_MAG:     26.66  25.95  24.76  23.63  23.10  22.95 # ugrizY
HOSTGAL_MAGERR:   0.51   0.07   0.02   0.01   0.01   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5095    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.90591  
SIM_REDSHIFT_CMB:    0.90569  
SIM_REDSHIFT_HOST:   0.87565  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9751523435 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.411 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.560 -9.000 
SIM_DLMU:            43.8348   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0070   # mag 
SIM_RA:              70.276970     # deg  
SIM_DEC:             -17.032278      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0437   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59834.113    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.5042e-06 
SIM_SALT2x1:         -0.3757 
SIM_SALT2c:          -0.0803 
SIM_SALT2mB:         24.2735 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -131.72  # days 
SIM_TRESTMAX:        439.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.92  26.97  24.62  23.86  23.82  23.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 140 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0934 u WFD  8.4117e-03  2.202e-02    0  1.000 41.330  2.07 1.018e+03  99.0000 
OBS: 59588.1258 Y WFD  3.3750e-02  8.074e-02    0  1.000 42.570  1.91 1.272e+04  99.0000 
OBS: 59589.2046 i WFD  1.6502e-02  2.169e-02    0  1.000 43.810  1.90 1.076e+04  99.0000 
OBS: 59591.1283 z WFD -2.0668e-02  2.747e-02    0  1.000 44.260  1.67 2.347e+04  99.0000 
OBS: 59592.0527 z WFD -5.0926e-02  2.871e-02    0  1.000 44.280  1.59 2.624e+04  99.0000 
OBS: 59597.0719 Y WFD  1.4713e-02  1.048e-01    0  1.000 42.600  2.17 1.493e+04  99.0000 
OBS: 59612.0375 z WFD -1.3599e-02  2.846e-02    0  1.000 44.280  1.50 2.758e+04  99.0000 
OBS: 59615.0367 z WFD -4.1801e-02  2.974e-02    0  1.000 44.270  1.65 2.595e+04  99.0000 
OBS: 59625.1083 Y WFD -1.6829e-01  6.109e-02    0  1.000 43.290  1.60 2.230e+04  99.0000 
OBS: 59643.0141 z WFD  8.9235e-03  4.086e-02    0  1.000 44.260  1.98 2.944e+04  99.0000 
OBS: 59650.0130 Y WFD  2.5451e-01  1.032e-01    0  1.000 42.550  2.15 1.418e+04  99.0000 
OBS: 59652.0034 Y WFD  1.2090e-01  1.088e-01    0  1.000 42.560  2.03 1.598e+04  99.0000 
OBS: 59659.0123 Y WFD  1.1655e-01  1.033e-01    0  1.000 42.530  2.18 1.375e+04  99.0000 
OBS: 59803.3690 Y WFD  7.2814e-01  7.738e-02 4096  1.000 43.260  1.95 2.254e+04  27.7920 
OBS: 59805.3989 Y WFD  1.6352e+00  5.763e-02 6144  1.000 43.310  1.50 2.285e+04  26.9399 
OBS: 59810.3737 i WFD  5.5701e+00  1.748e-02 4096  1.000 44.580  1.77 1.890e+04  25.6336 
OBS: 59821.3816 r WFD  1.3165e+01  1.041e-02 4096  1.000 44.820  2.30 1.074e+04  24.7005 
OBS: 59823.3470 g WFD  3.1800e+00  8.116e-03 4096  1.000 44.760  2.71 6.751e+03  26.2454 
OBS: 59824.3351 i WFD  2.4609e+01  1.322e-02 4096  1.000 44.560  1.62 1.519e+04  24.0220 
OBS: 59835.2906 Y WFD  2.6024e+01  8.253e-02 4096  1.000 42.520  1.50 1.578e+04  23.9596 
OBS: 59840.3479 r WFD  1.0177e+01  9.427e-03 4096  1.000 44.890  1.60 1.492e+04  24.9808 
OBS: 59844.2823 r WFD  7.8804e+00  8.616e-03 4096  1.000 44.790  1.83 1.088e+04  25.2587 
OBS: 59850.2540 i WFD  1.7206e+01  1.435e-02 4096  1.000 45.310  2.50 2.148e+04  24.4119 
OBS: 59851.2545 u WFD  6.2351e-02  3.143e-02    0  1.000 41.080  2.51 9.518e+02  99.0000 
OBS: 59860.2179 Y WFD  1.5018e+01  5.339e-02 4096  1.000 43.720  1.70 2.723e+04  24.5605 
OBS: 59861.2420 Y WFD  1.4300e+01  9.893e-02 4096  1.000 42.560  1.82 1.619e+04  24.6046 
OBS: 59864.3586 z WFD  1.0341e+01  3.194e-02 4096  1.000 44.280  1.66 2.794e+04  24.9601 
OBS: 59866.3215 i WFD  6.1430e+00  2.100e-02 4096  1.000 44.640  1.73 2.456e+04  25.5300 
OBS: 59867.3294 i WFD  5.7714e+00  1.280e-02 4096  1.000 45.390  1.69 3.055e+04  25.5995 
OBS: 59869.3311 r WFD  1.5534e+00  9.056e-03 4096  1.000 44.920  1.52 1.560e+04  27.0197 
OBS: 59870.2778 i WFD  4.7859e+00  1.274e-02 4096  1.000 44.590  1.66 1.481e+04  25.8029 
OBS: 59873.2038 g WFD  7.6524e-01  3.199e-03 4096  1.000 45.520  1.55 9.376e+03  27.7909 
OBS: 59874.1807 u WFD  4.4816e-03  1.553e-02    0  1.000 41.820  1.72 1.357e+03  31.7527 
OBS: 59877.2059 r WFD  9.3275e-01  8.286e-03 4096  1.000 44.820  1.85 1.069e+04  27.5837 
OBS: 59897.1797 r WFD  6.7902e-01  9.551e-03 4096  1.000 44.860  1.79 1.322e+04  27.9134 
OBS: 59905.1479 u WFD  7.8457e-03  2.612e-02    0  1.000 41.250  2.31 1.006e+03  31.3536 
OBS: 59908.1122 i WFD  1.3802e+00  2.127e-02 4096  1.000 44.560  2.70 1.482e+04  27.1468 
OBS: 59917.0734 z WFD  1.9846e+00  3.649e-02 4096  1.000 44.250  1.94 2.659e+04  26.7632 
OBS: 59920.0656 Y WFD  2.5064e+00  1.161e-01 4096  1.000 42.550  1.90 1.805e+04  26.5095 
OBS: 59943.2020 r WFD  1.9907e-01  9.102e-03 4096  1.000 44.840  1.91 1.160e+04  29.2280 
OBS: 59944.1214 i WFD  9.4551e-01  1.117e-02 4096  1.000 44.620  1.21 1.834e+04  27.5403 
OBS: 59950.0527 Y WFD  1.7938e+00  8.152e-02 4096  1.000 43.330  2.22 2.225e+04  26.8758 
OBS: 59953.1358 i WFD  8.4918e-01  4.076e-02 4096  1.000 43.880  2.26 1.813e+04  27.6356 
OBS: 59976.0481 Y WFD  1.2489e+00  6.790e-02 4096  1.000 42.600  1.50 1.400e+04  27.1857 
OBS: 59977.0527 z WFD  1.1480e+00  1.470e-02 4096  1.000 45.030  1.19 3.582e+04  27.3519 
OBS: 59979.0538 Y WFD  1.2998e+00  5.683e-02 4096  1.000 42.600  1.20 1.464e+04  27.2210 
OBS: 59990.0788 r WFD  1.2762e-01  7.575e-03 4096  1.000 44.810  1.67 1.074e+04  29.8247 
OBS: 59998.0213 z WFD  9.3746e-01  2.974e-02 4096  1.000 44.270  1.61 2.660e+04  27.5511 
OBS: 60003.0189 z WFD  9.5982e-01  4.105e-02 4096  1.000 44.270  2.14 2.762e+04  27.5983 
OBS: 60008.0084 Y WFD  9.3744e-01  5.007e-02 4096  1.000 44.100  1.66 3.714e+04  27.5561 
OBS: 60011.0378 Y WFD  9.1628e-01  8.456e-02 4096  1.000 42.540  1.65 1.500e+04  27.5906 
OBS: 60158.4015 Y WFD  3.5531e-01  6.995e-02    0  1.000 43.280  1.84 2.200e+04  29.1254 
OBS: 60159.3961 Y WFD  2.4360e-01  9.509e-02    0  1.000 42.520  1.79 1.526e+04  29.1348 
OBS: 60160.4189 z WFD  2.3582e-01  3.177e-02 4096  1.000 44.250  1.80 2.495e+04  29.0327 
OBS: 60165.4125 r WFD  3.5638e-02  1.573e-02    0  1.000 44.110  1.86 1.051e+04  31.8305 
OBS: 60175.3561 r WFD  2.9455e-02  9.869e-03    0  1.000 44.790  2.05 1.119e+04  31.9360 
OBS: 60176.3774 u WFD -9.6174e-03  1.689e-02    0  1.000 41.920  1.97 1.414e+03  38.1992 
OBS: 60177.3886 g WFD  6.0377e-03  6.737e-03    0  1.000 44.780  2.28 6.805e+03  31.6545 
OBS: 60180.3659 i WFD  1.1089e-01  1.465e-02 4096  1.000 44.570  1.87 1.487e+04  29.8706 
OBS: 60187.3920 z WFD  1.8290e-01  3.615e-02    0  1.000 44.270  1.97 2.642e+04  29.2675 
OBS: 60198.2953 u WFD  1.0210e-02  3.600e-02    0  1.000 41.070  2.83 9.582e+02  38.4294 
OBS: 60199.4033 z WFD  1.5847e-01  3.364e-02    0  1.000 43.520  1.67 1.454e+04  29.3710 
OBS: 60200.3214 r WFD  1.1008e-02  1.066e-02    0  1.000 44.810  2.37 1.065e+04  32.1981 
OBS: 60201.3767 i WFD  8.3165e-02  1.505e-02    0  1.000 43.830  1.46 9.895e+03  30.0621 
OBS: 60204.3045 i WFD  9.0016e-02  7.656e-03 4096  1.000 45.760  1.69 2.573e+04  30.0886 
OBS: 60214.2608 z WFD  1.3621e-01  3.208e-02 4096  1.000 44.260  1.81 2.529e+04  29.4981 
OBS: 60217.2585 Y WFD  4.4111e-02  5.296e-02    0  1.000 43.750  1.66 2.846e+04  29.6614 
OBS: 60227.3020 g WFD  1.0051e-02  5.152e-03    0  1.000 44.820  1.90 6.480e+03  32.1744 
OBS: 60236.1933 u WFD  4.8943e-02  3.522e-02    0  1.000 40.990  2.65 9.297e+02  38.8210 
OBS: 60241.1921 Y WFD  1.7187e-01  5.558e-02    0  1.000 43.280  1.62 1.985e+04  29.8683 
OBS: 60242.1846 Y WFD  1.8833e-01  7.614e-02    0  1.000 42.540  1.54 1.447e+04  29.8767 
OBS: 60246.2608 Y WFD -4.6833e-03  1.088e-01    0  1.000 42.590  2.03 1.642e+04  29.9113 
OBS: 60260.2161 g WFD  2.1896e-02  7.116e-03    0  1.000 44.830  2.56 6.704e+03  32.5102 
OBS: 60262.1229 u WFD  5.2634e-03  3.472e-02    0  1.000 41.000  2.61 9.392e+02  39.0850 
OBS: 60264.1147 r WFD  1.4194e-02  9.806e-03    0  1.000 44.780  2.02 1.118e+04  32.8527 
OBS: 60267.1615 i WFD  5.3262e-02  7.045e-03 4096  1.000 45.770  1.56 2.589e+04  30.6477 
OBS: 60274.1233 Y WFD  3.8747e-02  6.482e-02    0  1.000 43.760  1.97 2.962e+04  30.1435 
OBS: 60278.1535 i WFD  1.1238e-02  3.878e-02    0  1.000 43.880  2.12 1.839e+04  30.7436 
OBS: 60279.0853 g WFD  1.4512e-02  1.312e-02    0  1.000 43.990  3.04 4.803e+03  32.7007 
OBS: 60279.2842 i WFD  4.4086e-02  2.952e-02    0  1.000 44.620  2.42 2.425e+04  30.7534 
OBS: 60280.1921 r WFD -1.0341e-03  1.936e-02    0  1.000 44.180  1.94 1.323e+04  33.0148 
OBS: 60286.0983 g WFD  8.8767e-03  4.994e-03    0  1.000 45.550  2.45 9.541e+03  32.7712 
OBS: 60292.0366 z WFD  1.0178e-01  4.220e-02    0  1.000 44.240  1.72 3.437e+04  30.1468 
OBS: 60294.0384 z WFD  1.0133e-01  3.029e-02    0  1.000 45.000  1.89 4.521e+04  30.1631 
OBS: 60295.0413 z WFD  5.3998e-02  2.832e-02    0  1.000 45.000  2.14 3.734e+04  30.1713 
OBS: 60296.0702 r WFD  1.8100e-03  1.042e-02    0  1.000 44.840  2.16 1.174e+04  33.1740 
OBS: 60316.0742 r WFD -2.3667e-03  7.388e-03    0  1.000 44.850  1.75 1.037e+04  33.3734 
OBS: 60325.0518 Y WFD  7.4629e-02  7.137e-02    0  1.000 42.590  1.71 1.279e+04  30.5506 
OBS: 60334.1590 Y WFD -4.8685e-02  1.314e-01    0  1.000 42.560  2.44 1.606e+04  30.6213 
OBS: 60335.1086 z WFD  1.0754e-01  5.505e-02    0  1.000 44.270  2.90 2.733e+04  30.4943 
OBS: 60336.0719 z WFD  4.7492e-02  5.292e-02    0  1.000 44.280  3.16 2.434e+04  30.5020 
OBS: 60357.0281 Y WFD -5.3349e-02  7.467e-02    0  1.000 42.580  1.63 1.391e+04  30.7963 
OBS: 60367.0315 Y WFD  4.1788e-02  9.000e-02    0  1.000 42.570  2.01 1.347e+04  30.8719 
OBS: 60371.0809 r WFD  1.0366e-02  1.596e-02    0  1.000 44.030  2.29 8.048e+03  33.9162 
OBS: 60372.0117 Y WFD -2.0361e-01  1.435e-01    0  1.000 42.580  2.78 1.568e+04  30.9093 
OBS: 60389.0007 z WFD  7.1727e-02  4.045e-02    0  1.000 44.260  2.07 2.788e+04  30.9179 
OBS: 60392.0025 Y WFD  2.8505e-01  1.207e-01    0  1.000 42.540  2.33 1.516e+04  31.0580 
OBS: 60401.9896 z WFD  6.4267e-02  6.438e-02    0  1.000 43.480  2.72 1.647e+04  31.0182 
OBS: 60524.4024 g WFD  7.3613e-03  7.182e-03    0  1.000 44.740  2.27 7.023e+03  35.0992 
OBS: 60528.3941 i WFD  5.0024e-03  1.690e-02    0  1.000 44.560  2.06 1.543e+04  32.8206 
OBS: 60532.4057 r WFD  2.0586e-02  8.639e-03    0  1.000 44.810  1.83 1.118e+04  35.4791 
OBS: 60535.3932 g WFD -1.1412e-02  7.718e-03    0  1.000 44.770  2.54 6.935e+03  35.2048 
OBS: 60538.4278 Y WFD -6.2623e-02  7.957e-02    0  1.000 42.590  1.40 1.742e+04  32.0975 
OBS: 60540.3720 Y WFD  5.7521e-02  5.010e-02    0  1.000 43.730  1.70 2.581e+04  32.1109 
OBS: 60546.3232 Y WFD -2.8419e-02  1.152e-01    0  1.000 42.500  2.14 1.519e+04  32.1518 
OBS: 60548.4215 Y WFD -2.5760e-02  9.809e-02    0  1.000 42.590  1.69 1.779e+04  32.1662 
OBS: 60549.3794 i WFD -4.6701e-04  1.534e-02    0  1.000 44.590  1.83 1.621e+04  32.9881 
OBS: 60553.4127 z WFD  7.6757e-02  3.347e-02    0  1.000 43.510  1.63 1.469e+04  32.1420 
OBS: 60554.3250 u WFD -5.6826e-03  2.250e-02    0  1.000 41.810  2.47 1.357e+03  99.0000 
OBS: 60557.4054 z WFD  3.3952e-02  2.591e-02    0  1.000 43.510  1.35 1.373e+04  32.1706 
OBS: 60558.3313 r WFD  1.2112e-02  9.408e-03    0  1.000 44.800  2.05 1.077e+04  35.7279 
OBS: 60570.3563 Y WFD  1.5874e-01  7.035e-02    0  1.000 42.580  1.49 1.434e+04  32.3163 
OBS: 60574.2617 Y WFD  1.9919e-02  7.002e-02    0  1.000 43.280  1.83 2.214e+04  32.3429 
OBS: 60579.3063 i WFD  4.0998e-03  2.073e-02    0  1.000 44.580  2.72 1.460e+04  33.2258 
OBS: 60585.2389 u WFD -3.3789e-02  2.425e-02    0  1.000 41.050  1.89 9.487e+02  99.0000 
OBS: 60587.2339 i WFD  1.2682e-02  1.050e-02    0  1.000 45.310  1.83 2.154e+04  33.2886 
OBS: 60588.2242 g WFD -6.4739e-03  5.011e-03    0  1.000 44.730  1.67 6.600e+03  35.7114 
OBS: 60592.2437 i WFD  1.2345e-02  1.088e-02    0  1.000 44.570  1.41 1.465e+04  33.3282 
OBS: 60593.2270 r WFD -8.4382e-03  7.858e-03    0  1.000 44.810  1.63 1.142e+04  36.0622 
OBS: 60594.2488 r WFD  9.8166e-03  1.172e-02    0  1.000 44.090  1.59 8.994e+03  36.0720 
OBS: 60597.2631 i WFD -2.0984e-02  2.794e-02    0  1.000 44.620  2.62 2.120e+04  33.3678 
OBS: 60598.3752 z WFD  1.6868e-02  3.723e-02    0  1.000 43.510  1.70 1.566e+04  32.4617 
OBS: 60600.2014 Y WFD -3.6767e-02  5.255e-02    0  1.000 44.040  1.81 3.383e+04  32.5192 
OBS: 60602.2432 z WFD  3.5073e-02  1.332e-02    0  1.000 45.790  1.30 5.984e+04  32.4890 
OBS: 60604.3574 i WFD  2.6696e-02  3.566e-02    0  1.000 43.880  2.10 1.707e+04  33.4238 
OBS: 60610.2022 g WFD  5.7289e-05  4.065e-03    0  1.000 44.780  1.42 6.593e+03  35.9217 
OBS: 60612.1710 u WFD -1.1585e-03  1.718e-02    0  1.000 41.180  1.42 1.009e+03  99.0000 
OBS: 60613.1764 u WFD -4.5640e-02  1.791e-02    0  1.000 41.170  1.49 9.930e+02  99.0000 
OBS: 60619.1762 g WFD -9.9438e-04  4.880e-03    0  1.000 44.800  1.71 6.695e+03  36.0075 
OBS: 60626.1065 Y WFD  2.1275e-01  1.111e-01    0  1.000 42.500  2.10 1.492e+04  32.6943 
