SURVEY:   LSST
SNID:     1260610
IAUC:     NULL
SNTYPE:   110
RA:       242.129849  # deg
DEC:      -24.017794  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1503 +- 0.0075  # MW E(B-V) 
PEAKMJD:  60330.973     # estimate for LC fit codes
MJD_TRIGGER:       60361.332  
MJD_DETECT_FIRST:  60339.375  
MJD_DETECT_LAST:   60567.035  

REDSHIFT_HELIO:   0.920378 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.921081 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10315572540  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9204  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          242.129942    # deg 
HOSTGAL_DEC:         -24.017829    # deg 
HOSTGAL_SNSEP:       0.142       # arcsec 
HOSTGAL_DDLR:        2.262       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.977 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.646
HOSTGAL_SQRADIUS:     12.336   # Ixx + Iyy
HOSTGAL_MAG:     27.62  27.62  26.51  25.67  24.74  24.36 # ugrizY
HOSTGAL_MAGERR:   0.67   0.29   0.09   0.06   0.05   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           5610    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.92038  
SIM_REDSHIFT_CMB:    0.92108  
SIM_REDSHIFT_HOST:   0.92424  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10315572540 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.879 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.977 -9.000 
SIM_DLMU:            43.8789   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0027   # mag 
SIM_RA:              242.129852     # deg  
SIM_DEC:             -24.017794      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1555   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60330.973    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.6962e-06 
SIM_SALT2x1:         1.3679 
SIM_SALT2c:          -0.1183 
SIM_SALT2mB:         23.9556 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        -352.39  # days 
SIM_TRESTMAX:        122.93  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.75  26.42  24.40  23.70  23.67  23.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59654.2409 Y WFD -1.2543e-01  1.157e-01    0  1.000 42.500  2.11 1.547e+04  99.0000 
OBS: 59655.2574 Y WFD -3.7839e-02  1.456e-01    0  1.000 42.540  2.71 1.572e+04  99.0000 
OBS: 59657.4082 z WFD  5.0614e-02  7.215e-02    0  1.000 43.540  2.23 2.379e+04  99.0000 
OBS: 59672.4132 z WFD -3.1981e-02  4.774e-02    0  1.000 43.520  2.01 1.714e+04  99.0000 
OBS: 59675.1929 r WFD  3.1653e-03  9.694e-03    0  1.000 44.790  1.90 1.186e+04  99.0000 
OBS: 59676.3590 i WFD -7.1590e-03  9.817e-03    0  1.000 45.360  1.87 2.063e+04  99.0000 
OBS: 59678.1762 z WFD -8.4179e-03  4.893e-02    0  1.000 43.470  2.23 1.513e+04  99.0000 
OBS: 59680.1965 i WFD -2.6569e-03  1.490e-02    0  1.000 44.580  1.52 1.878e+04  99.0000 
OBS: 59681.1794 z WFD -3.1702e-02  1.733e-02    0  1.000 44.990  1.44 3.363e+04  99.0000 
OBS: 59683.1657 Y WFD -3.8647e-02  5.497e-02    0  1.000 43.260  1.44 2.168e+04  99.0000 
OBS: 59685.2630 Y WFD -6.1129e-03  6.341e-02    0  1.000 42.610  1.19 1.663e+04  99.0000 
OBS: 59709.2286 i WFD  1.3379e-03  1.562e-02    0  1.000 44.610  2.01 1.530e+04  99.0000 
OBS: 59746.1299 z WFD  1.1603e-02  1.919e-02    0  1.000 45.290  1.47 4.811e+04  99.0000 
OBS: 59748.2621 i WFD -2.9242e-02  3.248e-02    0  1.000 44.590  2.70 2.326e+04  99.0000 
OBS: 59751.1880 g WFD  6.2108e-04  5.653e-03    0  1.000 44.850  1.86 7.466e+03  99.0000 
OBS: 59752.0991 i WFD -1.5651e-02  1.997e-02    0  1.000 44.590  2.67 1.446e+04  99.0000 
OBS: 59758.9594 z WFD -1.5883e-02  4.666e-02    0  1.000 44.230  1.95 3.321e+04  99.0000 
OBS: 59767.9606 Y WFD  1.9066e-02  1.216e-01    0  1.000 42.540  2.18 1.633e+04  99.0000 
OBS: 59773.1365 Y WFD  7.3377e-02  5.635e-02    0  1.000 44.090  1.97 3.490e+04  99.0000 
OBS: 59774.1565 z WFD  7.4758e-02  4.476e-02    0  1.000 44.270  1.98 3.255e+04  99.0000 
OBS: 59775.1836 z WFD -4.2463e-02  4.556e-02    0  1.000 44.250  2.21 2.915e+04  99.0000 
OBS: 59776.1447 i WFD -2.8814e-02  2.805e-02    0  1.000 44.620  2.30 2.425e+04  99.0000 
OBS: 59790.0785 g WFD  4.0095e-03  4.913e-03    0  1.000 45.610  2.29 1.061e+04  99.0000 
OBS: 59791.0139 u WFD -1.9917e-03  1.550e-02    0  1.000 42.130  2.01 1.543e+03  99.0000 
OBS: 59802.1340 Y WFD -1.5311e-01  1.246e-01    0  1.000 42.500  2.05 1.715e+04  99.0000 
OBS: 59809.0111 r WFD -3.0703e-03  6.807e-03    0  1.000 44.870  1.44 1.183e+04  99.0000 
OBS: 59819.0172 u WFD  1.0689e-02  2.211e-02    0  1.000 41.350  1.90 1.135e+03  99.0000 
OBS: 59830.0261 Y WFD  8.4611e-03  5.092e-02    0  1.000 43.730  1.70 2.623e+04  99.0000 
OBS: 59842.0154 r WFD  9.3110e-03  1.714e-02    0  1.000 44.060  2.05 9.923e+03  99.0000 
OBS: 59980.3544 Y WFD -7.1370e-02  9.147e-02    0  1.000 42.520  1.68 1.564e+04  99.0000 
OBS: 59997.3208 u WFD -1.6818e-04  2.136e-02    0  1.000 41.880  2.27 1.496e+03  99.0000 
OBS: 60000.2957 g WFD  2.5005e-03  6.339e-03    0  1.000 44.740  1.79 7.861e+03  99.0000 
OBS: 60008.2922 Y WFD  1.4451e-01  9.904e-02    0  1.000 43.290  2.74 2.111e+04  99.0000 
OBS: 60009.2836 Y WFD -5.3591e-02  8.257e-02    0  1.000 43.280  2.20 2.172e+04  99.0000 
OBS: 60011.2575 Y WFD  4.5056e-02  1.210e-01    0  1.000 42.500  2.04 1.673e+04  99.0000 
OBS: 60022.3298 g WFD -5.5247e-04  3.528e-03    0  1.000 45.630  1.64 1.084e+04  99.0000 
OBS: 60027.2323 u WFD  3.6873e-03  2.110e-02    0  1.000 41.110  1.62 1.018e+03  99.0000 
OBS: 60028.3807 r WFD  5.3851e-03  7.455e-03    0  1.000 44.120  1.16 8.061e+03  99.0000 
OBS: 60029.2514 i WFD -8.5219e-03  1.313e-02    0  1.000 44.570  1.61 1.548e+04  99.0000 
OBS: 60031.2405 r WFD -2.3889e-03  4.958e-03    0  1.000 45.570  1.42 1.665e+04  99.0000 
OBS: 60032.3014 i WFD -8.1097e-03  8.831e-03    0  1.000 44.590  1.16 1.472e+04  99.0000 
OBS: 60036.2563 i WFD -3.4874e-03  1.057e-02    0  1.000 45.360  1.40 2.966e+04  99.0000 
OBS: 60040.2926 Y WFD -2.7988e-02  9.109e-02    0  1.000 42.610  1.72 1.653e+04  99.0000 
OBS: 60041.3585 z WFD -1.3693e-02  2.892e-02    0  1.000 45.050  1.74 4.909e+04  99.0000 
OBS: 60051.1679 u WFD -3.0023e-02  2.939e-02    0  1.000 41.050  2.21 9.835e+02  99.0000 
OBS: 60057.1685 g WFD -2.0886e-02  7.554e-03    0  1.000 44.790  2.37 7.409e+03  99.0000 
OBS: 60063.1915 r WFD -1.7561e-03  1.141e-02    0  1.000 44.890  1.93 1.507e+04  99.0000 
OBS: 60067.2813 z WFD  4.7538e-02  3.058e-02    0  1.000 44.280  1.67 2.662e+04  99.0000 
OBS: 60080.1089 u WFD -1.7638e-02  1.609e-02    0  1.000 42.000  1.89 1.512e+03  99.0000 
OBS: 60083.2446 r WFD  5.0352e-04  6.514e-03    0  1.000 44.870  1.41 1.156e+04  99.0000 
OBS: 60094.1146 Y WFD  2.4675e-02  8.139e-02    0  1.000 42.570  1.79 1.368e+04  99.0000 
OBS: 60094.1552 i WFD  2.5055e-02  1.457e-02    0  1.000 44.630  1.38 2.119e+04  99.0000 
OBS: 60095.1757 Y WFD  1.1690e-01  6.062e-02    0  1.000 42.600  1.33 1.410e+04  99.0000 
OBS: 60096.1871 Y WFD  1.1651e-02  4.847e-02    0  1.000 43.360  1.37 2.204e+04  99.0000 
OBS: 60101.1935 z WFD -6.6910e-03  2.722e-02    0  1.000 45.030  1.81 4.361e+04  99.0000 
OBS: 60103.1177 r WFD  2.2826e-02  2.193e-02    0  1.000 44.190  1.93 1.520e+04  99.0000 
OBS: 60121.9864 z WFD -1.1854e-02  3.979e-02    0  1.000 44.240  2.45 2.275e+04  99.0000 
OBS: 60128.0116 Y WFD -7.6512e-03  5.052e-02    0  1.000 44.950  2.07 6.574e+04  99.0000 
OBS: 60129.1660 Y WFD  1.4392e-01  9.436e-02    0  1.000 42.590  1.72 1.681e+04  99.0000 
OBS: 60131.1715 i WFD -2.2929e-02  1.701e-02    0  1.000 45.370  1.98 3.407e+04  99.0000 
OBS: 60133.1166 r WFD  1.1907e-02  7.083e-03    0  1.000 45.630  1.79 1.994e+04  99.0000 
OBS: 60138.9659 z WFD -5.7304e-02  3.650e-02    0  1.000 43.500  1.73 1.495e+04  99.0000 
OBS: 60140.9625 z WFD -4.4102e-02  4.525e-02    0  1.000 43.500  1.94 1.653e+04  99.0000 
OBS: 60143.0748 r WFD -1.9482e-02  7.917e-03    0  1.000 44.870  1.75 1.132e+04  99.0000 
OBS: 60143.9622 z WFD  4.7604e-02  4.101e-02    0  1.000 43.520  1.71 1.731e+04  99.0000 
OBS: 60148.0935 r WFD -1.0312e-02  8.987e-03    0  1.000 44.860  1.92 1.161e+04  99.0000 
OBS: 60160.1213 i WFD -1.0496e-02  3.250e-02    0  1.000 43.850  1.82 1.747e+04  99.0000 
OBS: 60162.1031 r WFD  9.2987e-03  1.154e-02    0  1.000 44.830  2.38 1.169e+04  99.0000 
OBS: 60164.0578 r WFD  3.1503e-03  7.937e-03    0  1.000 44.860  1.70 1.158e+04  99.0000 
OBS: 60164.9768 z WFD -1.3055e-02  2.575e-02    0  1.000 44.270  1.75 2.119e+04  99.0000 
OBS: 60166.0632 r WFD  1.2386e-02  8.674e-03    0  1.000 44.850  1.81 1.177e+04  99.0000 
OBS: 60168.9695 z WFD  1.8365e-02  3.816e-02    0  1.000 43.530  1.54 1.805e+04  99.0000 
OBS: 60176.0287 u WFD  1.5172e-02  2.409e-02    0  1.000 41.310  2.07 1.094e+03  99.0000 
OBS: 60184.0371 Y WFD -1.7852e-04  7.126e-02    0  1.000 43.310  1.98 2.141e+04  99.0000 
OBS: 60185.0197 z WFD -3.9282e-02  3.874e-02    0  1.000 44.270  2.07 2.695e+04  99.0000 
OBS: 60200.0183 u WFD  8.5313e-03  2.979e-02    0  1.000 41.190  2.26 1.110e+03  99.0000 
OBS: 60339.3731 z WFD  3.0663e+01  7.379e-02 4096  1.000 43.490  2.52 2.054e+04  23.7775 
OBS: 60361.3308 i WFD  1.1223e+01  1.095e-02 6144  1.000 45.320  1.81 2.284e+04  24.8751 
OBS: 60363.3814 Y WFD  1.5236e+01  8.808e-02 4096  1.000 42.570  1.93 1.372e+04  24.5406 
OBS: 60364.3974 z WFD  1.3362e+01  6.402e-02 4096  1.000 43.540  1.98 2.376e+04  24.6906 
OBS: 60367.2869 Y WFD  1.3565e+01  1.383e-01 4096  1.000 42.500  2.38 1.639e+04  24.6556 
OBS: 60376.2682 g WFD  8.2901e-01  8.851e-03 4096  1.000 44.740  2.57 7.640e+03  27.6900 
OBS: 60383.3751 r WFD  9.6823e-01  1.577e-02 4096  1.000 44.120  2.42 8.171e+03  27.5344 
OBS: 60385.3828 r WFD  9.9548e-01  1.318e-02 4096  1.000 44.120  2.03 8.140e+03  27.5140 
OBS: 60388.2595 r WFD  1.0492e+00  1.148e-02 4096  1.000 44.820  2.30 1.192e+04  27.4438 
OBS: 60389.3258 i WFD  2.6970e+00  1.469e-02 4096  1.000 44.590  1.92 1.478e+04  26.4176 
OBS: 60391.2637 Y WFD  6.3947e+00  9.790e-02 4096  1.000 43.320  2.93 2.006e+04  25.4844 
OBS: 60392.2250 Y WFD  6.2706e+00  7.353e-02 4096  1.000 43.720  2.38 2.680e+04  25.5188 
OBS: 60394.2329 Y WFD  5.8547e+00  8.423e-02 4096  1.000 43.280  2.04 2.388e+04  25.5890 
OBS: 60396.3071 z WFD  3.6780e+00  3.851e-02 4096  1.000 44.290  1.73 3.264e+04  26.0914 
OBS: 60415.2067 r WFD  6.4647e-01  6.649e-03 4096  1.000 44.840  1.41 1.147e+04  27.9438 
OBS: 60431.1403 g WFD  5.6705e-04  7.508e-03    0  1.000 44.030  1.65 5.253e+03  99.0000 
OBS: 60431.3039 i WFD  1.4612e+00  8.659e-03 4096  1.000 45.360  1.39 2.446e+04  27.0950 
OBS: 60432.2441 g WFD -1.0027e-03  3.754e-03    0  1.000 46.140  1.85 1.636e+04  99.0000 
OBS: 60436.1719 u WFD -3.1634e-02  2.911e-02    0  1.000 41.270  2.52 1.047e+03  33.9329 
OBS: 60444.1497 r WFD  3.7165e-01  1.225e-02 4096  1.000 44.850  2.61 1.153e+04  28.5488 
OBS: 60446.1628 i WFD  1.2614e+00  1.915e-02 4096  1.000 44.610  2.28 1.654e+04  27.2539 
OBS: 60458.2539 i WFD  1.0956e+00  1.397e-02 4096  1.000 45.380  1.75 3.195e+04  27.3820 
OBS: 60460.2851 r WFD  3.1470e-01  1.320e-02 4096  1.000 44.870  2.02 1.635e+04  28.7552 
OBS: 60466.1790 u WFD -8.7719e-03  2.343e-02    0  1.000 42.080  2.95 1.518e+03  34.3173 
OBS: 60468.0316 u WFD -4.0600e-02  3.040e-02    0  1.000 41.140  2.37 1.031e+03  34.3406 
OBS: 60468.1230 g WFD -2.1903e-03  5.770e-03    0  1.000 44.890  1.91 7.700e+03  99.0000 
OBS: 60484.1366 z WFD  1.4069e+00  3.005e-02 4096  1.000 44.720  1.58 4.145e+04  27.0726 
OBS: 60484.9683 Y WFD  1.5139e+00  7.825e-02 4096  1.000 43.250  2.18 2.020e+04  26.9765 
OBS: 60486.1445 i WFD  8.4964e-01  1.448e-02 4096  1.000 45.630  1.98 3.685e+04  27.6740 
OBS: 60487.1353 r WFD  2.3236e-01  1.468e-02 4096  1.000 44.940  1.84 2.130e+04  29.0911 
OBS: 60489.9592 z WFD  1.5454e+00  5.381e-02 4096  1.000 44.230  2.26 3.305e+04  27.1268 
OBS: 60495.9632 z WFD  1.3720e+00  2.917e-02 4096  1.000 44.250  1.59 2.593e+04  27.1826 
OBS: 60497.9681 z WFD  1.2921e+00  4.849e-02 4096  1.000 43.490  2.31 1.474e+04  27.2012 
OBS: 60501.9641 z WFD  1.2739e+00  3.018e-02 4096  1.000 44.250  1.96 2.177e+04  27.2382 
OBS: 60512.1423 z WFD  1.1529e+00  4.201e-02 4096  1.000 44.270  1.81 3.342e+04  27.3323 
OBS: 60515.1492 i WFD  6.2975e-01  3.446e-02 4096  1.000 44.590  2.75 2.423e+04  27.9723 
OBS: 60522.0637 r WFD  1.4107e-01  1.015e-02 4096  1.000 45.610  3.09 1.625e+04  29.5144 
OBS: 60523.9735 z WFD  1.1026e+00  3.376e-02 4096  1.000 43.510  1.71 1.412e+04  27.4412 
OBS: 60525.9725 z WFD  1.0502e+00  5.592e-02 4096  1.000 43.520  2.79 1.446e+04  27.4595 
OBS: 60526.0820 i WFD  6.0642e-01  1.723e-02 4096  1.000 45.330  3.08 2.138e+04  28.0832 
OBS: 60530.0555 g WFD  8.2160e-03  5.793e-03    0  1.000 44.860  1.86 7.722e+03  99.0000 
OBS: 60539.0874 Y WFD  6.4867e-01  1.062e-01 4096  1.000 42.540  1.99 1.562e+04  27.5764 
OBS: 60540.1099 Y WFD  9.8050e-01  1.093e-01 4096  1.000 42.500  1.86 1.658e+04  27.5874 
OBS: 60549.0127 r WFD  1.0800e-01  8.893e-03 4096  1.000 44.860  1.83 1.205e+04  29.8310 
OBS: 60554.0247 u WFD  3.8654e-02  2.849e-02    0  1.000 41.250  2.29 1.107e+03  35.3764 
OBS: 60567.0353 Y WFD  7.1188e-01  4.623e-02 4096  1.000 43.710  1.49 2.668e+04  27.8731 
END_PHOTOMETRY: 

