SURVEY:   LSST
SNID:     1261207
IAUC:     NULL
SNTYPE:   110
RA:       217.538661  # deg
DEC:      -53.945288  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.8349 +- 0.0417  # MW E(B-V) 
PEAKMJD:  59581.711     # estimate for LC fit codes
MJD_TRIGGER:       59636.387  
MJD_DETECT_FIRST:  59631.379  
MJD_DETECT_LAST:   59813.039  

REDSHIFT_HELIO:   1.280229 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.281571 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10378109215  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2802  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          217.538636    # deg 
HOSTGAL_DEC:         -53.945289    # deg 
HOSTGAL_SNSEP:       0.034       # arcsec 
HOSTGAL_DDLR:        0.119       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.591 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.109
HOSTGAL_SQRADIUS:     10.460   # Ixx + Iyy
HOSTGAL_MAG:     28.41  27.48  26.11  24.98  23.80  23.10 # ugrizY
HOSTGAL_MAGERR:   0.11   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6207    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.28023  
SIM_REDSHIFT_CMB:    1.28157  
SIM_REDSHIFT_HOST:   1.20786  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10378109215 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.237 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.591 -9.000 
SIM_DLMU:            44.7654   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2341   # mag 
SIM_RA:              217.538666     # deg  
SIM_DEC:             -53.945290      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.8038   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59581.711    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3028e-06 
SIM_SALT2x1:         -1.4194 
SIM_SALT2c:          -0.0811 
SIM_SALT2mB:         25.3478 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        21.77  # days 
SIM_TRESTMAX:        424.22  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.08  32.50  28.74  26.66  25.77  25.30  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59631.3782 i WFD  1.3566e-01  2.569e-02 4096  1.000 43.880  1.48 1.745e+04  29.8743 
OBS: 59636.3874 z WFD  3.8284e-01  3.032e-02 6144  1.000 43.500  1.53 1.404e+04  28.4773 
OBS: 59641.2869 u WFD  3.9102e-02  3.310e-02    0  1.000 41.130  2.75 9.582e+02  99.0000 
OBS: 59660.3863 Y WFD  2.7650e-01  6.956e-02    0  1.000 43.750  2.36 2.629e+04  28.6191 
OBS: 59661.2698 z WFD  2.6248e-01  1.787e-02 4096  1.000 45.890  1.89 6.053e+04  28.9688 
OBS: 59663.1939 Y WFD  3.8008e-01  1.393e-01    0  1.000 42.550  3.08 1.336e+04  28.6474 
OBS: 59666.4155 Y WFD  3.6711e-01  1.664e-01    0  1.000 42.560  2.03 2.443e+04  28.6709 
OBS: 59670.4079 z WFD  2.6455e-01  6.017e-02    0  1.000 43.490  2.71 1.559e+04  29.2228 
OBS: 59675.1187 r WFD  1.7424e-03  1.115e-02    0  1.000 44.780  2.35 1.093e+04  31.5784 
OBS: 59683.0932 Y WFD  2.8144e-01  4.532e-02 4096  1.000 43.710  1.48 2.633e+04  28.8178 
OBS: 59685.1938 Y WFD  3.1066e-01  4.924e-02 4096  1.000 43.340  1.30 2.316e+04  28.8437 
OBS: 59686.3543 Y WFD  2.3681e-01  3.946e-02 4096  1.000 44.660  1.69 4.816e+04  28.8528 
OBS: 59688.3678 z WFD  2.4605e-01  4.886e-02 4096  1.000 44.690  2.60 3.985e+04  29.3344 
OBS: 59689.3816 z WFD  1.4508e-01  5.728e-02    0  1.000 43.490  1.91 2.105e+04  29.3442 
OBS: 59690.2130 i WFD  2.3366e-03  1.642e-02    0  1.000 45.370  1.93 3.375e+04  99.0000 
OBS: 59757.0719 r WFD  7.6319e-02  1.202e-02 4096  1.000 44.830  2.76 1.051e+04  30.4463 
OBS: 59809.0611 r WFD  5.8480e-02  1.235e-02    0  1.000 44.000  1.73 8.020e+03  30.9790 
OBS: 59813.0374 r WFD  1.5186e-02  9.781e-03 4096  1.000 44.780  1.99 1.132e+04  31.0188 
OBS: 59818.0153 u WFD  4.3747e-02  2.346e-02    0  1.000 41.070  1.82 9.708e+02  99.0000 
OBS: 59830.0035 Y WFD  6.5394e-02  1.207e-01    0  1.000 42.500  2.21 1.541e+04  29.9656 
OBS: 59951.3511 z WFD -1.8069e-03  4.974e-02    0  1.000 43.480  1.64 2.110e+04  31.6849 
OBS: 59952.3579 Y WFD  2.0612e-02  8.972e-02    0  1.000 42.520  1.47 1.754e+04  30.8716 
OBS: 60027.1985 u WFD -4.8454e-03  1.912e-02    0  1.000 41.230  1.65 1.012e+03  99.0000 
OBS: 60031.1660 r WFD  7.6779e-03  5.336e-03    0  1.000 45.550  1.62 1.542e+04  33.0353 
OBS: 60036.3386 i WFD -5.9486e-03  1.309e-02    0  1.000 44.580  1.74 1.441e+04  99.0000 
OBS: 60038.1660 Y WFD -1.7096e-01  1.111e-01    0  1.000 42.560  2.19 1.512e+04  31.4830 
OBS: 60040.2154 Y WFD  2.7441e-02  1.046e-01    0  1.000 42.590  1.94 1.652e+04  31.4974 
OBS: 60041.3090 z WFD  3.9480e-02  5.466e-02    0  1.000 44.280  2.37 3.352e+04  32.4095 
OBS: 60042.3570 z WFD -2.5670e-02  3.843e-02    0  1.000 44.270  1.65 3.355e+04  32.4177 
OBS: 60043.3615 z WFD -1.4391e-02  4.025e-02    0  1.000 44.260  1.85 3.104e+04  32.4256 
OBS: 60050.2874 g WFD  4.2516e-03  3.920e-03    0  1.000 44.820  1.40 6.691e+03  99.0000 
OBS: 60051.1022 u WFD  4.6086e-03  2.585e-02    0  1.000 41.120  2.08 9.803e+02  99.0000 
OBS: 60052.0838 i WFD -9.0492e-03  1.237e-02    0  1.000 44.540  1.47 1.554e+04  99.0000 
OBS: 60057.1582 g WFD -3.8507e-03  6.174e-03    0  1.000 44.790  2.15 6.676e+03  99.0000 
OBS: 60064.2043 i WFD  5.2098e-02  2.251e-02    0  1.000 44.610  2.43 1.825e+04  99.0000 
OBS: 60068.2070 Y WFD  7.2835e-02  9.342e-02    0  1.000 42.590  1.76 1.627e+04  31.6924 
