SURVEY:   LSST
SNID:     1261597
IAUC:     NULL
SNTYPE:   110
RA:       127.068934  # deg
DEC:      -47.169395  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5605 +- 0.0280  # MW E(B-V) 
PEAKMJD:  60319.910     # estimate for LC fit codes
MJD_TRIGGER:       60297.355  
MJD_DETECT_FIRST:  60297.211  
MJD_DETECT_LAST:   60460.008  

REDSHIFT_HELIO:   0.757157 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.758457 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6001190646  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7572  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          127.069010    # deg 
HOSTGAL_DEC:         -47.169385    # deg 
HOSTGAL_SNSEP:       0.114       # arcsec 
HOSTGAL_DDLR:        0.408       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.196 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.355
HOSTGAL_SQRADIUS:     13.701   # Ixx + Iyy
HOSTGAL_MAG:     28.30  27.07  25.52  24.17  23.67  23.42 # ugrizY
HOSTGAL_MAGERR:   0.50   0.04   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6597    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.75716  
SIM_REDSHIFT_CMB:    0.75846  
SIM_REDSHIFT_HOST:   0.74622  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6001190646 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.621 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.196 -9.000 
SIM_DLMU:            43.3587   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0026   # mag 
SIM_RA:              127.068932     # deg  
SIM_DEC:             -47.169395      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5136   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60319.910    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.9132e-06 
SIM_SALT2x1:         -0.9247 
SIM_SALT2c:          0.1132 
SIM_SALT2mB:         24.4741 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -419.20  # days 
SIM_TRESTMAX:        201.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.07  28.96  26.17  24.93  24.83  24.62  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3087 u WFD -2.5599e-02  1.488e-02    0  1.000 41.990  1.91 1.369e+03  99.0000 
OBS: 59589.1404 Y WFD -6.3891e-02  5.489e-02    0  1.000 43.300  1.71 1.892e+04  99.0000 
OBS: 59589.2913 i WFD  2.5558e-03  8.251e-03    0  1.000 45.340  1.62 1.965e+04  99.0000 
OBS: 59592.3606 z WFD -2.0780e-02  2.632e-02    0  1.000 44.690  1.82 3.066e+04  99.0000 
OBS: 59594.1613 Y WFD -9.5755e-02  6.597e-02    0  1.000 42.580  1.44 1.391e+04  99.0000 
OBS: 59596.0688 Y WFD -4.5933e-02  6.815e-02    0  1.000 43.260  1.70 2.277e+04  99.0000 
OBS: 59601.3449 i WFD  3.8363e-03  2.054e-02    0  1.000 45.350  2.40 3.333e+04  99.0000 
OBS: 59606.0300 Y WFD  2.0107e-01  2.447e-01    0  1.000 42.510  2.64 2.639e+04  99.0000 
OBS: 59609.0411 z WFD -5.8236e-02  3.548e-02    0  1.000 44.230  2.17 2.270e+04  99.0000 
OBS: 59620.0276 Y WFD  2.5380e-02  1.046e-01    0  1.000 42.540  1.79 1.711e+04  99.0000 
OBS: 59625.1603 Y WFD  3.4425e-02  6.839e-02    0  1.000 42.600  1.45 1.459e+04  99.0000 
OBS: 59626.0295 z WFD -3.5706e-02  3.045e-02    0  1.000 44.260  1.38 3.148e+04  99.0000 
OBS: 59636.0215 z WFD  2.8125e-02  4.080e-02    0  1.000 43.490  1.96 1.462e+04  99.0000 
OBS: 59637.0159 Y WFD -5.3930e-02  1.057e-01    0  1.000 42.560  2.03 1.553e+04  99.0000 
OBS: 59640.0151 z WFD  1.1457e-01  4.660e-02    0  1.000 43.500  2.14 1.543e+04  99.0000 
OBS: 59650.0582 r WFD  1.3661e-02  1.760e-02    0  1.000 44.900  2.59 1.748e+04  99.0000 
OBS: 59659.1407 i WFD  1.4958e-02  1.944e-02    0  1.000 45.370  2.32 3.323e+04  99.0000 
OBS: 59669.9896 z WFD -5.2543e-02  3.560e-02    0  1.000 44.260  2.10 2.419e+04  99.0000 
OBS: 59675.9860 Y WFD -7.3232e-03  9.921e-02    0  1.000 42.600  2.27 1.352e+04  99.0000 
OBS: 59683.9833 Y WFD -7.0819e-02  6.076e-02    0  1.000 42.600  1.29 1.457e+04  99.0000 
OBS: 59685.1243 Y WFD  1.4479e-01  7.729e-02    0  1.000 42.540  1.41 1.604e+04  99.0000 
OBS: 59708.9698 Y WFD -4.9784e-02  7.170e-02    0  1.000 42.570  1.62 1.332e+04  99.0000 
OBS: 59712.0397 Y WFD  6.5990e-02  9.187e-02    0  1.000 42.540  1.82 1.477e+04  99.0000 
OBS: 59713.0722 Y WFD -2.2248e-02  9.372e-02    0  1.000 42.500  1.70 1.555e+04  99.0000 
OBS: 59853.3746 g WFD -1.3669e-03  8.818e-03    0  1.000 43.970  1.94 4.965e+03  99.0000 
OBS: 59861.3342 Y WFD  1.7353e-02  6.649e-02    0  1.000 43.250  1.66 2.254e+04  99.0000 
OBS: 59868.3507 r WFD  1.7745e-02  1.322e-02    0  1.000 44.850  1.78 1.825e+04  99.0000 
OBS: 59873.3236 r WFD -7.0018e-03  8.194e-03    0  1.000 44.780  1.70 1.110e+04  99.0000 
OBS: 59874.3243 u WFD -2.2394e-02  3.139e-02    0  1.000 41.010  2.39 9.360e+02  99.0000 
OBS: 59877.3117 r WFD  1.8075e-03  9.551e-03    0  1.000 44.780  2.02 1.089e+04  99.0000 
OBS: 59878.3068 g WFD -1.4608e-03  4.702e-03    0  1.000 44.730  1.57 6.587e+03  99.0000 
OBS: 59895.3515 z WFD -4.0798e-02  2.946e-02    0  1.000 44.270  1.65 2.571e+04  99.0000 
OBS: 59898.3495 z WFD  1.4261e-02  3.633e-02    0  1.000 43.510  1.69 1.537e+04  99.0000 
OBS: 59903.2490 r WFD -1.0119e-02  9.174e-03    0  1.000 44.780  1.95 1.084e+04  99.0000 
OBS: 59905.2327 u WFD -1.8798e-02  2.804e-02    0  1.000 41.020  2.14 9.424e+02  99.0000 
OBS: 59906.2394 r WFD -1.1257e-02  9.842e-03    0  1.000 44.780  2.09 1.085e+04  99.0000 
OBS: 59908.2149 i WFD -2.6324e-02  2.206e-02    0  1.000 44.550  2.68 1.534e+04  99.0000 
