SURVEY:   LSST
SNID:     1261615
IAUC:     NULL
SNTYPE:   110
RA:       75.691383  # deg
DEC:      -50.931673  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0125 +- 0.0006  # MW E(B-V) 
PEAKMJD:  60301.980     # estimate for LC fit codes
MJD_TRIGGER:       60275.090  
MJD_DETECT_FIRST:  60274.082  
MJD_DETECT_LAST:   60611.238  

REDSHIFT_HELIO:   1.193842 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.194030 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9691544834  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1938  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          75.691377    # deg 
HOSTGAL_DEC:         -50.931676    # deg 
HOSTGAL_SNSEP:       0.014       # arcsec 
HOSTGAL_DDLR:        0.070       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.458 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.295
HOSTGAL_SQRADIUS:     10.108   # Ixx + Iyy
HOSTGAL_MAG:     24.11  24.30  24.32  24.29  23.93  23.72 # ugrizY
HOSTGAL_MAGERR:   0.06   0.02   0.02   0.02   0.03   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6615    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.19384  
SIM_REDSHIFT_CMB:    1.19403  
SIM_REDSHIFT_HOST:   1.13218  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9691544834 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.061 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.458 -9.000 
SIM_DLMU:            44.5764   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0071   # mag 
SIM_RA:              75.691383     # deg  
SIM_DEC:             -50.931675      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0122   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60301.980    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.6005e-06 
SIM_SALT2x1:         -0.7731 
SIM_SALT2c:          -0.0630 
SIM_SALT2mB:         25.1244 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -328.61  # days 
SIM_TRESTMAX:        168.69  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.53  29.49  26.47  25.08  24.43  24.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 151 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.0535 z WFD  9.4650e-03  2.841e-02    0  1.000 44.250  2.00 2.008e+04  99.0000 
OBS: 59583.0482 z WFD  1.9317e-03  4.034e-02    0  1.000 44.260  2.82 2.041e+04  99.0000 
OBS: 59584.1157 u WFD -6.1326e-02  2.706e-02    0  1.000 41.200  2.43 9.455e+02  99.0000 
OBS: 59588.0350 Y WFD -9.7882e-03  1.811e-01    0  1.000 42.600  2.37 2.364e+04  99.0000 
OBS: 59589.0558 Y WFD -1.3380e-01  7.141e-02    0  1.000 42.570  1.64 1.310e+04  99.0000 
OBS: 59595.0716 Y WFD  4.5266e-02  8.816e-02    0  1.000 43.330  2.68 1.993e+04  99.0000 
OBS: 59601.2211 i WFD  3.3739e-02  2.606e-02    0  1.000 44.580  2.24 2.229e+04  99.0000 
OBS: 59603.0489 Y WFD  9.7596e-02  5.785e-02    0  1.000 43.320  1.88 1.847e+04  99.0000 
OBS: 59612.1942 g WFD  4.0753e-03  6.426e-03    0  1.000 44.670  2.12 6.309e+03  99.0000 
OBS: 59617.0265 Y WFD  2.0503e-01  2.006e-01    0  1.000 42.590  3.17 1.939e+04  99.0000 
OBS: 59624.0453 z WFD -3.7440e-02  3.938e-02    0  1.000 44.260  2.38 2.361e+04  99.0000 
OBS: 59634.0531 r WFD -5.9218e-03  7.846e-03    0  1.000 44.820  1.80 1.042e+04  99.0000 
OBS: 59648.0182 Y WFD -1.4779e-01  9.859e-02    0  1.000 42.550  2.20 1.324e+04  99.0000 
OBS: 59655.0025 Y WFD -8.6468e-02  1.079e-01    0  1.000 42.580  2.09 1.567e+04  99.0000 
OBS: 59659.0599 i WFD -4.4559e-02  2.027e-02    0  1.000 45.020  2.10 2.773e+04  99.0000 
OBS: 59663.0006 z WFD  3.2740e-02  3.495e-02    0  1.000 44.240  2.30 2.129e+04  99.0000 
OBS: 59680.9850 Y WFD  7.8618e-02  7.322e-02    0  1.000 42.540  1.47 1.458e+04  99.0000 
OBS: 59685.9721 Y WFD -5.3284e-02  1.130e-01    0  1.000 42.550  1.62 2.061e+04  99.0000 
OBS: 59689.9745 z WFD -1.8544e-02  4.911e-02    0  1.000 44.240  2.11 3.261e+04  99.0000 
OBS: 59796.4001 g WFD -1.1519e-02  8.540e-03    0  1.000 44.710  2.90 6.359e+03  99.0000 
OBS: 59809.4010 r WFD  1.6195e-03  1.326e-02    0  1.000 44.880  1.99 1.684e+04  99.0000 
OBS: 59818.3811 u WFD  2.1549e-03  2.355e-02    0  1.000 41.170  2.01 9.677e+02  99.0000 
OBS: 59822.3063 i WFD  4.0374e-03  2.058e-02    0  1.000 44.540  2.47 1.538e+04  99.0000 
OBS: 59825.3124 r WFD  2.8730e-03  1.234e-02    0  1.000 44.780  2.66 1.069e+04  99.0000 
OBS: 59835.2664 Y WFD  8.3686e-02  8.223e-02    0  1.000 42.500  1.51 1.536e+04  99.0000 
OBS: 59837.4055 z WFD  7.6591e-03  3.775e-02    0  1.000 43.520  1.37 1.989e+04  99.0000 
OBS: 59839.2845 r WFD  2.3418e-02  1.277e-02    0  1.000 44.840  1.94 1.602e+04  99.0000 
OBS: 59843.2817 g WFD  1.0291e-02  5.374e-03    0  1.000 44.730  1.87 6.321e+03  99.0000 
OBS: 59854.2591 r WFD -6.8932e-04  6.544e-03    0  1.000 44.790  1.45 1.049e+04  99.0000 
OBS: 59858.2372 z WFD  2.0711e-03  3.458e-02    0  1.000 44.240  2.03 2.386e+04  99.0000 
OBS: 59859.2502 Y WFD -1.1334e-01  1.038e-01    0  1.000 42.530  2.10 1.433e+04  99.0000 
OBS: 59861.2735 Y WFD  9.5694e-02  7.380e-02    0  1.000 42.560  1.46 1.507e+04  99.0000 
OBS: 59862.2091 z WFD -2.3993e-02  2.263e-02    0  1.000 45.000  1.50 4.257e+04  99.0000 
OBS: 59869.2088 r WFD  4.5888e-03  8.769e-03    0  1.000 44.770  1.90 1.053e+04  99.0000 
OBS: 59870.3164 i WFD  1.2033e-02  1.185e-02    0  1.000 44.580  1.53 1.484e+04  99.0000 
OBS: 59874.2200 u WFD -6.1927e-02  2.074e-02    0  1.000 41.190  1.78 9.803e+02  99.0000 
OBS: 59876.1729 g WFD -5.9769e-03  3.745e-03    0  1.000 45.460  1.81 8.914e+03  99.0000 
