SURVEY:   LSST
SNID:     1261906
IAUC:     NULL
SNTYPE:   110
RA:       324.788439  # deg
DEC:      -46.132902  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0199 +- 0.0010  # MW E(B-V) 
PEAKMJD:  60466.723     # estimate for LC fit codes
MJD_TRIGGER:       60444.402  
MJD_DETECT_FIRST:  60442.320  
MJD_DETECT_LAST:   60630.078  

REDSHIFT_HELIO:   1.296972 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.295428 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9753736353  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2970  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          324.788590    # deg 
HOSTGAL_DEC:         -46.132853    # deg 
HOSTGAL_SNSEP:       0.221       # arcsec 
HOSTGAL_DDLR:        0.723       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.585 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.236
HOSTGAL_SQRADIUS:     13.670   # Ixx + Iyy
HOSTGAL_MAG:     29.01  27.99  26.56  25.44  24.65  24.05 # ugrizY
HOSTGAL_MAGERR:  15.08   0.36   0.09   0.06   0.06   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           6906    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.29697  
SIM_REDSHIFT_CMB:    1.29542  
SIM_REDSHIFT_HOST:   1.23110  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9753736353 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.561 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.585 -9.000 
SIM_DLMU:            44.7971   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0076   # mag 
SIM_RA:              324.788452     # deg  
SIM_DEC:             -46.132900      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0193   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60466.723    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3850e-06 
SIM_SALT2x1:         -0.3761 
SIM_SALT2c:          -0.0656 
SIM_SALT2mB:         25.2813 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -322.51  # days 
SIM_TRESTMAX:        71.17  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.70  29.76  27.00  25.40  24.79  24.48  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 118 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59726.4324 z WFD  3.0011e-02  3.153e-02    0  1.000 44.280  1.64 2.794e+04  99.0000 
OBS: 59749.2979 z WFD  2.7544e-02  2.454e-02    0  1.000 45.020  1.94 3.635e+04  99.0000 
OBS: 59753.2552 g WFD  4.1799e-03  8.262e-03    0  1.000 44.790  2.87 6.691e+03  99.0000 
OBS: 59767.2105 Y WFD -1.2882e-02  1.107e-01    0  1.000 42.550  2.47 1.324e+04  99.0000 
OBS: 59771.1513 z WFD  6.2295e-02  2.737e-02    0  1.000 45.000  2.01 3.842e+04  99.0000 
OBS: 59773.2554 Y WFD -5.5263e-03  3.710e-02    0  1.000 44.340  1.44 3.958e+04  99.0000 
OBS: 59776.3565 z WFD  3.2653e-02  5.337e-02    0  1.000 44.720  3.10 3.752e+04  99.0000 
OBS: 59777.3834 Y WFD  4.7005e-02  7.055e-02    0  1.000 44.300  2.73 3.826e+04  99.0000 
OBS: 59778.4399 Y WFD -9.9551e-02  1.953e-01    0  1.000 42.530  3.07 1.845e+04  99.0000 
OBS: 59783.1199 r WFD -1.8260e-02  1.127e-02    0  1.000 44.790  2.33 1.125e+04  99.0000 
OBS: 59804.2075 z WFD  4.9100e-03  1.834e-02    0  1.000 45.800  1.51 7.159e+04  99.0000 
OBS: 59807.0739 g WFD  8.6184e-03  5.338e-03    0  1.000 44.760  1.75 6.897e+03  99.0000 
OBS: 59809.1210 r WFD -1.1250e-02  5.698e-03    0  1.000 44.840  1.28 1.084e+04  99.0000 
OBS: 59811.0317 r WFD -2.3911e-02  1.150e-02    0  1.000 44.760  2.30 1.131e+04  99.0000 
OBS: 59813.2354 i WFD -9.7379e-03  1.473e-02    0  1.000 44.580  1.97 1.433e+04  99.0000 
OBS: 59818.0385 u WFD  3.5926e-02  1.755e-02    0  1.000 41.880  1.99 1.401e+03  99.0000 
OBS: 59824.0096 Y WFD -9.6695e-02  9.305e-02    0  1.000 42.530  1.95 1.384e+04  99.0000 
OBS: 59824.0943 i WFD  1.3697e-02  1.320e-02    0  1.000 44.580  1.72 1.470e+04  99.0000 
OBS: 59827.0241 z WFD  2.7346e-04  2.850e-02    0  1.000 44.240  1.71 2.335e+04  99.0000 
OBS: 59831.0615 Y WFD -1.0200e-02  6.643e-02    0  1.000 43.780  1.93 3.156e+04  99.0000 
OBS: 59837.0166 r WFD  7.8225e-03  6.277e-03    0  1.000 44.830  1.40 1.081e+04  99.0000 
OBS: 59841.0367 g WFD -5.5631e-03  3.655e-03    0  1.000 45.560  1.83 9.436e+03  99.0000 
OBS: 59843.0891 i WFD  5.8106e-06  1.354e-02    0  1.000 44.590  1.86 1.408e+04  99.0000 
OBS: 59859.0916 Y WFD  3.6168e-03  3.698e-02    0  1.000 44.100  1.46 3.119e+04  99.0000 
OBS: 59869.1119 r WFD -3.0230e-04  7.713e-03    0  1.000 44.820  1.71 1.078e+04  99.0000 
OBS: 59872.1310 i WFD -1.3381e-03  1.225e-02    0  1.000 44.570  1.56 1.491e+04  99.0000 
OBS: 59874.0811 u WFD -2.3886e-02  1.765e-02    0  1.000 41.310  1.60 1.037e+03  99.0000 
OBS: 59883.0369 i WFD -7.2171e-03  9.601e-03    0  1.000 44.590  1.17 1.587e+04  99.0000 
OBS: 59907.0718 u WFD -1.9164e-02  3.524e-02    0  1.000 41.020  2.62 9.677e+02  99.0000 
OBS: 60041.4177 z WFD  6.6445e-02  7.983e-02    0  1.000 43.510  2.13 2.680e+04  99.0000 
OBS: 60042.4008 z WFD  4.1219e-02  4.518e-02    0  1.000 43.490  1.65 1.922e+04  99.0000 
OBS: 60045.4209 z WFD  3.4212e-02  4.734e-02    0  1.000 44.260  1.66 4.070e+04  99.0000 
OBS: 60053.3861 i WFD -6.6570e-04  1.338e-02    0  1.000 44.560  1.62 1.553e+04  99.0000 
OBS: 60056.4112 z WFD  5.1089e-03  3.201e-02    0  1.000 43.490  1.54 1.459e+04  99.0000 
OBS: 60057.3681 g WFD  7.2974e-03  6.161e-03    0  1.000 44.710  1.88 7.077e+03  99.0000 
OBS: 60068.3504 Y WFD  6.7558e-02  6.185e-02    0  1.000 43.290  1.70 2.125e+04  99.0000 
OBS: 60070.4248 z WFD  3.6502e-02  3.482e-02    0  1.000 43.530  1.24 2.045e+04  99.0000 
