SURVEY:   LSST
SNID:     1262069
IAUC:     NULL
SNTYPE:   110
RA:       262.777764  # deg
DEC:      -15.826763  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3254 +- 0.0163  # MW E(B-V) 
PEAKMJD:  59946.594     # estimate for LC fit codes
MJD_TRIGGER:       60000.391  
MJD_DETECT_FIRST:  60000.359  
MJD_DETECT_LAST:   60193.051  

REDSHIFT_HELIO:   0.889306 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.889196 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10438675670  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8893  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          262.777902    # deg 
HOSTGAL_DEC:         -15.826688    # deg 
HOSTGAL_SNSEP:       0.231       # arcsec 
HOSTGAL_DDLR:        1.096       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.738 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.382
HOSTGAL_SQRADIUS:     11.877   # Ixx + Iyy
HOSTGAL_MAG:     26.03  25.43  24.52  23.55  23.10  22.85 # ugrizY
HOSTGAL_MAGERR:   0.08   0.02   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7069    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.88931  
SIM_REDSHIFT_CMB:    0.88920  
SIM_REDSHIFT_HOST:   0.84383  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10438675670 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.165 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.738 -9.000 
SIM_DLMU:            43.7854   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0049   # mag 
SIM_RA:              262.777771     # deg  
SIM_DEC:             -15.826763      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3459   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59946.594    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.5438e-06 
SIM_SALT2x1:         0.5988 
SIM_SALT2c:          -0.0243 
SIM_SALT2mB:         24.2613 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -143.06  # days 
SIM_TRESTMAX:        328.97  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.52  28.02  25.45  24.47  24.26  24.28  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.3228 i WFD -2.1568e-03  1.155e-02    0  1.000 44.590  1.50 1.488e+04  99.0000 
OBS: 59680.2707 i WFD -1.6336e-03  1.282e-02    0  1.000 44.570  1.56 1.560e+04  99.0000 
OBS: 59681.2575 z WFD  1.2571e-02  2.237e-02    0  1.000 44.240  1.38 2.271e+04  99.0000 
OBS: 59683.2521 Y WFD -4.9444e-02  6.947e-02    0  1.000 42.540  1.38 1.473e+04  99.0000 
OBS: 59685.2862 Y WFD  1.1342e-02  2.989e-02    0  1.000 44.310  1.26 3.544e+04  99.0000 
OBS: 59694.4001 g WFD -1.4887e-02  8.733e-03    0  1.000 44.150  1.76 6.397e+03  99.0000 
OBS: 59705.4242 z WFD -1.4557e-02  4.561e-02    0  1.000 44.240  1.92 3.328e+04  99.0000 
OBS: 59721.2239 i WFD  2.1658e-02  1.553e-02    0  1.000 44.610  1.74 1.758e+04  99.0000 
OBS: 59747.0720 Y WFD -2.9039e-02  7.511e-02    0  1.000 43.280  1.93 2.252e+04  99.0000 
OBS: 59752.0810 i WFD  7.7837e-04  2.336e-02    0  1.000 44.580  2.90 1.543e+04  99.0000 
OBS: 59763.1554 u WFD -5.1855e-03  2.011e-02    0  1.000 42.090  2.56 1.515e+03  99.0000 
OBS: 59768.0111 Y WFD -9.7904e-02  8.411e-02    0  1.000 43.260  2.35 2.033e+04  99.0000 
OBS: 59774.2509 z WFD -8.7940e-02  6.847e-02    0  1.000 44.250  2.28 4.246e+04  99.0000 
OBS: 59775.0969 z WFD  7.5616e-03  2.139e-02    0  1.000 45.910  2.19 6.370e+04  99.0000 
OBS: 59780.0601 r WFD  1.4977e-03  5.315e-03    0  1.000 45.600  1.64 1.589e+04  99.0000 
OBS: 59787.1452 r WFD -1.3508e-02  2.103e-02    0  1.000 44.090  3.20 8.020e+03  99.0000 
OBS: 59806.0645 r WFD  2.2070e-03  1.292e-02    0  1.000 44.900  1.88 1.769e+04  99.0000 
OBS: 59808.0357 g WFD  8.4803e-04  4.555e-03    0  1.000 44.890  1.54 7.539e+03  99.0000 
OBS: 59809.9758 Y WFD -7.3816e-03  3.707e-02    0  1.000 44.090  1.42 3.185e+04  99.0000 
OBS: 59819.0436 u WFD -3.1628e-02  2.201e-02    0  1.000 41.310  1.93 1.072e+03  99.0000 
OBS: 59820.0135 i WFD  3.4378e-03  1.382e-02    0  1.000 44.600  1.82 1.482e+04  99.0000 
OBS: 59845.0517 r WFD -1.6079e-02  2.112e-02    0  1.000 44.040  2.76 8.918e+03  99.0000 
OBS: 59846.0424 i WFD -8.8924e-03  2.083e-02    0  1.000 44.560  2.38 1.646e+04  99.0000 
OBS: 59997.3761 u WFD  1.6174e-02  3.746e-02    0  1.000 41.110  2.64 1.110e+03  31.7150 
OBS: 60000.3612 g WFD  1.4877e-01  7.359e-03 4096  1.000 44.760  1.94 8.576e+03  29.4464 
OBS: 60000.3890 Y WFD  4.6806e+00  4.503e-02 6144  1.000 43.750  1.43 2.808e+04  25.8199 
OBS: 60002.3684 r WFD  3.5389e-01  1.312e-02 4096  1.000 44.810  2.38 1.305e+04  28.6579 
OBS: 60008.3353 Y WFD  3.5805e+00  1.499e-01 4096  1.000 42.500  2.81 1.504e+04  26.0896 
OBS: 60009.3855 Y WFD  3.6413e+00  7.758e-02 4096  1.000 43.330  1.84 2.554e+04  26.1242 
OBS: 60011.3873 Y WFD  3.4478e+00  7.671e-02 4096  1.000 43.770  2.66 2.620e+04  26.1882 
OBS: 60021.3775 g WFD  1.1925e-01  7.016e-03 4096  1.000 44.130  1.52 5.841e+03  29.8546 
OBS: 60023.3461 r WFD  2.8475e-01  6.692e-03 4096  1.000 44.820  1.33 1.202e+04  28.8940 
OBS: 60025.4062 z WFD  1.6241e+00  2.327e-02 4096  1.000 44.270  1.14 2.938e+04  27.0080 
OBS: 60027.3173 u WFD  1.0569e-02  1.340e-02    0  1.000 41.960  1.52 1.508e+03  32.4857 
OBS: 60028.3764 r WFD  2.2184e-01  6.011e-03 4096  1.000 44.850  1.26 1.172e+04  29.1171 
OBS: 60031.3109 r WFD  1.8111e-01  4.656e-03 4096  1.000 45.570  1.32 1.682e+04  29.3616 
OBS: 60032.3929 i WFD  7.9818e-01  9.290e-03 4096  1.000 44.600  1.22 1.485e+04  27.7334 
OBS: 60036.3810 i WFD  7.6435e-01  1.223e-02 4096  1.000 44.590  1.60 1.478e+04  27.7759 
OBS: 60038.2851 Y WFD  2.2650e+00  1.213e-01 4096  1.000 42.540  2.37 1.498e+04  26.7410 
OBS: 60052.2449 i WFD  6.5617e-01  1.190e-02 4096  1.000 44.570  1.44 1.568e+04  27.9439 
OBS: 60055.2937 g WFD  1.2558e-03  4.132e-03    0  1.000 44.850  1.38 7.355e+03  99.0000 
OBS: 60056.2380 i WFD  6.0985e-01  1.192e-02 4096  1.000 44.570  1.45 1.560e+04  27.9859 
OBS: 60063.2608 r WFD  1.1174e-01  7.118e-03 4096  1.000 45.600  2.02 1.727e+04  29.7973 
OBS: 60065.2422 z WFD  1.0478e+00  2.643e-02 4096  1.000 44.260  1.69 2.231e+04  27.4073 
OBS: 60067.3191 z WFD  1.1097e+00  3.160e-02 4096  1.000 44.280  1.87 2.456e+04  27.4278 
