SURVEY:   LSST
SNID:     1262437
IAUC:     NULL
SNTYPE:   110
RA:       342.223421  # deg
DEC:      -17.825441  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0275 +- 0.0014  # MW E(B-V) 
PEAKMJD:  59841.559     # estimate for LC fit codes
MJD_TRIGGER:       59820.172  
MJD_DETECT_FIRST:  59813.305  
MJD_DETECT_LAST:   60193.094  

REDSHIFT_HELIO:   0.919332 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.917195 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9688834623  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9193  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          342.223274    # deg 
HOSTGAL_DEC:         -17.825364    # deg 
HOSTGAL_SNSEP:       0.247       # arcsec 
HOSTGAL_DDLR:        0.893       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.030 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.431
HOSTGAL_SQRADIUS:     8.117   # Ixx + Iyy
HOSTGAL_MAG:     25.64  25.58  25.32  24.69  24.64  24.44 # ugrizY
HOSTGAL_MAGERR:   0.22   0.05   0.04   0.03   0.05   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7437    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.91933  
SIM_REDSHIFT_CMB:    0.91720  
SIM_REDSHIFT_HOST:   0.91341  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9688834623 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.182 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.030 -9.000 
SIM_DLMU:            43.8708   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0105   # mag 
SIM_RA:              342.223419     # deg  
SIM_DEC:             -17.825441      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0275   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59841.559    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.1203e-06 
SIM_SALT2x1:         -0.3911 
SIM_SALT2c:          0.0834 
SIM_SALT2mB:         24.8190 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -46.56  # days 
SIM_TRESTMAX:        426.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.91  28.83  25.71  24.50  24.30  24.38  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 138 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.2869 i WFD -1.9941e-02  2.254e-02    0  1.000 44.580  2.57 1.681e+04  99.0000 
OBS: 59753.3274 g WFD -9.1084e-03  5.724e-03    0  1.000 44.890  1.70 8.582e+03  99.0000 
OBS: 59767.2212 Y WFD -1.0480e-01  1.092e-01    0  1.000 42.510  2.20 1.413e+04  99.0000 
OBS: 59769.2450 z WFD -4.8756e-02  2.511e-02    0  1.000 44.250  1.59 2.233e+04  99.0000 
OBS: 59772.2712 Y WFD  1.0581e-02  7.593e-02    0  1.000 43.330  2.19 2.101e+04  99.0000 
OBS: 59773.4117 Y WFD -3.6368e-02  9.012e-02    0  1.000 42.580  1.71 1.600e+04  99.0000 
OBS: 59774.3908 z WFD -1.6967e-02  3.322e-02    0  1.000 45.040  1.93 5.038e+04  99.0000 
OBS: 59783.2147 r WFD -1.2798e-02  1.224e-02    0  1.000 44.810  2.55 1.137e+04  99.0000 
OBS: 59789.4383 z WFD  6.6513e-03  7.774e-02    0  1.000 43.480  2.50 2.163e+04  99.0000 
OBS: 59796.3791 r WFD -8.1687e-03  1.375e-02    0  1.000 44.810  2.81 1.159e+04  99.0000 
OBS: 59798.1479 Y WFD  6.1393e-02  9.069e-02    0  1.000 42.510  1.82 1.419e+04  99.0000 
OBS: 59799.1416 Y WFD -6.5366e-02  8.762e-02    0  1.000 42.520  1.72 1.464e+04  99.0000 
OBS: 59800.1992 Y WFD -4.3821e-02  7.436e-02    0  1.000 42.580  1.58 1.429e+04  99.0000 
OBS: 59807.3049 Y WFD  7.8884e-02  4.298e-02    0  1.000 44.080  1.77 2.935e+04  29.7496 
OBS: 59809.2849 r WFD  3.0333e-03  1.073e-02    0  1.000 44.920  1.61 1.746e+04  99.0000 
OBS: 59810.1799 g WFD -8.6118e-04  5.599e-03    0  1.000 44.850  1.83 7.517e+03  99.0000 
OBS: 59813.3054 i WFD  7.6058e-01  1.573e-02 4096  1.000 44.580  1.99 1.514e+04  27.7951 
OBS: 59818.0919 u WFD  4.0444e-02  2.287e-02    0  1.000 41.100  1.75 1.012e+03  31.3925 
OBS: 59819.1000 u WFD  5.2025e-02  2.304e-02    0  1.000 41.170  1.83 1.040e+03  31.2628 
OBS: 59820.1732 i WFD  4.6569e+00  1.123e-02 6144  1.000 44.590  1.46 1.483e+04  25.8303 
OBS: 59822.0916 i WFD  6.0286e+00  2.194e-02 4096  1.000 44.560  2.61 1.580e+04  25.5481 
OBS: 59825.0798 z WFD  9.7966e+00  3.340e-02 4096  1.000 44.230  2.16 2.144e+04  25.0274 
OBS: 59826.0679 z WFD  1.0828e+01  4.626e-02 4096  1.000 44.240  2.89 2.241e+04  24.9224 
OBS: 59827.0861 z WFD  1.1788e+01  3.361e-02 4096  1.000 44.240  2.05 2.294e+04  24.8262 
OBS: 59835.1154 Y WFD  1.6208e+01  7.590e-02 4096  1.000 42.580  1.58 1.457e+04  24.4767 
OBS: 59837.1022 r WFD  5.9324e+00  6.584e-03 4096  1.000 44.850  1.40 1.146e+04  25.5689 
OBS: 59841.0341 g WFD  2.9919e-01  4.634e-03 4096  1.000 45.490  1.98 1.036e+04  28.8145 
OBS: 59852.9985 Y WFD  1.5675e+01  9.480e-02 4096  1.000 42.510  1.89 1.427e+04  24.5206 
OBS: 59853.0202 r WFD  2.6713e+00  9.517e-03 4096  1.000 44.830  1.85 1.239e+04  26.4305 
OBS: 59854.0056 Y WFD  1.5272e+01  8.204e-02 4096  1.000 42.530  1.73 1.374e+04  24.5446 
OBS: 59856.0088 Y WFD  1.4421e+01  9.297e-02 4096  1.000 42.560  1.95 1.420e+04  24.5954 
OBS: 59861.0905 Y WFD  1.2645e+01  6.186e-02 4096  1.000 43.360  1.47 2.619e+04  24.7449 
OBS: 59862.0104 z WFD  1.0896e+01  3.001e-02 4096  1.000 44.280  1.26 3.458e+04  24.9075 
OBS: 59863.1289 z WFD  1.0284e+01  2.954e-02 4096  1.000 44.290  1.49 2.905e+04  24.9627 
OBS: 59864.0015 Y WFD  1.1487e+01  7.003e-02 4096  1.000 42.550  1.51 1.368e+04  24.8467 
OBS: 59867.0076 Y WFD  1.0287e+01  7.076e-02 4096  1.000 43.300  2.23 1.869e+04  24.9680 
OBS: 59869.0112 Y WFD  9.5793e+00  6.383e-02 4096  1.000 42.570  1.46 1.314e+04  25.0536 
OBS: 59875.1551 u WFD  3.5263e-02  2.901e-02    0  1.000 41.200  2.39 1.031e+03  34.2783 
OBS: 59878.0060 z WFD  4.8163e+00  2.170e-02 4096  1.000 45.020  1.51 4.128e+04  25.7889 
OBS: 59881.0071 z WFD  4.2041e+00  2.512e-02 4096  1.000 43.510  1.17 1.533e+04  25.9506 
OBS: 59900.0697 i WFD  1.0503e+00  1.627e-02 4096  1.000 45.340  2.94 2.134e+04  27.4751 
OBS: 59923.0619 i WFD  6.6167e-01  2.858e-02 4096  1.000 43.830  1.57 1.748e+04  27.9130 
OBS: 59924.0476 Y WFD  1.6305e+00  7.625e-02 4096  1.000 42.510  1.54 1.409e+04  26.9210 
OBS: 59934.0454 z WFD  1.1979e+00  3.670e-02 4096  1.000 43.470  1.51 1.675e+04  27.3491 
OBS: 60063.4227 z WFD  3.9590e-01  5.501e-02 4096  1.000 43.500  2.03 1.920e+04  28.5544 
OBS: 60069.4180 z WFD  4.4230e-01  5.191e-02 4096  1.000 44.250  2.21 3.321e+04  28.6088 
OBS: 60072.4059 z WFD  3.9352e-01  1.752e-02 4096  1.000 45.440  1.56 4.752e+04  28.6359 
OBS: 60082.3989 r WFD  2.7775e-02  5.318e-03    0  1.000 46.030  1.80 2.152e+04  31.7939 
OBS: 60084.3755 i WFD  1.3526e-01  1.971e-02 4096  1.000 44.560  2.26 1.641e+04  29.5726 
OBS: 60087.3544 g WFD  1.1260e-02  6.848e-03    0  1.000 44.780  1.95 8.089e+03  32.3888 
OBS: 60094.3415 i WFD  1.3189e-01  1.439e-02    0  1.000 44.560  1.68 1.611e+04  29.6699 
OBS: 60095.3105 Y WFD  1.7754e-01  1.191e-01    0  1.000 42.490  2.27 1.466e+04  28.8404 
OBS: 60096.3176 Y WFD  2.6150e-01  4.857e-02 4096  1.000 44.020  1.86 2.987e+04  28.8507 
OBS: 60100.3444 Y WFD  3.2604e-01  4.282e-02 4096  1.000 44.660  2.12 4.165e+04  28.8918 
OBS: 60111.2988 r WFD  1.1657e-02  1.038e-02    0  1.000 44.810  2.06 1.193e+04  32.1181 
OBS: 60113.2813 u WFD -2.0220e-03  1.167e-02    0  1.000 42.640  1.82 2.052e+03  99.0000 
OBS: 60119.3024 r WFD  5.7363e-03  1.116e-02    0  1.000 44.820  2.32 1.149e+04  32.2065 
OBS: 60120.2784 g WFD  1.9944e-03  8.733e-03    0  1.000 44.790  2.74 7.409e+03  32.7559 
OBS: 60122.3166 r WFD  1.8538e-02  9.126e-03    0  1.000 44.850  1.95 1.150e+04  32.2396 
OBS: 60126.2437 z WFD  2.0419e-01  4.033e-02 4096  1.000 44.250  2.19 2.604e+04  29.1172 
OBS: 60127.2538 Y WFD  1.6622e-01  4.464e-02    0  1.000 44.290  1.87 3.502e+04  29.1616 
OBS: 60137.2375 i WFD  9.0605e-02  1.636e-02 4096  1.000 44.570  2.02 1.537e+04  30.0822 
OBS: 60140.2142 u WFD -1.5185e-02  2.936e-02    0  1.000 41.130  2.31 1.012e+03  99.0000 
OBS: 60141.2149 g WFD  1.4933e-02  8.874e-03    0  1.000 44.770  2.77 7.311e+03  32.9844 
OBS: 60142.1927 i WFD  1.1217e-01  2.459e-02    0  1.000 44.550  2.88 1.591e+04  30.1291 
OBS: 60145.1862 u WFD  4.0302e-02  3.383e-02    0  1.000 41.030  2.53 9.708e+02  99.0000 
OBS: 60146.1906 g WFD  7.2938e-03  8.927e-03    0  1.000 44.020  1.97 5.183e+03  33.0381 
OBS: 60148.2383 r WFD -4.8306e-03  6.193e-03    0  1.000 45.590  1.88 1.600e+04  32.5214 
OBS: 60149.2198 r WFD  8.7025e-03  7.742e-03    0  1.000 44.840  1.65 1.142e+04  32.5320 
OBS: 60163.2414 i WFD  8.8221e-02  1.573e-02    0  1.000 44.630  1.66 1.901e+04  30.3267 
OBS: 60164.1521 r WFD  1.6337e-02  1.673e-02    0  1.000 44.050  2.39 8.231e+03  32.6918 
OBS: 60169.1340 r WFD  8.0039e-04  1.007e-02    0  1.000 44.790  2.00 1.171e+04  32.7448 
OBS: 60176.1695 u WFD  7.1392e-03  1.829e-02    0  1.000 41.330  1.62 1.081e+03  99.0000 
OBS: 60177.1328 g WFD -6.0038e-03  7.325e-03    0  1.000 44.810  2.32 7.476e+03  33.3682 
OBS: 60183.1194 Y WFD  1.1100e-01  7.020e-02    0  1.000 43.310  2.05 2.037e+04  29.6940 
OBS: 60193.0951 i WFD  3.9519e-02  1.220e-02 4096  1.000 44.570  1.51 1.534e+04  30.6028 
OBS: 60200.1138 u WFD  4.0179e-03  2.282e-02    0  1.000 41.290  2.00 1.053e+03  99.0000 
OBS: 60204.0311 i WFD  4.5164e-02  1.569e-02    0  1.000 44.550  1.83 1.598e+04  30.7028 
OBS: 60207.0288 i WFD  3.6339e-02  1.641e-02    0  1.000 44.560  1.93 1.599e+04  30.7301 
OBS: 60209.0546 r WFD  2.6233e-03  6.606e-03    0  1.000 45.610  1.67 1.957e+04  33.1632 
OBS: 60212.0409 Y WFD  1.5520e-01  4.050e-02    0  1.000 44.300  1.77 3.387e+04  29.9556 
OBS: 60218.0284 i WFD  5.8785e-02  2.644e-02    0  1.000 45.060  2.62 3.008e+04  30.8298 
OBS: 60237.0121 z WFD  1.0479e-01  3.584e-02    0  1.000 43.500  1.82 1.396e+04  30.0699 
OBS: 60244.1106 z WFD  9.7723e-02  2.606e-02    0  1.000 45.030  1.56 4.845e+04  30.1291 
OBS: 60272.0371 Y WFD  8.3536e-02  8.241e-02    0  1.000 42.580  1.65 1.517e+04  30.4705 
OBS: 60279.0349 z WFD  2.4667e-02  4.450e-02    0  1.000 43.490  2.10 1.488e+04  30.4176 
OBS: 60443.4007 g WFD -9.0190e-03  7.423e-03    0  1.000 44.820  2.15 8.250e+03  36.0250 
OBS: 60444.3920 r WFD -9.3138e-03  2.130e-02    0  1.000 44.060  2.86 8.839e+03  35.4958 
OBS: 60444.4207 Y WFD  2.2362e-01  7.780e-02    0  1.000 43.310  2.41 1.920e+04  31.7924 
OBS: 60447.4034 i WFD -3.0152e-02  1.876e-02    0  1.000 43.830  1.63 1.105e+04  32.7966 
OBS: 60456.3638 Y WFD -1.8272e-01  7.361e-02    0  1.000 43.300  2.01 2.158e+04  31.8779 
OBS: 60463.3405 r WFD  7.7489e-03  1.184e-02    0  1.000 44.830  2.26 1.263e+04  35.6781 
OBS: 60465.3511 u WFD -3.3317e-03  2.493e-02    0  1.000 41.240  2.05 1.072e+03  99.0000 
