SURVEY:   LSST
SNID:     1262703
IAUC:     NULL
SNTYPE:   110
RA:       330.312316  # deg
DEC:      -44.347077  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0119 +- 0.0006  # MW E(B-V) 
PEAKMJD:  59735.945     # estimate for LC fit codes
MJD_TRIGGER:       59753.254  
MJD_DETECT_FIRST:  59749.277  
MJD_DETECT_LAST:   60126.219  

REDSHIFT_HELIO:   0.812931 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.811608 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5938376099  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8129  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          330.312568    # deg 
HOSTGAL_DEC:         -44.347286    # deg 
HOSTGAL_SNSEP:       0.532       # arcsec 
HOSTGAL_DDLR:        1.523       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.024 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.441
HOSTGAL_SQRADIUS:     12.025   # Ixx + Iyy
HOSTGAL_MAG:     26.04  25.59  24.75  23.88  23.58  23.35 # ugrizY
HOSTGAL_MAGERR:   0.39   0.06   0.02   0.02   0.02   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           7703    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.81293  
SIM_REDSHIFT_CMB:    0.81161  
SIM_REDSHIFT_HOST:   0.79473  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5938376099 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.673 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.024 -9.000 
SIM_DLMU:            43.5426   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0069   # mag 
SIM_RA:              330.312317     # deg  
SIM_DEC:             -44.347076      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0123   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59735.945    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.2811e-06 
SIM_SALT2x1:         0.1377 
SIM_SALT2c:          -0.0330 
SIM_SALT2mB:         24.0561 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0258  # spectro-search efficiency 
SIM_TRESTMIN:        7.35  # days 
SIM_TRESTMAX:        501.82  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.77  26.22  24.33  23.54  23.68  23.67  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.2779 z WFD  2.7008e+01  2.010e-02 4096  1.000 45.450  1.91 4.484e+04  23.9224 
OBS: 59753.2548 g WFD  9.3695e-01  8.419e-03 6144  1.000 44.790  2.91 6.720e+03  27.5504 
OBS: 59767.2109 Y WFD  1.8572e+01  1.139e-01 4096  1.000 42.550  2.51 1.340e+04  24.3291 
OBS: 59771.1751 z WFD  1.1756e+01  3.596e-02 4096  1.000 44.250  1.92 2.645e+04  24.8247 
OBS: 59773.3018 Y WFD  1.5423e+01  5.038e-02 4096  1.000 43.790  1.58 2.949e+04  24.5246 
OBS: 59776.3586 z WFD  9.2486e+00  6.652e-02 4096  1.000 44.280  3.12 3.098e+04  25.0919 
OBS: 59777.3826 Y WFD  1.3875e+01  6.335e-02 4096  1.000 44.670  2.75 4.794e+04  24.6505 
OBS: 59781.3696 r WFD  1.2762e+00  1.229e-02 4096  1.000 44.870  2.33 1.320e+04  27.2366 
OBS: 59781.4436 Y WFD  1.2053e+01  1.880e-01 4096  1.000 42.530  2.19 2.489e+04  24.7825 
OBS: 59782.4363 Y WFD  1.1930e+01  1.203e-01 4096  1.000 42.520  2.19 1.578e+04  24.8152 
OBS: 59786.3791 i WFD  3.4835e+00  3.551e-02 4096  1.000 43.820  3.18 1.062e+04  26.1645 
OBS: 59791.1164 u WFD  3.1039e-01  3.072e-02 4096  1.000 41.020  2.32 9.518e+02  28.7722 
OBS: 59793.3204 i WFD  2.6443e+00  1.429e-02 4096  1.000 45.340  2.69 2.048e+04  26.4428 
OBS: 59801.2102 z WFD  3.7454e+00  3.179e-02 4096  1.000 45.050  2.07 4.536e+04  26.0386 
OBS: 59804.2435 z WFD  3.5917e+00  2.204e-02 4096  1.000 45.490  1.54 6.338e+04  26.1116 
OBS: 59807.0669 g WFD  6.0326e-01  7.978e-03 4096  1.000 43.970  1.77 4.917e+03  28.0419 
OBS: 59809.1983 r WFD  5.7050e-01  7.829e-03 4096  1.000 44.900  1.50 1.342e+04  28.0823 
OBS: 59813.2354 i WFD  1.8898e+00  1.433e-02 4096  1.000 44.590  1.94 1.427e+04  26.8005 
OBS: 59818.0422 u WFD  4.7399e-03  2.782e-02    0  1.000 41.040  2.12 9.613e+02  33.5393 
OBS: 59820.0891 i WFD  1.7543e+00  1.120e-02 4096  1.000 44.580  1.46 1.468e+04  26.8974 
OBS: 59821.2152 r WFD  5.2723e-01  7.889e-03 4096  1.000 44.840  1.80 1.066e+04  28.2412 
OBS: 59824.2314 i WFD  1.6641e+00  1.303e-02 4096  1.000 44.580  1.73 1.442e+04  26.9401 
OBS: 59835.0099 r WFD  4.2383e-01  6.906e-03 4096  1.000 44.810  1.49 1.097e+04  28.4329 
OBS: 59837.0153 r WFD  4.1294e-01  6.515e-03 4096  1.000 44.800  1.41 1.083e+04  28.4605 
OBS: 59841.0189 g WFD  1.3229e-01  3.608e-03 4096  1.000 45.540  1.76 9.506e+03  29.6780 
OBS: 59843.0191 i WFD  1.4159e+00  1.136e-02 4096  1.000 44.580  1.48 1.469e+04  27.1328 
OBS: 59851.1227 u WFD  8.2112e-03  2.261e-02    0  1.000 41.330  2.10 1.031e+03  33.9955 
OBS: 59856.0796 Y WFD  2.8041e+00  4.691e-02 4096  1.000 43.350  1.50 1.930e+04  26.3726 
OBS: 59859.0963 Y WFD  2.7599e+00  3.755e-02 4096  1.000 44.110  1.48 3.153e+04  26.4156 
OBS: 59860.0552 Y WFD  2.7637e+00  6.469e-02 4096  1.000 43.360  1.80 2.238e+04  26.4292 
OBS: 59880.1488 r WFD  2.2678e-01  7.304e-03 4096  1.000 44.790  1.51 1.124e+04  29.0398 
OBS: 59905.0804 u WFD -7.8082e-03  3.247e-02    0  1.000 41.110  2.54 9.993e+02  34.7049 
OBS: 59906.0994 u WFD -1.0497e-02  2.951e-02    0  1.000 41.040  2.22 9.740e+02  34.7179 
OBS: 60045.4203 z WFD  3.2464e-01  6.796e-02    0  1.000 43.500  1.72 2.800e+04  28.7090 
OBS: 60052.3942 i WFD  2.3203e-01  1.441e-02 4096  1.000 44.560  1.72 1.575e+04  29.1658 
OBS: 60056.4134 z WFD  2.4158e-01  3.375e-02 4096  1.000 43.480  1.57 1.495e+04  28.8143 
