SURVEY:   LSST
SNID:     1263165
IAUC:     NULL
SNTYPE:   110
RA:       95.049712  # deg
DEC:      -26.309923  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0519 +- 0.0026  # MW E(B-V) 
PEAKMJD:  60563.676     # estimate for LC fit codes
MJD_TRIGGER:       60568.344  
MJD_DETECT_FIRST:  60539.406  
MJD_DETECT_LAST:   60656.172  

REDSHIFT_HELIO:   1.499931 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.500903 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7880204102  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4999  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          95.049667    # deg 
HOSTGAL_DEC:         -26.309913    # deg 
HOSTGAL_SNSEP:       0.067       # arcsec 
HOSTGAL_DDLR:        0.228       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.152 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.543
HOSTGAL_SQRADIUS:     9.415   # Ixx + Iyy
HOSTGAL_MAG:     29.53  27.09  25.80  24.32  23.59  22.94 # ugrizY
HOSTGAL_MAGERR:  26.62   0.32   0.06   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8165    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.49993  
SIM_REDSHIFT_CMB:    1.50090  
SIM_REDSHIFT_HOST:   1.49026  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7880204102 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.425 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.152 -9.000 
SIM_DLMU:            45.1898   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0417   # mag 
SIM_RA:              95.049713     # deg  
SIM_DEC:             -26.309923      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0564   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60563.676    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.1368e-07 
SIM_SALT2x1:         0.4117 
SIM_SALT2c:          0.0296 
SIM_SALT2mB:         25.8589 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -393.46  # days 
SIM_TRESTMAX:        42.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   37.32  32.60  29.49  26.90  25.84  25.33  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 144 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0437 Y WFD -8.5975e-03  1.361e-01    0  1.000 42.520  2.49 1.570e+04  99.0000 
OBS: 59584.0949 u WFD -1.6929e-02  2.829e-02    0  1.000 41.220  2.48 9.866e+02  99.0000 
OBS: 59585.0485 z WFD  8.0072e-03  4.038e-02    0  1.000 43.480  1.86 1.510e+04  99.0000 
OBS: 59586.0519 z WFD -4.9615e-02  4.046e-02    0  1.000 44.240  2.70 2.099e+04  99.0000 
OBS: 59597.0588 Y WFD  1.0054e-01  7.190e-02    0  1.000 43.330  1.98 2.200e+04  99.0000 
OBS: 59603.1367 g WFD  5.2869e-03  9.348e-03    0  1.000 44.080  2.49 4.538e+03  99.0000 
OBS: 59607.0508 Y WFD -1.6663e-01  9.590e-02    0  1.000 42.570  2.28 1.266e+04  99.0000 
OBS: 59625.1178 Y WFD -5.5291e-03  7.027e-02    0  1.000 42.600  1.45 1.499e+04  99.0000 
OBS: 59636.0127 z WFD  1.4000e-03  5.722e-02    0  1.000 43.540  2.12 1.984e+04  99.0000 
OBS: 59643.0212 z WFD  6.2501e-02  3.412e-02    0  1.000 43.510  1.85 1.319e+04  99.0000 
OBS: 59650.0206 Y WFD -4.2023e-03  9.854e-02    0  1.000 42.590  2.31 1.307e+04  99.0000 
OBS: 59655.0378 Y WFD -5.3074e-02  8.163e-02    0  1.000 42.580  1.73 1.433e+04  99.0000 
OBS: 59667.9901 z WFD  8.6918e-02  5.769e-02    0  1.000 44.280  2.87 2.922e+04  99.0000 
OBS: 59683.9930 Y WFD  2.6356e-02  6.579e-02    0  1.000 42.580  1.39 1.437e+04  99.0000 
OBS: 59686.0461 Y WFD -5.5424e-02  9.216e-02    0  1.000 42.500  1.64 1.585e+04  99.0000 
OBS: 59687.9832 Y WFD  3.8834e-02  1.157e-01    0  1.000 42.550  2.58 1.324e+04  99.0000 
OBS: 59701.9677 z WFD  3.9537e-02  3.239e-02    0  1.000 44.250  2.03 2.256e+04  99.0000 
OBS: 59709.9668 Y WFD  3.5407e-02  9.769e-02    0  1.000 42.520  1.85 1.517e+04  99.0000 
OBS: 59716.9544 Y WFD -4.1466e-01  1.664e-01    0  1.000 42.530  2.06 2.342e+04  99.0000 
OBS: 59839.3632 r WFD -6.9787e-03  1.294e-02    0  1.000 44.870  1.83 1.769e+04  99.0000 
OBS: 59840.3629 r WFD  7.8825e-04  7.268e-03    0  1.000 45.610  1.69 2.128e+04  99.0000 
OBS: 59851.3283 u WFD  3.1543e-03  1.511e-02    0  1.000 41.950  1.82 1.407e+03  99.0000 
OBS: 59853.3049 r WFD  7.4491e-03  1.086e-02    0  1.000 44.780  2.28 1.098e+04  99.0000 
OBS: 59859.3102 i WFD  1.1237e-02  1.278e-02    0  1.000 45.800  1.88 4.006e+04  99.0000 
OBS: 59860.2650 Y WFD -2.5782e-02  6.101e-02    0  1.000 43.690  1.91 2.696e+04  99.0000 
OBS: 59861.2870 Y WFD  6.6890e-02  7.452e-02    0  1.000 42.540  1.42 1.536e+04  99.0000 
OBS: 59864.2939 z WFD  3.7674e-02  2.300e-02    0  1.000 45.020  1.75 3.777e+04  99.0000 
OBS: 59866.3032 i WFD -1.9178e-03  1.837e-02    0  1.000 45.050  1.86 2.917e+04  99.0000 
OBS: 59874.2375 u WFD -2.3347e-02  2.549e-02    0  1.000 41.030  1.97 9.392e+02  99.0000 
OBS: 59875.2677 r WFD  5.9624e-03  8.560e-03    0  1.000 44.810  1.93 1.050e+04  99.0000 
OBS: 59884.2360 r WFD -1.7473e-03  7.511e-03    0  1.000 44.820  1.54 1.166e+04  99.0000 
OBS: 59895.2952 i WFD  3.9688e-02  1.876e-02    0  1.000 44.640  1.55 2.450e+04  99.0000 
OBS: 59896.1894 i WFD  1.5357e-02  2.731e-02    0  1.000 44.600  2.38 2.240e+04  99.0000 
OBS: 59900.2796 g WFD -8.9378e-03  6.005e-03    0  1.000 44.920  1.86 8.459e+03  99.0000 
OBS: 59904.1754 u WFD  2.2671e-02  2.970e-02    0  1.000 41.080  2.38 9.487e+02  99.0000 
OBS: 59905.1557 u WFD  3.5580e-03  2.972e-02    0  1.000 41.090  2.38 9.582e+02  99.0000 
OBS: 59907.1643 r WFD -1.4650e-02  9.914e-03    0  1.000 44.800  2.18 1.067e+04  99.0000 
