SURVEY:   LSST
SNID:     1263174
IAUC:     NULL
SNTYPE:   110
RA:       174.076776  # deg
DEC:      -10.611806  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0253 +- 0.0013  # MW E(B-V) 
PEAKMJD:  60569.035     # estimate for LC fit codes
MJD_TRIGGER:       60661.328  
MJD_DETECT_FIRST:  60655.336  
MJD_DETECT_LAST:   60673.340  

REDSHIFT_HELIO:   0.799542 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.801748 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8174    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.76963  
SIM_REDSHIFT_CMB:    0.77180  
SIM_REDSHIFT_HOST:   0.79954  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8750892727 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.085 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.863 -9.000 
SIM_DLMU:            43.4041   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0154   # mag 
SIM_RA:              174.076782     # deg  
SIM_DEC:             -10.611806      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0248   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60569.035    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         3.0585e-06 
SIM_SALT2x1:         -2.8570 
SIM_SALT2c:          -0.0058 
SIM_SALT2mB:         24.4212 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -543.47  # days 
SIM_TRESTMAX:        58.94  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.41  27.26  24.82  23.92  24.17  24.09  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59607.2898 g WFD -5.1410e-03  8.091e-03    0  1.000 44.850  2.64 7.529e+03  99.0000 
OBS: 59610.2561 i WFD -1.6951e-02  1.517e-02    0  1.000 44.580  1.94 1.498e+04  99.0000 
OBS: 59610.3765 z WFD  6.7361e-02  3.088e-02    0  1.000 44.270  1.73 2.570e+04  99.0000 
OBS: 59621.1883 Y WFD  2.4872e-02  5.566e-02    0  1.000 43.290  1.66 1.958e+04  99.0000 
OBS: 59626.2527 z WFD -8.5933e-04  3.965e-02    0  1.000 44.280  1.69 3.410e+04  99.0000 
OBS: 59645.1222 u WFD  2.9821e-03  3.637e-02    0  1.000 41.090  2.82 9.898e+02  99.0000 
OBS: 59658.1883 z WFD  5.2734e-02  4.092e-02    0  1.000 45.260  2.50 5.866e+04  99.0000 
OBS: 59660.1778 Y WFD  8.9646e-03  4.742e-02    0  1.000 44.060  1.95 2.886e+04  99.0000 
OBS: 59681.0997 z WFD  3.0838e-02  2.335e-02    0  1.000 44.270  1.35 2.491e+04  99.0000 
OBS: 59686.0888 Y WFD  3.8833e-02  5.218e-02    0  1.000 43.760  1.43 3.285e+04  99.0000 
OBS: 59688.2245 z WFD  3.2916e-02  3.634e-02    0  1.000 44.250  1.83 2.808e+04  99.0000 
OBS: 59697.9707 z WFD -1.6967e-02  4.371e-02    0  1.000 44.240  2.26 2.709e+04  99.0000 
OBS: 59714.0476 Y WFD  6.4641e-02  9.890e-02    0  1.000 42.590  1.80 1.684e+04  99.0000 
OBS: 59770.0124 z WFD -4.9995e-03  4.984e-02    0  1.000 43.480  1.81 1.916e+04  99.0000 
OBS: 59770.9724 z WFD -4.7116e-02  3.104e-02    0  1.000 44.260  1.67 2.652e+04  99.0000 
OBS: 59779.9671 z WFD  1.8407e-02  5.579e-02    0  1.000 43.490  2.35 1.667e+04  99.0000 
OBS: 59923.3500 z WFD -1.7571e-02  7.897e-02    0  1.000 43.490  2.40 2.310e+04  99.0000 
OBS: 59924.3330 Y WFD  1.1053e-01  8.400e-02    0  1.000 42.520  1.55 1.557e+04  99.0000 
OBS: 59941.3483 z WFD -7.7426e-03  1.938e-02    0  1.000 45.010  1.65 3.343e+04  99.0000 
OBS: 59942.3573 Y WFD -7.2346e-02  5.129e-02    0  1.000 43.340  1.25 2.509e+04  99.0000 
OBS: 59944.2895 i WFD -3.3300e-03  1.761e-02    0  1.000 44.560  2.09 1.585e+04  99.0000 
OBS: 59945.3281 i WFD -5.0172e-02  1.918e-02    0  1.000 43.820  1.68 1.086e+04  99.0000 
OBS: 59945.3553 z WFD -2.1441e-02  3.309e-02    0  1.000 44.270  1.75 2.723e+04  99.0000 
OBS: 59962.2512 g WFD -7.1302e-03  4.903e-03    0  1.000 44.760  1.51 7.343e+03  99.0000 
OBS: 59962.3687 Y WFD -1.3854e-02  7.405e-02    0  1.000 42.590  1.39 1.633e+04  99.0000 
OBS: 59964.2289 u WFD -1.1617e-02  2.692e-02    0  1.000 41.060  2.05 9.803e+02  99.0000 
OBS: 59965.2471 r WFD -3.3841e-03  9.379e-03    0  1.000 44.810  1.94 1.145e+04  99.0000 
OBS: 59965.3669 z WFD  7.3763e-03  1.943e-02    0  1.000 44.700  1.50 2.772e+04  99.0000 
OBS: 59968.2157 u WFD -1.9633e-02  3.031e-02    0  1.000 41.040  2.28 9.740e+02  99.0000 
